Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Area,Weight,is_pareto
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,507.99376,2600,1,1,17,80,cyclic_2_2,cyclic_2_2,block_2_1,block_8_1,cyclic_8_1,unroll_2,unroll_16,pipeline_1,unroll_2,unroll,pipeline_1,24.75,0.10925691362538686,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,2105,1,1,38,68,cyclic_4_2,complete_1,complete_1,block_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,254,1,1,10,19,cyclic_2_2,complete_1,block_8_1,block_2_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,188.80291,397,1,1,14,35,cyclic_2_2,cyclic_4_2,complete_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline,12.75,0.47142662495079035,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,23.32965,469,1,1,15,26,cyclic_4_2,cyclic_4_2,block_8_1,cyclic_4_1,block_8_1,unroll_16,pipeline,pipeline_1,unroll,unroll_8,unroll,10.75,0.6044888630384123,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,265,1,1,10,19,complete_1,complete_1,complete_1,block_4_1,block_4_1,unroll_8,pipeline,pipeline_1,pipeline_1,unroll_4,unroll_2,7.75,0.7351588825872275,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,642,1,1,15,31,block_4_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline,pipeline_1,unroll_8,pipeline,unroll_2,12.0,0.5294256363681462,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,287.04283,1802,1,1,35,98,cyclic_8_2,cyclic_4_2,block_4_1,block_4_1,cyclic_8_1,unroll_16,unroll_2,unroll,unroll_8,pipeline_1,unroll,33.75,0.10000000000000002,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,2036,1,1,38,68,complete_1,complete_1,block_4_1,cyclic_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_4,unroll_4,unroll_4,27.0,0.15793071900798353,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,263,1,1,10,19,cyclic_8_2,complete_2,cyclic_4_1,block_4_1,complete_1,unroll_8,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline_1,7.75,0.7351588825872275,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,143,1,1,6,10,complete_1,cyclic_8_2,block_4_1,block_4_1,cyclic_8_1,unroll_4,pipeline,unroll,unroll_2,unroll_4,pipeline,4.5,0.8936802616539342,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,2104,1,1,38,68,cyclic_4_2,complete_1,block_2_1,cyclic_2_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,188.80291,341,1,1,14,33,complete_1,block_2_2,complete_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,pipeline_1,unroll,pipeline_1,pipeline_1,12.25,0.4871777554253073,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,237,1,1,10,19,complete_1,block_8_2,block_4_1,block_2_1,complete_1,unroll_8,pipeline,unroll,pipeline_1,unroll_4,unroll_2,7.75,0.7351588825872275,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1955,1,1,38,68,cyclic_2_2,complete_1,complete_1,block_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,135,1,1,6,10,complete_1,block_8_2,block_4_1,block_4_1,cyclic_8_1,unroll_4,pipeline,unroll,unroll_2,unroll_4,pipeline,4.5,0.8936802616539342,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,242,1,1,10,19,cyclic_2_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_4,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,188.16291,339,1,1,14,32,complete_1,block_8_2,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline,unroll_2,12.0,0.49556945729518675,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,608,1,1,15,31,cyclic_4_2,cyclic_4_2,block_8_1,block_4_1,cyclic_2_1,unroll_16,pipeline,pipeline_1,unroll,pipeline_1,unroll,12.0,0.5294256363681462,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,615,1,1,19,36,complete_1,complete_2,block_8_1,cyclic_2_1,block_2_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_8,14.25,0.471044242609965,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,188.80283,1140,1,1,27,62,complete_2,complete_2,block_4_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline,22.75,0.2145731534928455,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,239,1,1,10,19,complete_1,complete_1,complete_1,block_4_1,block_4_1,unroll_8,pipeline,unroll,pipeline_1,unroll_4,unroll,7.75,0.7351588825872275,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,237,1,1,8,17,block_4_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_8,pipeline,pipeline,unroll_8,pipeline,unroll_2,6.75,0.728836771792017,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,230,1,1,10,19,complete_1,cyclic_8_2,block_4_1,block_2_1,complete_1,unroll_8,pipeline,unroll,pipeline_1,unroll_4,unroll_2,7.75,0.7351588825872275,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1968,1,1,38,68,complete_1,cyclic_4_2,complete_1,block_4_1,block_4_1,unroll_32,pipeline,pipeline_1,pipeline_1,unroll_4,unroll_2,27.0,0.15793071900798353,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,494.06626,96,1,1,2,13,cyclic_2_2,cyclic_2_2,complete_1,block_8_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll,pipeline_1,4.25,0.26845754234826164,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,244,1,1,10,19,block_4_2,block_4_2,complete_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline,7.75,0.7351588825872275,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1869,1,1,38,68,complete_2,cyclic_8_2,complete_1,cyclic_2_1,block_2_1,unroll_32,pipeline,unroll,unroll_4,unroll_4,unroll_4,27.0,0.15793071900798353,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,218,1,1,8,17,cyclic_2_2,block_2_2,block_8_1,complete_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,unroll_2,pipeline_1,unroll_8,6.75,0.728836771792017,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,555.60291,802,1,1,25,53,cyclic_8_2,block_2_2,complete_1,cyclic_4_1,block_8_1,unroll_8,unroll_2,unroll,unroll_8,unroll_8,unroll,20.0,0.12247593704425935,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,188.80291,365,1,1,14,35,block_4_2,block_2_2,complete_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,pipeline_1,unroll,pipeline,pipeline_1,12.75,0.47142662495079035,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1972,1,1,38,68,cyclic_2_2,cyclic_2_2,block_8_1,block_8_1,cyclic_8_1,unroll_32,pipeline,pipeline_1,pipeline,unroll_2,pipeline,27.0,0.15793071900798353,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,182.40291,265,1,3,12,45,complete_1,block_8_2,cyclic_8_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,pipeline_1,unroll,unroll,pipeline_1,15.25,0.39893744665654074,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,589,1,1,15,31,block_8_2,cyclic_2_2,cyclic_2_1,block_8_1,cyclic_2_1,unroll_16,pipeline,pipeline_1,pipeline_1,pipeline,unroll_2,12.0,0.5294256363681462,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,327,1,1,8,17,complete_1,block_2_2,complete_1,complete_1,block_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,6.75,0.7482768422016216,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,495.91376,329,1,1,9,46,complete_2,complete_2,block_4_1,cyclic_4_1,cyclic_8_1,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline,14.25,0.19586554440967874,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1716,1,1,38,68,cyclic_2_2,complete_1,block_2_1,block_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,127,1,1,6,10,complete_1,complete_1,complete_1,block_4_1,block_4_1,unroll_4,pipeline,pipeline_1,pipeline_1,unroll_4,unroll_2,4.5,0.8936802616539342,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,23.32965,206,1,1,8,14,complete_1,block_8_2,block_8_1,block_2_1,block_8_1,unroll_8,pipeline,unroll,unroll,unroll_4,unroll_2,6.0,0.8183138801007571,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,22.38376,84,1,1,3,5,complete_2,complete_2,block_8_1,cyclic_4_1,cyclic_8_1,unroll_2,pipeline,pipeline_1,unroll_2,unroll_2,pipeline,2.5,1.0,True
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,242,1,1,10,19,complete_2,block_8_2,complete_1,block_4_1,block_4_1,unroll_8,pipeline,pipeline,pipeline_1,unroll_4,pipeline_1,7.75,0.7351588825872275,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,249,1,1,10,19,block_4_2,block_4_2,complete_1,block_4_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline,7.75,0.7351588825872275,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,234,1,1,10,19,cyclic_4_2,complete_1,block_8_1,block_2_1,block_2_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,243,1,1,10,19,complete_1,complete_1,complete_1,block_4_1,block_4_1,unroll_8,pipeline,unroll,pipeline_1,unroll_4,unroll_4,7.75,0.7351588825872275,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,316.25376,92,1,2,3,9,cyclic_4_2,complete_1,cyclic_8_1,complete_1,block_4_1,unroll_2,unroll_2,unroll,unroll,pipeline_1,unroll_2,3.75,0.5054614420081515,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,530,1,1,19,36,block_8_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline,pipeline_1,unroll_8,unroll_4,unroll_2,14.25,0.471044242609965,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,251.52291,276,1,3,10,32,complete_2,block_8_2,cyclic_8_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,pipeline_1,unroll,unroll,unroll_8,11.5,0.4564686289609672,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,22.38376,86,1,1,3,5,cyclic_2_2,cyclic_2_2,block_8_1,block_8_1,cyclic_4_1,unroll_2,pipeline,pipeline_1,unroll_2,unroll,unroll_8,2.5,1.0,True
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,238,1,1,8,17,complete_1,cyclic_8_2,block_8_1,cyclic_2_1,block_8_1,unroll_8,pipeline,pipeline,unroll_8,pipeline,unroll_8,6.75,0.728836771792017,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,577,1,1,15,31,block_8_2,block_2_2,cyclic_2_1,complete_1,cyclic_2_1,unroll_16,pipeline,pipeline_1,pipeline_1,pipeline,unroll_2,12.0,0.5294256363681462,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,138,1,1,6,10,complete_1,block_8_2,block_4_1,cyclic_4_1,cyclic_8_1,unroll_4,pipeline,unroll,unroll_2,pipeline_1,pipeline,4.5,0.8936802616539342,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,128,1,1,6,10,cyclic_2_2,cyclic_8_2,block_4_1,block_4_1,cyclic_8_1,unroll_4,pipeline,unroll,unroll_4,unroll_4,pipeline,4.5,0.8936802616539342,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,188.16291,332,1,1,14,32,complete_1,cyclic_8_2,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,pipeline_1,unroll_8,pipeline,unroll_2,12.0,0.49556945729518675,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,23.32989,1340,1,1,28,47,complete_2,cyclic_8_2,complete_1,cyclic_2_1,block_2_1,unroll_32,pipeline,pipeline_1,unroll,unroll_4,pipeline_1,19.25,0.3158944482749342,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,247,1,1,10,19,complete_1,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,7.75,0.7351588825872275,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,571,1,1,19,36,cyclic_4_2,cyclic_4_2,block_4_1,cyclic_4_1,complete_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_8,unroll,14.25,0.471044242609965,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,241,1,1,10,19,complete_1,cyclic_8_2,block_4_1,block_2_1,complete_1,unroll_8,pipeline,unroll,pipeline_1,pipeline,unroll_2,7.75,0.7351588825872275,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,322,1,1,8,17,complete_1,block_2_2,complete_1,complete_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline,6.75,0.7482768422016216,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,595.52291,370,1,1,11,46,complete_1,block_2_2,complete_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,unroll,unroll_4,pipeline_1,unroll_4,14.75,0.13735856325690718,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,568,1,1,15,31,complete_2,cyclic_4_2,block_8_1,block_4_1,cyclic_2_1,unroll_16,pipeline,pipeline_1,unroll,pipeline_1,unroll,12.0,0.5294256363681462,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1884,1,1,38,68,cyclic_2_2,complete_1,block_2_1,block_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_4,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,346,1,1,8,17,complete_1,cyclic_2_2,complete_1,block_8_1,block_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,6.75,0.7482768422016216,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,563,1,1,15,31,block_4_2,block_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline,pipeline_1,pipeline_1,pipeline,unroll_2,12.0,0.5294256363681462,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1878,1,1,38,68,cyclic_2_2,complete_1,block_2_1,cyclic_2_1,cyclic_8_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,232,1,1,10,19,cyclic_2_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_4,unroll_2,pipeline_1,7.75,0.7351588825872275,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1843,1,1,38,68,cyclic_2_2,complete_1,complete_1,block_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll,27.0,0.15793071900798353,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,528,1,1,15,31,complete_1,cyclic_8_2,block_8_1,block_2_1,block_2_1,unroll_16,pipeline,pipeline_1,unroll_8,pipeline,unroll_2,12.0,0.5294256363681462,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,544,1,1,19,36,block_4_2,complete_2,block_4_1,cyclic_2_1,block_8_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_8,14.25,0.471044242609965,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,233,1,1,8,17,cyclic_2_2,block_2_2,block_8_1,complete_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_4,pipeline_1,pipeline,6.75,0.728836771792017,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,240,1,1,10,19,cyclic_2_2,complete_1,complete_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,559,1,1,19,36,cyclic_2_2,complete_1,block_2_1,block_4_1,block_2_1,unroll_16,pipeline,unroll,unroll_2,unroll_8,unroll_4,14.25,0.471044242609965,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,191.02839,1608,1,1,26,70,cyclic_2_2,block_2_2,complete_1,complete_1,cyclic_2_1,unroll_8,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,24.5,0.18346460604111534,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,244,1,1,10,19,cyclic_2_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline,7.75,0.7351588825872275,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,484,1,1,19,36,block_4_2,complete_2,block_4_1,block_2_1,block_2_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_2,14.25,0.471044242609965,False
workload_159.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1540,1,1,38,68,cyclic_4_2,complete_1,complete_1,block_2_1,block_2_1,unroll_32,pipeline,unroll,unroll_2,unroll_8,unroll_4,27.0,0.15793071900798353,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,22.38376,91,1,1,3,5,complete_1,cyclic_8_2,block_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll,pipeline_1,pipeline,unroll_8,2.5,1.0,True
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,241,1,1,10,19,block_4_2,complete_2,block_4_1,block_2_1,block_2_1,unroll_8,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_2,7.75,0.7351588825872275,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,244,1,1,10,19,block_4_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_8,pipeline,unroll,unroll_8,pipeline,pipeline,7.75,0.7351588825872275,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,255,1,1,10,19,cyclic_2_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,7.75,0.7351588825872275,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,23.32965,215,1,1,8,14,cyclic_8_2,complete_2,block_8_1,block_2_1,block_8_1,unroll_8,pipeline,unroll,unroll,unroll_4,unroll_2,6.0,0.8183138801007571,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,178.75376,92,1,2,3,12,cyclic_4_2,complete_1,cyclic_8_1,cyclic_4_1,block_4_1,unroll_2,unroll_2,unroll,unroll,pipeline_1,pipeline,4.5,0.7360725570521396,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,229,1,1,10,19,complete_2,block_8_2,block_8_1,cyclic_4_1,block_4_1,unroll_8,pipeline,pipeline,pipeline_1,unroll_4,pipeline_1,7.75,0.7351588825872275,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,253,1,1,10,19,cyclic_2_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,256,1,1,10,19,complete_1,block_2_2,complete_1,block_4_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline,7.75,0.7351588825872275,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,566,1,1,19,36,complete_1,block_2_2,complete_1,block_4_1,block_8_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_4,unroll_2,14.25,0.471044242609965,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,151.25376,106,1,1,4,7,complete_2,complete_1,cyclic_8_1,block_4_1,block_4_1,unroll_2,unroll_2,pipeline,pipeline_1,pipeline_1,unroll_2,3.25,0.8115295822267612,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,355,1,1,8,17,complete_1,block_2_2,complete_1,block_4_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline,6.75,0.7482768422016216,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,237,1,1,10,19,block_4_2,block_8_2,block_4_1,cyclic_2_1,block_2_1,unroll_8,pipeline,unroll,pipeline_1,unroll_8,unroll_2,7.75,0.7351588825872275,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,230,1,1,10,19,cyclic_2_2,block_4_2,block_8_1,block_2_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,334,1,1,8,17,complete_1,complete_1,complete_1,complete_1,block_4_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,6.75,0.7482768422016216,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,23.32965,439,1,1,15,26,cyclic_4_2,cyclic_4_2,complete_1,cyclic_4_1,cyclic_8_1,unroll_16,pipeline,pipeline_1,unroll,unroll_8,unroll,10.75,0.6044888630384123,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,240,1,1,10,19,cyclic_2_2,cyclic_2_2,block_8_1,block_8_1,cyclic_4_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll,unroll_2,7.75,0.7351588825872275,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,233,1,1,8,17,complete_1,cyclic_2_2,complete_1,block_8_1,block_8_1,unroll_8,pipeline,pipeline_1,unroll_4,pipeline_1,pipeline_1,6.75,0.728836771792017,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,136,1,1,6,10,cyclic_2_2,cyclic_8_2,block_4_1,block_2_1,cyclic_8_1,unroll_4,pipeline_1,unroll,unroll_4,unroll_2,pipeline,4.5,0.8936802616539342,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,22.56224,128,1,1,6,10,cyclic_2_2,cyclic_8_2,block_4_1,block_4_1,cyclic_8_1,unroll_4,pipeline,pipeline,unroll_4,unroll_4,unroll_2,4.5,0.8936802616539342,False
