Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Area,Weight,is_pareto
stencil3d_40.c,xczu7ev-ffvc1156-2-e,10.0,0.59575,32,1,2,1,3,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll,pipeline,unroll_2,unroll_2,pipeline_1,1.75,0.1464240261298565,False
stencil3d_41.c,xczu7ev-ffvc1156-2-e,10.0,0.56771,32,1,5,1,5,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_4,unroll_4,pipeline_1,3.0,0.1907619609176201,False
stencil3d_42.c,xczu7ev-ffvc1156-2-e,10.0,0.5089,35,1,1,1,3,pipeline_1,unroll,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll_4,1.5,0.3237159246514606,False
stencil3d_43.c,xczu7ev-ffvc1156-2-e,10.0,0.35931,43,1,3,1,5,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,pipeline,unroll_8,pipeline,unroll_2,2.5,0.5728494631328186,False
stencil3d_44.c,xczu7ev-ffvc1156-2-e,10.0,0.54888,43,1,1,1,4,unroll_2,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,pipeline,unroll_8,unroll_4,1.75,0.22833994603899754,False
stencil3d_45.c,xczu7ev-ffvc1156-2-e,10.0,0.58204,56,1,1,1,8,pipeline_1,unroll_2,unroll_2,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,unroll_4,2.75,0.16673806874700225,False
stencil3d_46.c,xczu7ev-ffvc1156-2-e,10.0,0.32318,99,1,25,2,21,unroll_4,unroll_8,pipeline_1,unroll_2,pipeline,pipeline_1,unroll_4,unroll_8,unroll,12.25,0.5681743098865732,False
stencil3d_47.c,xczu7ev-ffvc1156-2-e,10.0,0.28447,74,1,13,2,15,unroll,pipeline,unroll_8,unroll_8,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,7.75,0.7848525069013481,False
stencil3d_48.c,xczu7ev-ffvc1156-2-e,10.0,0.35066,155,1,52,5,35,pipeline_1,unroll_2,pipeline,unroll,pipeline,unroll_8,unroll,pipeline_1,unroll_4,23.25,0.32111812685435837,False
stencil3d_49.c,xczu7ev-ffvc1156-2-e,10.0,0.54752,184,1,41,6,37,unroll_16,unroll_2,unroll,unroll,unroll_4,unroll_4,pipeline_1,unroll_4,pipeline,21.25,0.1096986726672714,False
stencil3d_50.c,xczu7ev-ffvc1156-2-e,10.0,0.23461,264,1,44,3,31,unroll,unroll_4,pipeline,pipeline,unroll_2,unroll_2,pipeline,unroll_8,unroll_2,19.75,0.7209220555505693,False
stencil3d_51.c,xczu7ev-ffvc1156-2-e,10.0,0.23146,248,1,20,1,21,unroll_4,pipeline,unroll_4,pipeline_1,pipeline,unroll_2,unroll_2,unroll_4,unroll,10.75,0.9582192955318423,False
stencil3d_52.c,xczu7ev-ffvc1156-2-e,10.0,0.56771,224,1,20,2,19,pipeline,unroll_4,unroll,unroll_2,unroll_8,unroll_2,unroll,unroll,pipeline,10.5,0.1565392602802577,False
stencil3d_53.c,xczu7ev-ffvc1156-2-e,10.0,0.22784,251,1,22,1,22,pipeline_1,unroll_2,unroll_8,pipeline,unroll_8,unroll_4,pipeline,pipeline_1,unroll,11.5,0.9561137618723516,False
stencil3d_54.c,xczu7ev-ffvc1156-2-e,10.0,0.22858,286,1,59,4,37,unroll,unroll_4,unroll_8,pipeline_1,unroll_2,unroll,unroll_8,unroll_2,pipeline_1,25.25,0.6082047034647295,False
stencil3d_55.c,xczu7ev-ffvc1156-2-e,10.0,0.2245,311,1,22,2,25,unroll,unroll_4,pipeline,pipeline,pipeline,unroll,unroll,unroll_8,unroll,12.5,0.9419781948140418,False
stencil3d_56.c,xczu7ev-ffvc1156-2-e,10.0,0.52752,42,1,2,1,4,unroll,pipeline,unroll_4,unroll_2,pipeline,pipeline,pipeline,unroll_4,pipeline,2.0,0.2778163699762485,False
stencil3d_57.c,xczu7ev-ffvc1156-2-e,10.0,0.58791,127,1,1,3,12,unroll_2,pipeline,pipeline_1,unroll_8,unroll_8,unroll_2,pipeline,unroll_8,unroll_4,4.25,0.15669135629858644,False
stencil3d_58.c,xczu7ev-ffvc1156-2-e,10.0,0.23228,334,1,59,3,38,unroll,unroll_2,unroll_2,pipeline,unroll_4,pipeline_1,unroll_8,unroll,unroll_2,25.25,0.5995789517034328,False
stencil3d_59.c,xczu7ev-ffvc1156-2-e,10.0,0.56809,48,1,11,2,9,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline,unroll_2,pipeline,unroll_4,pipeline,5.75,0.1824477960460017,False
stencil3d_60.c,xczu7ev-ffvc1156-2-e,10.0,0.31556,189,1,43,3,32,unroll_4,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_8,unroll_8,unroll,19.75,0.4622341000033675,False
stencil3d_61.c,xczu7ev-ffvc1156-2-e,10.0,0.22991,307,1,59,3,36,unroll_4,pipeline,pipeline_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll,unroll_2,24.75,0.6162222620535769,False
stencil3d_62.c,xczu7ev-ffvc1156-2-e,10.0,0.22622,312,1,61,3,36,unroll,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll,unroll_2,pipeline,25.25,0.6136356436813586,False
stencil3d_63.c,xczu7ev-ffvc1156-2-e,10.0,0.23633,286,1,22,1,21,unroll_8,unroll_4,unroll_2,pipeline,unroll_2,pipeline_1,pipeline,unroll_8,unroll,11.25,0.9223985976059,False
stencil3d_64.c,xczu7ev-ffvc1156-2-e,10.0,0.31829,84,1,25,2,20,pipeline,pipeline,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll,12.0,0.5900969780474501,False
stencil3d_65.c,xczu7ev-ffvc1156-2-e,10.0,0.58999,79,1,1,1,9,unroll,unroll_2,pipeline,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_8,unroll_4,3.0,0.15483353063724375,False
stencil3d_66.c,xczu7ev-ffvc1156-2-e,10.0,0.23406,256,1,20,1,22,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline,unroll_2,pipeline_1,pipeline_1,unroll,11.0,0.9399673323754615,False
stencil3d_67.c,xczu7ev-ffvc1156-2-e,10.0,0.23292,276,1,68,3,38,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,unroll_8,unroll_2,unroll,pipeline_1,27.5,0.5499945965974518,False
stencil3d_68.c,xczu7ev-ffvc1156-2-e,10.0,0.22792,329,1,61,3,41,unroll_8,unroll,pipeline,pipeline,unroll_8,unroll,unroll_2,unroll,pipeline_1,26.5,0.5823544509325931,False
stencil3d_69.c,xczu7ev-ffvc1156-2-e,10.0,0.57056,89,1,20,2,16,unroll,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_2,pipeline,unroll,pipeline,9.75,0.15778880429389577,False
stencil3d_70.c,xczu7ev-ffvc1156-2-e,10.0,0.35171,32,1,3,1,4,unroll_8,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll,unroll_4,pipeline,unroll_2,2.25,0.5897655153290433,False
stencil3d_71.c,xczu7ev-ffvc1156-2-e,10.0,0.56454,55,1,11,2,11,pipeline,unroll_2,unroll_4,unroll_8,unroll_4,pipeline,unroll,unroll_4,pipeline,6.25,0.18570672945021294,False
stencil3d_72.c,xczu7ev-ffvc1156-2-e,10.0,0.54341,71,1,1,1,7,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline,pipeline_1,unroll_2,unroll,unroll_2,2.5,0.24005406101353033,False
stencil3d_73.c,xczu7ev-ffvc1156-2-e,10.0,0.22911,309,1,61,3,36,unroll_8,pipeline,unroll_4,pipeline,unroll_4,unroll_2,pipeline_1,unroll,unroll_4,25.25,0.6069773543807946,False
stencil3d_74.c,xczu7ev-ffvc1156-2-e,10.0,0.23164,282,1,34,2,27,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline,pipeline_1,unroll_8,unroll,unroll_2,16.0,0.8241398169355056,False
stencil3d_75.c,xczu7ev-ffvc1156-2-e,10.0,0.23638,276,1,44,3,30,unroll_4,unroll_4,pipeline_1,pipeline,unroll_8,unroll_2,pipeline,unroll_8,unroll_2,19.5,0.7220074084151634,False
stencil3d_76.c,xczu7ev-ffvc1156-2-e,10.0,0.29589,528,1,18,3,32,pipeline_1,unroll,unroll_2,unroll,unroll,unroll_2,pipeline_1,unroll_2,unroll,13.5,0.6302204670133686,False
stencil3d_77.c,xczu7ev-ffvc1156-2-e,10.0,0.2235,262,1,53,3,31,pipeline,pipeline,unroll_2,pipeline_1,unroll_2,pipeline,unroll_8,unroll_4,unroll_4,22.0,0.6952972515001163,False
stencil3d_78.c,xczu7ev-ffvc1156-2-e,10.0,0.23301,350,1,40,3,30,unroll_8,unroll,pipeline,pipeline,unroll_8,unroll_2,unroll_2,unroll,unroll,18.5,0.756228555317022,False
stencil3d_80.c,xczu7ev-ffvc1156-2-e,10.0,0.35776,41,1,3,1,4,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,pipeline,pipeline_1,pipeline,unroll_2,2.25,0.5783372006060302,False
stencil3d_81.c,xczu7ev-ffvc1156-2-e,10.0,0.29769,53,1,12,2,12,unroll_8,unroll_8,unroll_2,unroll_8,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_2,6.75,0.7212214341096334,False
stencil3d_82.c,xczu7ev-ffvc1156-2-e,10.0,0.32249,56,1,15,1,11,pipeline_1,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,unroll_4,unroll_4,unroll,7.0,0.6302957630455973,False
stencil3d_83.c,xczu7ev-ffvc1156-2-e,10.0,0.28674,60,1,13,1,11,pipeline_1,unroll_2,unroll_8,unroll_8,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline,6.5,0.7689182437171698,False
stencil3d_84.c,xczu7ev-ffvc1156-2-e,10.0,0.57366,113,1,1,2,11,unroll_2,pipeline,unroll_4,unroll_4,unroll_8,unroll_4,pipeline_1,unroll,unroll_2,3.75,0.1794397191491397,False
stencil3d_85.c,xczu7ev-ffvc1156-2-e,10.0,0.23039,248,1,21,1,20,unroll_8,pipeline,unroll_4,pipeline,unroll_2,pipeline,pipeline,unroll_2,unroll,10.75,0.9629860373019009,False
stencil3d_86.c,xczu7ev-ffvc1156-2-e,10.0,0.22567,248,1,20,1,21,unroll_4,pipeline,pipeline_1,pipeline_1,pipeline,unroll_2,pipeline,unroll_4,unroll,10.75,0.98417071568242,False
stencil3d_87.c,xczu7ev-ffvc1156-2-e,10.0,0.35724,37,1,3,1,4,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,pipeline,unroll_8,pipeline,pipeline,2.25,0.5793198198551724,False
stencil3d_88.c,xczu7ev-ffvc1156-2-e,10.0,0.23072,285,1,22,2,26,unroll,unroll_4,unroll_8,pipeline,unroll_8,unroll_4,pipeline,unroll_8,unroll,12.75,0.912814670445918,False
stencil3d_89.c,xczu7ev-ffvc1156-2-e,10.0,0.23081,308,1,53,3,32,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline,pipeline,unroll_4,unroll_8,unroll_4,22.25,0.6712579659872758,False
stencil3d_90.c,xczu7ev-ffvc1156-2-e,10.0,0.56617,43,1,1,1,4,unroll,pipeline_1,unroll_8,unroll_2,unroll_2,unroll,unroll_8,unroll_2,pipeline_1,1.75,0.19348326266271498,False
stencil3d_91.c,xczu7ev-ffvc1156-2-e,10.0,0.54674,43,1,1,1,4,pipeline,pipeline,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,1.75,0.23301856667719636,False
stencil3d_92.c,xczu7ev-ffvc1156-2-e,10.0,0.22742,305,1,34,2,28,pipeline,unroll_8,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_8,unroll,unroll_2,16.25,0.830269459397096,False
stencil3d_93.c,xczu7ev-ffvc1156-2-e,10.0,0.23164,270,1,34,2,27,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll,unroll_2,16.0,0.8241398169355056,False
stencil3d_94.c,xczu7ev-ffvc1156-2-e,10.0,0.5823,383,1,1,5,22,pipeline_1,unroll_8,unroll_2,unroll,pipeline,unroll_8,pipeline_1,unroll_4,unroll_4,7.25,0.15576490016962027,False
stencil3d_95.c,xczu7ev-ffvc1156-2-e,10.0,0.35159,48,1,3,1,5,unroll,unroll_8,unroll_4,unroll_2,pipeline,pipeline,pipeline,pipeline_1,pipeline,2.5,0.589608091837222,False
stencil3d_96.c,xczu7ev-ffvc1156-2-e,10.0,0.22869,370,1,40,2,30,pipeline,unroll_4,unroll_4,pipeline,pipeline,unroll_8,unroll,unroll,unroll,18.25,0.7747206450699763,False
stencil3d_97.c,xczu7ev-ffvc1156-2-e,10.0,0.60038,56,1,2,1,9,unroll,unroll_8,unroll_8,unroll_4,pipeline,unroll,unroll_8,unroll_2,pipeline_1,3.25,0.14101491041970743,False
stencil3d_98.c,xczu7ev-ffvc1156-2-e,10.0,0.2235,281,1,61,3,36,pipeline,pipeline,unroll_2,pipeline,unroll_4,unroll_2,unroll_8,unroll,unroll_4,25.25,0.6198242095829263,False
stencil3d_99.c,xczu7ev-ffvc1156-2-e,10.0,0.28215,67,1,13,1,13,unroll,pipeline,pipeline,unroll_8,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,7.0,0.7975381767347566,False
stencil3d_100.c,xczu7ev-ffvc1156-2-e,10.0,0.31587,56,1,12,1,11,unroll,unroll_2,pipeline_1,unroll_4,pipeline,unroll_8,unroll_2,unroll_2,unroll,6.25,0.6590084127611984,False
stencil3d_101.c,xczu7ev-ffvc1156-2-e,10.0,0.23091,264,1,22,2,23,pipeline_1,unroll_2,unroll_8,pipeline,unroll_8,unroll_4,unroll_8,pipeline_1,unroll,12.0,0.9306253411538854,False
stencil3d_102.c,xczu7ev-ffvc1156-2-e,10.0,0.23794,309,1,21,2,22,unroll_8,unroll,unroll_2,pipeline,unroll_8,unroll_2,unroll_2,unroll_2,unroll,11.5,0.9071943200340862,False
stencil3d_103.c,xczu7ev-ffvc1156-2-e,10.0,0.22229,296,1,22,1,22,pipeline_1,unroll_2,pipeline,pipeline,pipeline,unroll,unroll,pipeline_1,unroll,11.5,0.9776555356401769,False
stencil3d_104.c,xczu7ev-ffvc1156-2-e,10.0,0.30071,39,1,10,1,5,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline,pipeline_1,unroll_2,unroll_2,unroll,4.25,0.7212582044703498,False
stencil3d_105.c,xczu7ev-ffvc1156-2-e,10.0,0.56212,35,1,1,1,3,unroll_2,unroll,unroll_2,unroll_2,unroll,pipeline,pipeline,unroll_2,pipeline_1,1.5,0.20081575173492627,False
stencil3d_106.c,xczu7ev-ffvc1156-2-e,10.0,0.23278,262,1,20,1,22,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline,unroll_4,unroll,pipeline_1,unroll,11.0,0.9455227440205553,False
stencil3d_107.c,xczu7ev-ffvc1156-2-e,10.0,0.35067,40,1,3,1,5,unroll_8,pipeline_1,unroll_8,unroll_2,pipeline,unroll,unroll_8,pipeline,unroll_2,2.5,0.5933007189574477,False
stencil3d_108.c,xczu7ev-ffvc1156-2-e,10.0,0.35171,40,1,3,1,5,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline,unroll_2,2.5,0.5891272110416274,False
stencil3d_109.c,xczu7ev-ffvc1156-2-e,10.0,0.22622,314,1,61,3,36,unroll,pipeline_1,pipeline,pipeline,unroll_2,pipeline,unroll,unroll_2,pipeline,25.25,0.6136356436813586,False
stencil3d_110.c,xczu7ev-ffvc1156-2-e,10.0,0.29175,54,1,11,1,10,unroll_4,unroll_8,pipeline_1,unroll_8,pipeline,unroll_2,pipeline_1,pipeline_1,unroll,5.75,0.741769471809175,False
stencil3d_111.c,xczu7ev-ffvc1156-2-e,10.0,0.22758,298,1,44,2,31,pipeline_1,unroll_4,unroll_2,pipeline,unroll_2,pipeline_1,unroll,unroll_8,unroll_2,19.5,0.7462042609331112,False
stencil3d_112.c,xczu7ev-ffvc1156-2-e,10.0,0.22446,273,1,46,3,31,unroll,pipeline,pipeline,pipeline,pipeline,unroll,unroll,unroll_8,pipeline_1,20.25,0.7356276645312633,False
stencil3d_113.c,xczu7ev-ffvc1156-2-e,10.0,0.23039,283,1,53,3,31,unroll_8,pipeline,unroll_4,pipeline_1,unroll_2,pipeline,pipeline_1,unroll_4,unroll_4,22.0,0.678202439728184,False
stencil3d_114.c,xczu7ev-ffvc1156-2-e,10.0,0.22622,287,1,43,3,31,unroll,pipeline,pipeline_1,pipeline,unroll_2,pipeline,pipeline_1,unroll_2,unroll_2,19.5,0.7497897379477549,False
stencil3d_115.c,xczu7ev-ffvc1156-2-e,10.0,0.22995,265,1,43,3,32,unroll_4,pipeline,unroll_4,pipeline,unroll_2,unroll_8,unroll,unroll_2,unroll_2,19.75,0.7336704729216971,False
stencil3d_116.c,xczu7ev-ffvc1156-2-e,10.0,0.22677,277,1,53,3,35,unroll,pipeline,unroll_8,pipeline_1,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,23.0,0.6636895797569647,False
stencil3d_117.c,xczu7ev-ffvc1156-2-e,10.0,0.58543,1428,1,1,9,37,pipeline_1,pipeline,unroll_2,unroll,pipeline_1,unroll_2,pipeline,unroll_8,unroll_4,12.0,0.13072465645941334,False
stencil3d_119.c,xczu7ev-ffvc1156-2-e,10.0,0.50624,30,1,1,1,2,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,unroll_2,unroll_2,unroll_2,unroll_4,1.25,0.3311031849517724,False
stencil3d_120.c,xczu7ev-ffvc1156-2-e,10.0,0.36063,39,1,3,1,5,unroll_8,unroll_8,unroll_8,unroll_2,pipeline,unroll_8,unroll_2,pipeline,unroll_2,2.5,0.5703425682485255,False
stencil3d_121.c,xczu7ev-ffvc1156-2-e,10.0,0.54674,39,1,1,1,4,pipeline,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,1.75,0.23301856667719636,False
