Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,70,10,1,2,6,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_8,unroll,unroll,4.75,0.8716707460643274,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,137,5,1,7,11,block_8_1,cyclic_16_1,cyclic_128_1,block_64_1,complete_1,pipeline,unroll_4,unroll_8,unroll_32,pipeline,pipeline,6.0,0.8310867764343663,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,100,12,1,2,11,cyclic_32_1,block_16_1,block_4_1,cyclic_8_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_64,pipeline,pipeline,6.5,0.8151601313045913,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,62,11,1,1,3,block_4_1,block_16_1,cyclic_16_1,cyclic_16_1,complete_1,pipeline,unroll_2,unroll_64,unroll_2,unroll,unroll,4.0,0.8965473155061431,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,433,11,1,11,86,block_32_1,cyclic_128_1,block_2_1,block_4_1,complete_1,unroll_64,unroll_64,unroll_4,unroll_8,pipeline,unroll,27.25,0.30888157984221487,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,171,12,1,5,28,cyclic_128_1,block_32_1,cyclic_4_1,block_4_1,complete_1,unroll_32,unroll_16,unroll_2,unroll_2,pipeline,pipeline,11.5,0.6655404520503633,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,654,2,1,9,62,cyclic_128_1,block_64_1,block_64_1,cyclic_16_1,complete_1,unroll_16,unroll_32,unroll_4,unroll_64,pipeline,pipeline,18.5,0.4855394052645373,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,106,2,1,8,26,cyclic_8_1,cyclic_64_1,cyclic_8_1,block_64_1,complete_1,pipeline,unroll_8,unroll_8,unroll_2,unroll,pipeline,9.25,0.730698784026354,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33005,1053,7,6,15,69,cyclic_4_1,block_8_1,block_4_1,block_8_1,complete_1,unroll_8,pipeline_1,unroll_64,pipeline_1,unroll,unroll,24.25,0.20540383618433194,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,5.51455,865,4,3,16,51,block_4_1,block_4_1,cyclic_4_1,block_2_1,complete_1,unroll_32,unroll_16,unroll_32,pipeline,unroll,pipeline,18.5,0.2457097446242741,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,159,13,1,3,14,block_32_1,cyclic_2_1,cyclic_64_1,block_16_1,complete_1,unroll_8,unroll_16,pipeline,unroll_32,pipeline,pipeline,7.75,0.7761108753517818,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,5.51455,1302,3,3,14,69,cyclic_4_1,block_4_1,cyclic_64_1,cyclic_4_1,complete_1,pipeline,unroll_32,unroll_32,pipeline,unroll,unroll,22.25,0.21452747310109901,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,70,11,3,1,4,cyclic_32_1,cyclic_2_1,cyclic_2_1,block_16_1,complete_1,pipeline,pipeline,unroll_2,unroll_64,unroll,unroll,4.75,0.8716707461273401,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33005,1370,5,25,33,94,cyclic_2_1,block_64_1,cyclic_32_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_16,pipeline,pipeline_1,pipeline_1,39.25,0.1108750543916453,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,875,1,1,11,55,block_64_1,block_128_1,cyclic_128_1,block_32_1,complete_1,unroll_64,pipeline,unroll_64,unroll_32,pipeline,unroll,17.0,0.5212170265333625,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,132,1,1,6,13,cyclic_128_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline_1,pipeline_1,5.25,0.8553056113587526,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,155,1,2,9,29,block_64_1,cyclic_128_1,block_32_1,cyclic_32_1,complete_1,unroll_64,pipeline,unroll_64,unroll_4,unroll,unroll,10.25,0.7013010357607569,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33005,1085,12,12,17,77,cyclic_16_1,cyclic_4_1,block_16_1,block_2_1,complete_1,unroll_64,unroll_16,pipeline,pipeline_1,unroll,pipeline_1,29.5,0.16374168795972172,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,618,3,4,8,21,cyclic_16_1,cyclic_2_1,block_64_1,cyclic_64_1,complete_1,unroll_16,unroll_64,unroll_32,unroll_4,unroll,unroll,9.0,0.7381578434765098,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,84,13,1,2,9,block_32_1,cyclic_2_1,cyclic_64_1,block_16_1,complete_1,unroll_16,unroll_4,pipeline,unroll_32,pipeline,pipeline,6.25,0.8231015293874638,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,170,3,1,6,17,block_2_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,complete_1,unroll_2,unroll_64,pipeline_1,unroll_64,pipeline,pipeline_1,6.75,0.8072625821857856,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,93,15,1,2,9,cyclic_2_1,block_32_1,cyclic_32_1,block_16_1,complete_1,pipeline,unroll_8,unroll_16,unroll_64,pipeline_1,pipeline_1,6.75,0.8072625821857856,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33002,1552,12,25,29,94,block_4_1,cyclic_32_1,block_2_1,cyclic_128_1,complete_1,unroll_4,unroll_16,unroll_2,pipeline_1,unroll,pipeline_1,40.0,0.1085257217718046,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,74,3,1,6,9,cyclic_4_1,cyclic_64_1,cyclic_32_1,block_8_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline,pipeline_1,4.75,0.8716707461273401,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,6.23205,1198,3,3,10,67,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_32_1,complete_1,unroll_8,unroll_32,unroll_2,pipeline_1,pipeline,unroll,20.75,0.19467243980433568,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,71,2,2,3,7,cyclic_2_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_8,pipeline,pipeline,3.5,0.9133509400310539,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,5.30952,3541,8,12,42,88,cyclic_64_1,block_16_1,block_8_1,cyclic_4_1,complete_1,unroll_32,pipeline,pipeline,pipeline_1,pipeline_1,pipeline_1,37.5,0.11765154552546586,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,52,1,1,1,2,cyclic_2_1,cyclic_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline,unroll_8,pipeline,unroll,1.25,0.9911377736636922,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,62,7,1,3,7,cyclic_4_1,cyclic_128_1,block_16_1,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_4,pipeline,pipeline,4.5,0.8799190869570019,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,66,2,1,4,9,block_64_1,cyclic_128_1,block_2_1,cyclic_16_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_8,pipeline,unroll,4.0,0.8965473156090329,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,79,2,1,2,6,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_32,pipeline_1,unroll,2.75,0.9388852438964407,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,86,1,1,7,13,block_64_1,cyclic_128_1,cyclic_128_1,cyclic_128_1,complete_1,pipeline,pipeline,unroll_64,unroll_2,unroll,pipeline,5.5,0.84718881722077,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,94,10,1,3,10,block_32_1,cyclic_2_1,cyclic_64_1,block_64_1,complete_1,unroll_8,unroll_4,pipeline,unroll_32,pipeline,pipeline,6.0,0.8310867764343663,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,114,7,1,4,16,cyclic_64_1,cyclic_32_1,cyclic_8_1,block_4_1,complete_1,unroll_64,unroll_16,unroll_16,unroll_64,pipeline_1,pipeline_1,7.0,0.7994088820310777,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,6,3,2,5,cyclic_32_1,cyclic_2_1,cyclic_2_1,block_32_1,complete_1,pipeline,pipeline,unroll_2,unroll_64,unroll,unroll,4.0,0.8965473155061431,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,61,3,3,2,5,cyclic_4_1,cyclic_64_1,block_2_1,block_8_1,complete_1,pipeline_1,pipeline,unroll_8,unroll_32,pipeline,pipeline_1,3.25,0.9218185256885355,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,89,1,1,7,15,cyclic_2_1,block_4_1,block_32_1,cyclic_128_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_4,pipeline,pipeline_1,6.0,0.8310867764343663,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,73,1,2,5,7,cyclic_128_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_8,pipeline,pipeline,unroll_8,pipeline,unroll,3.75,0.9049272032250542,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,70,7,1,2,7,cyclic_32_1,cyclic_16_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_8,unroll,unroll,4.25,0.8882112766765343,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,69,11,3,1,5,cyclic_32_1,cyclic_2_1,cyclic_2_1,block_16_1,complete_1,unroll_32,pipeline,unroll_2,unroll_64,unroll,unroll,5.0,0.863466254261211,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,125,3,1,7,11,block_8_1,cyclic_4_1,cyclic_128_1,block_64_1,complete_1,pipeline,unroll_4,unroll_8,unroll_32,pipeline,pipeline,5.5,0.8471888174200721,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,99,5,1,3,7,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_16_1,complete_1,pipeline,unroll_4,pipeline,unroll_32,pipeline,pipeline,4.0,0.8965473155061431,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,55,7,1,1,2,cyclic_2_1,block_4_1,cyclic_4_1,block_16_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_8,pipeline,pipeline,2.75,0.9388852438964407,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,143,14,1,8,40,cyclic_32_1,block_16_1,block_4_1,block_16_1,complete_1,pipeline,unroll_16,unroll_32,unroll_64,unroll,pipeline,15.75,0.5521542240833597,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,136,3,1,12,17,cyclic_4_1,cyclic_128_1,block_32_1,block_8_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline,pipeline_1,8.25,0.7607981157197894,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,137,12,1,4,18,cyclic_32_1,block_16_1,block_4_1,cyclic_8_1,complete_1,pipeline,unroll_32,unroll_32,unroll_64,pipeline,pipeline,8.75,0.7456607519446207,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,376,2,1,11,44,cyclic_128_1,block_64_1,block_64_1,cyclic_16_1,complete_1,unroll_16,unroll_16,unroll_32,unroll_64,pipeline,pipeline,14.5,0.5841876457549143,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,271,12,51,59,75,block_4_1,block_16_1,cyclic_16_1,block_4_1,complete_1,unroll_64,unroll_64,unroll_64,unroll_2,unroll,unroll,49.25,0.10202392790236292,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,137,1,2,5,23,block_64_1,cyclic_128_1,cyclic_4_1,cyclic_32_1,complete_1,unroll_64,pipeline,unroll_64,unroll_8,unroll,unroll,7.75,0.7761108753517818,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,82,3,1,3,9,cyclic_8_1,block_4_1,block_4_1,cyclic_128_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_2,pipeline_1,pipeline_1,4.0,0.8965473151974738,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,121,5,1,3,12,cyclic_2_1,block_64_1,cyclic_32_1,block_16_1,complete_1,pipeline,unroll_8,unroll_16,unroll_64,pipeline_1,pipeline_1,5.25,0.8553056113587526,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,111,11,1,5,39,cyclic_32_1,cyclic_32_1,block_4_1,cyclic_64_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_8,unroll,pipeline,14.0,0.5973079571736234,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,116,11,1,3,15,block_4_1,block_64_1,block_16_1,block_16_1,complete_1,pipeline_1,unroll_16,unroll_16,unroll_8,pipeline,unroll,7.5,0.7838330286580552,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,570,1,1,8,72,block_128_1,cyclic_64_1,cyclic_64_1,block_4_1,complete_1,unroll_32,unroll_32,pipeline,unroll_32,pipeline,pipeline_1,20.5,0.4404247855926394,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,7,1,1,7,block_4_1,block_16_1,cyclic_4_1,block_2_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_2,unroll,unroll,4.0,0.8965473155061431,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,90,5,1,3,9,cyclic_32_1,cyclic_64_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_64,unroll_16,unroll_4,unroll_8,unroll,unroll,4.5,0.8799190868891286,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,112,11,1,3,12,cyclic_32_1,block_16_1,cyclic_64_1,cyclic_8_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_64,pipeline,unroll,6.75,0.8072625821857856,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,604,3,2,8,38,cyclic_4_1,block_128_1,block_32_1,cyclic_16_1,complete_1,unroll_64,pipeline,unroll_64,unroll_32,pipeline,unroll,12.75,0.6308760925955432,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,78,2,1,3,9,cyclic_2_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_4,pipeline_1,pipeline_1,3.75,0.9049272032250542,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,429,2,1,10,66,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_64,unroll_16,unroll_8,pipeline_1,unroll,19.75,0.4570139007483154,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,121,6,15,35,28,block_64_1,block_4_1,cyclic_16_1,cyclic_16_1,complete_1,pipeline,unroll_16,unroll_64,unroll_8,unroll,unroll,21.0,0.42958462031774514,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,181,1,1,8,31,block_128_1,cyclic_64_1,block_32_1,block_4_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline,pipeline_1,10.25,0.7013010357607569,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,617,1,1,10,55,block_64_1,block_128_1,cyclic_128_1,block_32_1,complete_1,unroll_64,pipeline,unroll_64,unroll_8,pipeline,unroll,16.75,0.5273167681178872,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,432,1,1,7,26,cyclic_128_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_32,unroll_16,pipeline,unroll_32,pipeline_1,pipeline_1,8.75,0.7456607519446207,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,729,1,1,9,64,cyclic_128_1,block_64_1,block_64_1,block_32_1,complete_1,unroll_16,unroll_32,unroll_4,unroll_64,pipeline,pipeline,18.75,0.4797466064424818,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,1076,3,1,6,19,cyclic_4_1,block_8_1,cyclic_32_1,cyclic_128_1,complete_1,unroll_4,unroll_32,unroll_64,unroll_8,pipeline,pipeline,7.25,0.7915990308865125,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,59,3,1,1,3,block_2_1,cyclic_4_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_4,unroll_16,unroll_8,pipeline_1,unroll,2.0,0.9648141884406535,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,65,2,2,2,5,cyclic_4_1,block_4_1,cyclic_4_1,block_32_1,complete_1,unroll_64,pipeline,pipeline,unroll_8,pipeline,unroll,2.75,0.9388852438964407,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,7,1,2,6,block_16_1,cyclic_16_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_8,unroll_4,pipeline,unroll_8,unroll,unroll,4.0,0.8965473155061431,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,78,2,1,2,5,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_32,pipeline,unroll,2.5,0.947484376446864,False
