Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,126.62981,76,12,1,1,9,block_32_1,cyclic_16_1,complete_1,unroll_8,unroll_16,unroll_16,unroll_32,pipeline_1,pipeline,5.75,0.40826378910177974,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,150.79618,207,2,1,9,65,cyclic_16_1,cyclic_64_1,complete_1,pipeline,unroll_64,unroll_2,unroll_32,unroll,pipeline_1,19.25,0.25804743902751526,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,121.69602,117,1,1,4,13,cyclic_128_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_2,unroll_16,pipeline,pipeline_1,4.75,0.43099288798055124,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,21.21733,526,3,3,8,35,block_4_1,cyclic_8_1,complete_1,unroll_16,pipeline,unroll_8,pipeline_1,pipeline,unroll,12.25,0.7616332456184983,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,26.50117,779,1,1,5,35,cyclic_2_1,block_64_1,complete_1,pipeline,unroll_16,unroll_32,pipeline,unroll,pipeline_1,10.5,0.7764418165873621,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,18.71874,683,2,6,8,41,cyclic_8_1,block_64_1,complete_1,unroll_16,pipeline,unroll_16,pipeline_1,pipeline_1,pipeline,14.25,0.7310906424416977,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,120.90373,105,2,1,2,9,cyclic_8_1,cyclic_8_1,complete_1,unroll_8,unroll_64,unroll_64,unroll_2,pipeline,pipeline_1,3.5,0.43774489503105507,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,16.20162,69,7,9,5,9,cyclic_32_1,cyclic_8_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_32,unroll,unroll,7.5,0.8676687128901478,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,126.7405,56,1,1,4,5,cyclic_2_1,block_32_1,complete_1,pipeline,unroll_8,unroll_16,unroll_2,pipeline_1,pipeline_1,2.75,0.41679117716031455,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,20.91013,1169,6,6,17,40,cyclic_16_1,block_4_1,complete_1,unroll_32,pipeline_1,unroll_16,pipeline,pipeline,unroll,17.25,0.6720252979218133,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,37.36581,54,2,1,1,6,block_64_1,block_8_1,complete_1,unroll_4,pipeline,unroll_32,unroll_2,pipeline,unroll,2.5,0.8628016007615249,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,128.08965,480,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline,8.0,0.3935749262540462,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,122.84293,48,1,1,1,1,cyclic_4_1,block_2_1,complete_1,unroll_4,unroll_4,unroll_4,unroll_16,pipeline,pipeline_1,1.0,0.4346119591528972,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,17.63333,523,10,12,13,44,cyclic_16_1,block_16_1,complete_1,pipeline,pipeline,pipeline_1,pipeline,unroll,pipeline_1,19.75,0.6212854395692594,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,130.05826,67,1,1,2,4,block_2_1,cyclic_4_1,complete_1,unroll_8,unroll_32,pipeline,unroll_8,pipeline_1,pipeline,2.0,0.4052416408906171,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,31.98978,46,5,1,1,2,cyclic_32_1,block_2_1,complete_1,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll,2.25,0.8967286261582531,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,16.95749,1523,5,25,28,60,block_64_1,cyclic_16_1,complete_1,pipeline,unroll_16,unroll_64,pipeline,pipeline,pipeline_1,29.5,0.35983292287888624,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,126.65026,64,7,1,1,5,block_16_1,block_8_1,complete_1,pipeline,unroll_16,unroll_16,unroll_32,pipeline_1,unroll,3.5,0.41491569873646206,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,113.18466,136,1,1,3,9,cyclic_64_1,block_128_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_32,pipeline_1,unroll,3.5,0.46971803008694824,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,26.52165,557,1,1,4,33,cyclic_2_1,cyclic_4_1,complete_1,unroll_8,unroll_16,unroll_64,pipeline_1,pipeline_1,pipeline,9.75,0.7899198911580521,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,25.64101,1937,3,3,15,40,block_8_1,cyclic_2_1,complete_1,unroll_8,pipeline_1,unroll_4,pipeline,pipeline,pipeline_1,15.25,0.6932606319227438,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,18.26821,1032,12,12,23,47,cyclic_32_1,cyclic_8_1,complete_1,unroll_2,unroll_32,pipeline,pipeline,pipeline,pipeline,23.5,0.5106186319496032,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,170.54725,47,3,1,1,2,block_4_1,block_8_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,unroll,pipeline_1,1.75,0.2685295352128012,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,132.22914,50,1,1,1,1,cyclic_2_1,cyclic_8_1,complete_1,pipeline,unroll_8,unroll_16,unroll_2,pipeline_1,pipeline_1,1.0,0.39753080428297993,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,225.90146,62,6,1,1,3,cyclic_32_1,cyclic_8_1,complete_1,unroll_8,unroll_2,unroll_64,unroll_32,unroll,unroll,2.75,0.14631051059260125,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,118.28226,82,1,1,3,8,cyclic_64_1,block_128_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,pipeline_1,unroll,3.25,0.449357829405974,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,129.40805,81,3,1,2,6,block_2_1,block_8_1,complete_1,unroll_64,unroll_32,unroll_8,unroll_4,pipeline_1,pipeline,3.0,0.40574331240996775,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,121.37477,143,1,1,8,22,cyclic_128_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_64,unroll_16,pipeline,pipeline_1,8.0,0.4187174000318197,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,129.08034,104,11,1,2,16,block_32_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_4,pipeline,unroll,7.5,0.3921525670244722,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,131.33829,175,10,1,4,22,block_32_1,cyclic_2_1,complete_1,pipeline,unroll_64,pipeline,unroll_2,pipeline,pipeline,9.25,0.37529182008631956,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,22.12226,54,3,1,1,2,cyclic_8_1,cyclic_16_1,complete_1,unroll_64,pipeline_1,unroll_2,unroll_16,pipeline,pipeline_1,1.75,0.9602080714008283,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,31.98978,49,5,1,1,2,cyclic_32_1,block_2_1,complete_1,pipeline,pipeline,pipeline_1,unroll_2,unroll,unroll,2.25,0.8967286261582531,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,201.01317,66,12,1,1,3,block_32_1,cyclic_16_1,complete_1,unroll_2,unroll_4,unroll_16,unroll_32,unroll,unroll,4.25,0.18985525113919743,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,121.55141,112,1,1,5,14,cyclic_2_1,block_64_1,complete_1,pipeline,unroll_8,unroll_64,unroll_64,pipeline,pipeline_1,5.25,0.42988092301517267,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,32.07781,112,1,1,2,7,block_64_1,cyclic_32_1,complete_1,unroll_4,pipeline,unroll_32,unroll_64,pipeline,unroll,2.75,0.8906036252806468,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,150.63298,232,2,1,9,65,cyclic_16_1,cyclic_64_1,complete_1,pipeline,unroll_64,pipeline,unroll_32,unroll,pipeline,19.25,0.258448716452484,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,35.03106,84,1,7,4,8,block_4_1,cyclic_4_1,complete_1,unroll_8,unroll_32,pipeline,unroll_8,unroll,unroll,5.0,0.842206193114525,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,115.88293,131,2,1,2,10,cyclic_8_1,cyclic_8_1,complete_1,unroll_8,unroll_64,unroll_64,unroll_32,pipeline,pipeline_1,3.75,0.45769689620541887,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,34.6061,66,3,1,1,3,block_8_1,block_4_1,complete_1,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline,unroll,2.0,0.8832554915879623,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,127.60069,81,10,1,1,6,block_32_1,block_4_1,complete_1,unroll_2,unroll_16,pipeline,unroll_8,pipeline_1,pipeline_1,4.5,0.40853255697657653,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,160.27749,94,5,1,1,4,cyclic_32_1,cyclic_32_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_64,unroll,pipeline_1,2.75,0.29838756079569656,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,26.52165,678,3,1,4,33,cyclic_2_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_32,pipeline,unroll,pipeline_1,10.25,0.7808771483659535,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,132.04485,94,3,1,2,6,block_8_1,cyclic_8_1,complete_1,unroll_8,unroll_32,unroll_8,unroll_2,pipeline,unroll,3.0,0.3956401769595175,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,124.11906,74,1,1,4,5,cyclic_8_1,block_32_1,complete_1,pipeline,unroll_8,unroll_16,unroll_2,pipeline_1,pipeline,2.75,0.4271950106483,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,16.81413,780,10,25,21,58,cyclic_32_1,block_32_1,complete_1,unroll_2,unroll_32,pipeline,pipeline,pipeline,pipeline,28.5,0.3826716417319834,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,123.43301,161,1,1,5,10,block_4_1,cyclic_64_1,complete_1,unroll_32,unroll_64,pipeline_1,unroll_4,pipeline,pipeline,4.25,0.42556884225868585,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,18.61637,944,2,6,11,41,block_8_1,cyclic_64_1,complete_1,unroll_4,unroll_16,unroll_8,pipeline,pipeline_1,unroll,15.0,0.7178843965111528,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,146.54469,355,3,1,12,66,cyclic_8_1,block_8_1,complete_1,unroll_64,unroll_64,unroll_64,unroll_2,unroll,pipeline_1,20.5,0.2601733539295139,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,33.41061,62,1,1,1,1,block_4_1,cyclic_2_1,complete_1,unroll_16,pipeline,unroll_8,unroll_8,pipeline,pipeline,1.0,0.8971144542886585,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,128.82021,77,6,1,1,5,block_16_1,block_4_1,complete_1,unroll_32,unroll_2,unroll_2,unroll_64,pipeline_1,pipeline_1,3.25,0.4072986683484503,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,129.88933,191,1,1,4,19,cyclic_128_1,cyclic_64_1,complete_1,unroll_2,unroll_16,pipeline_1,unroll_16,pipeline_1,pipeline_1,6.25,0.39408842272018363,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,21.3197,920,1,3,6,38,cyclic_4_1,block_64_1,complete_1,unroll_16,pipeline,unroll_16,pipeline_1,pipeline_1,pipeline_1,12.0,0.765823495746935,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,21.19685,636,1,3,9,37,block_4_1,cyclic_32_1,complete_1,unroll_4,unroll_4,pipeline_1,pipeline_1,unroll,pipeline_1,12.5,0.7567317423140137,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,25.64101,2428,3,3,15,40,block_8_1,cyclic_2_1,complete_1,unroll_8,pipeline_1,unroll_4,pipeline,pipeline,unroll,15.25,0.6932606319227438,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,16.95749,1740,5,25,28,60,block_64_1,cyclic_16_1,complete_1,pipeline,unroll_16,unroll_64,pipeline_1,pipeline,pipeline_1,29.5,0.35983292287888624,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,18.39106,3436,2,12,30,52,cyclic_128_1,block_8_1,complete_1,pipeline,unroll_16,pipeline_1,pipeline,pipeline_1,pipeline,24.0,0.4967212029429261,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,18.24773,3450,2,12,26,49,cyclic_64_1,cyclic_8_1,complete_1,unroll_16,pipeline,unroll_64,pipeline_1,pipeline,pipeline_1,22.25,0.5462227868278444,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,34.59074,51,5,1,1,2,cyclic_32_1,cyclic_4_1,complete_1,unroll_8,pipeline,pipeline_1,unroll_2,pipeline_1,pipeline,2.25,0.8813370965428817,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,123.03362,57,3,1,1,2,cyclic_16_1,cyclic_8_1,complete_1,unroll_32,unroll_8,unroll_2,unroll_2,pipeline,pipeline_1,1.75,0.43341563221268886,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,21.61253,58,3,1,1,3,cyclic_2_1,block_8_1,complete_1,unroll_4,pipeline,unroll_32,unroll_64,pipeline,pipeline_1,2.0,0.958765593000495,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,112.8653,61,1,1,5,6,cyclic_8_1,block_64_1,complete_1,unroll_16,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline,3.25,0.47199422505133015,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,33.26722,55,3,1,1,3,block_8_1,block_4_1,complete_1,unroll_8,pipeline_1,unroll_64,unroll_8,unroll,pipeline_1,2.0,0.8913317773375282,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,31.98978,49,1,1,1,2,cyclic_64_1,block_2_1,complete_1,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll,1.25,0.9055281362816224,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,123.52517,64,1,1,2,5,cyclic_4_1,block_128_1,complete_1,unroll_64,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline,2.25,0.4306835513211815,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,20.46338,72,2,9,5,10,cyclic_8_1,cyclic_32_1,complete_1,unroll_64,unroll_32,unroll_2,unroll_16,unroll,unroll,6.5,0.8738104287771858,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,129.4285,54,1,1,1,1,cyclic_2_1,cyclic_4_1,complete_1,pipeline,unroll_8,unroll_16,unroll_4,pipeline_1,pipeline,1.0,0.4083671311230761,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,200.85762,79,1,1,1,3,block_2_1,block_2_1,complete_1,pipeline,unroll_32,pipeline,unroll_8,unroll,unroll,1.5,0.1925012819298746,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,107.69413,220,5,1,4,18,cyclic_32_1,cyclic_128_1,complete_1,unroll_32,unroll_64,pipeline_1,unroll_8,pipeline,pipeline,7.0,0.4784938039611989,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,37.28389,55,1,1,1,6,block_64_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_64,unroll_2,pipeline,unroll,2.25,0.865354300632997,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,18.82306,63,7,6,3,6,cyclic_32_1,cyclic_8_1,complete_1,unroll_32,unroll_16,unroll_8,unroll_32,unroll,unroll,5.5,0.8991962670470935,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,121.69605,119,1,1,4,13,cyclic_128_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_2,unroll_16,pipeline,pipeline_1,4.75,0.43099276815644993,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,118.46405,59,1,1,1,2,cyclic_2_1,cyclic_4_1,complete_1,unroll_16,unroll_16,unroll_32,unroll_8,pipeline_1,pipeline,1.25,0.45260555755049225,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,22.50757,534,1,3,8,36,block_4_1,cyclic_2_1,complete_1,unroll_8,pipeline,unroll_4,pipeline_1,pipeline,pipeline,12.0,0.762203698148159,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,21.23778,534,3,3,8,35,block_4_1,cyclic_8_1,complete_1,unroll_16,pipeline,unroll_8,pipeline_1,pipeline,unroll,12.25,0.7615716926002516,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,17.63333,551,10,12,13,44,cyclic_16_1,block_16_1,complete_1,pipeline,pipeline,pipeline_1,pipeline,pipeline,pipeline_1,19.75,0.6212854395692594,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,123.52514,59,1,1,1,4,cyclic_64_1,cyclic_2_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,pipeline_1,unroll,1.75,0.43142533852778897,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,37.52965,61,2,1,1,3,block_4_1,block_4_1,complete_1,unroll_64,pipeline_1,unroll_16,unroll_2,pipeline,pipeline_1,1.75,0.8681400351213086,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,18.55493,634,2,6,11,38,block_8_1,block_32_1,complete_1,unroll_2,unroll_32,pipeline,pipeline,pipeline,pipeline,14.25,0.7315540173770619,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,18.61637,755,2,6,11,41,block_8_1,cyclic_64_1,complete_1,unroll_4,pipeline,unroll_8,pipeline,pipeline_1,unroll,15.0,0.7178843965111528,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,119.42914,56,1,1,1,3,cyclic_2_1,block_32_1,complete_1,unroll_8,unroll_8,unroll_8,unroll_2,pipeline_1,pipeline_1,1.5,0.4484401472709043,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,21.19685,631,1,3,9,37,block_4_1,cyclic_32_1,complete_1,unroll_4,unroll_4,pipeline_1,pipeline_1,pipeline,unroll,12.5,0.7567317423140137,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,21.78242,63,3,1,1,3,cyclic_8_1,cyclic_16_1,complete_1,unroll_64,pipeline_1,unroll_2,unroll_32,pipeline,pipeline_1,2.0,0.9579047036326562,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,20.91013,1216,6,6,17,40,cyclic_16_1,block_4_1,complete_1,unroll_64,pipeline_1,unroll_16,pipeline,pipeline,unroll,17.25,0.6720252979218133,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,35.04898,78,1,7,4,9,block_4_1,cyclic_4_1,complete_1,unroll_8,unroll_32,unroll_64,unroll_8,unroll,unroll,5.25,0.8380585947117214,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,120.05989,106,5,1,2,11,cyclic_32_1,cyclic_32_1,complete_1,unroll_8,unroll_32,unroll_32,unroll_64,pipeline,pipeline,4.75,0.4375588224701571,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,21.3197,750,1,3,6,38,cyclic_4_1,block_64_1,complete_1,unroll_16,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,12.0,0.765823495746935,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,114.52805,82,6,1,1,10,cyclic_32_1,cyclic_8_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_16,pipeline,unroll,4.5,0.4610776045556685,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,113.5245,112,1,1,3,8,cyclic_64_1,block_128_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_16,pipeline_1,unroll,3.25,0.4692029768215539,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,18.26821,1154,12,12,23,47,cyclic_32_1,cyclic_8_1,complete_1,unroll_16,pipeline,unroll_64,pipeline_1,pipeline,pipeline_1,23.5,0.5106186319496032,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,16.95749,1650,5,25,28,60,block_64_1,cyclic_16_1,complete_1,pipeline,unroll_16,unroll_64,pipeline_1,unroll,pipeline_1,29.5,0.35983292287888624,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,21.21733,543,3,3,8,35,block_4_1,cyclic_8_1,complete_1,pipeline,pipeline,unroll_16,pipeline_1,pipeline,unroll,12.25,0.7616332456184983,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,16.95749,1631,5,25,28,60,block_64_1,cyclic_16_1,complete_1,pipeline,unroll_8,unroll_64,pipeline_1,pipeline,pipeline_1,29.5,0.35983292287888624,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,25.66146,2035,3,3,15,40,block_8_1,cyclic_2_1,complete_1,unroll_8,pipeline_1,unroll_4,pipeline,unroll,pipeline_1,15.25,0.6932002634269818,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,18.24773,3043,2,12,26,49,cyclic_64_1,cyclic_8_1,complete_1,unroll_16,pipeline,unroll_64,pipeline,pipeline,pipeline_1,22.25,0.5462227868278444,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,122.84293,51,1,1,1,1,cyclic_4_1,cyclic_2_1,complete_1,unroll_4,unroll_4,unroll_4,unroll_16,pipeline,pipeline_1,1.0,0.4346119591528972,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,41.4413,57,1,1,1,2,block_4_1,cyclic_4_1,complete_1,pipeline,unroll_8,pipeline,unroll_8,unroll,unroll,1.25,0.8471977918066688,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,124.83586,61,2,1,1,2,cyclic_2_1,cyclic_16_1,complete_1,unroll_64,unroll_2,unroll_8,unroll_2,pipeline,pipeline_1,1.5,0.42637446977299676,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,33.28773,61,3,1,1,2,block_8_1,block_4_1,complete_1,pipeline,pipeline_1,unroll_64,unroll_8,unroll,pipeline_1,1.75,0.8936224492246976,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,121.21189,78,2,1,5,6,cyclic_2_1,block_8_1,complete_1,unroll_4,unroll_16,unroll_64,unroll_64,pipeline,pipeline_1,3.5,0.4365010893706702,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,17.19685,61,3,1,1,3,cyclic_8_1,cyclic_16_1,complete_1,unroll_64,pipeline,unroll_64,unroll_16,pipeline,pipeline_1,2.0,0.9772009447563865,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,33.43109,51,1,1,1,1,block_4_1,block_2_1,complete_1,pipeline,pipeline,unroll_8,unroll_8,pipeline,pipeline,1.0,0.8969859166782779,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,34.6061,56,3,1,1,2,block_8_1,cyclic_4_1,complete_1,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline,unroll,1.75,0.8857020281196714,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,141.35746,148,5,1,7,25,cyclic_32_1,block_64_1,complete_1,unroll_32,unroll_16,unroll_8,unroll_32,unroll,pipeline,9.5,0.33977657583623366,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,108.25986,76,1,1,2,5,cyclic_64_1,cyclic_32_1,complete_1,unroll_64,unroll_4,pipeline_1,unroll_32,pipeline_1,unroll,2.25,0.49506231148653324,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,114.32322,68,1,1,1,3,cyclic_8_1,block_32_1,complete_1,unroll_8,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,1.5,0.46993976297469797,False
