Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,610.55457,1710,28,1,26,84,cyclic_64_1,block_8_1,cyclic_4_1,block_4_1,block_2_1,unroll,unroll_4,unroll,unroll_16,unroll,pipeline_1,unroll_8,unroll_16,unroll_16,unroll_32,pipeline,pipeline,34.75,0.385639250013848,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,172.19563,2600,31,1,5,91,cyclic_8_1,cyclic_64_1,cyclic_64_1,complete_1,block_8_1,pipeline_1,unroll_32,unroll_16,unroll_2,unroll_2,unroll,unroll_2,unroll_16,unroll_2,unroll_32,pipeline,pipeline,32.0,0.4432469954558391,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,278.10334,666,47,1,5,35,cyclic_64_1,cyclic_2_1,cyclic_2_1,block_4_1,cyclic_8_1,pipeline_1,unroll_4,unroll,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,pipeline,22.0,0.6955462968542144,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,347.46922,923,42,1,7,48,cyclic_64_1,block_4_1,cyclic_4_1,block_4_1,block_2_1,pipeline_1,unroll_4,unroll,unroll_16,unroll_4,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_32,pipeline,pipeline,24.5,0.625940616503728,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,11.3219,962,25,1,16,24,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_2_1,block_8_1,pipeline_1,pipeline,pipeline,unroll_16,unroll_2,pipeline,unroll_8,unroll_4,pipeline,pipeline,unroll,pipeline,16.5,0.8437046877498874,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,201.60532,1044,40,1,3,58,cyclic_128_1,cyclic_4_1,block_128_1,cyclic_2_1,block_4_1,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,pipeline_1,pipeline_1,25.5,0.599502610662877,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,27.42942,334,56,1,2,23,cyclic_8_1,block_8_1,cyclic_32_1,block_8_1,cyclic_8_1,pipeline,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline,unroll_16,unroll_16,unroll_2,pipeline,pipeline,20.5,0.7395773323597317,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,306.33289,1643,33,1,34,86,cyclic_16_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,pipeline,unroll_16,unroll_16,unroll_2,unroll_2,unroll,unroll_4,unroll_16,unroll_8,unroll_32,pipeline,unroll,38.5,0.3161690172030913,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,93.89294,1537,17,1,16,23,cyclic_32_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline,unroll_16,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll,14.25,0.8781411334819977,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,348.99978,966,62,1,7,43,cyclic_128_1,block_32_1,cyclic_2_1,block_4_1,complete_1,pipeline_1,unroll_2,unroll,unroll,unroll_4,unroll,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,28.25,0.5297260212483549,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,48.9027,2380,47,6,19,74,cyclic_128_1,block_64_1,block_16_1,block_2_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline,36.5,0.3521609774327562,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,8.15509,1413,47,1,10,33,cyclic_128_1,block_8_1,block_64_1,block_8_1,cyclic_8_1,unroll,pipeline,pipeline_1,unroll,unroll,unroll,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,22.75,0.674391578069115,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,7.05034,1439,35,1,8,37,cyclic_8_1,block_8_1,cyclic_64_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline,pipeline_1,20.25,0.747013846028666,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,575.15458,1923,33,1,25,72,cyclic_64_1,block_32_1,cyclic_2_1,block_4_1,block_2_1,pipeline,unroll_4,unroll_8,unroll_4,unroll,unroll,unroll_8,unroll_16,unroll_16,unroll_32,pipeline,pipeline,32.75,0.4267991422194687,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,49.23678,574,56,1,7,38,block_8_1,cyclic_2_1,cyclic_16_1,block_2_1,cyclic_2_1,pipeline_1,unroll_8,unroll,pipeline_1,unroll,unroll,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll,pipeline,25.5,0.5995122478254716,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,49.88366,2985,17,1,18,51,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,complete_1,unroll,pipeline,unroll,pipeline_1,unroll_2,unroll,unroll_16,unroll,unroll_64,unroll_16,pipeline,pipeline,21.75,0.7029547159042305,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,201.62164,364,40,1,2,23,cyclic_128_1,cyclic_4_1,block_128_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll,pipeline_1,pipeline,unroll_4,unroll_16,pipeline,pipeline_1,pipeline_1,16.5,0.8388289100594578,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,176.92837,1004,30,1,41,67,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_4_1,unroll,unroll_8,unroll,pipeline_1,unroll,pipeline,pipeline_1,unroll_2,unroll_32,pipeline_1,pipeline,pipeline,34.75,0.3859252921159344,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,8.87466,1082,35,1,9,24,cyclic_8_1,cyclic_16_1,cyclic_64_1,block_2_1,complete_1,pipeline_1,pipeline,unroll_16,pipeline_1,unroll_4,pipeline,unroll_4,unroll_16,unroll_16,unroll_2,pipeline,pipeline_1,17.25,0.8317997674744396,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,368.3686,1335,62,1,8,73,cyclic_128_1,block_32_1,cyclic_2_1,block_4_1,block_2_1,pipeline_1,unroll_4,unroll,unroll,unroll,unroll,pipeline_1,unroll_16,unroll_16,unroll_8,pipeline_1,pipeline_1,36.0,0.36154277342038676,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,33.00407,1457,26,6,14,44,cyclic_16_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_2,unroll,unroll,pipeline,unroll_4,pipeline,pipeline,pipeline_1,pipeline_1,22.5,0.6814800805768179,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,30.53642,335,57,1,2,26,cyclic_16_1,cyclic_16_1,cyclic_32_1,block_8_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline,pipeline,pipeline,unroll_2,pipeline,pipeline,21.5,0.7101843412818403,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,541.8889,1864,29,1,22,68,cyclic_64_1,block_4_1,cyclic_8_1,block_4_1,block_2_1,pipeline_1,unroll_4,unroll_8,unroll_16,unroll_4,pipeline_1,unroll_8,unroll_16,unroll_16,unroll_32,pipeline,pipeline,30.0,0.48788347377900376,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,12.8948,2086,30,1,16,27,cyclic_8_1,cyclic_64_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline,unroll_4,unroll_2,pipeline,unroll_4,unroll_4,unroll_16,pipeline,pipeline,pipeline,18.5,0.8004190298914823,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,8.15509,1358,47,1,10,33,cyclic_128_1,block_8_1,block_64_1,block_8_1,cyclic_8_1,pipeline_1,pipeline,pipeline_1,unroll,unroll,pipeline,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,22.75,0.674391578069115,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,218.32142,562,38,1,2,15,cyclic_8_1,block_32_1,block_128_1,block_8_1,cyclic_8_1,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,unroll,pipeline,unroll_16,unroll_16,unroll_2,pipeline,pipeline,14.0,0.8789969535341016,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,14.14846,2822,42,1,20,55,cyclic_128_1,block_32_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline,pipeline,pipeline_1,unroll,unroll_2,unroll,pipeline,pipeline_1,unroll_16,unroll_2,pipeline,pipeline,29.5,0.49986815158603104,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,99.53536,2467,16,1,27,54,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll,pipeline_1,unroll,unroll,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll,pipeline,24.5,0.6261614536540201,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,447.52014,555,21,1,4,49,cyclic_32_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,unroll_4,unroll,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll,18.75,0.7891104395067097,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,99.0181,972,62,1,3,48,cyclic_128_1,block_4_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_4,unroll,pipeline_1,unroll_16,unroll_4,unroll_8,unroll,pipeline_1,28.5,0.5237670345191449,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,11.44046,2386,25,1,15,37,cyclic_8_1,block_8_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline,pipeline_1,19.5,0.7696460591630441,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,367.97409,1080,42,1,7,53,cyclic_64_1,block_8_1,cyclic_4_1,block_4_1,block_2_1,pipeline,unroll_4,unroll,unroll_16,unroll,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_32,pipeline,pipeline,25.75,0.5927699238260791,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,273.11838,1154,21,1,32,80,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,unroll,unroll_4,unroll_4,unroll_8,unroll_32,pipeline,unroll,33.5,0.4113088091665149,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,123.29582,753,21,1,6,69,cyclic_32_1,cyclic_2_1,cyclic_16_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,pipeline,unroll_16,unroll_2,pipeline,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll,24.25,0.6329274017343601,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,87.10234,3136,17,1,21,54,cyclic_64_1,block_8_1,cyclic_4_1,block_4_1,complete_1,unroll,pipeline_1,unroll,unroll_16,unroll_4,pipeline_1,unroll_8,unroll_2,unroll_16,unroll_32,pipeline,pipeline,23.25,0.6604244515455047,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,11.3219,964,25,1,16,24,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_2_1,block_8_1,unroll,pipeline,pipeline,unroll_16,unroll_2,unroll,unroll_8,unroll_4,pipeline,pipeline,unroll,pipeline,16.5,0.8437046877498874,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,237.3065,303,13,1,4,18,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,pipeline,unroll_2,unroll_16,pipeline,unroll_4,unroll,unroll_4,pipeline,unroll_32,unroll_32,pipeline,pipeline,9.0,0.9669373189869787,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,188.6827,1898,44,1,20,72,cyclic_128_1,cyclic_4_1,block_128_1,block_8_1,block_4_1,unroll,unroll_16,unroll,unroll_4,unroll_2,pipeline_1,pipeline,unroll_2,unroll_64,unroll_16,pipeline,pipeline,34.25,0.3959570231783903,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,165.7747,3208,17,1,18,32,cyclic_64_1,cyclic_2_1,cyclic_2_1,block_4_1,cyclic_8_1,pipeline_1,pipeline_1,unroll,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,pipeline,17.0,0.8317856363448315,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,22.77698,2385,47,1,17,62,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_4_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll,pipeline_1,pipeline,unroll_4,pipeline,pipeline,pipeline,31.75,0.4486951000670595,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,254.92532,2068,17,1,5,36,cyclic_16_1,cyclic_16_1,cyclic_2_1,block_2_1,block_4_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll,unroll_4,unroll_16,pipeline,unroll_32,unroll,unroll,14.75,0.8657397641048424,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,112.00996,272,32,1,1,14,cyclic_32_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll,pipeline_1,pipeline,unroll_4,unroll_4,unroll_8,pipeline_1,pipeline_1,12.0,0.9161595184138103,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,265.79822,362,35,1,6,24,cyclic_8_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_4_1,pipeline_1,unroll_4,unroll,unroll_8,unroll_2,unroll,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline,16.5,0.8371484467269301,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,257.69438,561,37,1,3,33,cyclic_32_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,pipeline_1,unroll_8,unroll,unroll_16,unroll_2,pipeline,unroll_2,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline,18.5,0.7989233051524527,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,206.456,652,25,1,1,20,cyclic_8_1,block_32_1,cyclic_32_1,block_8_1,cyclic_8_1,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,unroll,unroll_2,unroll_16,unroll_16,unroll_2,pipeline,pipeline,11.75,0.9178888188393644,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,16.2693,673,25,1,16,23,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,unroll_16,unroll_4,unroll_4,pipeline,unroll_4,unroll_4,unroll_16,pipeline,pipeline,pipeline,16.25,0.847587478090534,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,294.4891,364,13,1,4,18,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,pipeline,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_32,pipeline,pipeline,pipeline,9.0,0.9654468090582851,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,27.5931,313,57,1,2,23,cyclic_16_1,block_8_1,cyclic_32_1,block_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline,pipeline,unroll_16,unroll_2,pipeline,pipeline,20.75,0.7321640450376231,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,11.3219,935,25,1,16,25,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_2_1,block_8_1,pipeline_1,pipeline_1,pipeline,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline,pipeline,pipeline,pipeline,16.75,0.8397073790420954,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,17.8253,610,20,1,13,26,cyclic_8_1,cyclic_16_1,block_16_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_16,unroll_4,pipeline,unroll_4,unroll_4,unroll_4,unroll_2,pipeline,pipeline_1,15.0,0.8678186790475182,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,33.0668,1398,26,6,14,41,cyclic_16_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline,unroll_2,unroll_2,unroll,unroll,pipeline_1,unroll_4,pipeline,pipeline,pipeline_1,pipeline,21.75,0.7029449748275463,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,102.22254,259,33,1,1,12,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline,unroll_16,unroll_16,unroll_32,unroll,pipeline_1,11.75,0.9205979001496095,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,9.15945,710,36,1,10,28,cyclic_64_1,block_8_1,block_64_1,block_8_1,cyclic_8_1,pipeline_1,pipeline,pipeline_1,unroll_8,unroll,pipeline,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,18.75,0.7926574762595386,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,96.8022,1706,17,1,17,33,cyclic_32_1,cyclic_2_1,cyclic_2_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll,unroll_16,unroll,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll,17.0,0.8335550194073342,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,13.04978,2050,26,1,15,61,cyclic_16_1,cyclic_16_1,block_32_1,block_2_1,complete_1,unroll,pipeline,unroll,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll_64,pipeline,pipeline,pipeline,25.75,0.5929407571866152,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,12.8948,2084,30,1,16,27,cyclic_8_1,cyclic_64_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_4,unroll_2,pipeline,unroll_4,unroll_4,unroll_16,pipeline,pipeline,pipeline,18.5,0.8004190298914823,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,7.40314,1125,35,1,9,25,cyclic_8_1,cyclic_16_1,cyclic_64_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline,pipeline_1,unroll_4,pipeline,unroll_4,unroll_16,unroll_16,unroll_2,pipeline,pipeline_1,17.5,0.8278695011195565,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,50.08926,2758,27,1,21,57,cyclic_128_1,cyclic_2_1,cyclic_4_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll,pipeline_1,unroll_2,unroll,unroll_16,unroll,unroll_16,unroll_16,pipeline,pipeline_1,26.5,0.5735684887903201,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,247.41646,1435,33,1,3,69,cyclic_64_1,cyclic_8_1,cyclic_2_1,complete_1,cyclic_8_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline,unroll_4,unroll_4,unroll_8,unroll_32,pipeline,unroll,26.5,0.5735361289137344,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,82.97852,1828,17,3,20,48,cyclic_32_1,block_16_1,block_4_1,block_2_1,block_8_1,pipeline,pipeline_1,pipeline,unroll_2,unroll_2,pipeline,pipeline,unroll_4,unroll_32,pipeline,unroll,pipeline,22.0,0.6957657546750579,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,16.70558,2199,47,1,17,64,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll,pipeline,pipeline,unroll_4,pipeline,pipeline,pipeline_1,32.25,0.43779540683427676,False
workload_181.cpp,xczu7ev-ffvc1156-2-e,10.0,11.92606,1078,25,1,17,32,cyclic_8_1,block_8_1,cyclic_32_1,block_8_1,block_8_1,unroll,pipeline,pipeline,unroll_16,unroll_2,unroll,unroll_8,unroll_4,pipeline,unroll_16,unroll,pipeline,18.75,0.7926607947668755,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,11.44046,2440,25,1,15,37,cyclic_8_1,block_8_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline,pipeline_1,19.5,0.7696460591630441,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,7.40314,1133,35,1,9,25,cyclic_8_1,cyclic_16_1,cyclic_64_1,block_8_1,complete_1,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_4,pipeline,unroll_2,pipeline,pipeline_1,17.5,0.8278695011195565,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10.0,196.48585,1836,44,1,3,59,cyclic_128_1,cyclic_4_1,block_128_1,block_2_1,block_4_1,pipeline_1,unroll_16,unroll_16,pipeline,unroll,unroll,pipeline,pipeline,pipeline,unroll_32,pipeline_1,pipeline_1,26.75,0.5671899309854479,False
