Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Area,Weight,is_pareto
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,4383.07521,503,1,1,17,25,unroll_16,unroll_4,unroll_8,11.0,0.3604736915484337,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,7915.45537,411,1,1,17,27,unroll_32,unroll_4,unroll_2,11.5,0.19617931033272784,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,43,1,2,3,5,unroll_2,unroll_2,pipeline_1,2.75,0.9999999990403571,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,6709.62369,119,1,1,7,11,unroll_8,unroll_2,unroll_4,5.0,0.40002951948431487,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,6493.32417,913,1,1,24,34,unroll_32,unroll_16,unroll_4,15.0,0.17229067319433217,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,6493.32416,911,1,1,24,34,unroll_32,unroll,unroll_4,15.0,0.17229067343595567,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,52,1,2,3,5,unroll_2,unroll_8,pipeline,2.75,0.9999999990403571,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,6709.62368,99,1,1,7,12,unroll_8,unroll,unroll_4,5.25,0.39598931670651116,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,6987.49633,74,1,1,5,9,unroll_8,unroll_8,unroll_2,4.0,0.38781795746943626,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,75,1,2,8,12,unroll_8,unroll_4,pipeline_1,5.75,0.7616764067162123,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,4383.07521,510,1,1,17,25,unroll_16,unroll_16,unroll_8,11.0,0.3604736915484337,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,62,1,2,8,12,unroll_8,unroll_8,pipeline,5.75,0.7616764067162123,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,5750.2176,66,1,1,3,6,unroll_4,unroll,unroll_2,2.75,0.5204113106901932,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,3745.43041,2192,1,1,28,37,unroll_8,unroll_8,unroll_32,16.75,0.181076428842602,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,95,1,2,15,21,unroll_16,unroll_2,pipeline,9.75,0.5008204400385976,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,45,1,2,3,5,unroll_2,unroll_8,pipeline_1,2.75,0.9999999990403571,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75776,61,1,2,8,12,unroll_8,unroll,pipeline_1,5.75,0.7616764067166409,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,7606.13569,122,1,1,9,15,unroll_16,unroll_8,unroll_2,6.5,0.3050812150668838,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26624,51,1,2,3,5,unroll_2,unroll,pipeline_1,2.75,1.0,True
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,6998.02305,76,1,1,4,7,unroll_4,unroll_2,unroll_4,3.25,0.3924210597460037,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83968,88,1,2,15,21,unroll_16,unroll,pipeline_1,9.75,0.5008204400387646,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,51,1,2,5,7,unroll_4,unroll_8,pipeline_1,3.75,0.9164938755365353,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,6321.69153,108,1,1,6,11,unroll_4,unroll_8,unroll_8,4.75,0.439207349274792,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59392,50,1,2,5,8,unroll_4,unroll,pipeline_1,4.0,0.8962524945056357,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10.0,8906.51329,75,1,1,4,8,unroll_2,unroll_4,unroll_8,3.5,0.24304102982945774,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,62,1,2,8,12,unroll_8,unroll_16,pipeline,5.75,0.7616764067162123,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10.0,6321.69153,106,1,1,6,11,unroll_4,unroll_2,unroll_8,4.75,0.439207349274792,False
workload_159.cpp,xczu7ev-ffvc1156-2-e,10.0,3275.66016,47,1,1,2,4,unroll_2,unroll,unroll_2,2.0,1.0,True
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,7574.82176,63,1,1,3,6,unroll_2,unroll,unroll_4,2.75,0.3436562807169738,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83968,91,1,2,15,21,unroll_16,unroll,pipeline,9.75,0.5008204400387646,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,88,1,2,15,21,unroll_16,unroll_4,pipeline_1,9.75,0.5008204400385976,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,6998.02304,74,1,1,4,8,unroll_4,unroll,unroll_4,3.5,0.39090581000695257,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,8906.51329,87,1,1,4,8,unroll_2,unroll_2,unroll_8,3.5,0.24304102982945774,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59392,51,1,2,5,8,unroll_4,unroll,pipeline,4.0,0.8962524945056357,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,60,1,2,5,7,unroll_4,unroll_16,pipeline_1,3.75,0.9164938755365353,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,4173.38049,490,1,2,16,24,unroll_8,unroll_4,unroll_16,10.75,0.3782712825682576,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,3745.4304,2125,1,1,28,38,unroll_8,unroll,unroll_32,17.0,0.17500431285029247,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,4173.38049,420,1,2,16,24,unroll_8,unroll_2,unroll_16,10.75,0.3782712825682576,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,54,1,2,5,7,unroll_4,unroll_4,pipeline_1,3.75,0.9164938755365353,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,101,1,2,15,21,unroll_16,unroll_4,pipeline,9.75,0.5008204400385976,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,6998.02305,79,1,1,4,8,unroll_4,unroll_16,unroll_4,3.5,0.39090580909973305,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,9905.28193,572,1,1,15,22,unroll_2,unroll_2,unroll_32,9.75,0.14583286198045073,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,5798.71425,795,1,1,19,28,unroll_4,unroll_8,unroll_32,12.25,0.2630669299597831,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,63,1,2,8,12,unroll_8,unroll_4,pipeline,5.75,0.7616764067162123,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,91,1,2,15,21,unroll_16,unroll_8,pipeline_1,9.75,0.5008204400385976,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10.0,4059.97249,1978,1,1,31,42,unroll_32,unroll_16,unroll_8,18.75,0.13646159267154254,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10.0,5973.04001,215,1,2,11,17,unroll_4,unroll_2,unroll_16,7.75,0.39512697067012004,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,57,1,2,5,7,unroll_4,unroll_4,pipeline,3.75,0.9164938755365353,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,9572.35905,162,1,1,8,13,unroll_2,unroll_16,unroll_16,5.75,0.19299672829011255,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10.0,4383.0752,484,1,1,17,25,unroll_16,unroll,unroll_8,11.0,0.36047369190254974,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10.0,6998.02305,70,1,1,4,7,unroll_4,unroll_4,unroll_4,3.25,0.3924210597460037,False
workload_189.cpp,xczu7ev-ffvc1156-2-e,10.0,3745.43041,1914,1,1,28,37,unroll_8,unroll_4,unroll_32,16.75,0.181076428842602,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10.0,8906.51328,84,1,1,4,8,unroll_2,unroll,unroll_8,3.5,0.24304103046987735,False
workload_191.cpp,xczu7ev-ffvc1156-2-e,10.0,4059.97249,2102,1,1,31,42,unroll_32,unroll_8,unroll_8,18.75,0.13646159267154254,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,5029.28065,184,1,1,10,15,unroll_8,unroll_8,unroll_8,6.75,0.49936913120041515,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10.0,4059.97249,2111,1,1,31,41,unroll_32,unroll_4,unroll_8,18.5,0.1407310598141838,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88064,191,1,2,29,39,unroll_32,unroll,pipeline,17.75,0.1742244002538909,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,85,1,2,15,21,unroll_16,unroll_2,pipeline_1,9.75,0.5008204400385976,False
workload_198.cpp,xczu7ev-ffvc1156-2-e,10.0,6998.02305,67,1,1,4,8,unroll_4,unroll_8,unroll_4,3.5,0.39090580909973305,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10.0,5029.28065,181,1,1,10,15,unroll_8,unroll_4,unroll_8,6.75,0.49936913120041515,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88065,190,1,2,29,39,unroll_32,unroll_2,pipeline,17.75,0.174224400253855,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88065,191,1,2,29,39,unroll_32,unroll_4,pipeline_1,17.75,0.174224400253855,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,5973.04001,210,1,2,11,17,unroll_4,unroll_4,unroll_16,7.75,0.39512697067012004,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,4059.97248,1953,1,1,31,42,unroll_32,unroll,unroll_8,18.75,0.13646159275408498,False
workload_206.cpp,xczu7ev-ffvc1156-2-e,10.0,4173.38049,436,1,2,16,24,unroll_8,unroll_8,unroll_16,10.75,0.3782712825682576,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88064,203,1,2,29,39,unroll_32,unroll,pipeline_1,17.75,0.1742244002538909,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10.0,7915.45537,348,1,1,17,27,unroll_32,unroll_16,unroll_2,11.5,0.19617931033272784,False
workload_209.cpp,xczu7ev-ffvc1156-2-e,10.0,5798.71425,932,1,1,19,28,unroll_4,unroll_16,unroll_32,12.25,0.2630669299597831,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10.0,6709.62369,112,1,1,7,11,unroll_8,unroll_4,unroll_4,5.0,0.40002951948431487,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88065,196,1,2,29,39,unroll_32,unroll_16,pipeline,17.75,0.174224400253855,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10.0,3273.55073,1410,1,2,27,36,unroll_16,unroll_2,unroll_16,16.5,0.19329584612333545,False
workload_218.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.88065,198,1,2,29,39,unroll_32,unroll_4,pipeline,17.75,0.174224400253855,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10.0,7915.45536,416,1,1,17,27,unroll_32,unroll,unroll_2,11.5,0.19617931072905037,False
workload_220.cpp,xczu7ev-ffvc1156-2-e,10.0,4173.38049,495,1,2,16,24,unroll_8,unroll_16,unroll_16,10.75,0.3782712825682576,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10.0,5798.71424,935,1,1,19,28,unroll_4,unroll,unroll_32,12.25,0.2630669303366199,False
workload_226.cpp,xczu7ev-ffvc1156-2-e,5.0,4154.371525,69,1,1,3,6,unroll_4,unroll_4,unroll_2,2.75,0.40681338749926066,False
workload_232.cpp,xczu7ev-ffvc1156-2-e,5.0,607.328325,108,1,2,17,22,unroll_16,unroll_16,pipeline,10.5,0.6284713954577232,False
workload_233.cpp,xczu7ev-ffvc1156-2-e,5.0,607.113285,48,1,2,3,5,unroll_2,unroll_4,pipeline,2.75,1.0,True
workload_234.cpp,xczu7ev-ffvc1156-2-e,5.0,607.236165,54,1,2,5,7,unroll_4,unroll_2,pipeline,3.75,0.9523715050557788,False
workload_239.cpp,xczu7ev-ffvc1156-2-e,5.0,5790.119365,216,1,1,10,15,unroll_16,unroll_2,unroll_2,6.75,0.1994988032992595,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,5.0,607.297605,69,1,2,9,12,unroll_8,unroll_16,pipeline_1,6.0,0.8358435672693773,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,5.0,4154.371525,66,1,1,3,6,unroll_4,unroll_8,unroll_2,2.75,0.40681338749926066,False
workload_245.cpp,xczu7ev-ffvc1156-2-e,5.0,1973.374405,52,1,1,2,4,unroll_2,unroll_2,unroll_2,2.0,0.8292965582895626,False
workload_249.cpp,xczu7ev-ffvc1156-2-e,5.0,607.113285,45,1,2,3,5,unroll_2,unroll_16,pipeline,2.75,1.0,True
workload_252.cpp,xczu7ev-ffvc1156-2-e,5.0,1973.374405,52,1,1,2,4,unroll_2,unroll_8,unroll_2,2.0,0.8292965582895626,False
workload_255.cpp,xczu7ev-ffvc1156-2-e,5.0,2708.299205,3216,1,2,29,38,unroll_8,unroll_2,unroll_32,17.5,0.31070923099642345,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,5.0,6812.552645,100,1,1,5,8,unroll_2,unroll_16,unroll_8,3.75,0.13499255687960965,False
workload_264.cpp,xczu7ev-ffvc1156-2-e,5.0,607.343685,190,1,2,33,40,unroll_32,unroll_16,pipeline_1,19.0,0.33020214185786245,False
workload_267.cpp,xczu7ev-ffvc1156-2-e,5.0,607.113285,46,1,2,3,5,unroll_2,unroll_2,pipeline,2.75,1.0,True
workload_268.cpp,xczu7ev-ffvc1156-2-e,5.0,607.297605,66,1,2,9,12,unroll_8,unroll_16,pipeline,6.0,0.8358435672693773,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,5.0,6199.056325,2726,1,1,35,49,unroll_64,unroll_16,unroll_2,21.5,0.10500074023376078,False
workload_278.cpp,xczu7ev-ffvc1156-2-e,5.0,1973.374405,52,1,1,2,4,unroll_2,unroll_4,unroll_2,2.0,0.8292965582895626,False
workload_280.cpp,xczu7ev-ffvc1156-2-e,5.0,4366.052805,1670,1,2,21,28,unroll_4,unroll_2,unroll_32,13.0,0.27677717349987807,False
workload_282.cpp,xczu7ev-ffvc1156-2-e,5.0,5244.870085,94,1,1,5,9,unroll_8,unroll_8,unroll_2,4.0,0.2614101619793356,False
workload_283.cpp,xczu7ev-ffvc1156-2-e,5.0,7391.890885,252,1,1,8,13,unroll_2,unroll_2,unroll_16,5.75,0.11050879576608277,False
workload_284.cpp,xczu7ev-ffvc1156-2-e,5.0,607.297605,66,1,2,9,12,unroll_8,unroll_8,pipeline_1,6.0,0.8358435672693773,False
workload_289.cpp,xczu7ev-ffvc1156-2-e,5.0,607.343685,188,1,2,33,40,unroll_32,unroll_16,pipeline,19.0,0.33020214185786245,False
workload_291.cpp,xczu7ev-ffvc1156-2-e,5.0,5790.119365,194,1,1,10,15,unroll_16,unroll_8,unroll_2,6.75,0.1994988032992595,False
workload_297.cpp,xczu7ev-ffvc1156-2-e,5.0,7391.890885,254,1,1,8,13,unroll_2,unroll_8,unroll_16,5.75,0.11050879576608277,False
workload_299.cpp,xczu7ev-ffvc1156-2-e,5.0,607.113285,46,1,2,3,5,unroll_2,unroll_8,pipeline,2.75,1.0,True
workload_301.cpp,xczu7ev-ffvc1156-2-e,5.0,607.328325,99,1,2,17,22,unroll_16,unroll_2,pipeline,10.5,0.6284713954577232,False
workload_303.cpp,xczu7ev-ffvc1156-2-e,5.0,5790.119365,193,1,1,10,15,unroll_16,unroll_16,unroll_2,6.75,0.1994988032992595,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,5.0,3052.690885,706,1,1,17,23,unroll_8,unroll_8,unroll_16,10.5,0.46226071908396027,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,5.0,607.32832,103,1,2,17,22,unroll_16,unroll,pipeline,10.5,0.6284713954578569,False
workload_306.cpp,xczu7ev-ffvc1156-2-e,5.0,2708.299205,3369,1,2,29,38,unroll_8,unroll_8,unroll_32,17.5,0.31070923099642345,False
workload_307.cpp,xczu7ev-ffvc1156-2-e,5.0,5250.133445,87,1,1,4,8,unroll_4,unroll_16,unroll_4,3.5,0.26175080022922953,False
