Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
md_kernel_49.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,41,1,15,11,10,pipeline_1,pipeline_1,9.25,1.0,True
md_kernel_50.c,xczu7ev-ffvc1156-2-e,5.0,0.617605,41,1,2,2,4,unroll_2,unroll_8,2.25,0.665227796225854,False
md_kernel_51.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,41,1,15,11,10,pipeline_1,pipeline,9.25,1.0,True
md_kernel_52.c,xczu7ev-ffvc1156-2-e,5.0,1.047205,65,1,4,3,5,unroll_8,unroll_4,3.25,0.35421069450702214,False
md_kernel_53.c,xczu7ev-ffvc1156-2-e,5.0,1.907845,27,1,4,2,3,unroll_2,unroll_2,2.5,0.10000147317854863,False
md_kernel_54.c,xczu7ev-ffvc1156-2-e,5.0,0.391845,43,1,1,4,4,unroll_8,pipeline,2.5,0.8768222777409244,False
md_kernel_55.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,44,1,15,11,10,pipeline,unroll_8,9.25,1.0,True
md_kernel_56.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,40,1,15,11,10,pipeline_1,unroll_2,9.25,1.0,True
md_kernel_57.c,xczu7ev-ffvc1156-2-e,5.0,1.907285,76,1,2,3,5,unroll_16,unroll_2,2.75,0.1000029915540935,False
md_kernel_58.c,xczu7ev-ffvc1156-2-e,5.0,0.200325,52,1,6,4,6,unroll_2,unroll,4.25,1.0,True
md_kernel_59.c,xczu7ev-ffvc1156-2-e,5.0,0.373925,42,1,1,4,3,unroll_8,pipeline_1,2.25,1.0,True
md_kernel_60.c,xczu7ev-ffvc1156-2-e,5.0,1.047365,42,1,4,2,4,unroll_4,unroll_4,2.75,0.35352360920931225,False
md_kernel_61.c,xczu7ev-ffvc1156-2-e,5.0,0.373805,105,1,1,16,12,unroll_32,pipeline_1,7.5,0.7787727418937609,False
md_kernel_62.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,44,1,15,11,10,pipeline,pipeline_1,9.25,1.0,True
md_kernel_63.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,39,1,15,11,10,pipeline_1,unroll_4,9.25,1.0,True
md_kernel_64.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,41,1,15,11,10,pipeline,unroll_4,9.25,1.0,True
md_kernel_65.c,xczu7ev-ffvc1156-2-e,5.0,1.047125,113,1,5,4,6,unroll_16,unroll_4,4.0,0.35469907814186863,False
md_kernel_66.c,xczu7ev-ffvc1156-2-e,5.0,0.026165,275,1,14,23,24,unroll_16,unroll,15.5,0.5519368678104781,False
md_kernel_67.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,43,1,15,11,10,pipeline,unroll,9.25,1.0,True
md_kernel_68.c,xczu7ev-ffvc1156-2-e,5.0,0.391725,103,1,1,16,15,unroll_32,pipeline,8.25,0.7400612608375587,False
md_kernel_69.c,xczu7ev-ffvc1156-2-e,5.0,1.047065,686,1,5,10,13,unroll_64,unroll_4,7.25,0.34426429515110735,False
md_kernel_70.c,xczu7ev-ffvc1156-2-e,5.0,0.392325,28,1,1,1,1,unroll_2,pipeline,1.0,0.8540209265075785,False
md_kernel_71.c,xczu7ev-ffvc1156-2-e,5.0,0.017925,594,1,21,39,49,unroll_32,unroll,27.5,0.19410877351938188,False
md_kernel_72.c,xczu7ev-ffvc1156-2-e,5.0,0.616985,1414,1,3,11,17,unroll_64,unroll_8,8.0,0.6185259690934914,False
md_kernel_73.c,xczu7ev-ffvc1156-2-e,5.0,0.617125,93,1,4,3,5,unroll_8,unroll_8,3.25,0.6699256028264284,False
md_kernel_74.c,xczu7ev-ffvc1156-2-e,5.0,1.047685,32,1,2,1,3,unroll_2,unroll_4,1.75,0.35147206945798126,False
md_kernel_75.c,xczu7ev-ffvc1156-2-e,5.0,0.392005,32,1,1,2,2,unroll_4,pipeline,1.5,0.8626473709989606,False
md_kernel_76.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,44,1,15,11,10,pipeline_1,unroll_8,9.25,1.0,True
md_kernel_77.c,xczu7ev-ffvc1156-2-e,5.0,1.907365,51,1,4,2,4,unroll_8,unroll_2,2.75,0.10000283216599384,False
md_kernel_78.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,42,1,15,11,10,pipeline,unroll_2,9.25,1.0,True
md_kernel_79.c,xczu7ev-ffvc1156-2-e,5.0,0.373845,58,1,1,8,6,unroll_16,pipeline_1,4.0,1.0,True
md_kernel_80.c,xczu7ev-ffvc1156-2-e,5.0,0.391765,58,1,1,8,8,unroll_16,pipeline,4.5,0.8802852916249827,False
md_kernel_81.c,xczu7ev-ffvc1156-2-e,5.0,1.907525,35,1,4,2,4,unroll_4,unroll_2,2.75,0.10000252647899617,False
md_kernel_82.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,42,1,15,11,10,pipeline_1,unroll,9.25,1.0,True
md_kernel_83.c,xczu7ev-ffvc1156-2-e,5.0,0.374405,30,1,1,1,1,unroll_2,pipeline_1,1.0,1.0,True
md_kernel_84.c,xczu7ev-ffvc1156-2-e,5.0,0.617285,60,1,2,2,4,unroll_4,unroll_8,2.25,0.6655046273039112,False
md_kernel_85.c,xczu7ev-ffvc1156-2-e,5.0,1.907245,157,1,4,6,6,unroll_32,unroll_2,4.25,0.10000507415511813,False
md_kernel_86.c,xczu7ev-ffvc1156-2-e,5.0,0.100805,84,1,8,7,9,unroll_4,unroll,6.25,1.0,True
md_kernel_87.c,xczu7ev-ffvc1156-2-e,5.0,1.047085,242,1,5,6,8,unroll_32,unroll_4,5.0,0.35387669422983936,False
md_kernel_88.c,xczu7ev-ffvc1156-2-e,5.0,0.373785,189,1,1,31,24,unroll_64,pipeline_1,14.25,0.5392130422697339,False
md_kernel_89.c,xczu7ev-ffvc1156-2-e,5.0,0.013085,39,1,15,11,10,pipeline,pipeline,9.25,1.0,True
md_kernel_90.c,xczu7ev-ffvc1156-2-e,5.0,0.051045,141,1,10,12,13,unroll_8,unroll,9.0,1.0,True
md_kernel_91.c,xczu7ev-ffvc1156-2-e,5.0,0.391705,186,1,1,31,30,unroll_64,pipeline,15.75,0.4837960745128198,False
md_kernel_92.c,xczu7ev-ffvc1156-2-e,5.0,0.617045,184,1,2,4,7,unroll_16,unroll_8,3.5,0.6706283704003727,False
md_kernel_93.c,xczu7ev-ffvc1156-2-e,5.0,0.617005,458,1,4,7,10,unroll_32,unroll_8,5.5,0.6637063137984665,False
md_kernel_94.c,xczu7ev-ffvc1156-2-e,5.0,1.907225,400,1,4,10,10,unroll_64,unroll_2,6.25,0.10000000000000003,False
md_kernel_95.c,xczu7ev-ffvc1156-2-e,5.0,0.014405,1366,1,24,46,77,unroll_64,unroll,37.0,0.1002472940518122,False
md_kernel_96.c,xczu7ev-ffvc1156-2-e,3.33,0.18371277,69,1,1,8,16,unroll_2,pipeline,6.5,0.9036072549835036,False
md_kernel_97.c,xczu7ev-ffvc1156-2-e,3.33,0.83415501,85,1,1,3,6,unroll_2,unroll_4,2.75,1.0,True
md_kernel_98.c,xczu7ev-ffvc1156-2-e,3.33,0.18349965,90,1,1,9,19,unroll_4,pipeline,7.5,0.8477524616060759,False
md_kernel_99.c,xczu7ev-ffvc1156-2-e,3.33,1.48864653,92,1,1,3,6,unroll_4,unroll_2,2.75,0.12377008620963344,False
md_kernel_100.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,97,1,2,21,29,pipeline_1,unroll_4,13.25,1.0,True
md_kernel_101.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,98,1,2,21,29,pipeline,pipeline_1,13.25,1.0,True
md_kernel_102.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,101,1,2,21,29,pipeline,unroll,13.25,1.0,True
md_kernel_103.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,101,1,2,21,29,pipeline_1,unroll,13.25,1.0,True
md_kernel_104.c,xczu7ev-ffvc1156-2-e,3.33,0.83394189,101,1,1,4,7,unroll_4,unroll_4,3.25,0.5495800636179425,False
md_kernel_105.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,104,1,2,21,29,pipeline,unroll_2,13.25,1.0,True
md_kernel_106.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,107,1,2,21,29,pipeline_1,unroll_8,13.25,1.0,True
md_kernel_107.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,107,1,2,21,29,pipeline_1,pipeline_1,13.25,1.0,True
md_kernel_108.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,108,1,2,21,29,pipeline,unroll_4,13.25,1.0,True
md_kernel_109.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,109,1,2,21,29,pipeline_1,pipeline,13.25,1.0,True
md_kernel_110.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,109,1,2,21,29,pipeline,pipeline,13.25,1.0,True
md_kernel_111.c,xczu7ev-ffvc1156-2-e,3.33,0.18339309,112,1,1,11,24,unroll_8,pipeline,9.25,0.7695927775876215,False
md_kernel_112.c,xczu7ev-ffvc1156-2-e,3.33,0.8338353300000001,149,1,1,4,7,unroll_8,unroll_4,3.25,0.549641228898775,False
md_kernel_113.c,xczu7ev-ffvc1156-2-e,3.33,1.48848669,169,1,1,7,11,unroll_16,unroll_2,5.0,0.12326867584533244,False
md_kernel_114.c,xczu7ev-ffvc1156-2-e,3.33,0.18333981,182,1,1,15,36,unroll_16,pipeline_1,13.25,0.6220061606772118,False
md_kernel_115.c,xczu7ev-ffvc1156-2-e,3.33,0.50642973,360,1,1,8,13,unroll_16,unroll_8,5.75,0.7010561697438642,False
md_kernel_116.c,xczu7ev-ffvc1156-2-e,3.33,0.8337554100000001,443,1,1,9,13,unroll_32,unroll_4,6.0,0.483627220648544,False
md_kernel_117.c,xczu7ev-ffvc1156-2-e,3.33,0.02206125,478,1,3,32,43,unroll_16,unroll,19.75,0.3857599388691655,False
md_kernel_118.c,xczu7ev-ffvc1156-2-e,3.33,1.48844673,760,1,1,11,12,unroll_64,unroll_2,6.25,0.12164149180203357,False
md_kernel_119.c,xczu7ev-ffvc1156-2-e,3.33,0.5064030900000001,838,1,1,10,16,unroll_32,unroll_8,7.0,0.6581389483307131,False
md_kernel_120.c,xczu7ev-ffvc1156-2-e,3.33,0.83374209,1236,1,1,14,18,unroll_64,unroll_4,8.5,0.41797663180076305,False
md_kernel_124.c,xczu7ev-ffvc1156-2-e,3.33,0.5063897700000001,2572,1,1,15,23,unroll_64,unroll_8,10.0,0.5423893544886751,False
md_kernel_125.c,xczu7ev-ffvc1156-2-e,3.33,1.4888596500000002,61,1,1,5,9,unroll_2,unroll_2,4.0,0.12381547697824175,False
md_kernel_126.c,xczu7ev-ffvc1156-2-e,3.33,0.18371277,62,1,1,8,16,unroll_2,pipeline_1,6.5,0.9036072549835036,False
md_kernel_127.c,xczu7ev-ffvc1156-2-e,3.33,0.18349965,67,1,1,9,19,unroll_4,pipeline_1,7.5,0.8477524616060759,False
md_kernel_128.c,xczu7ev-ffvc1156-2-e,3.33,0.50680269,80,1,1,4,7,unroll_2,unroll_8,3.25,0.7553784877807104,False
md_kernel_129.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,83,1,2,21,29,pipeline,unroll_8,13.25,1.0,True
md_kernel_130.c,xczu7ev-ffvc1156-2-e,3.33,0.0090176399999999,84,1,2,21,29,pipeline_1,unroll_2,13.25,1.0,True
md_kernel_131.c,xczu7ev-ffvc1156-2-e,3.33,0.18339309,89,1,1,11,24,unroll_8,pipeline_1,9.25,0.7695927775876215,False
md_kernel_132.c,xczu7ev-ffvc1156-2-e,3.33,1.48853997,94,1,1,6,10,unroll_8,unroll_2,4.5,0.12365326503231522,False
md_kernel_133.c,xczu7ev-ffvc1156-2-e,3.33,0.17092557,102,1,1,7,11,unroll_2,unroll,5.0,1.0,True
md_kernel_134.c,xczu7ev-ffvc1156-2-e,3.33,0.50658957,111,1,1,4,7,unroll_4,unroll_8,3.25,1.0,True
md_kernel_135.c,xczu7ev-ffvc1156-2-e,3.33,0.08567757,152,1,1,11,15,unroll_4,unroll,7.0,1.0,True
md_kernel_136.c,xczu7ev-ffvc1156-2-e,3.33,0.18333981,157,1,1,15,36,unroll_16,pipeline,13.25,0.6220061606772118,False
md_kernel_137.c,xczu7ev-ffvc1156-2-e,3.33,0.50648301,178,1,1,5,8,unroll_8,unroll_8,3.75,1.0,True
md_kernel_138.c,xczu7ev-ffvc1156-2-e,3.33,0.83378205,204,1,1,7,12,unroll_16,unroll_4,5.25,0.5024190402503848,False
md_kernel_139.c,xczu7ev-ffvc1156-2-e,3.33,0.04326669,246,1,2,17,22,unroll_8,unroll,10.5,1.0,True
md_kernel_140.c,xczu7ev-ffvc1156-2-e,3.33,1.48846005,265,1,1,7,9,unroll_32,unroll_2,4.5,0.12367295055266432,False
md_kernel_141.c,xczu7ev-ffvc1156-2-e,3.33,0.18331317,394,1,1,22,58,unroll_32,pipeline_1,20.5,0.3454824557119063,False
md_kernel_142.c,xczu7ev-ffvc1156-2-e,3.33,0.18331317,400,1,1,22,58,unroll_32,pipeline,20.5,0.3454824557119063,False
md_kernel_143.c,xczu7ev-ffvc1156-2-e,3.33,0.01265733,870,1,3,53,78,unroll_32,unroll,33.75,0.10000000000000005,False
md_kernel_144.c,xcu200-fsgd2104-2-e,10.0,0.24129,30,1,1,1,1,unroll_4,pipeline_1,1.0,0.8303162405675725,False
md_kernel_145.c,xcu200-fsgd2104-2-e,10.0,0.40577,33,1,1,1,1,unroll_2,unroll_8,1.0,0.6086019853485019,False
md_kernel_146.c,xcu200-fsgd2104-2-e,10.0,0.02419,36,1,3,1,1,pipeline_1,pipeline,1.5,1.0,True
md_kernel_147.c,xcu200-fsgd2104-2-e,10.0,0.02419,36,1,3,1,1,pipeline_1,pipeline_1,1.5,1.0,True
md_kernel_148.c,xcu200-fsgd2104-2-e,10.0,0.68129,49,1,1,1,1,unroll_8,unroll_4,1.0,0.3268308893952311,False
md_kernel_149.c,xcu200-fsgd2104-2-e,10.0,1.23521,27,1,1,1,1,unroll_2,unroll_2,1.0,0.10000000000000003,False
md_kernel_150.c,xcu200-fsgd2104-2-e,10.0,0.28961,34,1,1,1,1,unroll_8,pipeline,1.0,0.7610328258283665,False
md_kernel_151.c,xcu200-fsgd2104-2-e,10.0,0.02419,37,1,3,1,1,pipeline,unroll_8,1.5,1.0,True
md_kernel_152.c,xcu200-fsgd2104-2-e,10.0,1.23409,54,1,1,1,1,unroll_16,unroll_2,1.0,0.10000092736101686,False
md_kernel_153.c,xcu200-fsgd2104-2-e,10.0,0.02419,35,1,3,1,1,pipeline_1,unroll_2,1.5,1.0,True
md_kernel_154.c,xcu200-fsgd2104-2-e,10.0,0.13185,43,1,1,1,1,unroll_2,unroll,1.0,1.0,True
md_kernel_155.c,xcu200-fsgd2104-2-e,10.0,0.24073,76,1,1,3,3,unroll_32,pipeline_1,2.0,0.6247925381731706,False
md_kernel_156.c,xcu200-fsgd2104-2-e,10.0,0.68161,33,1,1,1,1,unroll_4,unroll_4,1.0,0.3265688843499055,False
md_kernel_157.c,xcu200-fsgd2104-2-e,10.0,0.24097,40,1,1,1,1,unroll_8,pipeline_1,1.0,0.830786577851225,False
md_kernel_158.c,xcu200-fsgd2104-2-e,10.0,0.02419,37,1,3,1,1,pipeline,pipeline_1,1.5,1.0,True
md_kernel_159.c,xcu200-fsgd2104-2-e,10.0,0.02419,37,1,3,1,1,pipeline_1,unroll_4,1.5,1.0,True
md_kernel_160.c,xcu200-fsgd2104-2-e,10.0,0.02419,36,1,3,1,1,pipeline,unroll_4,1.5,1.0,True
md_kernel_161.c,xcu200-fsgd2104-2-e,10.0,0.03073,187,1,4,3,5,unroll_16,unroll,3.25,0.5445725994567152,False
md_kernel_162.c,xcu200-fsgd2104-2-e,10.0,0.68113,68,1,1,1,1,unroll_16,unroll_4,1.0,0.3269619486944848,False
md_kernel_163.c,xcu200-fsgd2104-2-e,10.0,0.02419,38,1,3,1,1,pipeline,unroll,1.5,1.0,True
md_kernel_164.c,xcu200-fsgd2104-2-e,10.0,0.28937,73,1,1,3,2,unroll_32,pipeline,1.75,0.6222093991734146,False
md_kernel_165.c,xcu200-fsgd2104-2-e,10.0,0.68101,293,1,1,1,2,unroll_64,unroll_4,1.25,0.3233046065661789,False
md_kernel_166.c,xcu200-fsgd2104-2-e,10.0,0.29057,27,1,1,1,1,unroll_2,pipeline,1.0,0.7596913085249323,False
md_kernel_167.c,xcu200-fsgd2104-2-e,10.0,0.02625,406,1,4,4,7,unroll_32,unroll,4.0,0.43338869287940096,False
md_kernel_168.c,xcu200-fsgd2104-2-e,10.0,0.40453,552,1,1,1,3,unroll_64,unroll_8,1.5,0.5680575150213364,False
md_kernel_169.c,xcu200-fsgd2104-2-e,10.0,0.40481,61,1,1,1,1,unroll_8,unroll_8,1.0,0.609779986069528,False
md_kernel_170.c,xcu200-fsgd2104-2-e,10.0,1.23457,30,1,1,1,1,unroll_4,unroll_2,1.0,0.10000030281421662,False
md_kernel_171.c,xcu200-fsgd2104-2-e,10.0,0.02419,39,1,3,1,1,pipeline_1,unroll,1.5,1.0,True
md_kernel_172.c,xcu200-fsgd2104-2-e,10.0,1.23425,39,1,1,1,1,unroll_8,unroll_2,1.0,0.10000068132768937,False
md_kernel_173.c,xcu200-fsgd2104-2-e,10.0,0.24081,48,1,1,1,2,unroll_16,pipeline_1,1.25,0.8001466090106891,False
md_kernel_174.c,xcu200-fsgd2104-2-e,10.0,0.06721,60,1,2,1,1,unroll_4,unroll,1.25,1.0,True
md_kernel_175.c,xcu200-fsgd2104-2-e,10.0,0.68225,31,1,1,1,1,unroll_2,unroll_4,1.0,0.32604532847198364,False
md_kernel_176.c,xcu200-fsgd2104-2-e,10.0,0.02419,39,1,3,1,1,pipeline_1,unroll_8,1.5,1.0,True
md_kernel_177.c,xcu200-fsgd2104-2-e,10.0,0.02419,38,1,3,1,1,pipeline,pipeline,1.5,1.0,True
md_kernel_178.c,xcu200-fsgd2104-2-e,10.0,0.28993,26,1,1,1,1,unroll_4,pipeline,1.0,0.7605855019896456,False
md_kernel_179.c,xcu200-fsgd2104-2-e,10.0,0.24193,28,1,1,1,1,unroll_2,pipeline_1,1.0,0.8293760202129964,False
md_kernel_180.c,xcu200-fsgd2104-2-e,10.0,1.23401,80,1,1,1,1,unroll_32,unroll_2,1.0,0.10000106457182839,False
md_kernel_181.c,xcu200-fsgd2104-2-e,10.0,0.40513,46,1,1,1,1,unroll_4,unroll_8,1.0,0.6093871677582763,False
md_kernel_182.c,xcu200-fsgd2104-2-e,10.0,0.03969,100,1,4,2,3,unroll_8,unroll,2.5,0.6685151035231212,False
md_kernel_183.c,xcu200-fsgd2104-2-e,10.0,0.68105,127,1,1,1,1,unroll_32,unroll_4,1.0,0.3270274925382596,False
md_kernel_184.c,xcu200-fsgd2104-2-e,10.0,0.40465,118,1,1,1,1,unroll_16,unroll_8,1.0,0.6099764520017451,False
md_kernel_185.c,xcu200-fsgd2104-2-e,10.0,1.23397,167,1,1,1,1,unroll_64,unroll_2,1.0,0.10000113672577109,False
md_kernel_186.c,xcu200-fsgd2104-2-e,10.0,0.28945,48,1,1,1,1,unroll_16,pipeline,1.0,0.7612565445243181,False
md_kernel_187.c,xcu200-fsgd2104-2-e,10.0,0.02419,34,1,3,1,1,pipeline,unroll_2,1.5,1.0,True
md_kernel_188.c,xcu200-fsgd2104-2-e,10.0,0.24069,143,1,1,6,6,unroll_64,pipeline_1,3.5,0.3978083277564253,False
md_kernel_189.c,xcu200-fsgd2104-2-e,10.0,0.28933,125,1,1,6,4,unroll_64,pipeline,3.0,0.4369217902751754,False
md_kernel_190.c,xcu200-fsgd2104-2-e,10.0,0.40457,227,1,1,1,2,unroll_32,unroll_8,1.25,0.5988954891577861,False
md_kernel_191.c,xcu200-fsgd2104-2-e,10.0,0.02401,891,1,5,4,11,unroll_64,unroll,5.25,1.0,True
md_kernel_192.c,xcu200-fsgd2104-2-e,5.0,0.012335,33,1,3,1,1,pipeline_1,pipeline,1.5,1.0,True
md_kernel_193.c,xcu200-fsgd2104-2-e,5.0,0.012335,33,1,3,1,1,pipeline_1,pipeline_1,1.5,1.0,True
