Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
gemm_34.c,xczu7ev-ffvc1156-2-e,10.0,14.29833,848,1,1,5,15,unroll_8,unroll_16,unroll_16,5.5,0.31421975683469994,False
gemm_36.c,xczu7ev-ffvc1156-2-e,10.0,22.32521,158,1,1,6,14,unroll_8,unroll_32,unroll_2,5.5,0.10371197731404298,False
gemm_39.c,xczu7ev-ffvc1156-2-e,10.0,17.73921,43,1,1,1,3,unroll_2,unroll_16,unroll_4,1.5,0.18858544559855367,False
gemm_40.c,xczu7ev-ffvc1156-2-e,10.0,8.31825,60,1,1,4,7,unroll_4,unroll_16,pipeline_1,3.25,0.6714271220319643,False
gemm_44.c,xczu7ev-ffvc1156-2-e,10.0,15.44521,275,1,1,4,12,unroll_8,unroll_16,unroll_8,4.5,0.26835361823906057,False
gemm_45.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,88,1,1,23,18,unroll_8,pipeline_1,unroll_32,10.75,0.8077827224418789,False
gemm_46.c,xczu7ev-ffvc1156-2-e,10.0,22.32529,79,1,1,3,7,unroll_4,unroll_32,unroll_2,3.0,0.10424053193819495,False
gemm_51.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,57,1,1,12,9,unroll_4,pipeline,unroll_32,5.75,0.9288019279281817,False
gemm_52.c,xczu7ev-ffvc1156-2-e,10.0,8.32097,34,1,1,1,2,unroll_2,unroll_8,pipeline_1,1.25,1.0,True
gemm_55.c,xczu7ev-ffvc1156-2-e,10.0,15.44529,122,1,1,2,9,unroll_4,unroll_16,unroll_8,3.25,0.27094879097613905,False
gemm_57.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,51,1,1,12,9,unroll_4,pipeline,unroll_16,5.75,0.9288019279281817,False
gemm_58.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,36,1,1,6,5,unroll_2,pipeline,unroll_8,3.25,1.0,True
gemm_59.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,54,1,1,12,9,unroll_4,pipeline,unroll,5.75,0.9288019279281817,False
gemm_60.c,xczu7ev-ffvc1156-2-e,10.0,15.44209,1042,1,1,7,29,unroll_4,unroll,unroll_8,9.5,0.2409558920449906,False
gemm_61.c,xczu7ev-ffvc1156-2-e,10.0,1.37041,811,1,2,7,21,unroll_4,unroll_16,unroll,7.75,0.8854066058040763,False
gemm_62.c,xczu7ev-ffvc1156-2-e,10.0,10.93665,129,1,1,7,12,unroll_2,unroll,pipeline,5.25,0.4921632534024236,False
gemm_63.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,41,1,1,6,5,unroll_2,pipeline,unroll_16,3.25,1.0,True
gemm_67.c,xczu7ev-ffvc1156-2-e,10.0,10.93957,334,1,1,15,23,unroll_16,unroll_16,pipeline,10.0,0.41462529019793437,False
gemm_68.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,78,1,1,23,18,unroll_8,pipeline,pipeline_1,10.75,0.8077827224418789,False
gemm_71.c,xczu7ev-ffvc1156-2-e,10.0,10.93833,371,1,1,15,23,unroll_8,unroll_32,pipeline,10.0,0.4146760394782958,False
gemm_72.c,xczu7ev-ffvc1156-2-e,10.0,10.95744,141,1,1,8,13,unroll,unroll_2,pipeline,5.75,0.48465716140016046,False
gemm_79.c,xczu7ev-ffvc1156-2-e,10.0,15.46337,27,1,1,1,1,unroll_2,unroll_2,unroll_8,1.0,0.27020517904684616,False
gemm_80.c,xczu7ev-ffvc1156-2-e,10.0,10.94753,27,1,1,1,1,unroll_2,unroll_4,pipeline,1.0,0.5109417175181684,False
gemm_81.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,39,1,1,6,5,unroll_2,pipeline_1,unroll_16,3.25,1.0,True
gemm_82.c,xczu7ev-ffvc1156-2-e,10.0,14.29841,246,1,1,2,10,unroll_4,unroll_16,unroll_16,3.5,0.3217560626411966,False
gemm_83.c,xczu7ev-ffvc1156-2-e,10.0,17.75689,32,1,1,1,2,unroll_8,unroll_2,unroll_4,1.25,0.18796941890677252,False
gemm_84.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,82,1,1,23,18,unroll_8,pipeline_1,pipeline,10.75,0.8077827224418789,False
gemm_85.c,xczu7ev-ffvc1156-2-e,10.0,17.73905,65,1,1,1,6,unroll_4,unroll_16,unroll_4,2.25,0.18875595559359667,False
gemm_86.c,xczu7ev-ffvc1156-2-e,10.0,17.73777,128,1,1,3,10,unroll_4,unroll_32,unroll_4,3.75,0.18801864521837652,False
gemm_87.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,54,1,1,12,9,unroll_4,pipeline,pipeline,5.75,0.9288019279281817,False
gemm_88.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,84,1,1,23,18,unroll_8,pipeline,unroll_16,10.75,0.8077827224418789,False
gemm_89.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,58,1,1,12,9,unroll_4,pipeline_1,unroll,5.75,0.9288019279281817,False
gemm_90.c,xczu7ev-ffvc1156-2-e,10.0,15.46321,34,1,1,1,2,unroll_4,unroll_2,unroll_8,1.25,0.270418350775537,False
gemm_91.c,xczu7ev-ffvc1156-2-e,10.0,13.72497,856,1,1,3,13,unroll_4,unroll_16,unroll_32,4.5,0.3463434311133907,False
gemm_92.c,xczu7ev-ffvc1156-2-e,10.0,14.29713,912,1,1,5,15,unroll_4,unroll_32,unroll_16,5.5,0.3142744965201391,False
gemm_93.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,37,1,1,6,5,unroll_2,pipeline_1,pipeline,3.25,1.0,True
gemm_94.c,xczu7ev-ffvc1156-2-e,10.0,22.34432,93,1,1,3,10,unroll,unroll_2,unroll_2,3.75,0.10402909639273851,False
gemm_95.c,xczu7ev-ffvc1156-2-e,10.0,10.93857,61,1,1,4,5,unroll_2,unroll_32,pipeline,2.75,0.5118989134335266,False
gemm_96.c,xczu7ev-ffvc1156-2-e,10.0,8.31813,333,1,1,19,29,unroll_16,unroll_16,pipeline_1,12.5,0.44671305531724004,False
gemm_97.c,xczu7ev-ffvc1156-2-e,10.0,8.31689,319,1,1,19,29,unroll_8,unroll_32,pipeline_1,12.5,0.44674913541827466,False
gemm_98.c,xczu7ev-ffvc1156-2-e,10.0,15.44225,294,1,1,3,17,unroll_2,unroll,unroll_8,5.5,0.2650213711526921,False
gemm_99.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,101,1,1,23,18,unroll_8,pipeline_1,unroll,10.75,0.8077827224418789,False
gemm_100.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,162,1,1,46,35,unroll_16,pipeline_1,unroll_32,20.75,0.4335225361214804,False
gemm_101.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,55,1,1,12,9,unroll_4,pipeline,unroll_8,5.75,0.9288019279281817,False
gemm_102.c,xczu7ev-ffvc1156-2-e,10.0,22.32545,48,1,1,1,4,unroll_2,unroll_32,unroll_2,1.75,0.10424846888556263,False
gemm_103.c,xczu7ev-ffvc1156-2-e,10.0,17.73893,357,1,1,6,15,unroll_16,unroll_16,unroll_4,5.75,0.1844364503877911,False
gemm_104.c,xczu7ev-ffvc1156-2-e,10.0,14.31649,34,1,1,1,2,unroll_2,unroll_2,unroll_16,1.25,0.321746530135205,False
gemm_105.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,58,1,1,12,9,unroll_4,pipeline_1,unroll_2,5.75,0.9288019279281817,False
gemm_106.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,80,1,1,23,18,unroll_8,pipeline,pipeline,10.75,0.8077827224418789,False
gemm_107.c,xczu7ev-ffvc1156-2-e,10.0,13.74289,65,1,1,1,5,unroll_4,unroll_2,unroll_32,2.0,0.35049125151496263,False
gemm_109.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,42,1,1,6,5,unroll_2,pipeline_1,unroll_2,3.25,1.0,True
gemm_110.c,xczu7ev-ffvc1156-2-e,10.0,22.32649,77,1,1,3,8,unroll_8,unroll_16,unroll_2,3.25,0.10421035312161357,False
gemm_111.c,xczu7ev-ffvc1156-2-e,10.0,15.44401,300,1,1,3,12,unroll_4,unroll_32,unroll_8,4.25,0.2690789793841042,False
gemm_112.c,xczu7ev-ffvc1156-2-e,10.0,10.9472,354,1,1,16,25,unroll,unroll_4,pipeline,10.75,0.40002757913115217,False
gemm_115.c,xczu7ev-ffvc1156-2-e,10.0,8.32069,118,1,1,9,15,unroll_16,unroll_8,pipeline_1,6.5,0.5986326948449693,False
gemm_116.c,xczu7ev-ffvc1156-2-e,10.0,13.72489,3532,1,1,7,21,unroll_8,unroll_16,unroll_32,7.5,0.3259302948207081,False
gemm_117.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,48,1,1,12,9,unroll_4,pipeline,pipeline_1,5.75,0.9288019279281817,False
gemm_118.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,37,1,1,6,5,unroll_2,pipeline,pipeline,3.25,1.0,True
gemm_119.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,37,1,1,6,5,unroll_2,pipeline_1,pipeline_1,3.25,1.0,True
gemm_120.c,xczu7ev-ffvc1156-2-e,10.0,8.33617,25,1,1,1,1,unroll_4,unroll_2,pipeline_1,1.0,0.6972088604886542,False
gemm_121.c,xczu7ev-ffvc1156-2-e,10.0,8.31713,62,1,1,4,7,unroll_2,unroll_32,pipeline_1,3.25,0.6714773420465098,False
gemm_122.c,xczu7ev-ffvc1156-2-e,10.0,22.32673,34,1,1,1,3,unroll_2,unroll_16,unroll_2,1.5,0.10423191659643877,False
gemm_123.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,56,1,1,12,9,unroll_4,pipeline_1,unroll_8,5.75,0.9288019279281817,False
gemm_124.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,89,1,1,23,18,unroll_8,pipeline_1,unroll_8,10.75,0.8077827224418789,False
gemm_125.c,xczu7ev-ffvc1156-2-e,10.0,1.73137,271,1,1,5,15,unroll_4,unroll_8,unroll,5.5,0.9246269848204772,False
gemm_126.c,xczu7ev-ffvc1156-2-e,10.0,10.94729,38,1,1,2,3,unroll_8,unroll_4,pipeline,1.75,0.5121278870737752,False
gemm_127.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,353,1,1,92,65,unroll_32,pipeline_1,unroll_16,39.75,0.10305529090531433,False
gemm_128.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,52,1,1,12,9,unroll_4,pipeline_1,unroll_16,5.75,0.9288019279281817,False
gemm_129.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,40,1,1,6,5,unroll_2,pipeline_1,unroll,3.25,1.0,True
gemm_130.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,55,1,1,12,9,unroll_4,pipeline,unroll_2,5.75,0.9288019279281817,False
gemm_131.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,43,1,1,6,5,unroll_2,pipeline,unroll_32,3.25,1.0,True
gemm_132.c,xczu7ev-ffvc1156-2-e,10.0,1.37057,311,1,2,4,14,unroll_2,unroll_16,unroll,5.25,1.0,True
gemm_133.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,78,1,1,23,18,unroll_8,pipeline,unroll_8,10.75,0.8077827224418789,False
gemm_134.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,38,1,1,6,5,unroll_2,pipeline,unroll_4,3.25,1.0,True
gemm_135.c,xczu7ev-ffvc1156-2-e,10.0,10.94213,131,1,1,8,12,unroll_16,unroll_8,pipeline,5.5,0.48875609656541863,False
gemm_136.c,xczu7ev-ffvc1156-2-e,10.0,8.31521,127,1,1,9,15,unroll_2,unroll,pipeline_1,6.5,0.5988559756499445,False
gemm_137.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,97,1,1,23,18,unroll_8,pipeline,unroll,10.75,0.8077827224418789,False
gemm_138.c,xczu7ev-ffvc1156-2-e,10.0,14.30085,827,1,1,5,16,unroll_16,unroll_8,unroll_16,5.75,0.31273560601140116,False
gemm_139.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,36,1,1,6,5,unroll_2,pipeline,pipeline_1,3.25,1.0,True
gemm_140.c,xczu7ev-ffvc1156-2-e,10.0,22.32643,478,1,1,12,22,unroll_32,unroll_16,unroll_2,9.0,0.10210662301017191,False
gemm_141.c,xczu7ev-ffvc1156-2-e,10.0,8.31697,113,1,1,9,14,unroll_4,unroll_32,pipeline_1,6.25,0.6047589089081135,False
gemm_142.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,292,1,1,92,65,unroll_32,pipeline,pipeline_1,39.75,0.10305529090531433,False
gemm_144.c,xczu7ev-ffvc1156-2-e,10.0,8.32073,63,1,1,4,7,unroll_8,unroll_8,pipeline_1,3.25,0.6713159284241182,False
gemm_147.c,xczu7ev-ffvc1156-2-e,10.0,1.73129,811,1,1,10,23,unroll_8,unroll_8,unroll,8.75,0.8452208354703442,False
gemm_150.c,xczu7ev-ffvc1156-2-e,10.0,15.44773,273,1,1,4,12,unroll_16,unroll_8,unroll_8,4.5,0.2682498793947209,False
gemm_151.c,xczu7ev-ffvc1156-2-e,10.0,8.32081,40,1,1,2,4,unroll_4,unroll_8,pipeline_1,2.0,0.6958788408167419,False
gemm_152.c,xczu7ev-ffvc1156-2-e,10.0,6.73889,50,1,1,2,5,unroll_2,unroll_2,unroll,2.25,1.0,True
gemm_153.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,90,1,1,23,18,unroll_8,pipeline_1,unroll_16,10.75,0.8077827224418789,False
gemm_154.c,xczu7ev-ffvc1156-2-e,10.0,14.29857,108,1,1,1,8,unroll_2,unroll_16,unroll_16,2.75,0.32289789665615254,False
gemm_155.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,40,1,1,6,5,unroll_2,pipeline,unroll,3.25,1.0,True
gemm_156.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,38,1,1,6,5,unroll_2,pipeline_1,unroll_8,3.25,1.0,True
gemm_157.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,165,1,1,46,35,unroll_16,pipeline,unroll_32,20.75,0.4335225361214804,False
gemm_158.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,166,1,1,46,35,unroll_16,pipeline_1,unroll_16,20.75,0.4335225361214804,False
gemm_159.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,44,1,1,6,5,unroll_2,pipeline_1,unroll_32,3.25,1.0,True
gemm_160.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,333,1,1,92,65,unroll_32,pipeline_1,unroll_8,39.75,0.10305529090531433,False
gemm_161.c,xczu7ev-ffvc1156-2-e,10.0,8.31505,330,1,1,19,31,unroll_4,unroll,pipeline_1,13.0,0.43405712048300715,False
gemm_162.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,337,1,1,92,65,unroll_32,pipeline_1,pipeline_1,39.75,0.10305529090531433,False
gemm_163.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,89,1,1,23,18,unroll_8,pipeline,unroll_4,10.75,0.8077827224418789,False
gemm_164.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,162,1,1,46,35,unroll_16,pipeline_1,unroll,20.75,0.4335225361214804,False
gemm_165.c,xczu7ev-ffvc1156-2-e,10.0,10.95753,30,1,1,1,2,unroll_8,unroll_2,pipeline,1.25,0.5107220845872618,False
gemm_167.c,xczu7ev-ffvc1156-2-e,10.0,8.32064,1153,1,1,38,59,unroll,unroll_8,pipeline_1,24.75,0.22265026865816628,False
gemm_168.c,xczu7ev-ffvc1156-2-e,10.0,14.31633,43,1,1,1,3,unroll_4,unroll_2,unroll_16,1.5,0.3219045426990358,False
gemm_169.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,86,1,1,23,18,unroll_8,pipeline_1,pipeline_1,10.75,0.8077827224418789,False
gemm_171.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,76,1,1,23,18,unroll_8,pipeline,unroll_2,10.75,0.8077827224418789,False
gemm_172.c,xczu7ev-ffvc1156-2-e,10.0,1.73153,124,1,1,3,10,unroll_2,unroll_8,unroll,3.75,0.9718974449298008,False
gemm_173.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,298,1,1,92,65,unroll_32,pipeline_1,unroll_2,39.75,0.10305529090531433,False
gemm_174.c,xczu7ev-ffvc1156-2-e,10.0,1.37033,2619,1,3,13,35,unroll_8,unroll_16,unroll,13.0,0.7249902794446954,False
gemm_176.c,xczu7ev-ffvc1156-2-e,10.0,22.32913,35,1,1,1,3,unroll_4,unroll_8,unroll_2,1.5,0.10421609752543022,False
gemm_177.c,xczu7ev-ffvc1156-2-e,10.0,8.31817,113,1,1,9,15,unroll_8,unroll_16,pipeline_1,6.5,0.5987353664093786,False
gemm_178.c,xczu7ev-ffvc1156-2-e,10.0,6.73873,77,1,1,5,8,unroll_4,unroll_2,unroll,3.75,0.7330997832983835,False
gemm_179.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,301,1,1,92,65,unroll_32,pipeline,unroll_8,39.75,0.10305529090531433,False
gemm_180.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,328,1,1,92,65,unroll_32,pipeline,unroll_2,39.75,0.10305529090531433,False
gemm_181.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,285,1,1,92,65,unroll_32,pipeline,pipeline,39.75,0.10305529090531433,False
gemm_182.c,xczu7ev-ffvc1156-2-e,10.0,10.94241,30,1,1,1,1,unroll_2,unroll_8,pipeline,1.0,0.5112734769009417,False
gemm_183.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,322,1,1,92,65,unroll_32,pipeline,unroll_32,39.75,0.10305529090531433,False
gemm_184.c,xczu7ev-ffvc1156-2-e,10.0,10.93985,37,1,1,2,3,unroll_2,unroll_16,pipeline,1.75,0.5126118099400203,False
gemm_185.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,137,1,1,46,35,unroll_16,pipeline,pipeline_1,20.75,0.4335225361214804,False
gemm_186.c,xczu7ev-ffvc1156-2-e,10.0,22.34465,24,1,1,1,1,unroll_2,unroll_2,unroll_2,1.0,0.10407730554474406,False
gemm_187.c,xczu7ev-ffvc1156-2-e,10.0,22.32353,79,1,1,3,9,unroll_2,unroll,unroll_2,3.5,0.10420040645723647,False
gemm_188.c,xczu7ev-ffvc1156-2-e,10.0,1.35137,856,1,3,5,20,unroll_2,unroll_32,unroll,7.25,1.0,True
gemm_189.c,xczu7ev-ffvc1156-2-e,10.0,10.93641,1264,1,1,30,48,unroll_8,unroll,pipeline,20.0,0.22777823929185223,False
gemm_191.c,xczu7ev-ffvc1156-2-e,10.0,8.31685,1122,1,1,38,57,unroll_16,unroll_32,pipeline_1,24.25,0.2304503407261445,False
gemm_193.c,xczu7ev-ffvc1156-2-e,10.0,17.74153,66,1,1,1,6,unroll_8,unroll_8,unroll_4,2.25,0.18868103152302163,False
gemm_195.c,xczu7ev-ffvc1156-2-e,10.0,22.34449,26,1,1,1,1,unroll_4,unroll_2,unroll_2,1.0,0.10407834148885299,False
gemm_196.c,xczu7ev-ffvc1156-2-e,10.0,22.32929,29,1,1,1,1,unroll_2,unroll_8,unroll_2,1.0,0.10417735615491625,False
gemm_197.c,xczu7ev-ffvc1156-2-e,10.0,3.40049,141,1,1,5,12,unroll_4,unroll_4,unroll,4.75,0.8616956784844794,False
gemm_198.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,39,1,1,6,5,unroll_2,pipeline_1,unroll_4,3.25,1.0,True
gemm_199.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,312,1,1,92,65,unroll_32,pipeline,unroll_16,39.75,0.10305529090531433,False
gemm_200.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,343,1,1,92,65,unroll_32,pipeline_1,unroll_32,39.75,0.10305529090531433,False
gemm_201.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,149,1,1,46,35,unroll_16,pipeline,unroll_8,20.75,0.4335225361214804,False
gemm_202.c,xczu7ev-ffvc1156-2-e,10.0,13.74281,106,1,1,1,9,unroll_8,unroll_2,unroll_32,3.0,0.3499262533477395,False
gemm_203.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,152,1,1,46,35,unroll_16,pipeline_1,pipeline,20.75,0.4335225361214804,False
gemm_204.c,xczu7ev-ffvc1156-2-e,10.0,22.34435,51,1,1,1,5,unroll_32,unroll_2,unroll_2,2.0,0.10413225981028137,False
gemm_205.c,xczu7ev-ffvc1156-2-e,10.0,22.34441,30,1,1,1,2,unroll_8,unroll_2,unroll_2,1.25,0.10410099764794929,False
gemm_206.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,340,1,1,92,65,unroll_32,pipeline,unroll,39.75,0.10305529090531433,False
gemm_211.c,xczu7ev-ffvc1156-2-e,10.0,8.33633,23,1,1,1,1,unroll_2,unroll_2,pipeline_1,1.0,0.6971964110877283,False
gemm_212.c,xczu7ev-ffvc1156-2-e,10.0,8.32609,28,1,1,1,1,unroll_2,unroll_4,pipeline_1,1.0,1.0,True
gemm_213.c,xczu7ev-ffvc1156-2-e,10.0,8.33605,41,1,1,2,4,unroll_16,unroll_2,pipeline_1,2.0,0.6951841725846258,False
gemm_214.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,82,1,1,23,18,unroll_8,pipeline_1,unroll_2,10.75,0.8077827224418789,False
gemm_215.c,xczu7ev-ffvc1156-2-e,10.0,10.93969,66,1,1,4,5,unroll_4,unroll_16,pipeline,2.75,0.511826743335978,False
gemm_216.c,xczu7ev-ffvc1156-2-e,10.0,10.95777,30,1,1,1,1,unroll_2,unroll_2,pipeline,1.0,0.5102785959213814,False
gemm_217.c,xczu7ev-ffvc1156-2-e,10.0,8.32593,36,1,1,1,2,unroll_4,unroll_4,pipeline_1,1.25,0.6986917966306858,False
gemm_218.c,xczu7ev-ffvc1156-2-e,10.0,15.44545,69,1,1,1,5,unroll_2,unroll_16,unroll_8,2.0,0.27153914784449473,False
gemm_220.c,xczu7ev-ffvc1156-2-e,10.0,1.35121,2758,1,3,9,32,unroll_4,unroll_32,unroll,11.25,1.0,True
gemm_222.c,xczu7ev-ffvc1156-2-e,10.0,22.32337,201,1,1,5,17,unroll_4,unroll,unroll_2,6.0,0.10354280717472782,False
gemm_223.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,388,1,1,92,65,unroll_32,pipeline_1,unroll,39.75,0.10305529090531433,False
gemm_224.c,xczu7ev-ffvc1156-2-e,10.0,8.32581,71,1,1,5,7,unroll_16,unroll_4,pipeline_1,3.5,0.6659296013787659,False
gemm_225.c,xczu7ev-ffvc1156-2-e,10.0,14.30097,124,1,1,1,8,unroll_4,unroll_8,unroll_16,2.75,0.3227831746688407,False
gemm_230.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,155,1,1,46,35,unroll_16,pipeline_1,unroll_8,20.75,0.4335225361214804,False
gemm_232.c,xczu7ev-ffvc1156-2-e,10.0,15.44785,67,1,1,1,5,unroll_4,unroll_8,unroll_8,2.0,0.27143836030415136,False
gemm_233.c,xczu7ev-ffvc1156-2-e,10.0,3.40065,81,1,1,3,7,unroll_2,unroll_4,unroll,3.0,1.0,True
gemm_234.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,327,1,1,92,65,unroll_32,pipeline,unroll_4,39.75,0.10305529090531433,False
gemm_235.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,347,1,1,92,65,unroll_32,pipeline_1,pipeline,39.75,0.10305529090531433,False
gemm_236.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,164,1,1,46,35,unroll_16,pipeline,unroll_2,20.75,0.4335225361214804,False
gemm_237.c,xczu7ev-ffvc1156-2-e,10.0,6.73859,2034,1,1,34,32,unroll_32,unroll_2,unroll,17.0,0.41368614754825395,False
gemm_242.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,154,1,1,46,35,unroll_16,pipeline,pipeline,20.75,0.4335225361214804,False
gemm_243.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,157,1,1,46,35,unroll_16,pipeline,unroll_4,20.75,0.4335225361214804,False
gemm_244.c,xczu7ev-ffvc1156-2-e,10.0,22.32899,187,1,1,6,14,unroll_32,unroll_8,unroll_2,5.5,0.10368878414837863,False
gemm_245.c,xczu7ev-ffvc1156-2-e,10.0,10.94225,43,1,1,2,3,unroll_4,unroll_8,pipeline,1.75,0.512455674919257,False
gemm_246.c,xczu7ev-ffvc1156-2-e,10.0,1.52069,343,1,1,92,65,unroll_32,pipeline_1,unroll_4,39.75,0.10305529090531433,False
gemm_247.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,162,1,1,46,35,unroll_16,pipeline,unroll_16,20.75,0.4335225361214804,False
