Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
workload_299.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.11025,183,61,1,27,27,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,29.0,0.6030872645591223,False
workload_300.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88129,566,63,1,28,40,block_2_1,block_8_1,block_32_1,unroll_16,unroll_4,pipeline_1,unroll,unroll_2,33.0,0.5137780366787952,False
workload_301.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,228,66,7,31,39,block_4_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,35.75,0.45750872124349384,False
workload_302.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63593,510,63,1,26,41,block_2_1,block_32_1,cyclic_16_1,unroll,unroll_4,pipeline_1,unroll_4,unroll_2,32.75,0.5191109129249264,False
workload_303.cpp,xczu7ev-ffvc1156-2-e,10.0,3243.82377,693,32,1,7,37,cyclic_4_1,block_4_1,cyclic_16_1,unroll,unroll_4,unroll_4,unroll_2,unroll,19.25,0.7684577977442651,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.44617,317,92,1,7,30,cyclic_16_1,cyclic_16_1,block_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,32.5,0.523900614724417,False
workload_306.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.30889,402,73,1,3,25,cyclic_2_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,25.5,0.688162765754608,False
workload_308.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,272,66,7,32,38,block_4_1,block_8_1,block_2_1,unroll_16,unroll_4,pipeline_1,unroll,unroll_2,35.75,0.45750872124349384,False
workload_309.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88297,214,63,1,27,31,block_2_1,block_8_1,cyclic_16_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,30.5,0.5685235819467861,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10.0,1880.02465,237,67,7,31,37,block_4_1,block_8_1,cyclic_16_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,35.5,0.46242365834349997,False
workload_312.cpp,xczu7ev-ffvc1156-2-e,10.0,5759.76545,323,31,1,4,18,cyclic_2_1,block_32_1,block_4_1,unroll_32,unroll_2,unroll_2,unroll,unroll_4,13.5,0.6323060089189515,False
workload_313.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.67473,174,91,1,5,19,cyclic_16_1,block_2_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,29.0,0.6029982095323154,False
workload_314.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63593,413,63,1,26,35,block_2_1,block_32_1,block_8_1,unroll,unroll_4,pipeline_1,unroll_4,unroll_2,31.25,0.5517568268153149,False
workload_315.cpp,xczu7ev-ffvc1156-2-e,10.0,10650.06249,1327,31,76,46,73,block_4_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll,56.5,0.10344754530620401,False
workload_316.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.86385,361,62,1,24,29,block_2_1,block_32_1,block_2_1,unroll,unroll_2,pipeline_1,unroll_4,unroll_2,29.0,0.6030770641642041,False
workload_318.cpp,xczu7ev-ffvc1156-2-e,10.0,4205.32553,130,35,1,3,13,cyclic_8_1,block_8_1,cyclic_16_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,13.0,0.7760118609879649,False
workload_319.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.11081,193,62,1,27,29,block_2_1,block_8_1,block_2_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,29.75,0.585688311382367,False
workload_320.cpp,xczu7ev-ffvc1156-2-e,10.0,6936.80305,226,30,1,3,11,cyclic_4_1,block_2_1,block_2_1,unroll_16,unroll_2,unroll_4,unroll_2,unroll,11.25,0.541369898523579,False
workload_321.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.10961,193,61,1,27,28,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,29.25,0.5972536445503105,False
workload_322.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67777,323,62,1,9,31,cyclic_2_1,block_32_1,block_2_1,unroll_32,unroll_2,pipeline,unroll,unroll_4,25.75,0.6819998552942689,False
workload_323.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.69521,262,76,1,8,26,cyclic_8_1,block_8_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_2,unroll_2,27.75,0.6326522189421175,False
workload_324.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.38801,85,91,1,2,8,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,25.5,0.6881418518212935,False
workload_326.cpp,xczu7ev-ffvc1156-2-e,10.0,11504.65361,1153,32,76,44,63,block_4_1,block_8_1,cyclic_8_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll_2,53.75,0.10330749112960606,False
workload_327.cpp,xczu7ev-ffvc1156-2-e,10.0,4406.43073,727,34,1,10,42,cyclic_8_1,block_32_1,block_2_1,unroll,unroll_2,unroll_4,unroll,unroll,21.75,0.645542487684342,False
workload_328.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.65793,193,66,1,5,20,cyclic_4_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,23.0,0.7532542777122319,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10.0,5846.27297,261,30,1,4,16,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll,unroll_4,12.75,0.6295572201210127,False
workload_330.cpp,xczu7ev-ffvc1156-2-e,10.0,11094.39665,1654,41,76,45,73,block_4_1,block_64_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll,58.75,0.10015194393005296,False
workload_331.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.86385,372,61,1,26,29,block_2_1,cyclic_2_1,block_2_1,unroll,unroll_2,pipeline_1,unroll_4,unroll_2,29.25,0.5972436380147744,False
workload_332.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63329,1416,62,1,26,62,block_2_1,block_2_1,cyclic_64_1,unroll,unroll_2,pipeline_1,unroll,unroll,37.75,0.41911581976540846,False
workload_333.cpp,xczu7ev-ffvc1156-2-e,10.0,6014.04417,261,30,1,4,15,cyclic_2_1,block_8_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll,unroll,12.5,0.6161183813324481,False
workload_334.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88241,202,63,1,27,31,block_2_1,block_16_1,cyclic_16_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,30.5,0.568523583202677,False
workload_335.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.53673,127,66,1,3,16,cyclic_4_1,cyclic_64_1,block_4_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,21.5,0.7938428298099155,False
workload_336.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.45073,1208,76,1,9,61,cyclic_4_1,cyclic_2_1,cyclic_128_1,unroll_32,unroll_2,pipeline_1,unroll_2,unroll,36.75,0.4380279751481754,False
workload_337.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.43121,205,67,1,5,19,cyclic_4_1,block_8_1,block_32_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,23.0,0.7529492396064883,False
workload_338.cpp,xczu7ev-ffvc1156-2-e,10.0,3974.63881,143,38,1,3,16,cyclic_16_1,block_32_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,14.5,0.7734212085159612,False
workload_339.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.67297,232,91,1,6,22,cyclic_16_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,30.0,0.579881778980743,False
workload_340.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.69185,835,75,1,17,46,cyclic_8_1,block_4_1,block_2_1,unroll,unroll_4,pipeline_1,unroll,unroll,34.75,0.47747542897982564,False
workload_341.cpp,xczu7ev-ffvc1156-2-e,10.0,6139.88449,359,35,1,4,28,cyclic_8_1,block_32_1,block_32_1,unroll_16,unroll_2,unroll_2,unroll,unroll_4,17.0,0.5699131306386682,False
workload_342.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.55177,124,76,1,3,13,cyclic_8_1,block_32_1,block_4_1,unroll_4,unroll_4,pipeline,unroll_2,unroll_2,23.25,0.7462947538207325,False
workload_343.cpp,xczu7ev-ffvc1156-2-e,10.0,3243.82537,565,32,1,6,34,cyclic_4_1,block_4_1,cyclic_16_1,unroll,unroll_4,unroll_4,unroll_2,unroll_2,18.25,0.7809958504057054,False
workload_344.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.53673,127,62,1,3,16,cyclic_2_1,cyclic_64_1,block_4_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,20.5,0.8215749350109457,False
workload_345.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67953,259,66,1,9,22,cyclic_4_1,block_8_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_2,24.5,0.7138806740644335,False
workload_346.cpp,xczu7ev-ffvc1156-2-e,10.0,11629.20201,284,31,19,14,28,block_4_1,block_32_1,block_2_1,unroll_8,unroll_4,unroll_4,unroll_2,unroll_4,23.0,0.2092073968553897,False
workload_347.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.32393,171,77,1,3,20,cyclic_8_1,cyclic_64_1,cyclic_32_1,unroll_4,unroll_4,pipeline,unroll_2,unroll_2,25.25,0.6931943131150794,False
workload_348.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.14337,195,67,1,2,18,cyclic_4_1,block_64_1,block_32_1,unroll_2,unroll_2,pipeline_1,unroll,unroll_2,22.0,0.7797403359804814,False
workload_349.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.11025,191,62,1,26,29,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline,unroll_4,unroll_2,29.5,0.5914539931840842,False
workload_350.cpp,xczu7ev-ffvc1156-2-e,10.0,1880.02633,670,77,7,31,58,block_4_1,block_8_1,cyclic_128_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,43.25,0.3248198713541883,False
workload_351.cpp,xczu7ev-ffvc1156-2-e,10.0,3665.30729,191,31,1,3,16,cyclic_4_1,block_32_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll,12.75,0.8264134879602607,False
workload_352.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.32177,798,86,1,3,29,cyclic_8_1,block_2_1,cyclic_128_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll,29.75,0.5848815647768868,False
workload_353.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.68017,405,66,1,15,31,cyclic_4_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_2,28.25,0.6207807442500012,False
workload_356.cpp,xczu7ev-ffvc1156-2-e,10.0,4048.11777,147,34,1,3,11,cyclic_8_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll,unroll,12.25,0.7990413786409534,False
workload_357.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67841,444,62,1,15,34,cyclic_2_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,28.0,0.6267499714551543,False
workload_358.cpp,xczu7ev-ffvc1156-2-e,10.0,4048.11953,126,38,1,2,11,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,unroll,13.0,0.7899952118611951,False
workload_359.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.69345,298,76,1,9,28,cyclic_8_1,block_8_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll,unroll_2,28.5,0.6147587936750173,False
workload_360.cpp,xczu7ev-ffvc1156-2-e,10.0,2931.87185,497,30,1,5,20,cyclic_4_1,cyclic_2_1,block_2_1,unroll,unroll_2,unroll_4,unroll_4,unroll,14.0,0.8558714021277822,False
workload_361.cpp,xczu7ev-ffvc1156-2-e,10.0,13721.08049,540,30,1,17,34,block_2_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_4,unroll_2,20.5,0.1472229611511716,False
workload_362.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.29281,253,62,1,16,29,block_2_1,block_32_1,block_2_1,unroll_8,unroll_4,pipeline_1,unroll,unroll_4,27.0,0.650978923218716,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.53673,101,65,1,3,9,cyclic_4_1,cyclic_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,19.5,0.8498427527348972,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10.0,5673.26881,153,30,1,2,10,cyclic_2_1,block_8_1,block_2_1,unroll_16,unroll_2,unroll_2,unroll,unroll_2,10.75,0.6534690851300986,False
workload_365.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.65793,181,66,1,5,17,cyclic_4_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,22.25,0.7733970968977915,False
workload_366.cpp,xczu7ev-ffvc1156-2-e,10.0,14171.99945,169,31,8,7,17,block_4_1,block_32_1,block_2_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,15.75,0.14174182281567066,False
workload_367.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.65729,188,65,1,7,16,cyclic_4_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_4,22.25,0.7733970948867298,False
workload_368.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.65969,204,62,1,5,24,cyclic_2_1,cyclic_64_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,23.0,0.7532542828292085,False
workload_369.cpp,xczu7ev-ffvc1156-2-e,10.0,3974.63881,133,34,1,3,14,cyclic_8_1,block_32_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,13.0,0.796431831226798,False
workload_370.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.38801,82,76,1,2,6,cyclic_8_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,21.25,0.800062523269438,False
workload_371.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.32401,99,76,1,2,8,cyclic_8_1,cyclic_4_1,block_16_1,unroll_4,unroll_2,pipeline,unroll_2,unroll_2,21.75,0.78389707890593,False
workload_372.cpp,xczu7ev-ffvc1156-2-e,10.0,4127.91977,1053,38,1,10,65,cyclic_16_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll,28.5,0.5521189545613128,False
workload_373.cpp,xczu7ev-ffvc1156-2-e,10.0,3875.02345,142,31,1,3,15,cyclic_2_1,block_32_1,cyclic_8_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_4,12.5,0.8118676738962249,False
workload_374.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63657,465,62,1,25,36,block_2_1,block_4_1,cyclic_16_1,unroll,unroll_4,pipeline_1,unroll_2,unroll_2,31.0,0.5573164150761382,False
workload_375.cpp,xczu7ev-ffvc1156-2-e,10.0,4048.11889,145,38,1,3,13,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll,13.75,0.7794790153636245,False
workload_376.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67777,484,62,1,15,38,cyclic_2_1,block_32_1,block_4_1,unroll,unroll_2,pipeline_1,unroll,unroll_4,29.0,0.6030767452789002,False
workload_377.cpp,xczu7ev-ffvc1156-2-e,10.0,10823.07753,1616,34,76,46,86,block_8_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll,60.5,0.10000000000000002,False
workload_378.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.53681,91,66,1,2,8,cyclic_4_1,block_32_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_2,19.25,0.8569930433075658,False
