Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,Area,Weight,is_pareto
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,0.82968,74,4,1,2,4,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,2.75,0.5005442099235707,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,0.88088,91,7,1,5,8,block_16_1,cyclic_128_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,5.25,0.4404701102369585,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,94,85,2,3,7,block_64_1,cyclic_8_1,cyclic_128_1,complete_1,complete_1,complete_1,pipeline,24.25,0.5470185483025946,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22627,66,16,1,1,2,cyclic_2_1,cyclic_32_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,5.0,0.968342485254419,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,0.24808,229,5,63,28,46,cyclic_4_1,cyclic_64_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,35.5,0.37106652498811354,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,70,4,1,2,4,block_4_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2.75,0.5122533921636255,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28568,127,6,27,12,21,cyclic_2_1,cyclic_8_1,block_4_1,complete_1,complete_1,complete_1,unroll_32,16.5,0.695424076875943,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31384,130,15,35,15,26,cyclic_32_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_32,22.75,0.5692258369467228,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,1.12152,83,12,1,2,6,cyclic_32_1,cyclic_128_1,block_32_1,complete_1,complete_1,complete_1,unroll_2,5.25,0.236176093032449,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,68,15,1,1,2,cyclic_4_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,4.75,0.9715343763735645,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,0.42648,130,9,17,9,18,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,13.25,0.6923166953147541,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,1.2508,99,4,1,4,7,block_2_1,block_4_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,4.0,0.1643756523478364,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27763,78,84,2,1,5,block_64_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,23.0,0.5711004212981864,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,0.34584,93,10,18,7,14,cyclic_16_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,12.25,0.7563796605493351,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,1.03608,140,4,1,3,8,cyclic_4_1,block_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_32,4.0,0.29960058903535725,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30472,276,4,32,49,49,block_2_1,cyclic_4_1,block_128_1,complete_1,complete_1,complete_1,unroll_32,33.5,0.39526226642817186,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29912,310,5,58,54,56,cyclic_8_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,unroll_64,43.25,0.27087090348534487,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3062,707,22,82,95,97,block_32_1,block_16_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_64,74.0,0.10000000000000003,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,86,12,2,5,7,block_4_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,pipeline,6.5,0.9296440962336926,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27763,69,17,2,1,3,block_8_1,cyclic_32_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,5.75,0.9231622419225599,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16248,78,7,1,2,5,cyclic_32_1,cyclic_64_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,3.75,0.21107105361407136,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,80,45,2,3,6,block_32_1,cyclic_128_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,14.0,0.7463185921483733,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16248,104,24,1,1,6,cyclic_128_1,block_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_2,8.0,0.20790583733328724,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31384,139,12,37,16,28,cyclic_32_1,cyclic_2_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_32,23.25,0.5602497009672226,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,0.88088,80,7,1,3,6,block_16_1,block_64_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,4.25,0.4427491949986626,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28771,79,89,1,1,5,cyclic_64_1,block_16_1,block_16_1,complete_1,complete_1,complete_1,pipeline_1,24.0,0.5515084260924112,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27763,82,84,2,1,5,block_64_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,23.0,0.5711004212981864,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,69,7,1,1,3,block_2_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,3.0,0.5119797358041992,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,66,6,1,1,2,block_4_1,cyclic_8_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2.5,0.5124229221070786,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,84,91,2,1,6,block_64_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,pipeline,25.0,0.5337488449073176,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,1.30328,162,45,2,2,20,block_128_1,block_64_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_4,17.25,0.1319193607371893,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32344,101,16,13,6,14,cyclic_2_1,block_8_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,12.25,0.7678581893414262,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,0.88088,87,17,1,3,7,block_16_1,block_32_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,7.0,0.43448906101835105,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22643,68,12,2,2,4,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9683413366276998,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27747,72,48,1,1,3,cyclic_32_1,block_32_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline,13.25,0.7652226030676579,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35296,132,4,19,17,21,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,15.25,0.6963397142644517,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,0.46488,138,25,8,5,19,block_64_1,block_4_1,block_4_1,complete_1,complete_1,complete_1,unroll_8,14.25,0.653432476676044,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81304,255,4,6,9,21,block_2_1,block_128_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,10.0,0.4797647382774537,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,79,10,1,4,5,cyclic_2_1,block_128_1,block_64_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9657232743282779,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,1.302,158,22,3,4,18,block_64_1,block_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,11.75,0.1387142478230254,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,0.82968,70,8,1,1,3,block_2_1,block_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_2,3.25,0.4999763926158144,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,1.13688,89,6,1,3,6,cyclic_16_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,4.0,0.22686347664165932,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,73,13,2,2,4,block_8_1,block_8_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,5.25,0.9238314608924472,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,0.47512,112,17,8,6,15,block_16_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,unroll_8,11.5,0.6885931919346353,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,80,48,2,2,5,block_32_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,14.25,0.7411101822840989,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,0.82968,78,6,1,3,6,block_2_1,block_128_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_2,4.0,0.4984513514911971,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,0.36824,111,6,12,8,14,block_2_1,block_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,10.0,0.7836485881200398,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,0.87064,74,7,1,2,5,block_16_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,3.75,0.45435371132955404,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16248,111,23,1,1,7,cyclic_128_1,block_4_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,8.0,0.20790583733328724,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32184,128,9,26,12,22,cyclic_8_1,block_8_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_32,17.25,0.6701839706350009,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,0.82968,72,5,1,2,4,block_2_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,3.0,0.5003063686007722,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,83,86,2,2,6,block_64_1,cyclic_64_1,block_16_1,complete_1,complete_1,complete_1,pipeline,24.0,0.5514841614013257,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3062,720,22,82,95,97,block_32_1,block_16_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_64,74.0,0.10000000000000003,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,1.15992,73,9,1,1,3,cyclic_16_1,block_16_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_4,3.5,0.21267308529423717,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10.0,0.37016,110,7,17,9,15,block_4_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,12.0,0.7472603390019509,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,72,12,1,3,4,cyclic_4_1,block_64_1,cyclic_64_1,complete_1,complete_1,complete_1,pipeline_1,5.0,0.9657232743282779,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,1.14045,292,23,5,34,25,block_64_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,21.75,0.18578929447776965,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,1.03608,142,4,1,3,8,cyclic_4_1,block_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_32,4.0,0.29960058903535725,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27747,73,48,1,1,3,cyclic_32_1,block_32_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline,13.25,0.7652226030676579,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,83,10,1,4,5,cyclic_2_1,block_128_1,block_64_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9657232743282779,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28771,91,84,1,3,6,cyclic_64_1,cyclic_4_1,block_128_1,complete_1,complete_1,complete_1,pipeline_1,23.5,0.5605036150996529,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.36824,111,8,12,8,14,block_2_1,block_4_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_16,10.5,0.7749705745573817,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,0.74264,70,4,1,1,3,cyclic_2_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,2.25,0.6056723058414605,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,65,6,1,1,2,block_4_1,cyclic_8_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2.5,0.5124229221070786,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31384,131,15,35,15,26,cyclic_32_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_32,22.75,0.5692258369467228,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2468,228,10,63,27,46,cyclic_4_1,cyclic_32_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,36.5,0.3572888918252075,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,0.42392,91,17,9,5,10,block_4_1,block_32_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_8,10.25,0.7419523047571838,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,0.37016,110,7,19,9,15,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,12.5,0.7382945154320467,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28771,75,48,1,2,5,cyclic_32_1,cyclic_32_1,cyclic_64_1,complete_1,complete_1,complete_1,pipeline_1,14.0,0.7463677000975938,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.42528,208,22,19,18,34,block_32_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,23.25,0.5276712886959668,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,71,19,2,1,3,block_4_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,pipeline_1,6.25,0.9356819325716346,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,75,14,1,3,5,cyclic_4_1,block_128_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,5.75,0.9478011581455469,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,0.82968,67,9,1,1,3,block_4_1,cyclic_2_1,block_16_1,complete_1,complete_1,complete_1,unroll_2,3.5,0.4995559046121103,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31368,214,19,43,28,39,block_4_1,block_16_1,block_32_1,complete_1,complete_1,complete_1,unroll_32,32.25,0.4125835812293962,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16124,367,4,5,15,23,block_4_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,11.75,0.2026918683120487,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,71,14,1,2,3,cyclic_4_1,cyclic_64_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,5.0,0.9657232743282779,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28771,70,24,1,1,2,cyclic_16_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,complete_1,pipeline,7.0,0.8923320141037722,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22643,69,12,2,2,4,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9683413366276998,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,71,12,2,2,4,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,5.0,0.9656515870732506,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32344,100,16,13,6,14,cyclic_2_1,block_8_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,12.25,0.7678581893414262,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,81,43,2,3,6,block_32_1,block_4_1,cyclic_128_1,complete_1,complete_1,complete_1,pipeline_1,13.5,0.7567723034776229,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,0.87064,69,10,1,1,3,block_16_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,3.75,0.45435371132955404,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3084,188,14,32,19,35,block_2_1,block_16_1,block_16_1,complete_1,complete_1,complete_1,unroll_32,25.0,0.5304432290833465,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22627,66,13,1,1,2,cyclic_4_1,block_8_1,block_2_1,complete_1,complete_1,complete_1,pipeline_1,4.25,0.9872689793210855,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,67,13,1,1,3,block_2_1,block_8_1,cyclic_8_1,complete_1,complete_1,complete_1,pipeline,4.5,0.9770536669385907,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,71,17,1,2,3,cyclic_4_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,5.75,0.9478011581455469,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29432,163,5,26,17,29,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_32,19.25,0.6388909762051782,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35352,188,6,36,19,33,block_8_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_32,23.5,0.5463674576446134,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27747,71,44,1,1,3,cyclic_32_1,block_8_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline,12.25,0.786626684552018,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28771,64,15,1,1,2,cyclic_8_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,4.75,0.9318609459921807,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,0.34584,101,17,16,7,15,cyclic_16_1,cyclic_2_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,13.75,0.7279758146449784,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31352,183,12,39,20,33,block_4_1,block_16_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_32,26.0,0.5123447476301467,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,68,18,2,1,3,block_8_1,cyclic_32_1,cyclic_8_1,complete_1,complete_1,complete_1,pipeline_1,6.0,0.910938520473436,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,88,12,2,5,7,block_4_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,pipeline,6.5,0.9296440962336926,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,1.25016,440,4,5,8,15,block_4_1,block_128_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,8.0,0.16266394801884143,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,93,84,2,3,7,block_64_1,block_2_1,block_128_1,complete_1,complete_1,complete_1,pipeline_1,24.0,0.5514841614013257,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3284,528,4,92,73,88,block_8_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,unroll_64,64.25,0.1167662333907937,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,75,48,2,2,5,block_32_1,cyclic_32_1,cyclic_64_1,complete_1,complete_1,complete_1,pipeline_1,14.25,0.7411101822840989,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22643,68,14,2,1,3,block_4_1,cyclic_8_1,block_4_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9683413366276998,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,1.25464,70,7,1,1,3,block_4_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_2,3.0,0.16276714540418402,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,0.358,128,5,11,9,21,block_2_1,block_64_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,11.5,0.7634274799267112,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,69,13,2,2,4,block_4_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,5.25,0.9597397332736133,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,0.37408,165,5,19,25,28,block_4_1,block_4_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,19.25,0.6144255104967434,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35352,184,6,36,19,33,block_8_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_32,23.5,0.5463674576446134,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32728,122,8,29,12,22,cyclic_8_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_32,17.75,0.6587902202616995,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,72,12,1,2,4,block_2_1,block_8_1,block_64_1,complete_1,complete_1,complete_1,pipeline,4.75,0.9714510642890468,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,76,4,1,3,6,block_2_1,block_128_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,3.5,0.5111276633124131,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,0.81944,71,4,1,2,4,block_4_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2.75,0.5122533921636255,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,0.74264,66,7,1,1,2,cyclic_4_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_2,2.75,0.603103562492724,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3132,90,7,15,7,12,cyclic_2_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,10.25,0.8127396718292679,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,0.36824,112,10,12,8,15,block_2_1,block_4_1,cyclic_32_1,complete_1,complete_1,complete_1,unroll_16,11.25,0.7617681045347523,False
