Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,80,79,25,28,29,cyclic_2_1,block_8_1,complete_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll,unroll_4,pipeline,unroll,unroll,40.25,0.4926183329507695,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,75,94,25,21,18,cyclic_8_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_32,pipeline,unroll_16,unroll_32,pipeline_1,pipeline,pipeline,39.5,0.501775761299716,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,75,97,25,15,17,block_4_1,block_8_1,block_8_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_4,pipeline_1,38.5,0.5141498820588836,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,72,67,25,10,17,cyclic_8_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,pipeline,pipeline,unroll_4,pipeline_1,pipeline,pipeline_1,29.75,0.6304288699328165,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,0.67653,380,65,51,35,54,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_8_1,complete_1,unroll_32,pipeline,pipeline,pipeline,unroll,unroll_2,pipeline,51.25,0.1351934012364886,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,75,57,25,10,17,cyclic_4_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll,pipeline,27.25,0.6662905929051627,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,76,70,12,6,10,block_4_1,block_8_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline,24.5,0.7070932595212889,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,81,71,25,10,19,block_2_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,unroll,pipeline,pipeline,unroll_32,pipeline_1,pipeline,pipeline,31.25,0.6094748516293896,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,82,61,25,28,29,block_4_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,pipeline,unroll_4,unroll_32,unroll,pipeline_1,unroll,35.75,0.5491464004298442,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,83,28,25,28,29,cyclic_2_1,cyclic_2_1,complete_1,block_8_1,complete_1,unroll_32,pipeline,unroll_2,unroll_8,pipeline_1,unroll,pipeline,27.5,0.662651637130065,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,95,81,25,52,33,complete_1,cyclic_2_1,block_16_1,block_16_1,complete_1,unroll_32,pipeline_1,pipeline,unroll_32,unroll,unroll_8,unroll,47.75,0.4068501996126468,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,107,83,9,67,40,complete_1,complete_1,block_16_1,block_2_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_32,unroll,unroll_8,unroll,49.75,0.3857615930080913,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,115,48,25,70,45,complete_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,pipeline,unroll_2,pipeline,47.0,0.4149519632153048,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,81,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_4,unroll_16,pipeline,unroll_8,pipeline,27.75,0.6590244109474894,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,82,38,25,10,18,block_2_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,pipeline,unroll_32,pipeline_1,unroll_4,pipeline_1,22.75,0.7337975620158026,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,97,57,25,70,44,complete_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_16,unroll,unroll_2,pipeline,49.0,0.39358184862732837,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,75,85,25,10,17,cyclic_2_1,block_8_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,34.25,0.5688336172962848,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,82,86,25,29,29,cyclic_16_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,unroll_4,pipeline,unroll_8,unroll_16,pipeline_1,unroll_2,pipeline_1,42.25,0.4687146261367454,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,101,96,25,70,45,complete_1,cyclic_32_1,cyclic_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_32,unroll,unroll_2,pipeline,59.0,0.297991685665717,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,56,25,10,17,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline,pipeline,pipeline_1,27.0,0.6699412782727321,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,150,52,47,44,47,block_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll,unroll_8,unroll_4,unroll_64,unroll,unroll_8,unroll,47.5,0.4095390559682457,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,81,84,25,21,19,block_2_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_32,pipeline,unroll_16,unroll_32,unroll,unroll_2,pipeline,37.25,0.529881444395924,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,79,83,25,20,18,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll_16,unroll_32,pipeline,unroll_4,pipeline_1,36.5,0.5394611402932716,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,77,56,25,15,18,cyclic_2_1,block_2_1,block_8_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,unroll_16,unroll_32,pipeline,unroll,pipeline_1,28.5,0.6482131099553601,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,74,60,12,10,11,cyclic_2_1,block_2_1,cyclic_4_1,block_8_1,complete_1,unroll_4,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,23.25,0.7261090956487344,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,0.71753,875,92,77,60,76,cyclic_8_1,cyclic_2_1,cyclic_2_1,cyclic_8_1,complete_1,unroll_32,pipeline,pipeline,pipeline,pipeline_1,pipeline,pipeline,76.25,0.10000000000000002,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,79,86,25,28,33,cyclic_16_1,cyclic_16_1,block_2_1,complete_1,complete_1,pipeline_1,pipeline_1,unroll,unroll_32,pipeline,unroll,pipeline,43.0,0.45994427437565877,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,71,86,12,5,9,cyclic_2_1,cyclic_2_1,cyclic_16_1,cyclic_16_1,complete_1,unroll_4,pipeline,pipeline,unroll_8,pipeline_1,pipeline,pipeline_1,28.0,0.6554089178049097,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,83,52,25,10,17,block_4_1,cyclic_2_1,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,pipeline,unroll_16,unroll,unroll_2,unroll,26.0,0.6846613156666315,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,84,28,25,10,17,cyclic_2_1,block_2_1,block_4_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,20.0,0.7769226827832058,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,85,67,25,10,17,cyclic_2_1,cyclic_2_1,block_16_1,block_8_1,complete_1,pipeline,pipeline_1,pipeline,unroll_16,pipeline_1,unroll_2,pipeline,29.75,0.6304288668229622,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,87,57,25,10,17,cyclic_4_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline,27.25,0.6662905929051627,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,96,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_4,unroll_16,pipeline,unroll_8,pipeline_1,27.75,0.6590244109474894,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,90,38,25,10,18,block_2_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,pipeline,unroll_32,pipeline_1,unroll_4,unroll,22.75,0.7337975620158026,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,113,83,25,77,38,complete_1,complete_1,block_16_1,block_2_1,complete_1,pipeline_1,pipeline,unroll_16,unroll_32,unroll,pipeline_1,unroll,55.75,0.32699994492493456,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,116,9,25,70,45,cyclic_2_1,complete_1,block_2_1,complete_1,complete_1,unroll_32,pipeline_1,pipeline,unroll_32,pipeline,unroll_8,unroll,37.25,0.529881444395924,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,96,28,25,28,30,block_2_1,block_2_1,cyclic_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_4,unroll_16,unroll,unroll_8,unroll,27.75,0.6590244109474894,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,91,57,25,28,29,block_2_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll,unroll_8,unroll,34.75,0.5622242925460017,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,91,67,12,25,22,cyclic_8_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,unroll_2,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline,31.5,0.6060235608777979,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,0.37897,236,47,81,82,83,complete_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll,unroll_8,unroll_4,unroll_64,unroll,unroll_8,unroll,73.25,0.15266477503212234,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,86,81,25,10,17,cyclic_8_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,unroll_2,pipeline,pipeline,unroll_32,pipeline_1,pipeline,pipeline,33.25,0.5821930244859369,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,85,79,25,10,17,block_4_1,block_8_1,block_8_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll,pipeline_1,32.75,0.588943104423466,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,111,24,25,70,44,complete_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_32,pipeline,unroll_2,pipeline,40.75,0.4865720304754282,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,101,66,25,28,30,block_2_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,unroll,unroll_2,pipeline,37.25,0.529881444395924,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,84,42,25,10,17,cyclic_2_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_32,pipeline,pipeline_1,pipeline,23.5,0.7222824805929173,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,0.0615,98,61,11,27,18,block_4_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_32,unroll,unroll_8,unroll,29.25,0.6375073781427504,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,83,75,12,11,11,cyclic_8_1,block_2_1,cyclic_4_1,block_8_1,complete_1,unroll_2,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,27.25,0.6662905820752794,False
workload_183.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,82,70,12,6,10,block_4_1,block_8_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline,24.5,0.7070932595212889,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,110,43,25,63,51,complete_1,cyclic_16_1,block_2_1,complete_1,complete_1,unroll_2,pipeline,unroll_2,unroll_8,unroll,unroll,pipeline,45.5,0.43147219209089427,False
workload_191.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,105,57,25,70,44,complete_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_16,pipeline,unroll_2,pipeline,49.0,0.39358184862732837,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,86,86,25,10,17,cyclic_16_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_4,pipeline,pipeline,unroll_4,pipeline_1,pipeline,pipeline_1,34.5,0.5655230925346502,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,96,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_4,unroll_16,unroll,unroll_8,pipeline,27.75,0.6590244109474894,False
workload_195.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,92,52,25,28,29,block_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,pipeline,pipeline,unroll_32,pipeline,unroll_2,pipeline,33.5,0.5788355763713421,False
workload_196.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,93,76,25,28,30,block_4_1,cyclic_16_1,cyclic_8_1,complete_1,complete_1,pipeline,pipeline_1,unroll_4,unroll_32,unroll,pipeline_1,unroll,39.75,0.49871155746281604,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,92,83,25,20,18,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline,pipeline_1,unroll_16,unroll_32,pipeline,unroll_4,pipeline_1,36.5,0.5394611402932716,False
workload_198.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,79,75,25,10,17,block_4_1,block_8_1,cyclic_4_1,cyclic_4_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,31.75,0.6025840194248352,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,99,57,25,70,44,complete_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_16,unroll,unroll_2,pipeline_1,49.0,0.39358184862732837,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,81,67,25,10,17,cyclic_2_1,cyclic_2_1,cyclic_8_1,cyclic_16_1,complete_1,pipeline,pipeline,unroll_2,unroll_8,pipeline_1,pipeline,pipeline_1,29.75,0.6304288699328165,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,97,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_4,unroll_16,pipeline,unroll,pipeline_1,27.75,0.6590244109474894,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,98,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll,pipeline_1,unroll_2,unroll_16,unroll,unroll_8,pipeline,27.75,0.6590244109474894,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,105,80,25,52,33,complete_1,block_8_1,block_16_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll,unroll_4,pipeline,47.5,0.40953905834064663,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,128,14,25,70,44,complete_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,unroll,unroll_2,pipeline,38.25,0.5172727357596748,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,86,75,25,10,17,block_4_1,block_8_1,cyclic_4_1,cyclic_4_1,complete_1,pipeline,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_4,pipeline_1,31.75,0.6025840194248352,False
workload_206.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,85,56,25,10,17,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline_1,pipeline_1,pipeline,unroll_32,unroll,unroll_2,pipeline_1,27.0,0.6699412782727321,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,93,32,25,28,29,block_4_1,block_2_1,cyclic_2_1,complete_1,complete_1,unroll_2,pipeline,unroll_4,unroll_16,unroll,unroll_8,unroll,28.5,0.6482131133007298,False
workload_209.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,134,74,25,88,60,complete_1,complete_1,block_16_1,complete_1,complete_1,unroll_4,pipeline_1,unroll_16,unroll_32,unroll,unroll_8,unroll,61.75,0.27499454190176437,False
workload_210.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,114,9,25,70,45,cyclic_2_1,complete_1,block_2_1,complete_1,complete_1,unroll_32,pipeline_1,pipeline,unroll_32,pipeline,unroll_8,pipeline_1,37.25,0.529881444395924,False
workload_211.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,93,42,25,10,19,cyclic_2_1,block_2_1,block_4_1,block_8_1,complete_1,unroll,pipeline_1,unroll_2,unroll_32,pipeline,unroll_8,pipeline,24.0,0.7146644108740782,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,105,48,25,45,43,complete_1,cyclic_16_1,block_2_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_2,unroll_8,pipeline_1,unroll,pipeline,40.25,0.4926183329507695,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,87,57,25,10,17,block_2_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,pipeline,pipeline,unroll_4,pipeline_1,pipeline,pipeline_1,27.25,0.6662905929051627,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,0.0615,97,52,11,27,20,block_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll,unroll_2,unroll_4,unroll_32,unroll,unroll_8,unroll,27.5,0.6626516402895863,False
workload_216.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,103,46,12,66,37,complete_1,block_8_1,cyclic_4_1,complete_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline,unroll_4,pipeline,40.25,0.4926183329507695,False
workload_218.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,89,42,25,10,18,cyclic_2_1,block_2_1,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline,unroll,pipeline_1,23.75,0.7184675809377941,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,85,79,25,10,17,block_4_1,block_8_1,block_8_1,cyclic_2_1,complete_1,unroll_4,pipeline_1,pipeline,unroll_16,pipeline_1,unroll,pipeline_1,32.75,0.588943104423466,False
workload_220.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,85,56,25,10,17,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline,pipeline,pipeline_1,27.0,0.6699412782727321,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,90,67,1,24,76,block_4_1,cyclic_16_1,cyclic_8_1,complete_1,complete_1,pipeline,unroll_2,unroll_4,unroll_32,unroll,pipeline_1,unroll,42.0,0.47166153760302576,False
workload_222.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,100,56,12,49,37,complete_1,block_2_1,cyclic_4_1,block_8_1,complete_1,unroll_4,pipeline,unroll_8,unroll_2,unroll,unroll_2,pipeline_1,38.5,0.5141498741204266,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,99,28,25,28,29,cyclic_2_1,cyclic_2_1,complete_1,block_8_1,complete_1,unroll_32,pipeline,unroll_2,unroll_8,pipeline_1,unroll_8,pipeline,27.5,0.662651637130065,False
workload_224.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,80,28,25,10,17,cyclic_2_1,block_2_1,block_4_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll,20.0,0.7769226827832058,False
workload_226.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,84,52,25,10,17,block_4_1,cyclic_2_1,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline,pipeline_1,unroll,26.0,0.6846613156666315,False
workload_228.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,96,57,25,28,29,block_2_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll,pipeline,unroll,34.75,0.5622242925460017,False
