Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,Area,Weight,is_pareto
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30722,507,23,39,80,67,block_64_1,cyclic_4_1,block_2_1,unroll_32,52.25,0.1660423841778429,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,82,42,1,3,7,cyclic_32_1,block_128_1,cyclic_64_1,pipeline,13.25,0.7479987343589487,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,1.08568,113,12,1,2,7,cyclic_64_1,block_4_1,cyclic_64_1,unroll_8,5.5,0.18081448494523117,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30072,164,28,25,12,27,cyclic_64_1,cyclic_32_1,cyclic_4_1,unroll_32,23.0,0.5465329235473917,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28216,207,15,39,20,36,block_4_1,block_32_1,cyclic_2_1,unroll_32,27.5,0.46979534612375196,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,0.4508,75,19,1,1,4,block_2_1,block_16_1,block_32_1,unroll_4,6.25,0.752960082239893,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,1.20888,261,7,10,8,17,block_8_1,block_2_1,block_16_1,unroll_32,10.5,0.1250298644775223,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26664,323,11,69,36,53,cyclic_2_1,cyclic_16_1,block_16_1,unroll_64,42.25,0.2613730276222816,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,64,18,2,1,3,block_4_1,cyclic_8_1,block_32_1,pipeline_1,6.0,0.9383283606715515,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,0.9276,120,9,1,2,5,cyclic_2_1,cyclic_32_1,cyclic_64_1,unroll_16,4.25,0.2916199477824415,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,0.72216,84,13,1,2,7,block_32_1,block_4_1,block_128_1,unroll_2,5.75,0.49870533985490284,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,1.05624,95,5,1,2,5,cyclic_8_1,block_8_1,cyclic_128_1,unroll_8,3.25,0.19864858427584858,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,66,11,1,2,4,block_2_1,cyclic_2_1,block_64_1,pipeline_1,4.5,0.9753073405148516,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,63,14,1,1,2,cyclic_8_1,cyclic_8_1,cyclic_8_1,pipeline,4.5,0.920994960934497,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00632,73,9,1,1,3,cyclic_16_1,block_16_1,block_16_1,unroll_4,3.5,0.2312031244938819,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,76,27,1,3,5,cyclic_16_1,block_32_1,block_128_1,pipeline_1,9.0,0.8400963140455289,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23644,66,13,1,2,3,cyclic_2_1,block_64_1,block_16_1,pipeline_1,4.75,0.9695484288135813,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,66,43,1,1,3,cyclic_32_1,block_2_1,cyclic_4_1,pipeline_1,12.0,0.7799015043635389,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2262,62,12,1,1,2,cyclic_2_1,cyclic_8_1,block_4_1,pipeline_1,4.0,0.9932907930667338,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00888,68,5,1,1,3,cyclic_4_1,cyclic_8_1,cyclic_64_1,unroll_2,2.5,0.2295611763372205,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.91224,113,5,1,1,3,cyclic_2_1,block_2_1,block_4_1,unroll_16,2.5,0.30549811284445005,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,71,23,1,3,5,cyclic_16_1,cyclic_128_1,cyclic_4_1,pipeline_1,8.0,0.8691929414193416,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,66,18,2,1,3,block_4_1,cyclic_8_1,block_32_1,pipeline,6.0,0.9383283606715515,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,68,14,2,2,4,block_4_1,cyclic_16_1,block_64_1,pipeline,5.5,0.9509396306777913,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,0.40216,104,18,3,2,10,block_32_1,block_4_1,block_16_1,unroll_8,8.25,0.7618484728635719,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,63,13,1,1,2,cyclic_8_1,block_2_1,cyclic_4_1,pipeline,4.25,0.9368454256505774,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,0.9276,118,9,1,2,5,cyclic_2_1,cyclic_32_1,cyclic_64_1,unroll_16,4.25,0.2916199477824415,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28744,207,16,30,26,37,block_2_1,block_8_1,block_32_1,unroll_32,27.25,0.4732426802616093,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,69,25,1,2,4,cyclic_16_1,block_64_1,block_16_1,pipeline_1,8.0,0.8609026904559511,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45848,68,9,1,1,3,cyclic_16_1,cyclic_16_1,block_2_1,unroll_4,3.5,0.7809110425826867,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28232,399,10,67,39,67,block_2_1,block_4_1,cyclic_32_1,unroll_64,45.75,0.22323390423069012,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,68,16,1,2,4,block_2_1,cyclic_32_1,cyclic_64_1,pipeline,5.75,0.944643915332848,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27756,66,13,2,1,3,block_8_1,block_4_1,block_2_1,pipeline,4.75,0.9307417514306201,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99864,67,7,1,1,2,cyclic_16_1,block_16_1,cyclic_2_1,unroll_2,2.75,0.23677041662638001,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,70,43,1,2,4,cyclic_32_1,block_64_1,block_4_1,pipeline_1,12.5,0.7687399919592265,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32284,102,5,1,10,10,cyclic_2_1,block_4_1,block_128_1,unroll_8,6.5,0.8544883790002641,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,0.58392,68,4,1,1,3,cyclic_4_1,cyclic_2_1,block_64_1,unroll_2,2.25,0.6919687369131328,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,0.40728,67,10,1,1,2,cyclic_2_1,block_16_1,cyclic_8_1,unroll_4,3.5,0.8232247230237595,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35096,84,10,3,3,5,block_4_1,block_16_1,cyclic_8_1,unroll_8,5.25,0.8488529030705554,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,67,12,1,2,3,cyclic_8_1,cyclic_4_1,block_64_1,pipeline,4.5,0.920994960934497,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16888,105,4,1,4,7,block_2_1,block_4_1,cyclic_128_1,unroll_8,4.0,0.14203532445465192,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35864,72,5,1,1,3,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_8,2.5,0.8766681363218033,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,73,16,1,3,5,block_2_1,block_128_1,cyclic_32_1,pipeline,6.25,0.932005235853923,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,66,18,1,1,3,cyclic_8_1,cyclic_8_1,block_32_1,pipeline,5.75,0.9024217367950196,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30424,126,9,16,8,16,cyclic_16_1,block_4_1,cyclic_4_1,unroll_32,12.25,0.760072519961302,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26504,391,6,69,58,62,cyclic_2_1,cyclic_16_1,block_64_1,unroll_64,48.75,0.19603635922432622,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0908,73,5,1,2,4,cyclic_8_1,block_8_1,cyclic_128_1,unroll_2,3.0,0.17881889265611486,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45848,70,7,1,1,3,cyclic_16_1,cyclic_2_1,block_2_1,unroll_4,3.0,0.7865837941713352,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,72,12,1,3,5,block_2_1,block_8_1,cyclic_128_1,pipeline,5.25,0.9571965451104949,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26712,95,5,1,2,4,cyclic_2_1,cyclic_4_1,block_2_1,unroll_16,3.0,0.9610761029191632,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3996,109,7,3,5,12,block_16_1,cyclic_128_1,block_64_1,unroll_8,6.75,0.786505664832251,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,1.01912,943,4,15,13,27,block_8_1,block_128_1,cyclic_64_1,unroll_32,14.75,0.2046493030971462,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00888,66,6,1,1,3,cyclic_2_1,cyclic_16_1,cyclic_64_1,unroll_2,2.75,0.22955047083390862,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,0.91224,112,4,1,1,3,cyclic_2_1,block_2_1,cyclic_2_1,unroll_16,2.25,0.30549439190305283,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,69,17,1,2,4,cyclic_8_1,cyclic_32_1,block_64_1,pipeline,6.0,0.8984148783118253,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,67,44,1,1,3,cyclic_32_1,cyclic_8_1,cyclic_4_1,pipeline_1,12.25,0.7743154593851542,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,0.44056,69,6,1,1,3,block_2_1,block_4_1,block_4_1,unroll_4,2.75,0.8040855399739465,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31784,472,5,91,43,75,block_8_1,cyclic_64_1,block_2_1,unroll_64,53.5,0.15676632962840384,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,63,13,1,1,2,cyclic_8_1,block_2_1,cyclic_4_1,pipeline,4.25,0.9368454256505774,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3228,76,10,1,1,4,cyclic_2_1,block_16_1,cyclic_8_1,unroll_8,4.0,0.8908069779847977,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45592,87,7,1,3,7,block_4_1,cyclic_16_1,block_128_1,unroll_4,4.5,0.7711528950448524,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31512,100,13,4,3,7,cyclic_16_1,block_16_1,block_4_1,unroll_16,6.75,0.8574767720447799,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,66,23,1,1,2,cyclic_16_1,cyclic_2_1,cyclic_4_1,pipeline_1,6.75,0.8955863403991994,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99864,66,7,1,1,2,cyclic_16_1,cyclic_16_1,cyclic_2_1,unroll_2,2.75,0.23677041662638001,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35864,77,8,1,1,4,cyclic_16_1,cyclic_2_1,block_2_1,unroll_8,3.5,0.8652640242182168,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2262,64,11,1,1,2,cyclic_2_1,cyclic_2_1,cyclic_2_1,pipeline,3.75,1.0,True
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99352,70,5,1,1,3,cyclic_8_1,cyclic_4_1,block_64_1,unroll_2,2.5,0.2404657737975997,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,0.40728,69,10,1,1,2,cyclic_2_1,block_16_1,cyclic_8_1,unroll_4,3.5,0.8232247230237595,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27672,96,11,1,2,5,cyclic_2_1,cyclic_16_1,block_16_1,unroll_16,4.75,0.9319124068552357,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,1.18296,71,5,1,2,3,block_4_1,cyclic_4_1,cyclic_64_1,unroll_2,2.75,0.13675718104818263,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,68,12,1,2,4,block_2_1,block_8_1,cyclic_64_1,pipeline,4.75,0.969450994132807,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29592,124,19,1,4,11,block_2_1,block_16_1,block_32_1,unroll_16,8.75,0.8383384435359089,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28544,219,4,31,28,42,block_2_1,cyclic_128_1,block_64_1,unroll_32,26.25,0.49090920501546764,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,0.39704,63,4,1,1,2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_4,2.0,1.0,True
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2924,195,12,39,20,33,block_4_1,block_16_1,cyclic_8_1,unroll_32,26.0,0.49408418355134354,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22636,62,12,1,1,3,block_2_1,block_4_1,block_4_1,pipeline,4.25,0.9866035094052742,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,0.57368,61,5,1,1,2,cyclic_4_1,cyclic_2_1,block_2_1,unroll_2,2.25,0.7035398829704796,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,0.91224,112,4,1,1,3,cyclic_2_1,block_2_1,block_2_1,unroll_16,2.25,0.30549439190305283,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28232,408,11,67,39,68,block_2_1,block_8_1,cyclic_32_1,unroll_64,46.25,0.21832940643504023,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,0.57368,62,5,1,1,1,cyclic_2_1,block_4_1,cyclic_2_1,unroll_2,2.0,0.706105983147525,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2262,69,12,1,3,4,cyclic_4_1,block_128_1,cyclic_2_1,pipeline,5.0,0.9667049765771557,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,72,12,1,3,4,cyclic_8_1,cyclic_4_1,block_128_1,pipeline,5.0,0.9132003801608576,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3014,707,7,92,95,88,block_16_1,cyclic_64_1,block_64_1,unroll_64,70.5,0.10000000000000003,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26424,137,6,28,13,22,cyclic_2_1,block_4_1,cyclic_4_1,unroll_32,17.25,0.6689210413439688,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3996,101,12,3,4,10,block_16_1,cyclic_128_1,block_16_1,unroll_8,7.25,0.7791011475908004,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45592,76,4,1,2,5,cyclic_8_1,cyclic_2_1,block_64_1,unroll_4,3.0,0.7886758546524187,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,0.92696,71,4,1,1,3,cyclic_4_1,block_2_1,block_64_1,unroll_2,2.25,0.29280227563453776,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27032,96,9,1,2,5,cyclic_2_1,block_16_1,block_2_1,unroll_16,4.25,0.9474808440043515,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,0.34584,85,11,1,2,6,block_2_1,block_8_1,cyclic_32_1,unroll_8,5.0,0.8568362562180859,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2684,92,5,1,2,4,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_16,3.0,0.9597704668359575,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,64,16,2,1,3,block_4_1,block_16_1,cyclic_8_1,pipeline,5.5,0.9509396306777913,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,0.25208,288,5,60,26,45,cyclic_2_1,cyclic_4_1,block_2_1,unroll_64,34.0,0.3696622460140563,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,63,13,1,1,2,cyclic_8_1,block_2_1,cyclic_4_1,pipeline_1,4.25,0.9368454256505774,False
