Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,556,1,1,21,51,complete_1,unroll_32,pipeline,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34373,228,1,1,6,14,complete_1,unroll_8,unroll_2,pipeline,pipeline,5.5,0.6130787755275212,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10673,333,1,1,8,19,block_2_1,unroll_2,unroll_8,unroll,pipeline_1,7.25,0.21756924625418034,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,1042,1,1,26,71,cyclic_8_1,unroll_2,unroll_32,pipeline_1,pipeline_1,24.75,0.22557928606039715,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,138,1,1,2,4,block_2_1,unroll_2,unroll_2,pipeline,pipeline,2.0,0.5578743971314434,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,154,1,1,2,6,complete_1,unroll_4,pipeline,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,596,1,1,18,51,cyclic_8_1,unroll_32,pipeline_1,pipeline,pipeline_1,17.75,0.41634797901612175,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,281.32145,251,1,1,4,12,cyclic_8_1,unroll_2,unroll_4,unroll,pipeline_1,4.5,0.23017273839889302,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,598,1,1,18,51,block_2_1,unroll_32,pipeline_1,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10435,833,1,1,17,44,cyclic_2_1,unroll_16,unroll_2,unroll,pipeline,15.75,0.17194405706538185,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34577,227,1,1,6,14,complete_1,unroll_2,unroll_8,pipeline_1,pipeline,5.5,0.613072424110354,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,588,1,1,18,51,cyclic_8_1,unroll_32,pipeline,pipeline,pipeline,17.75,0.41634797901612175,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12867,417,1,1,13,31,cyclic_4_1,unroll_16,unroll_2,pipeline_1,unroll,11.5,0.49150546056681543,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34373,353,1,1,13,27,complete_1,unroll_8,unroll_4,pipeline,pipeline,10.5,0.519227251926794,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31269,326,1,1,10,25,complete_1,unroll_16,pipeline,unroll,unroll,9.25,0.6844279384427382,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,161,1,1,3,7,cyclic_2_1,unroll_2,unroll_4,pipeline,pipeline,3.0,0.6286849381973928,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,565,1,1,21,51,cyclic_4_1,unroll_32,pipeline_1,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,212,1,1,4,13,cyclic_2_1,unroll_8,pipeline_1,pipeline,pipeline,4.75,0.8594011876770289,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41125,244,1,1,10,17,block_2_1,unroll_8,unroll_2,pipeline_1,pipeline,7.25,0.5153778293303689,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,159,1,1,2,6,cyclic_4_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.5,0.9554677267294898,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,281.32145,956,1,1,15,44,cyclic_8_1,unroll_2,unroll_16,unroll,pipeline_1,15.25,0.17831671320237324,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,243,1,1,7,16,cyclic_4_1,unroll_2,unroll_8,pipeline,pipeline,6.25,0.5936063455018061,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10673,151,1,1,2,6,cyclic_2_1,unroll_2,unroll_2,unroll,pipeline_1,2.5,0.22818023585908154,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,214,1,1,4,13,cyclic_4_1,unroll_8,pipeline_1,pipeline,pipeline,4.75,0.8594011876770289,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34441,358,1,1,13,28,complete_1,unroll_4,unroll_8,pipeline,pipeline,10.75,0.5137420041014614,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,310,1,1,7,18,cyclic_8_1,unroll_2,unroll_8,pipeline_1,pipeline,6.75,0.5856668968744195,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,128,1,1,1,3,block_4_1,unroll_2,pipeline_1,unroll,pipeline_1,1.5,1.0,True
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,210,1,1,4,13,cyclic_4_1,unroll_8,pipeline,pipeline,pipeline_1,4.75,0.8594011876770289,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.5,0.9999754166395415,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,217,1,1,4,13,block_2_1,unroll_8,pipeline_1,pipeline,pipeline_1,4.75,0.8594011876770289,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,565,1,1,21,51,block_2_1,unroll_32,pipeline_1,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,580,1,1,18,51,complete_1,unroll_32,pipeline,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,594,1,1,18,51,cyclic_4_1,unroll_32,pipeline_1,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,582,1,1,18,51,cyclic_4_1,unroll_32,pipeline,pipeline_1,pipeline_1,17.75,0.41634797901612175,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,cyclic_4_1,unroll_2,pipeline_1,pipeline,pipeline,1.5,0.9999754166395415,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,154,1,1,2,7,block_2_1,unroll_4,pipeline,unroll,pipeline,2.75,0.9445112019326646,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,156,1,1,2,6,cyclic_4_1,unroll_4,pipeline,pipeline,unroll,2.5,0.9554677267294898,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,158,1,1,2,6,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.5,0.9999754166395415,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31269,331,1,1,9,26,cyclic_2_1,unroll_16,pipeline,pipeline_1,pipeline,9.25,0.6844279384427382,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,582,1,1,18,51,cyclic_8_1,unroll_32,pipeline,pipeline,pipeline_1,17.75,0.41634797901612175,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,128,1,1,1,3,block_2_1,unroll_2,pipeline,unroll,pipeline,1.5,1.0,True
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,319,1,1,10,25,cyclic_4_1,unroll_16,pipeline,unroll,pipeline_1,9.25,0.6844279384536243,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31269,336,1,1,9,25,complete_1,unroll_16,pipeline_1,pipeline_1,unroll,9.0,0.6935484334870431,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41193,171,1,1,5,9,block_2_1,unroll_4,unroll_2,pipeline,pipeline,4.0,0.5495791794861067,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34577,131,1,1,2,4,complete_1,unroll_2,unroll_2,pipeline,pipeline,2.0,0.6421309463189778,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,128,1,1,1,3,block_2_1,unroll_2,pipeline_1,unroll,pipeline_1,1.5,1.0,True
workload_181.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,152,1,1,2,7,complete_1,unroll_4,pipeline,unroll,pipeline_1,2.75,0.9445112019326646,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,pipeline,1.5,0.9999754166395415,False
workload_183.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,558,1,1,21,51,block_2_1,unroll_32,pipeline,unroll,pipeline,18.5,0.3966130857907001,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,158,1,1,2,6,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.5,0.9554677267294898,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,593,1,1,18,51,cyclic_8_1,unroll_32,pipeline_1,pipeline_1,pipeline_1,17.75,0.41634797901612175,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,560,1,1,21,51,cyclic_4_1,unroll_32,pipeline,unroll,pipeline,18.5,0.3966130857907001,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,585,1,1,18,51,complete_1,unroll_32,pipeline,pipeline_1,pipeline_1,17.75,0.41634797901612175,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,598,1,1,18,51,cyclic_8_1,unroll_32,pipeline_1,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_189.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,597,1,1,18,51,complete_1,unroll_32,pipeline_1,pipeline,pipeline_1,17.75,0.41634797901612175,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,cyclic_4_1,unroll_2,pipeline,pipeline,pipeline,1.5,0.9999754166395415,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,154,1,1,2,7,cyclic_8_1,unroll_4,pipeline,unroll,pipeline,2.75,0.9445112019326646,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,212,1,1,5,13,block_4_1,unroll_8,pipeline_1,unroll,pipeline,5.0,0.8490802106910627,False
workload_195.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,131,1,1,1,3,block_2_1,unroll_2,pipeline,pipeline,pipeline_1,1.5,0.9999754166395415,False
workload_196.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,562,1,1,21,51,cyclic_8_1,unroll_32,pipeline,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10418,2678,1,1,35,94,cyclic_4_1,unroll_32,unroll_2,unroll,pipeline_1,32.75,0.10000000000000002,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,155,1,1,2,7,block_4_1,unroll_4,pipeline_1,unroll,pipeline_1,2.75,0.9445112019326646,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,156,1,1,2,6,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,210,1,1,5,13,cyclic_2_1,unroll_8,pipeline_1,unroll,pipeline_1,5.0,0.8490802106910627,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,154,1,1,2,6,block_2_1,unroll_4,pipeline,pipeline,unroll,2.5,0.9554677267294898,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,157,1,1,2,6,cyclic_4_1,unroll_4,pipeline_1,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,129,1,1,1,3,cyclic_8_1,unroll_2,pipeline,unroll,pipeline,1.5,1.0,True
workload_205.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,158,1,1,2,6,cyclic_2_1,unroll_4,pipeline_1,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_206.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,158,1,1,2,6,cyclic_4_1,unroll_4,pipeline_1,pipeline,pipeline,2.5,0.9554677267294898,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,211,1,1,5,13,block_2_1,unroll_8,pipeline_1,unroll,pipeline_1,5.0,0.8490802106910627,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,127,1,1,1,3,cyclic_4_1,unroll_2,pipeline,pipeline_1,pipeline,1.5,0.9999754166395415,False
workload_209.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,134,1,1,2,4,cyclic_4_1,unroll_2,unroll_2,pipeline,pipeline,2.0,0.6324207763447052,False
workload_210.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,212,1,1,4,13,cyclic_2_1,unroll_8,pipeline,pipeline,pipeline_1,4.75,0.8594011876770289,False
workload_211.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,131,1,1,1,3,cyclic_2_1,unroll_2,pipeline_1,pipeline,pipeline,1.5,0.9999754166395415,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,cyclic_8_1,unroll_2,pipeline,pipeline,unroll,1.5,0.9999754166395415,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,block_2_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.5,0.9999754166395415,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,156,1,1,2,6,block_8_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.5,0.9554677267294898,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,126,1,1,1,3,cyclic_2_1,unroll_2,pipeline,pipeline,pipeline,1.5,0.9999754166395415,False
workload_216.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,156,1,1,2,6,block_2_1,unroll_4,pipeline,pipeline_1,pipeline,2.5,0.9554677267294898,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,154,1,1,2,7,cyclic_4_1,unroll_4,pipeline,unroll,pipeline,2.75,0.9445112019326646,False
workload_218.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,128,1,1,1,3,complete_1,unroll_2,pipeline_1,unroll,pipeline,1.5,1.0,True
workload_219.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,217,1,1,4,13,cyclic_2_1,unroll_8,pipeline_1,pipeline_1,pipeline,4.75,0.8594011876770289,False
workload_220.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,complete_1,unroll_2,pipeline,pipeline,pipeline,1.5,0.9999754166395415,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,block_2_1,unroll_2,pipeline_1,pipeline,pipeline_1,1.5,0.9999754166395415,False
workload_222.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,212,1,1,4,13,block_2_1,unroll_8,pipeline,pipeline,unroll,4.75,0.8594011876770289,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,159,1,1,2,6,cyclic_4_1,unroll_4,pipeline_1,pipeline,pipeline_1,2.5,0.9554677267294898,False
workload_224.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,156,1,1,2,6,complete_1,unroll_4,pipeline,pipeline,pipeline,2.5,0.9554677267294898,False
workload_225.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,cyclic_2_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.5,0.9999754166395415,False
workload_226.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,213,1,1,4,13,complete_1,unroll_8,pipeline,pipeline_1,pipeline,4.75,0.8594011876770289,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10.0,270.17897,210,1,1,4,10,complete_1,unroll_4,unroll_2,unroll,pipeline,4.0,0.2509422641968314,False
workload_228.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,217,1,1,4,13,block_4_1,unroll_8,pipeline_1,pipeline,pipeline_1,4.75,0.8594011876770289,False
workload_229.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,160,1,1,2,6,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.5,0.9554677267294898,False
workload_230.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,159,1,1,2,6,cyclic_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.5,0.9554677267294898,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,216,1,1,4,13,block_2_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,4.75,0.8594011876770289,False
workload_232.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,159,1,1,2,6,cyclic_2_1,unroll_4,pipeline_1,pipeline,pipeline,2.5,0.9554677267294898,False
