Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,12.1037,446,1,24,17,48,block_4_1,cyclic_128_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,22.5,0.42210122071081524,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,149.63461,51,1,1,1,2,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,unroll_2,unroll_8,unroll_8,pipeline,1.25,0.41237326270568697,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,27.06437,56,2,1,1,2,cyclic_8_1,cyclic_8_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_2,pipeline_1,1.5,0.9690400290339498,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,22.41925,65,1,2,1,4,cyclic_2_1,cyclic_32_1,complete_1,unroll_32,unroll_32,unroll_64,unroll_16,unroll,2.0,0.972676856193597,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,76.43653,181,1,1,3,7,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_4,unroll_4,unroll,3.0,0.7060257175845246,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,158.90562,61,1,1,1,5,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,pipeline,unroll_64,pipeline,2.0,0.38099031698107055,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,205.08866,53,1,1,1,1,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_32,unroll,1.0,0.2513480199155828,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,159.05029,75,1,1,1,8,block_64_1,block_4_1,complete_1,unroll_2,unroll_8,pipeline,unroll_32,pipeline,2.75,0.3794639068926585,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,11.12069,416,5,17,12,42,block_16_1,cyclic_64_1,complete_1,unroll_2,pipeline,unroll_8,pipeline_1,pipeline_1,19.0,0.5112866458952031,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,161.37221,54,2,1,1,2,cyclic_2_1,cyclic_16_1,complete_1,unroll_16,unroll_4,pipeline_1,unroll_2,pipeline,1.5,0.3733859360421915,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,145.86629,100,1,1,4,30,cyclic_4_1,block_2_1,complete_1,unroll_32,unroll_64,unroll_4,unroll_8,pipeline_1,9.0,0.38985453510190526,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,16.46594,352,7,6,4,35,cyclic_8_1,block_16_1,complete_1,unroll_16,pipeline,unroll_8,pipeline_1,pipeline,13.0,0.6897193600642237,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,164.00133,61,1,1,4,7,block_2_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_8,pipeline_1,3.25,0.36271920338015207,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,169.22882,63,1,1,1,8,block_2_1,cyclic_4_1,complete_1,unroll_32,unroll_16,pipeline,unroll_8,pipeline,2.75,0.34756151666020874,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,42.72645,102,1,1,15,10,block_128_1,block_4_1,complete_1,pipeline,pipeline,unroll_32,unroll_4,pipeline,6.75,0.7996355243149808,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10.0,18.71874,718,2,6,8,40,cyclic_8_1,block_64_1,complete_1,pipeline,unroll_8,unroll_16,pipeline_1,pipeline,14.0,0.6573491575018884,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,17.26466,1021,5,12,11,44,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_8,pipeline,pipeline_1,18.0,0.5390554883287153,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,64.66562,53,2,1,1,1,block_16_1,block_2_1,complete_1,unroll_2,pipeline,unroll_8,unroll_2,unroll,1.25,0.7710772834584354,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,23.49442,55,1,1,1,1,cyclic_8_1,block_2_1,complete_1,unroll_16,pipeline,unroll_8,unroll_16,pipeline,1.0,0.9938140269527135,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,33.22373,57,2,1,1,1,cyclic_2_1,cyclic_16_1,complete_1,unroll_16,pipeline,pipeline_1,unroll_4,unroll,1.25,0.9378983991097847,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,178.38597,57,10,1,1,4,block_32_1,cyclic_4_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_4,pipeline,4.0,0.31805094149497437,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,159.38053,68,1,1,1,8,block_64_1,block_4_1,complete_1,unroll_2,unroll_8,pipeline,unroll_16,pipeline,2.75,0.37839874192381495,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,191.49317,113,2,1,4,33,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_64,unroll_4,pipeline_1,10.0,0.25940387767379447,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,151.20898,114,1,1,6,15,cyclic_64_1,block_64_1,complete_1,pipeline,unroll_8,unroll_16,unroll_32,pipeline,5.75,0.3939154731830038,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,32.28866,60,6,1,1,2,cyclic_32_1,block_4_1,complete_1,pipeline_1,pipeline,unroll_32,unroll_32,pipeline,2.5,0.9228111298025022,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,163.33701,67,1,1,4,7,block_2_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_16,pipeline_1,3.25,0.3647986407879953,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,158.27042,136,5,1,3,23,block_32_1,block_32_1,complete_1,pipeline_1,unroll_32,unroll_8,unroll_64,pipeline,8.0,0.35861555734816397,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,180.03333,139,1,1,2,6,cyclic_2_1,cyclic_128_1,complete_1,unroll_32,unroll_32,unroll_64,unroll_16,unroll,2.5,0.3161211553174489,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,27.6557,90,3,25,16,23,block_8_1,cyclic_4_1,complete_1,unroll_2,unroll_64,unroll_8,unroll_8,unroll,16.75,0.5705321816964096,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,295.52837,98,5,1,2,4,cyclic_128_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_2,unroll_32,unroll,3.0,0.11231308559513362,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,173.32482,94,2,1,4,30,block_2_1,cyclic_16_1,complete_1,unroll_4,unroll_64,pipeline,unroll_8,pipeline,9.25,0.3088618616296275,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,208.49669,77,1,1,3,8,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_2,pipeline,3.25,0.2419690644809313,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,32.09573,78,6,1,1,6,block_16_1,block_4_1,complete_1,unroll_32,pipeline,unroll_64,unroll_64,unroll,3.5,0.9041381025302656,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,161.71202,59,2,1,1,5,block_2_1,cyclic_16_1,complete_1,unroll_8,unroll_8,unroll_8,unroll_32,pipeline_1,2.25,0.371684462833638,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,158.90562,69,1,1,1,5,block_8_1,cyclic_32_1,complete_1,pipeline_1,unroll_8,pipeline,unroll_64,pipeline,2.0,0.38099031698107055,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,168.90885,64,1,1,1,8,cyclic_2_1,block_4_1,complete_1,pipeline_1,unroll_16,unroll_32,unroll_2,pipeline_1,2.75,0.34853517224456687,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,169.39106,230,1,1,4,8,cyclic_128_1,cyclic_128_1,complete_1,unroll_16,unroll_2,unroll_8,unroll_64,pipeline,3.5,0.34559714950980946,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,220.29314,53,1,1,1,1,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_2,unroll,1.0,0.21727203802038747,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,42.39877,58,5,1,1,3,block_32_1,cyclic_4_1,complete_1,pipeline,pipeline,pipeline_1,unroll_4,pipeline,2.5,0.8759327427192442,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,168.2253,53,3,1,1,2,block_4_1,cyclic_16_1,complete_1,unroll_8,unroll_2,pipeline_1,unroll_32,pipeline,1.75,0.351748030328383,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,158.76485,71,5,1,2,11,block_16_1,cyclic_4_1,complete_1,unroll_32,unroll_16,unroll_16,unroll_16,pipeline,4.75,0.3745267558959273,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,164.00133,63,1,1,4,7,cyclic_2_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_8,pipeline_1,3.25,0.36271920338015207,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,33.41061,58,5,1,1,3,block_8_1,block_8_1,complete_1,unroll_32,pipeline,unroll_8,unroll_8,pipeline,2.5,0.9178978085392969,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,168.57346,66,1,1,1,9,block_4_1,cyclic_4_1,complete_1,unroll_32,unroll_16,pipeline,unroll_8,pipeline,3.0,0.34912311343100244,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,208.53765,51,1,1,1,1,cyclic_2_1,block_2_1,complete_1,unroll_16,unroll_4,unroll_2,unroll_2,unroll,1.0,0.24323760522191343,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,179.37413,60,1,1,1,8,block_2_1,block_4_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_2,pipeline_1,2.75,0.3176749759463777,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,157.92229,90,7,1,3,20,block_16_1,cyclic_16_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_64,pipeline,7.75,0.36105682056673294,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,107.65061,53,1,1,1,1,cyclic_8_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_8,unroll,1.0,0.5727567084744835,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,154.95426,252,2,1,5,36,cyclic_16_1,block_64_1,complete_1,unroll_8,unroll_64,pipeline_1,unroll_32,pipeline,11.0,0.3481303543294064,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,61.74981,52,5,1,1,2,block_8_1,block_8_1,complete_1,unroll_2,unroll_8,pipeline,unroll_8,unroll,2.25,0.781984548094465,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,32.26821,86,1,1,1,10,block_64_1,block_4_1,complete_1,unroll_16,pipeline,unroll_32,unroll_32,pipeline,3.25,0.9076764802161538,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,164.14818,119,1,1,3,6,cyclic_128_1,block_4_1,complete_1,unroll_16,unroll_2,unroll_8,unroll_64,pipeline_1,2.75,0.36324585888425365,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,157.92258,147,1,1,4,18,block_8_1,cyclic_128_1,complete_1,pipeline_1,unroll_32,pipeline,unroll_64,pipeline,6.0,0.3713398413613136,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10.0,11.14117,420,7,16,11,41,cyclic_8_1,block_16_1,complete_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline_1,18.75,0.5180836613196407,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,10.81349,409,1,32,20,55,block_128_1,cyclic_64_1,complete_1,unroll_2,pipeline,unroll_4,pipeline_1,pipeline_1,27.0,0.32314395406239405,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,18.57541,586,7,6,10,37,block_8_1,block_16_1,complete_1,unroll_16,unroll_8,unroll_32,pipeline_1,pipeline,15.0,0.6265113951088871,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,224.26626,52,5,1,1,1,block_16_1,block_2_1,complete_1,unroll_2,unroll_4,unroll_8,unroll_2,unroll,2.0,0.208875725963481,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,27.05605,54,6,1,1,2,cyclic_8_1,block_16_1,complete_1,unroll_16,pipeline,unroll_2,unroll_32,pipeline_1,2.5,0.9440714435271288,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,43.73253,56,1,1,1,2,cyclic_8_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,unroll,1.25,0.8801736063991173,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,32.28869,64,10,1,4,4,cyclic_32_1,block_16_1,complete_1,pipeline,pipeline,unroll_32,unroll_32,pipeline_1,4.75,0.8792003119454173,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,159.46117,67,1,1,1,8,block_64_1,block_4_1,complete_1,unroll_2,unroll_8,unroll_8,unroll_16,pipeline,2.75,0.3781389498337757,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,32.66946,73,1,1,1,9,block_64_1,block_4_1,complete_1,unroll_16,pipeline,unroll_8,unroll_16,pipeline,3.0,0.9102546197180208,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,213.1661,84,1,1,9,19,block_128_1,block_2_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_2,unroll,7.5,0.2217363186618171,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,26.35874,97,3,25,16,24,block_8_1,cyclic_4_1,complete_1,unroll_2,unroll_64,unroll_8,unroll_64,unroll,17.0,0.5642362279537995,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,54.54085,59,3,1,1,3,block_8_1,block_4_1,complete_1,unroll_2,unroll_16,pipeline_1,unroll_8,unroll,2.0,0.8199623989561998,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,111.70565,55,1,1,1,1,cyclic_8_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_2,unroll_8,unroll,1.0,0.5558260475770684,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,19.79781,73,1,2,2,5,cyclic_2_1,cyclic_32_1,complete_1,unroll_32,unroll_64,unroll_64,unroll_16,unroll,2.5,0.9658697278694782,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,42.39877,58,3,1,1,2,block_16_1,cyclic_4_1,complete_1,pipeline,pipeline,pipeline_1,unroll_4,pipeline,1.75,0.8849992369396343,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,161.46946,89,1,1,6,17,cyclic_64_1,block_64_1,complete_1,pipeline,unroll_8,unroll_32,unroll_4,pipeline,6.25,0.35915764745704915,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,162.98242,93,1,1,2,7,block_2_1,cyclic_128_1,complete_1,unroll_8,unroll_8,pipeline,unroll_32,pipeline,2.75,0.3669121032746637,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,160.21634,83,1,1,1,9,cyclic_2_1,block_64_1,complete_1,pipeline,unroll_8,pipeline,unroll_64,pipeline,3.0,0.37522752669059256,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,149.63461,53,1,1,1,2,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,unroll_2,unroll_8,unroll_8,pipeline,1.25,0.41237326270568697,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,32.59269,61,1,1,4,4,block_2_1,block_64_1,complete_1,pipeline_1,pipeline,unroll_8,unroll_16,pipeline_1,2.5,0.921490073757141,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,33.26725,67,6,1,1,5,block_16_1,block_4_1,complete_1,unroll_32,pipeline,unroll_64,unroll_8,unroll,3.25,0.9034088563197886,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,161.67173,57,1,1,1,4,cyclic_8_1,block_2_1,complete_1,unroll_2,unroll_8,pipeline,unroll_32,pipeline,1.75,0.37229065165399045,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,33.28773,54,3,1,1,2,block_8_1,block_4_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,unroll,1.75,0.9331483077030434,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,145.86629,104,1,1,4,31,cyclic_4_1,block_4_1,complete_1,unroll_32,unroll_64,unroll_4,unroll_8,pipeline_1,9.25,0.38792319133644704,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,32.27906,51,3,1,1,1,cyclic_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,1.5,0.9415177527807743,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,33.22373,51,2,1,1,1,cyclic_2_1,cyclic_16_1,complete_1,unroll_16,pipeline,pipeline,unroll_4,unroll,1.25,0.9378983991097847,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,64.66565,48,2,1,1,1,block_16_1,block_2_1,complete_1,unroll_2,pipeline,unroll_8,unroll_2,unroll,1.25,0.7710771329320095,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,27.06437,57,6,1,1,3,cyclic_32_1,cyclic_8_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_2,pipeline_1,2.75,0.9383704111015642,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,32.29893,90,1,1,2,5,block_128_1,block_4_1,complete_1,pipeline,pipeline,unroll_16,unroll_32,pipeline,2.25,0.9284695165558647,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,71.58661,65,1,1,4,6,block_2_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_16,unroll,3.0,0.7286702403243787,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,22.41922,63,1,2,1,4,cyclic_2_1,cyclic_32_1,complete_1,unroll_32,unroll_32,unroll_64,unroll_16,unroll,2.0,0.972676930686668,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,76.43653,186,1,1,3,8,cyclic_128_1,cyclic_64_1,complete_1,unroll_2,pipeline,unroll_4,unroll_4,unroll,3.25,0.7039910445349677,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,33.57893,60,6,1,1,2,cyclic_32_1,block_4_1,complete_1,unroll_16,pipeline,unroll_32,unroll_32,pipeline,2.5,0.9171521339859465,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,166.59461,53,1,1,1,2,cyclic_2_1,block_2_1,complete_1,unroll_16,unroll_4,unroll_2,unroll_2,pipeline_1,1.25,0.35699240974056834,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,11.12069,407,5,17,12,42,block_16_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_8,pipeline_1,pipeline_1,19.0,0.5112866458952031,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,16.52738,372,5,56,32,79,block_16_1,block_32_1,complete_1,unroll_64,pipeline,unroll_8,pipeline,pipeline_1,43.0,0.11808100399862426,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,18.67778,469,3,6,7,36,cyclic_8_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,unroll_16,pipeline_1,pipeline,13.0,0.6890243526113528,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,42.37829,100,1,1,3,14,block_64_1,block_128_1,complete_1,unroll_16,pipeline,pipeline_1,unroll_4,unroll,4.75,0.8399150410643844,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,16.46597,307,7,6,4,35,cyclic_8_1,block_16_1,complete_1,unroll_16,pipeline,unroll_2,pipeline_1,pipeline_1,13.0,0.6897193537219655,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,16.09733,449,1,23,16,48,block_64_1,block_4_1,complete_1,pipeline,pipeline,unroll_32,pipeline_1,pipeline,22.0,0.4343624295798244,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,16.05634,371,3,1,1,26,cyclic_2_1,cyclic_16_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,7.75,0.8561309885805143,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,11.14114,346,6,1,4,28,cyclic_8_1,block_16_1,complete_1,pipeline,pipeline,unroll_8,pipeline_1,pipeline,9.75,0.7990165038230824,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,18.59586,496,7,6,10,36,block_8_1,block_16_1,complete_1,pipeline_1,unroll_8,unroll_32,pipeline_1,pipeline,14.75,0.6341507864716002,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,42.40389,49,3,1,1,1,cyclic_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_2,pipeline,1.5,0.8865609748190595,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,147.66466,51,1,1,1,2,cyclic_8_1,block_2_1,complete_1,unroll_16,unroll_4,unroll_2,unroll_16,pipeline,1.25,0.41915586830368945,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,107.63013,55,1,1,1,2,cyclic_8_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_64,unroll_8,unroll,1.25,0.5727757090058215,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,22.41029,61,1,2,1,4,cyclic_2_1,cyclic_32_1,complete_1,unroll_32,unroll_32,pipeline,unroll_16,unroll,2.0,0.9726990883390964,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,32.28357,72,1,1,1,4,block_64_1,block_4_1,complete_1,pipeline,pipeline,unroll_64,unroll_32,unroll,1.75,0.9383324889130118,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,159.40098,51,1,1,1,4,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,pipeline,unroll_16,pipeline,1.75,0.3795961731687616,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,175.76453,55,1,1,1,5,cyclic_8_1,cyclic_64_1,complete_1,unroll_2,unroll_8,unroll_4,unroll_4,pipeline,2.0,0.3289406167606669,False
