Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Area,Weight,is_pareto
workload_318.cpp,xczu7ev-ffvc1156-2-e,10.0,61.18013,3402,7,45,39,97,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,pipeline_1,pipeline,unroll_4,unroll,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll,pipeline,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll,pipeline_1,unroll_2,unroll_8,pipeline,pipeline_1,pipeline,47.0,0.26596922464525297,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10.0,56.81901,3203,8,48,39,98,cyclic_8_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,48.25,0.25400641506381205,False
workload_332.cpp,xczu7ev-ffvc1156-2-e,10.0,62.56481,3447,3,50,38,97,cyclic_2_1,block_16_1,block_64_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline_1,unroll,unroll_4,pipeline_1,unroll_2,unroll_8,pipeline,pipeline_1,unroll_4,unroll_4,pipeline,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,47.0,0.2654412273477871,False
workload_338.cpp,xczu7ev-ffvc1156-2-e,10.0,63.0949,3031,6,44,35,84,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,unroll,42.25,0.32166060235318106,False
workload_339.cpp,xczu7ev-ffvc1156-2-e,10.0,430.69223,3492,8,12,31,79,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll,pipeline_1,unroll_4,unroll_4,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll,pipeline_1,unroll_2,pipeline_1,pipeline,unroll_8,pipeline,32.5,0.33742066616140654,False
workload_341.cpp,xczu7ev-ffvc1156-2-e,10.0,92.09422,3289,6,31,28,80,cyclic_8_1,block_16_1,block_16_1,cyclic_16_1,cyclic_4_1,pipeline_1,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_4,unroll_8,unroll_2,unroll_8,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_8,unroll_4,unroll,unroll,unroll_2,pipeline_1,pipeline,pipeline_1,pipeline,36.25,0.3919118444603742,False
workload_350.cpp,xczu7ev-ffvc1156-2-e,10.0,58.857,2949,4,57,42,94,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,49.25,0.24274267533033803,False
workload_370.cpp,xczu7ev-ffvc1156-2-e,10.0,58.857,2480,4,56,42,94,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,49.0,0.24533797816461406,False
workload_371.cpp,xczu7ev-ffvc1156-2-e,10.0,61.30042,3061,6,39,36,85,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll_2,pipeline_1,pipeline,pipeline,unroll_8,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,41.5,0.3327512129895841,False
workload_374.cpp,xczu7ev-ffvc1156-2-e,10.0,60.16601,2573,3,50,38,96,cyclic_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,46.75,0.26913532432192466,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10.0,58.16708,2508,7,45,36,88,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,pipeline_1,pipeline,unroll_4,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll,pipeline_1,unroll_2,pipeline_1,pipeline,unroll_8,pipeline,44.0,0.3019531218645074,False
workload_382.cpp,xczu7ev-ffvc1156-2-e,10.0,58.2069,2783,7,39,36,87,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,42.25,0.3236360535435642,False
workload_386.cpp,xczu7ev-ffvc1156-2-e,10.0,55.5908,2504,6,45,36,87,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,43.5,0.30908418397478055,False
workload_387.cpp,xczu7ev-ffvc1156-2-e,10.0,90.74714,2925,6,28,26,71,block_4_1,block_16_1,block_16_1,cyclic_16_1,cyclic_4_1,pipeline_1,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_4,unroll_8,unroll_4,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline_1,pipeline_1,pipeline_1,pipeline,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_8,unroll_4,unroll_8,unroll,unroll_2,pipeline_1,unroll,pipeline_1,unroll_4,32.75,0.4690307432737417,False
workload_388.cpp,xczu7ev-ffvc1156-2-e,10.0,58.64528,2729,6,57,40,93,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,49.0,0.245415263118068,False
workload_397.cpp,xczu7ev-ffvc1156-2-e,10.0,63.09353,2497,2,51,37,92,cyclic_2_1,block_16_1,block_16_1,block_4_1,cyclic_16_1,unroll_4,pipeline,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll,unroll_2,unroll_4,unroll,pipeline_1,unroll_2,pipeline_1,unroll,unroll_2,pipeline,unroll_2,unroll_8,pipeline,pipeline_1,unroll_4,unroll_4,pipeline,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,45.5,0.28219180766208063,False
workload_399.cpp,xczu7ev-ffvc1156-2-e,10.0,61.43714,2566,4,60,44,99,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,51.75,0.20757955797783112,False
workload_400.cpp,xczu7ev-ffvc1156-2-e,10.0,430.92159,2273,6,11,31,78,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline,unroll_8,pipeline,31.5,0.35662879116741075,False
workload_401.cpp,xczu7ev-ffvc1156-2-e,10.0,58.63544,2524,3,50,36,89,cyclic_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_2,unroll_8,unroll,unroll,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_32,unroll_2,unroll_2,unroll,unroll_2,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline,44.5,0.2957785055637091,False
workload_402.cpp,xczu7ev-ffvc1156-2-e,10.0,62.62168,2680,7,54,37,89,cyclic_2_1,block_64_1,block_16_1,block_8_1,block_4_1,unroll_4,unroll_8,unroll,unroll_2,pipeline_1,pipeline,pipeline,unroll_8,pipeline_1,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline_1,pipeline_1,unroll,pipeline_1,unroll_2,pipeline,unroll_2,unroll,pipeline_1,unroll_2,unroll_8,pipeline,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_8,46.75,0.2681949193315615,False
workload_403.cpp,xczu7ev-ffvc1156-2-e,10.0,57.08085,2681,6,45,39,97,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,pipeline,pipeline_1,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll,pipeline,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll_2,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,46.75,0.2703142836739756,False
workload_407.cpp,xczu7ev-ffvc1156-2-e,10.0,58.64528,2757,6,57,40,93,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline_1,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,unroll,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,49.0,0.245415263118068,False
workload_411.cpp,xczu7ev-ffvc1156-2-e,10.0,59.84947,2719,9,40,39,96,cyclic_8_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,46.0,0.27771813446765814,False
workload_413.cpp,xczu7ev-ffvc1156-2-e,10.0,57.50765,2615,6,45,38,94,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,45.75,0.2814887546517029,False
workload_416.cpp,xczu7ev-ffvc1156-2-e,10.0,55.5174,2556,4,52,40,93,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,47.25,0.2653552583590868,False
workload_419.cpp,xczu7ev-ffvc1156-2-e,10.0,58.16708,2529,7,45,36,88,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,pipeline_1,pipeline,unroll_4,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll,pipeline_1,unroll_2,unroll_8,pipeline,unroll_8,pipeline,44.0,0.3019531218645074,False
workload_421.cpp,xczu7ev-ffvc1156-2-e,10.0,90.73874,2828,12,30,25,72,block_4_1,block_8_1,block_16_1,cyclic_16_1,cyclic_4_1,pipeline_1,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_4,unroll_8,unroll_4,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline_1,pipeline_1,pipeline_1,pipeline,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_8,unroll,unroll_8,unroll_4,unroll_8,unroll,unroll_2,pipeline_1,unroll,pipeline_1,unroll_4,34.75,0.4266394556305958,False
workload_423.cpp,xczu7ev-ffvc1156-2-e,10.0,60.8046,2376,6,45,37,90,block_2_1,block_16_1,block_64_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline_1,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,44.5,0.29491883803756036,False
workload_424.cpp,xczu7ev-ffvc1156-2-e,10.0,58.857,2467,4,56,42,94,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,pipeline_1,unroll,unroll_8,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline,49.0,0.24533797816461406,False
workload_428.cpp,xczu7ev-ffvc1156-2-e,10.0,60.52716,2322,8,48,38,92,cyclic_8_1,block_16_1,block_64_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll_4,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,46.5,0.2717964879532921,False
