Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Area,Weight,is_pareto
viterbi_124.c,xczu7ev-ffvc1156-2-e,10.0,3.12863,436,10,1,11,47,block_128_1,unroll_8,unroll_8,unroll_2,pipeline,pipeline,pipeline_1,unroll_2,17.25,0.6018025864877082,False
viterbi_125.c,xczu7ev-ffvc1156-2-e,10.0,80.81898,108,10,1,3,16,cyclic_16_2,unroll,unroll_2,unroll,unroll_8,unroll_4,unroll_2,unroll_2,7.5,0.11618768945674789,False
viterbi_126.c,xczu7ev-ffvc1156-2-e,10.0,7.03199,220,8,1,6,23,block_2_1,unroll_4,unroll_2,unroll,unroll_32,pipeline,pipeline_1,pipeline_1,9.5,0.818548802889793,False
viterbi_127.c,xczu7ev-ffvc1156-2-e,10.0,22.17537,111,5,1,2,14,block_128_1,unroll,unroll_4,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,5.5,0.7099374369815481,False
viterbi_128.c,xczu7ev-ffvc1156-2-e,10.0,3.26348,497,7,1,13,53,cyclic_4_2,unroll_8,unroll_8,unroll_16,unroll_16,pipeline,unroll_8,unroll_4,18.5,0.5632385709073366,False
viterbi_129.c,xczu7ev-ffvc1156-2-e,10.0,3.25712,336,7,1,10,42,cyclic_4_2,unroll_32,unroll_8,pipeline_1,unroll_2,pipeline,unroll_8,pipeline_1,15.0,0.675431247106154,False
viterbi_130.c,xczu7ev-ffvc1156-2-e,10.0,74.56958,323,7,11,14,31,block_4_1,unroll_4,unroll_16,unroll_4,unroll_32,unroll_2,unroll_2,unroll_2,15.75,0.12366021809963276,False
viterbi_131.c,xczu7ev-ffvc1156-2-e,10.0,74.60016,121,10,1,4,14,cyclic_16_2,unroll_32,unroll_2,unroll,pipeline_1,unroll_2,unroll_2,unroll_4,7.25,0.13879227612356235,False
viterbi_132.c,xczu7ev-ffvc1156-2-e,10.0,8.18771,415,8,1,7,25,cyclic_8_1,unroll_16,unroll_16,pipeline_1,pipeline,unroll_4,unroll_16,pipeline_1,10.25,0.7937367980387245,False
viterbi_133.c,xczu7ev-ffvc1156-2-e,10.0,7.05635,165,7,1,4,19,cyclic_4_1,unroll_4,unroll_2,unroll_4,unroll_8,pipeline,unroll_8,pipeline_1,7.75,0.8519012869551368,False
viterbi_134.c,xczu7ev-ffvc1156-2-e,10.0,3.02806,142,10,1,5,17,cyclic_32_2,unroll_8,unroll_2,pipeline,pipeline_1,pipeline,pipeline_1,unroll_8,8.25,0.8723191334062731,False
viterbi_135.c,xczu7ev-ffvc1156-2-e,10.0,7.91518,676,7,1,10,54,cyclic_4_2,unroll_16,unroll_2,unroll,unroll_32,unroll_4,unroll_16,pipeline,18.0,0.5749611099688307,False
viterbi_136.c,xczu7ev-ffvc1156-2-e,10.0,3.11204,463,10,1,12,46,cyclic_32_2,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline,unroll_2,unroll_4,17.25,0.6017828286565647,False
viterbi_138.c,xczu7ev-ffvc1156-2-e,10.0,22.25178,697,7,1,11,57,cyclic_4_2,unroll_4,unroll_2,unroll,unroll_32,unroll_4,unroll_16,unroll_8,19.0,0.4661266461598821,False
viterbi_139.c,xczu7ev-ffvc1156-2-e,10.0,8.0519,413,10,1,10,35,cyclic_16_2,unroll_32,unroll_16,unroll_4,unroll_16,unroll_8,pipeline,pipeline,14.0,0.6986763235230582,False
viterbi_140.c,xczu7ev-ffvc1156-2-e,10.0,3.03854,168,8,1,6,22,cyclic_8_2,unroll_32,unroll_4,pipeline,unroll_4,pipeline,pipeline_1,unroll,9.25,0.8539740587670996,False
viterbi_141.c,xczu7ev-ffvc1156-2-e,10.0,7.50406,211,5,1,6,26,cyclic_2_1,pipeline,unroll_4,pipeline,unroll_16,pipeline,unroll_2,unroll_4,9.5,0.8142613439622116,False
viterbi_142.c,xczu7ev-ffvc1156-2-e,10.0,7.09137,239,7,3,7,26,block_4_1,unroll_32,unroll_4,pipeline,unroll_4,pipeline,pipeline_1,pipeline_1,10.75,0.794492066109448,False
viterbi_143.c,xczu7ev-ffvc1156-2-e,10.0,75.11825,131,8,1,4,19,cyclic_8_2,unroll,unroll_2,unroll,unroll_16,unroll_8,unroll_2,unroll_2,8.0,0.13580160153392362,False
viterbi_145.c,xczu7ev-ffvc1156-2-e,10.0,3.26347,504,7,1,12,53,cyclic_4_2,unroll,unroll_8,unroll_4,unroll_16,pipeline,unroll_8,pipeline_1,18.25,0.5708601134732121,False
viterbi_148.c,xczu7ev-ffvc1156-2-e,10.0,8.18649,104,8,1,3,12,cyclic_8_2,unroll,unroll_8,unroll_4,unroll_4,unroll_4,unroll_8,pipeline,6.0,0.9031128128531258,False
viterbi_149.c,xczu7ev-ffvc1156-2-e,10.0,75.11203,71,8,1,2,9,cyclic_8_2,unroll_4,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,5.0,0.13802766956863952,False
viterbi_150.c,xczu7ev-ffvc1156-2-e,10.0,77.25535,276,8,1,8,34,cyclic_8_2,unroll,unroll_16,unroll_4,unroll_16,unroll_4,unroll_2,unroll_2,12.75,0.12108833692990137,False
viterbi_151.c,xczu7ev-ffvc1156-2-e,10.0,83.19961,817,9,1,15,67,cyclic_8_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_4,unroll_16,unroll_4,23.0,0.10000000000000002,False
viterbi_152.c,xczu7ev-ffvc1156-2-e,10.0,8.14627,254,10,1,5,24,cyclic_32_2,unroll_32,unroll_16,pipeline,unroll_4,unroll_4,pipeline,pipeline,10.0,0.7988082065717398,False
viterbi_153.c,xczu7ev-ffvc1156-2-e,10.0,7.97738,59,9,1,1,5,cyclic_8_1,unroll_4,unroll_2,pipeline,unroll_8,unroll_4,pipeline_1,pipeline,4.0,0.9667084894465866,False
viterbi_154.c,xczu7ev-ffvc1156-2-e,10.0,3.12009,891,7,1,20,82,cyclic_4_2,unroll_32,unroll_16,pipeline_1,pipeline,pipeline,unroll_8,pipeline_1,27.5,0.32984405468627676,False
viterbi_155.c,xczu7ev-ffvc1156-2-e,10.0,7.11784,409,8,1,10,45,cyclic_2_1,pipeline,unroll_8,unroll,unroll_2,pipeline,pipeline_1,unroll,16.0,0.6389687124451474,False
viterbi_157.c,xczu7ev-ffvc1156-2-e,10.0,7.31442,1550,7,9,28,90,block_4_1,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline,pipeline_1,pipeline,33.5,0.21902641379830468,False
viterbi_158.c,xczu7ev-ffvc1156-2-e,10.0,76.62746,82,5,1,3,11,cyclic_2_1,pipeline,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,5.0,0.1317120894469557,False
viterbi_159.c,xczu7ev-ffvc1156-2-e,10.0,6.92303,118,7,1,3,12,cyclic_4_1,pipeline,unroll_2,pipeline_1,unroll_2,pipeline,pipeline_1,pipeline,5.75,0.9164087301648928,False
viterbi_160.c,xczu7ev-ffvc1156-2-e,10.0,3.04142,156,10,1,6,22,block_32_2,pipeline_1,unroll_4,unroll_2,unroll_4,pipeline,pipeline_1,unroll_4,9.75,0.8447731684320129,False
viterbi_161.c,xczu7ev-ffvc1156-2-e,10.0,22.80819,202,7,1,6,27,cyclic_4_2,unroll_32,unroll_8,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_8,10.25,0.6241073733427522,False
viterbi_162.c,xczu7ev-ffvc1156-2-e,10.0,7.07247,220,7,2,7,25,block_4_1,unroll_32,unroll_4,pipeline,unroll_2,pipeline,pipeline_1,pipeline_1,10.25,0.8040248649312225,False
viterbi_163.c,xczu7ev-ffvc1156-2-e,10.0,74.54128,172,5,1,7,20,cyclic_2_1,pipeline,unroll_2,pipeline,unroll_64,unroll_4,pipeline_1,unroll_8,8.25,0.13797010246372188,False
viterbi_164.c,xczu7ev-ffvc1156-2-e,10.0,3.05811,169,20,1,8,18,cyclic_8_1,unroll_4,unroll_2,pipeline,unroll_8,pipeline,pipeline_1,unroll_4,11.75,0.7895397523893426,False
viterbi_165.c,xczu7ev-ffvc1156-2-e,10.0,3.23724,348,7,1,11,48,cyclic_4_2,unroll_4,unroll_2,unroll,pipeline,unroll_4,unroll,unroll,16.75,0.6178352227372367,False
viterbi_166.c,xczu7ev-ffvc1156-2-e,10.0,75.10902,76,7,1,2,9,cyclic_4_2,unroll,unroll_4,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,4.75,0.1381225566047772,False
viterbi_167.c,xczu7ev-ffvc1156-2-e,10.0,3.12291,760,5,1,15,68,cyclic_2_2,unroll_32,unroll_4,pipeline,unroll_32,pipeline,unroll_16,pipeline_1,22.25,0.4561707468064947,False
viterbi_168.c,xczu7ev-ffvc1156-2-e,10.0,3.12323,746,5,1,13,63,cyclic_2_2,unroll_16,unroll_2,unroll,unroll_32,pipeline,unroll_16,pipeline,20.5,0.5043494296835334,False
viterbi_169.c,xczu7ev-ffvc1156-2-e,10.0,38.78898,80,5,1,2,9,block_128_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_4,unroll_8,unroll_4,4.25,0.46152049187265887,False
viterbi_170.c,xczu7ev-ffvc1156-2-e,10.0,8.14654,250,10,1,5,24,cyclic_32_2,pipeline_1,unroll_16,pipeline,unroll_4,unroll_4,pipeline_1,pipeline,10.0,0.7988056304009511,False
viterbi_171.c,xczu7ev-ffvc1156-2-e,10.0,3.0388,119,8,1,5,17,cyclic_8_2,unroll_32,unroll_2,unroll,unroll_4,pipeline,pipeline_1,unroll,7.75,0.8813122046581121,False
viterbi_172.c,xczu7ev-ffvc1156-2-e,10.0,3.05901,941,20,1,17,49,cyclic_16_1,pipeline,unroll_4,unroll,unroll_16,pipeline,pipeline_1,pipeline,21.75,0.46957585528333334,False
viterbi_173.c,xczu7ev-ffvc1156-2-e,10.0,22.17502,120,5,1,3,14,block_128_1,unroll,unroll_4,pipeline,unroll_4,unroll_4,pipeline,unroll_8,5.75,0.7076623274478026,False
viterbi_174.c,xczu7ev-ffvc1156-2-e,10.0,3.25776,300,7,1,10,41,cyclic_4_2,unroll_4,unroll_8,pipeline_1,unroll_2,pipeline,unroll_8,unroll_4,14.75,0.6838942002383356,False
viterbi_175.c,xczu7ev-ffvc1156-2-e,10.0,3.33669,196,10,1,7,29,block_128_1,unroll_8,unroll_4,pipeline,unroll_16,pipeline,unroll_4,unroll_2,11.75,0.7899468653653231,False
viterbi_176.c,xczu7ev-ffvc1156-2-e,10.0,22.15934,384,5,1,9,45,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_8,15.0,0.549091590777981,False
viterbi_177.c,xczu7ev-ffvc1156-2-e,10.0,3.26363,1110,7,1,21,90,cyclic_4_2,unroll_8,unroll_16,unroll_16,unroll_16,pipeline,unroll_8,pipeline,29.75,0.28416263239401585,False
viterbi_178.c,xczu7ev-ffvc1156-2-e,10.0,6.91157,270,5,1,6,27,cyclic_2_1,pipeline,unroll_4,pipeline,pipeline,pipeline,unroll_8,unroll_4,9.75,0.8148831396541419,False
viterbi_180.c,xczu7ev-ffvc1156-2-e,10.0,6.78667,292,9,1,9,41,cyclic_8_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_2,pipeline_1,unroll,15.0,0.6720678567144986,False
viterbi_181.c,xczu7ev-ffvc1156-2-e,10.0,8.13833,162,10,1,5,18,cyclic_32_2,unroll_8,unroll_8,pipeline,pipeline_1,unroll_4,pipeline_1,pipeline,8.5,0.8272757246180503,False
viterbi_182.c,xczu7ev-ffvc1156-2-e,10.0,8.19349,167,5,1,6,19,cyclic_2_1,unroll_4,unroll_16,unroll_4,unroll_8,unroll_4,unroll_8,pipeline,7.75,0.8411355094688046,False
viterbi_183.c,xczu7ev-ffvc1156-2-e,10.0,7.83971,59,8,1,1,5,cyclic_8_2,pipeline_1,unroll_4,pipeline,unroll_2,unroll_4,pipeline_1,pipeline_1,3.75,0.9734333734887688,False
viterbi_184.c,xczu7ev-ffvc1156-2-e,10.0,3.11132,424,10,1,12,46,cyclic_32_2,unroll_8,unroll_8,pipeline_1,pipeline_1,pipeline,pipeline_1,pipeline,17.25,0.6017819657848446,False
viterbi_185.c,xczu7ev-ffvc1156-2-e,10.0,79.94545,202,9,1,6,30,cyclic_8_1,unroll_8,unroll_8,unroll_8,unroll_2,unroll_4,pipeline_1,unroll_4,11.5,0.11501373442289808,False
viterbi_186.c,xczu7ev-ffvc1156-2-e,10.0,7.82517,135,9,1,5,15,cyclic_8_2,unroll_32,unroll_4,pipeline,unroll_8,unroll_16,pipeline_1,pipeline_1,7.5,0.8496197861122345,False
viterbi_187.c,xczu7ev-ffvc1156-2-e,10.0,3.74984,343,8,1,11,44,cyclic_8_2,unroll,unroll_8,pipeline,unroll_8,pipeline,unroll_2,pipeline,16.0,0.6426319125907788,False
viterbi_188.c,xczu7ev-ffvc1156-2-e,10.0,71.62409,100,5,1,2,11,block_64_1,unroll_8,unroll_4,pipeline,pipeline,unroll_4,unroll,unroll_2,4.75,0.15484268228517512,False
viterbi_189.c,xczu7ev-ffvc1156-2-e,10.0,3.03914,148,8,1,6,21,cyclic_8_2,pipeline_1,unroll_4,pipeline,unroll_2,pipeline,pipeline_1,pipeline_1,9.0,0.8585541369507796,False
viterbi_190.c,xczu7ev-ffvc1156-2-e,10.0,7.91487,651,7,1,11,55,cyclic_4_2,unroll_16,unroll_4,unroll,unroll_32,unroll_4,unroll_16,pipeline_1,18.5,0.5600093152898367,False
viterbi_191.c,xczu7ev-ffvc1156-2-e,10.0,76.6279,87,5,1,3,11,cyclic_2_1,pipeline,unroll_8,unroll_4,unroll_2,unroll_4,pipeline_1,unroll_2,5.0,0.1317103389116947,False
viterbi_192.c,xczu7ev-ffvc1156-2-e,10.0,3.75867,922,7,1,20,83,cyclic_4_2,unroll_32,unroll_16,pipeline_1,unroll_16,pipeline,unroll_2,pipeline_1,27.75,0.3247647705173723,False
viterbi_193.c,xczu7ev-ffvc1156-2-e,10.0,11.32306,312,5,1,10,27,block_128_1,unroll_8,unroll_64,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline,10.75,0.7524757452373645,False
viterbi_194.c,xczu7ev-ffvc1156-2-e,10.0,3.26382,463,5,1,12,53,cyclic_2_2,unroll_32,unroll_8,unroll_4,unroll_16,pipeline,unroll_8,pipeline_1,17.75,0.5862861824387279,False
viterbi_195.c,xczu7ev-ffvc1156-2-e,10.0,3.12009,932,7,1,20,82,cyclic_4_2,unroll_32,unroll_16,pipeline_1,pipeline,pipeline_1,unroll_8,pipeline_1,27.5,0.32984405468627676,False
