Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_4_1,Area,Weight,is_pareto
bbgemm_81.c,xczu7ev-ffvc1156-2-e,10.0,10.90669,151,1,1,17,24,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,10.75,0.4438676813284167,False
bbgemm_82.c,xczu7ev-ffvc1156-2-e,10.0,12.87237,78,1,1,8,12,unroll_2,unroll_16,unroll_2,pipeline,pipeline,5.5,0.5065260626728909,False
bbgemm_83.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,368,1,1,40,48,unroll_16,unroll_8,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_84.c,xczu7ev-ffvc1156-2-e,10.0,14.48515,387,1,1,33,50,unroll_4,unroll_32,unroll_4,pipeline,unroll_4,21.25,0.1738005806328446,False
bbgemm_85.c,xczu7ev-ffvc1156-2-e,10.0,12.19163,82,1,1,8,12,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,5.5,0.5302000000382372,False
bbgemm_86.c,xczu7ev-ffvc1156-2-e,10.0,1.94073,2289,1,14,86,79,unroll_4,pipeline,pipeline_1,pipeline,unroll,45.0,0.10739946757066507,False
bbgemm_93.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,140,1,1,21,25,unroll_32,unroll_4,unroll_2,pipeline_1,pipeline_1,12.0,0.6580975932480537,False
bbgemm_95.c,xczu7ev-ffvc1156-2-e,10.0,12.87261,52,1,1,4,6,unroll_2,unroll_4,unroll_2,pipeline,pipeline_1,3.0,0.5586975459366788,False
bbgemm_98.c,xczu7ev-ffvc1156-2-e,10.0,10.79384,463,1,1,23,34,unroll_8,unroll_4,unroll_2,unroll_4,pipeline,14.75,0.34861505984473284,False
bbgemm_99.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,347,1,1,40,48,unroll_32,unroll,unroll_2,pipeline,pipeline,22.5,0.45290004194477307,False
bbgemm_100.c,xczu7ev-ffvc1156-2-e,10.0,9.54968,1956,1,1,51,76,unroll_16,unroll_4,unroll_8,unroll_2,pipeline_1,32.25,0.15836506313638393,False
bbgemm_101.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,68,1,1,10,12,unroll_32,unroll_2,unroll_2,pipeline,pipeline_1,6.0,0.8614371623326819,False
bbgemm_103.c,xczu7ev-ffvc1156-2-e,10.0,1.46501,297,1,6,68,37,unroll_4,unroll_16,pipeline,unroll_4,unroll_4,28.0,0.39769443430713514,False
bbgemm_104.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,368,1,1,40,48,unroll_32,unroll,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_110.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,134,1,1,20,24,unroll_16,unroll_4,unroll_2,pipeline,unroll_2,11.5,0.6685661806023799,False
bbgemm_114.c,xczu7ev-ffvc1156-2-e,10.0,1.91385,1079,1,14,44,40,unroll_2,pipeline,pipeline,unroll_2,unroll_2,24.75,0.4473984935111601,False
bbgemm_120.c,xczu7ev-ffvc1156-2-e,10.0,10.90653,157,1,1,17,24,unroll_2,unroll_4,unroll_8,pipeline_1,pipeline,10.75,0.443871898834753,False
bbgemm_121.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,83,1,1,9,12,unroll_2,unroll,unroll_2,pipeline_1,pipeline_1,5.75,0.5693145386487025,False
bbgemm_122.c,xczu7ev-ffvc1156-2-e,10.0,1.46501,253,1,6,68,37,unroll_4,unroll,pipeline,unroll_4,unroll_4,28.0,0.39769443430713514,False
bbgemm_123.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,334,1,1,42,49,unroll_32,unroll,unroll_2,pipeline_1,pipeline,23.25,0.43893251186578963,False
bbgemm_125.c,xczu7ev-ffvc1156-2-e,10.0,1.94073,2007,1,14,87,77,unroll_4,pipeline,pipeline,pipeline_1,unroll_2,44.75,0.10863899659513751,False
bbgemm_132.c,xczu7ev-ffvc1156-2-e,10.0,14.48539,86,1,1,8,13,unroll_4,unroll_4,unroll_2,pipeline,unroll_4,5.75,0.4479772807860689,False
bbgemm_133.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,127,1,1,21,25,unroll,unroll_4,unroll_2,pipeline_1,pipeline_1,12.0,0.6580975932480537,False
bbgemm_134.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,146,1,1,20,24,unroll_32,unroll_4,unroll_2,pipeline,pipeline,11.5,0.6685661806023799,False
bbgemm_137.c,xczu7ev-ffvc1156-2-e,10.0,11.69501,51,1,1,3,6,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,2.75,0.6087585040333178,False
bbgemm_138.c,xczu7ev-ffvc1156-2-e,10.0,2.93243,266,1,3,17,15,unroll_4,unroll_2,pipeline_1,pipeline,unroll,9.0,0.7406421240916319,False
bbgemm_139.c,xczu7ev-ffvc1156-2-e,10.0,1.70171,289,1,5,72,37,unroll_4,unroll_16,pipeline,unroll_4,unroll,28.75,0.37551017484251403,False
bbgemm_140.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,1256,1,1,81,99,unroll,unroll_4,unroll_8,pipeline,unroll_2,45.5,0.10439537968872217,False
bbgemm_142.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,1521,1,1,69,98,unroll_2,unroll_8,unroll_16,pipeline_1,unroll_2,42.25,0.10000000000000005,False
bbgemm_144.c,xczu7ev-ffvc1156-2-e,10.0,10.79384,444,1,1,23,34,unroll,unroll_4,unroll_2,unroll_4,pipeline,14.75,0.34861505984473284,False
bbgemm_146.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,1374,1,1,69,98,unroll_2,unroll,unroll_16,pipeline_1,pipeline,42.25,0.10000000000000005,False
bbgemm_150.c,xczu7ev-ffvc1156-2-e,10.0,1.24949,238,1,6,62,37,unroll_4,unroll,pipeline_1,pipeline,pipeline_1,26.5,0.4326187056124492,False
bbgemm_159.c,xczu7ev-ffvc1156-2-e,10.0,0.95949,74,1,6,22,17,unroll_2,unroll_4,pipeline_1,pipeline,pipeline,11.5,1.0,True
bbgemm_160.c,xczu7ev-ffvc1156-2-e,10.0,14.48539,74,1,1,8,13,unroll_4,unroll_4,unroll_2,pipeline,unroll_2,5.75,0.4479772807860689,False
bbgemm_161.c,xczu7ev-ffvc1156-2-e,10.0,1.10281,129,1,6,43,27,unroll_2,unroll_16,pipeline,unroll_4,pipeline_1,19.25,0.579754528011923,False
bbgemm_162.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,145,1,1,21,25,unroll_32,unroll_4,unroll_2,pipeline_1,unroll_4,12.0,0.6580975932480537,False
bbgemm_163.c,xczu7ev-ffvc1156-2-e,10.0,10.87576,161,1,1,12,18,unroll_16,unroll_4,unroll_2,unroll_2,pipeline,8.0,0.5143751040166072,False
bbgemm_164.c,xczu7ev-ffvc1156-2-e,10.0,11.68453,182,1,1,14,24,unroll_2,unroll_16,unroll_4,unroll_2,pipeline_1,10.0,0.4413100459664979,False
bbgemm_165.c,xczu7ev-ffvc1156-2-e,10.0,10.90669,37,1,1,2,3,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,1.75,0.6604430732708156,False
bbgemm_166.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,145,1,1,20,24,unroll,unroll_4,unroll_2,pipeline,unroll_2,11.5,0.6685661806023799,False
bbgemm_167.c,xczu7ev-ffvc1156-2-e,10.0,12.87237,157,1,1,17,25,unroll_2,unroll,unroll_4,pipeline,unroll_4,11.0,0.3860626240357018,False
bbgemm_168.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,365,1,1,42,49,unroll_32,unroll_8,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_169.c,xczu7ev-ffvc1156-2-e,10.0,14.48555,51,1,1,4,7,unroll_4,unroll_2,unroll_2,pipeline,unroll,3.25,0.49582649654636146,False
bbgemm_170.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,376,1,1,34,49,unroll_2,unroll,unroll_8,pipeline_1,pipeline_1,21.25,0.22267295285369604,False
bbgemm_171.c,xczu7ev-ffvc1156-2-e,10.0,9.48312,457,1,1,25,38,unroll_8,unroll_4,unroll_2,unroll_4,pipeline_1,16.25,0.3362467621900877,False
bbgemm_172.c,xczu7ev-ffvc1156-2-e,10.0,10.90653,46,1,1,4,6,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline,3.0,0.6335119132033613,False
bbgemm_174.c,xczu7ev-ffvc1156-2-e,10.0,11.69499,75,1,1,7,11,unroll_4,unroll_4,unroll_2,unroll_2,pipeline_1,5.0,0.5592070612273634,False
bbgemm_175.c,xczu7ev-ffvc1156-2-e,10.0,2.93211,510,1,3,32,28,unroll_4,unroll_4,pipeline_1,pipeline,unroll,16.0,0.5870190778476618,False
bbgemm_177.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,375,1,1,40,48,unroll_16,unroll_16,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_178.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,367,1,1,40,48,unroll_32,unroll_8,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_179.c,xczu7ev-ffvc1156-2-e,10.0,1.91385,1109,1,14,44,40,unroll_2,pipeline,unroll_16,pipeline_1,unroll_4,24.75,0.4473984935111601,False
bbgemm_180.c,xczu7ev-ffvc1156-2-e,10.0,1.91385,1002,1,14,44,40,unroll_2,pipeline,pipeline,pipeline,unroll_2,24.75,0.4473984935111601,False
bbgemm_181.c,xczu7ev-ffvc1156-2-e,10.0,12.87261,164,1,1,17,25,unroll_2,unroll_4,unroll_8,pipeline,unroll_4,11.0,0.3860563236329666,False
bbgemm_182.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,1233,1,1,80,99,unroll_32,unroll_2,unroll_16,pipeline,pipeline_1,45.25,0.10534969898765029,False
bbgemm_183.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,157,1,1,21,25,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_2,12.0,0.6580975932480537,False
bbgemm_184.c,xczu7ev-ffvc1156-2-e,10.0,12.87237,80,1,1,8,12,unroll_2,unroll,unroll_2,pipeline,pipeline,5.5,0.5065260626728909,False
bbgemm_185.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,1244,1,1,81,99,unroll_32,unroll_4,unroll_8,pipeline,pipeline_1,45.5,0.10439537968872217,False
bbgemm_186.c,xczu7ev-ffvc1156-2-e,10.0,1.10317,78,1,6,22,17,unroll_2,unroll_4,pipeline,unroll_2,unroll_2,11.5,0.7342424871298999,False
bbgemm_187.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,67,1,1,10,13,unroll_32,unroll_2,unroll_2,pipeline_1,pipeline,6.25,0.8504767923727516,False
bbgemm_188.c,xczu7ev-ffvc1156-2-e,10.0,1.46501,250,1,6,68,37,unroll_4,unroll_8,pipeline,unroll_4,unroll_4,28.0,0.39769443430713514,False
bbgemm_189.c,xczu7ev-ffvc1156-2-e,10.0,1.24949,269,1,6,62,37,unroll_4,unroll,pipeline_1,pipeline,pipeline,26.5,0.4326187056124492,False
bbgemm_192.c,xczu7ev-ffvc1156-2-e,10.0,1.94073,2253,1,14,87,77,unroll_4,pipeline,unroll_2,pipeline_1,pipeline,44.75,0.10863899659513751,False
bbgemm_194.c,xczu7ev-ffvc1156-2-e,10.0,1.94073,1933,1,14,87,77,unroll_4,pipeline,pipeline_1,pipeline_1,pipeline_1,44.75,0.10863899659513751,False
bbgemm_198.c,xczu7ev-ffvc1156-2-e,10.0,10.90653,47,1,1,4,6,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,3.0,0.6335119132033613,False
bbgemm_199.c,xczu7ev-ffvc1156-2-e,10.0,0.95949,70,1,6,22,17,unroll_2,unroll_4,pipeline_1,pipeline,pipeline_1,11.5,1.0,True
bbgemm_200.c,xczu7ev-ffvc1156-2-e,10.0,1.25019,70,1,6,17,15,unroll_4,unroll_2,pipeline_1,pipeline,pipeline_1,9.75,0.7663564262487848,False
bbgemm_201.c,xczu7ev-ffvc1156-2-e,10.0,10.87592,76,1,1,6,9,unroll_16,unroll_2,unroll_2,unroll_2,pipeline,4.25,0.6062080975552723,False
bbgemm_202.c,xczu7ev-ffvc1156-2-e,10.0,1.10281,125,1,6,43,27,unroll_2,unroll,pipeline,pipeline,unroll_2,19.25,0.579754528011923,False
bbgemm_203.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,71,1,1,10,12,unroll_16,unroll_2,unroll_2,pipeline,pipeline_1,6.0,0.8614371623326819,False
bbgemm_204.c,xczu7ev-ffvc1156-2-e,10.0,2.08984,156,1,1,27,26,unroll_16,unroll_4,unroll_2,pipeline_1,unroll,13.75,0.6599232303693566,False
bbgemm_205.c,xczu7ev-ffvc1156-2-e,10.0,12.19163,89,1,1,8,13,unroll_4,unroll_4,unroll_2,pipeline_1,unroll,5.75,0.5246025264388513,False
bbgemm_206.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,73,1,1,9,12,unroll_2,unroll,unroll_2,pipeline_1,pipeline,5.75,0.5693145386487025,False
bbgemm_207.c,xczu7ev-ffvc1156-2-e,10.0,1.10317,69,1,6,22,17,unroll_2,unroll_4,pipeline,unroll_4,pipeline_1,11.5,0.7342424871298999,False
bbgemm_209.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,66,1,1,10,12,unroll,unroll_2,unroll_2,pipeline,pipeline_1,6.0,0.8614371623326819,False
bbgemm_210.c,xczu7ev-ffvc1156-2-e,10.0,11.69475,171,1,1,14,24,unroll_4,unroll,unroll_2,unroll_2,pipeline_1,10.0,0.44102902280430023,False
bbgemm_211.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,131,1,1,21,25,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,12.0,0.6580975932480537,False
bbgemm_212.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,146,1,1,20,24,unroll,unroll_4,unroll_2,pipeline,pipeline_1,11.5,0.6685661806023799,False
bbgemm_213.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,381,1,1,42,49,unroll_8,unroll_8,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_214.c,xczu7ev-ffvc1156-2-e,10.0,1.70171,306,1,5,72,37,unroll_4,unroll_32,pipeline,unroll_4,unroll,28.75,0.37551017484251403,False
bbgemm_215.c,xczu7ev-ffvc1156-2-e,10.0,10.79384,478,1,1,23,34,unroll_32,unroll_4,unroll_2,unroll_4,pipeline,14.75,0.34861505984473284,False
bbgemm_216.c,xczu7ev-ffvc1156-2-e,10.0,1.24987,113,1,6,32,26,unroll_4,unroll_4,pipeline_1,pipeline,pipeline_1,16.25,0.6346499730415681,False
bbgemm_217.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,124,1,1,20,24,unroll_8,unroll_4,unroll_2,pipeline,pipeline_1,11.5,0.6685661806023799,False
bbgemm_218.c,xczu7ev-ffvc1156-2-e,10.0,9.48312,430,1,1,25,38,unroll_16,unroll_4,unroll_2,unroll_4,pipeline_1,16.25,0.3362467621900877,False
bbgemm_219.c,xczu7ev-ffvc1156-2-e,10.0,12.87237,81,1,1,8,12,unroll_2,unroll,unroll_2,pipeline,pipeline_1,5.5,0.5065260626728909,False
bbgemm_220.c,xczu7ev-ffvc1156-2-e,10.0,2.08984,145,1,1,27,26,unroll,unroll_4,unroll_2,pipeline_1,unroll,13.75,0.6599232303693566,False
bbgemm_221.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,368,1,1,40,48,unroll_8,unroll_8,unroll_2,pipeline,pipeline,22.5,0.45290004194477307,False
bbgemm_222.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,125,1,1,20,24,unroll,unroll_4,unroll_2,pipeline,pipeline,11.5,0.6685661806023799,False
bbgemm_224.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,317,1,1,40,49,unroll_32,unroll_2,unroll_8,pipeline,pipeline,22.75,0.4482008421534739,False
bbgemm_225.c,xczu7ev-ffvc1156-2-e,10.0,11.61285,160,1,1,14,23,unroll_2,unroll_16,unroll_2,unroll_4,pipeline_1,9.75,0.4493003604685819,False
bbgemm_227.c,xczu7ev-ffvc1156-2-e,10.0,12.87277,34,1,1,2,3,unroll_2,unroll_2,unroll_2,pipeline,pipeline_1,1.75,0.5834433091837706,False
bbgemm_229.c,xczu7ev-ffvc1156-2-e,10.0,9.5648,454,1,1,25,39,unroll_32,unroll_8,unroll_2,unroll_2,pipeline_1,16.5,0.32893041531487016,False
bbgemm_230.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,1306,1,1,81,99,unroll_32,unroll_4,unroll_8,pipeline,unroll_2,45.5,0.10439537968872217,False
bbgemm_231.c,xczu7ev-ffvc1156-2-e,10.0,9.36024,1640,1,1,49,72,unroll_32,unroll_4,unroll_2,unroll,pipeline_1,30.75,0.17469499163365193,False
bbgemm_236.c,xczu7ev-ffvc1156-2-e,10.0,0.95981,51,1,6,12,10,unroll_2,unroll_2,pipeline_1,pipeline,pipeline_1,7.25,1.0,True
bbgemm_237.c,xczu7ev-ffvc1156-2-e,10.0,1.25019,75,1,6,17,15,unroll_4,unroll_2,pipeline_1,unroll_4,pipeline_1,9.75,0.7663564262487848,False
bbgemm_238.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,75,1,1,10,13,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline,6.25,0.8504767923727516,False
bbgemm_239.c,xczu7ev-ffvc1156-2-e,10.0,9.5652,75,1,1,6,10,unroll_16,unroll_2,unroll_2,unroll_2,pipeline_1,4.5,0.649710925043015,False
bbgemm_240.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,78,1,1,9,12,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,5.75,0.5693145386487025,False
bbgemm_241.c,xczu7ev-ffvc1156-2-e,10.0,1.74765,92,1,5,20,16,unroll_2,unroll_4,pipeline,unroll_2,unroll,10.5,0.7379302764032942,False
bbgemm_242.c,xczu7ev-ffvc1156-2-e,10.0,0.37896,125,1,6,60,40,unroll_32,unroll_2,pipeline_1,pipeline,pipeline,26.75,1.0,True
bbgemm_243.c,xczu7ev-ffvc1156-2-e,10.0,1.24987,131,1,6,32,26,unroll_4,unroll_4,pipeline_1,pipeline,unroll_2,16.25,0.6346499730415681,False
bbgemm_244.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,78,1,1,10,13,unroll_32,unroll_2,unroll_2,pipeline_1,pipeline_1,6.25,0.8504767923727516,False
bbgemm_245.c,xczu7ev-ffvc1156-2-e,10.0,11.68491,85,1,1,7,11,unroll_4,unroll_2,unroll_4,unroll_2,pipeline_1,5.0,0.5595627242285671,False
bbgemm_246.c,xczu7ev-ffvc1156-2-e,10.0,9.56504,176,1,1,13,20,unroll_8,unroll_4,unroll_2,unroll_2,pipeline_1,8.75,0.5348282566237219,False
bbgemm_247.c,xczu7ev-ffvc1156-2-e,10.0,12.87277,39,1,1,2,3,unroll_2,unroll_2,unroll_2,pipeline,pipeline,1.75,0.5834433091837706,False
bbgemm_248.c,xczu7ev-ffvc1156-2-e,10.0,1.46501,238,1,6,68,37,unroll_4,unroll_16,pipeline,pipeline,pipeline_1,28.0,0.39769443430713514,False
bbgemm_249.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,330,1,1,40,48,unroll_8,unroll_8,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_250.c,xczu7ev-ffvc1156-2-e,10.0,10.87576,178,1,1,12,18,unroll,unroll_4,unroll_2,unroll_2,pipeline,8.0,0.5143751040166072,False
bbgemm_252.c,xczu7ev-ffvc1156-2-e,10.0,0.95949,79,1,6,22,17,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline,11.5,1.0,True
bbgemm_253.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,376,1,1,42,49,unroll_8,unroll_8,unroll_2,pipeline_1,pipeline,23.25,0.43893251186578963,False
bbgemm_254.c,xczu7ev-ffvc1156-2-e,10.0,1.46501,275,1,6,68,37,unroll_4,unroll_32,pipeline,unroll_4,pipeline_1,28.0,0.39769443430713514,False
bbgemm_255.c,xczu7ev-ffvc1156-2-e,10.0,2.80664,356,1,1,15,31,unroll,unroll_4,unroll_2,unroll_4,unroll,12.0,0.6723458205048383,False
bbgemm_256.c,xczu7ev-ffvc1156-2-e,10.0,14.23453,70,1,1,6,9,unroll_2,unroll_4,unroll_2,unroll_4,pipeline,4.25,0.485502261595097,False
bbgemm_257.c,xczu7ev-ffvc1156-2-e,10.0,0.37896,126,1,6,60,40,unroll,unroll_2,pipeline,pipeline,pipeline_1,26.75,1.0,True
bbgemm_258.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,77,1,1,10,12,unroll,unroll_2,unroll_2,pipeline,pipeline,6.0,0.8614371623326819,False
bbgemm_259.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,72,1,1,9,12,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline,5.75,0.5693145386487025,False
bbgemm_260.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,367,1,1,40,48,unroll_16,unroll,unroll_2,pipeline,pipeline_1,22.5,0.45290004194477307,False
bbgemm_262.c,xczu7ev-ffvc1156-2-e,10.0,2.0896,425,1,1,54,48,unroll_32,unroll,unroll_2,pipeline_1,unroll,26.0,0.4199710708546125,False
bbgemm_264.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,341,1,1,40,50,unroll_32,unroll_4,unroll_4,pipeline,pipeline_1,23.0,0.44354985913201295,False
bbgemm_265.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,331,1,1,42,49,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_266.c,xczu7ev-ffvc1156-2-e,10.0,4.14895,916,1,11,63,43,unroll_4,unroll_16,pipeline,pipeline,unroll,29.5,0.3070979794789306,False
bbgemm_268.c,xczu7ev-ffvc1156-2-e,10.0,1.46571,74,1,6,18,15,unroll_4,unroll_2,pipeline,pipeline,pipeline_1,10.0,0.7559229566039293,False
bbgemm_269.c,xczu7ev-ffvc1156-2-e,10.0,1.52173,94,1,5,19,18,unroll_2,unroll_4,pipeline_1,unroll_2,unroll,10.75,0.7388770936283633,False
bbgemm_270.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,126,1,1,20,24,unroll_16,unroll_4,unroll_2,pipeline,pipeline,11.5,0.6685661806023799,False
bbgemm_271.c,xczu7ev-ffvc1156-2-e,10.0,0.95913,132,1,6,41,27,unroll_2,unroll_8,pipeline_1,pipeline,pipeline_1,18.75,1.0,True
bbgemm_272.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,67,1,1,10,12,unroll_8,unroll_2,unroll_2,pipeline,pipeline_1,6.0,0.8614371623326819,False
bbgemm_274.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,336,1,1,40,48,unroll_32,unroll_8,unroll_2,pipeline,pipeline,22.5,0.45290004194477307,False
bbgemm_275.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,372,1,1,42,49,unroll_16,unroll,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_276.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,372,1,1,40,48,unroll_16,unroll_8,unroll_2,pipeline,pipeline,22.5,0.45290004194477307,False
bbgemm_277.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,77,1,1,10,13,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,6.25,0.8504767923727516,False
bbgemm_278.c,xczu7ev-ffvc1156-2-e,10.0,2.08984,422,1,1,54,49,unroll_16,unroll_4,unroll_4,pipeline_1,unroll,26.25,0.41552102021990756,False
bbgemm_279.c,xczu7ev-ffvc1156-2-e,10.0,1.79857,183,1,5,38,24,unroll_2,unroll,pipeline,unroll_2,unroll,17.0,0.6039943018011519,False
bbgemm_280.c,xczu7ev-ffvc1156-2-e,10.0,1.67131,150,1,5,38,27,unroll_4,unroll_4,pipeline,unroll_4,unroll,17.75,0.5932828965178493,False
bbgemm_281.c,xczu7ev-ffvc1156-2-e,10.0,11.69517,39,1,1,1,3,unroll_2,unroll_2,unroll_2,unroll_2,pipeline_1,1.5,1.0,True
bbgemm_282.c,xczu7ev-ffvc1156-2-e,10.0,2.0896,433,1,1,54,48,unroll,unroll_32,unroll_2,pipeline_1,unroll,26.0,0.4199710708546125,False
bbgemm_283.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,77,1,1,10,13,unroll,unroll_2,unroll_2,pipeline_1,pipeline_1,6.25,0.8504767923727516,False
bbgemm_284.c,xczu7ev-ffvc1156-2-e,10.0,2.08984,167,1,1,27,26,unroll_32,unroll_4,unroll_2,pipeline_1,unroll,13.75,0.6599232303693566,False
bbgemm_285.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,352,1,1,42,49,unroll_16,unroll_8,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_286.c,xczu7ev-ffvc1156-2-e,10.0,0.95913,135,1,6,41,27,unroll_2,unroll,pipeline_1,pipeline,pipeline,18.75,1.0,True
bbgemm_287.c,xczu7ev-ffvc1156-2-e,10.0,3.19592,76,1,1,10,12,unroll_32,unroll_2,unroll_2,pipeline,pipeline,6.0,0.8614371623326819,False
