Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
stencil_35.c,xczu7ev-ffvc1156-2-e,10.0,1.64116,569,1,64,3,30,unroll_2,unroll,unroll,pipeline_1,24.5,0.10000000000000003,False
stencil_40.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,28,1,6,1,1,unroll_4,pipeline_1,unroll,unroll,2.25,0.8375852518132246,False
stencil_41.c,xczu7ev-ffvc1156-2-e,10.0,0.83479,31,1,5,1,3,unroll_8,unroll_2,pipeline_1,unroll,2.5,0.6149302841949853,False
stencil_42.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,31,1,12,1,2,unroll_8,pipeline,pipeline,pipeline,4.0,0.7936551771332817,False
stencil_43.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_16,unroll,pipeline_1,1.75,1.0,True
stencil_44.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_2,pipeline_1,pipeline,1.75,1.0,True
stencil_45.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_4,pipeline,unroll,1.75,1.0,True
stencil_46.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_16,pipeline,pipeline_1,1.75,1.0,True
stencil_47.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,25,1,3,1,1,unroll_2,pipeline_1,pipeline,pipeline,1.5,1.0,True
stencil_48.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,27,1,3,1,1,unroll_2,pipeline,pipeline,pipeline,1.5,1.0,True
stencil_49.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline,pipeline_1,unroll,unroll,1.75,1.0,True
stencil_50.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,pipeline_1,pipeline,pipeline_1,1.75,1.0,True
stencil_51.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,50,1,3,1,2,pipeline_1,unroll_4,unroll,pipeline,1.75,1.0,True
stencil_54.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll,pipeline,unroll,1.75,1.0,True
stencil_55.c,xczu7ev-ffvc1156-2-e,10.0,0.83491,66,1,22,1,12,unroll_32,unroll_2,pipeline,pipeline,9.0,0.47033911902229575,False
stencil_56.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline,unroll_4,pipeline_1,unroll,1.75,1.0,True
stencil_57.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline_1,pipeline_1,unroll,unroll,1.75,1.0,True
stencil_58.c,xczu7ev-ffvc1156-2-e,10.0,0.30305,58,1,50,2,11,unroll_32,pipeline_1,pipeline,unroll,16.0,0.5297803427484685,False
stencil_59.c,xczu7ev-ffvc1156-2-e,10.0,0.36798,35,1,3,1,3,unroll_2,unroll_16,unroll,unroll,2.0,0.855927837399035,False
stencil_60.c,xczu7ev-ffvc1156-2-e,10.0,1.64959,74,1,16,1,8,unroll_8,unroll_4,unroll,pipeline_1,6.5,0.15726047946508243,False
stencil_61.c,xczu7ev-ffvc1156-2-e,10.0,0.30305,57,1,50,2,11,unroll_32,pipeline_1,unroll,pipeline,16.0,0.5297803427484685,False
stencil_62.c,xczu7ev-ffvc1156-2-e,10.0,0.74431,140,1,44,3,27,unroll_16,unroll_8,pipeline,pipeline_1,18.75,0.2914351858353142,False
stencil_63.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,143,1,43,2,23,unroll_2,unroll,pipeline,pipeline_1,17.25,0.29888603123257096,False
stencil_64.c,xczu7ev-ffvc1156-2-e,10.0,0.83479,34,1,5,1,3,unroll_8,unroll_2,pipeline_1,pipeline,2.5,0.6149302841949853,False
stencil_65.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline,unroll_4,pipeline,unroll,1.75,1.0,True
stencil_66.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline_1,unroll_2,unroll,pipeline_1,1.75,1.0,True
stencil_67.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,49,1,3,1,2,pipeline_1,unroll,pipeline,pipeline,1.75,1.0,True
stencil_68.c,xczu7ev-ffvc1156-2-e,10.0,0.35313,39,1,25,1,5,unroll_16,pipeline_1,pipeline,unroll,8.0,0.6935276143931015,False
stencil_69.c,xczu7ev-ffvc1156-2-e,10.0,1.56267,72,1,16,1,8,unroll_4,unroll_8,unroll,pipeline_1,6.5,0.18345515887006197,False
stencil_70.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline,pipeline,pipeline_1,pipeline,1.75,1.0,True
stencil_71.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline,unroll_8,unroll,pipeline,1.75,1.0,True
stencil_72.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,32,1,12,1,2,unroll_8,pipeline_1,pipeline,pipeline,4.0,0.7936551771332817,False
stencil_73.c,xczu7ev-ffvc1156-2-e,10.0,0.39452,653,1,3,5,29,unroll_32,unroll_16,unroll,unroll,9.5,0.639359374662162,False
stencil_74.c,xczu7ev-ffvc1156-2-e,10.0,1.64116,592,1,64,3,30,unroll_2,unroll,unroll,pipeline,24.5,0.10000000000000003,False
stencil_80.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline,unroll,pipeline,1.5,1.0,True
stencil_81.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline,pipeline_1,pipeline,1.5,1.0,True
stencil_82.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline_1,pipeline,unroll,1.5,1.0,True
stencil_83.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,pipeline,pipeline_1,pipeline,1.75,1.0,True
stencil_84.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_2,unroll,pipeline,1.75,1.0,True
stencil_85.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,pipeline_1,unroll,pipeline_1,1.75,1.0,True
stencil_86.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1.75,1.0,True
stencil_87.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_4,pipeline,pipeline,1.75,1.0,True
stencil_88.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,pipeline,pipeline_1,unroll,1.75,1.0,True
stencil_89.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,24,1,6,1,1,unroll_4,pipeline_1,unroll,pipeline,2.25,0.8375852518132246,False
stencil_90.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline,unroll,unroll,1.5,1.0,True
stencil_91.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_8,unroll,unroll,1.75,1.0,True
stencil_92.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_4,unroll,unroll,1.75,1.0,True
stencil_93.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline_1,pipeline,pipeline_1,1.75,1.0,True
stencil_94.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,unroll_4,pipeline,pipeline,1.75,1.0,True
stencil_95.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,unroll_8,unroll,pipeline,1.75,1.0,True
stencil_96.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,49,1,3,1,2,pipeline,unroll,unroll,unroll,1.75,1.0,True
stencil_97.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,unroll_16,pipeline,pipeline_1,1.75,1.0,True
stencil_98.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,unroll_16,unroll,unroll,1.75,1.0,True
stencil_99.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,pipeline,pipeline_1,pipeline_1,1.75,1.0,True
stencil_100.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,27,1,2,1,1,unroll_2,unroll_4,pipeline,pipeline,1.25,1.0,True
stencil_101.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,27,1,6,1,1,unroll_4,pipeline_1,pipeline,unroll,2.25,0.8375852518132246,False
stencil_102.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,52,1,3,1,2,pipeline_1,unroll,unroll,pipeline,1.75,1.0,True
stencil_103.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,52,1,3,1,2,pipeline,unroll,unroll,pipeline_1,1.75,1.0,True
stencil_104.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline,unroll_8,unroll,pipeline_1,1.75,1.0,True
stencil_106.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,142,1,43,2,23,unroll_2,unroll,pipeline_1,pipeline,17.25,0.29888603123257096,False
stencil_107.c,xczu7ev-ffvc1156-2-e,10.0,1.62352,32,1,4,1,2,unroll_2,unroll_4,unroll,pipeline,2.0,0.17311441273422795,False
stencil_108.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_2,unroll,unroll,1.75,1.0,True
stencil_109.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_4,pipeline_1,pipeline_1,1.75,1.0,True
stencil_110.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline,unroll,pipeline,pipeline_1,1.75,1.0,True
stencil_111.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline_1,pipeline,unroll,1.75,1.0,True
stencil_112.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_2,pipeline,pipeline,1.75,1.0,True
stencil_113.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline,unroll,pipeline,pipeline,1.75,1.0,True
stencil_114.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline,pipeline_1,pipeline_1,1.75,1.0,True
stencil_115.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline,pipeline,unroll,1.75,1.0,True
stencil_116.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline,unroll,unroll,1.75,1.0,True
stencil_117.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline_1,pipeline,pipeline,1.75,1.0,True
stencil_118.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,41,1,3,1,2,pipeline,unroll_4,pipeline_1,pipeline,1.75,1.0,True
stencil_119.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,47,1,3,1,2,pipeline,unroll,pipeline_1,unroll,1.75,1.0,True
stencil_120.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline,pipeline,pipeline_1,1.5,1.0,True
stencil_121.c,xczu7ev-ffvc1156-2-e,10.0,0.83491,24,1,2,1,1,unroll_4,unroll_2,pipeline,pipeline,1.25,0.6379334592032193,False
stencil_122.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,24,1,6,1,1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2.25,0.8375852518132246,False
stencil_123.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,27,1,2,1,1,unroll_2,unroll_4,pipeline_1,pipeline_1,1.25,1.0,True
stencil_124.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,41,1,3,1,2,pipeline_1,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil_125.c,xczu7ev-ffvc1156-2-e,10.0,0.64576,41,1,11,1,6,unroll_2,unroll_16,pipeline_1,pipeline,4.75,0.650591137783177,False
stencil_126.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,unroll_4,pipeline_1,pipeline,1.75,1.0,True
stencil_127.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline,unroll_8,pipeline,unroll,1.75,1.0,True
stencil_128.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline,unroll_2,unroll,pipeline_1,1.75,1.0,True
stencil_129.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,51,1,3,1,2,pipeline,unroll,pipeline,unroll,1.75,1.0,True
stencil_130.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,26,1,2,1,1,unroll_2,unroll_4,pipeline,unroll,1.25,1.0,True
stencil_131.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,pipeline,unroll,pipeline_1,1.75,1.0,True
stencil_132.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,pipeline,pipeline,pipeline_1,1.75,1.0,True
stencil_133.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,unroll_16,pipeline,unroll,1.75,1.0,True
stencil_134.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,29,1,12,1,2,unroll_8,pipeline_1,pipeline,unroll,4.0,0.7936551771332817,False
stencil_135.c,xczu7ev-ffvc1156-2-e,10.0,1.62352,32,1,4,1,2,unroll_2,unroll_4,unroll,pipeline_1,2.0,0.17311441273422795,False
stencil_136.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,unroll_2,pipeline,pipeline,1.75,1.0,True
stencil_137.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline_1,unroll_8,unroll,pipeline_1,1.75,1.0,True
stencil_138.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,unroll_2,pipeline,unroll,1.75,1.0,True
stencil_139.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,unroll_2,pipeline_1,unroll,1.75,1.0,True
stencil_140.c,xczu7ev-ffvc1156-2-e,10.0,1.70787,32,1,4,1,2,unroll_4,unroll_2,unroll,pipeline_1,2.0,0.14875161619797742,False
stencil_141.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,unroll_2,pipeline,pipeline_1,1.75,1.0,True
stencil_142.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline,unroll_4,unroll,pipeline_1,1.75,1.0,True
stencil_143.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline,unroll_16,pipeline_1,pipeline_1,1.75,1.0,True
stencil_144.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline,1.75,1.0,True
stencil_145.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,unroll,pipeline_1,pipeline,1.75,1.0,True
stencil_146.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1.75,1.0,True
stencil_147.c,xczu7ev-ffvc1156-2-e,10.0,0.79403,32,1,5,1,3,unroll_4,unroll_4,pipeline_1,unroll,2.5,0.6370687317550712,False
stencil_148.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,25,1,6,1,1,unroll_4,pipeline_1,pipeline,pipeline_1,2.25,0.8375852518132246,False
stencil_149.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,25,1,3,1,1,unroll_2,pipeline_1,pipeline_1,pipeline,1.5,1.0,True
stencil_150.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_2,unroll,unroll,1.75,1.0,True
stencil_151.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline,unroll,pipeline_1,1.75,1.0,True
stencil_152.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline_1,pipeline_1,unroll,1.75,1.0,True
stencil_153.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_16,pipeline_1,unroll,1.75,1.0,True
stencil_154.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_2,pipeline,pipeline_1,1.75,1.0,True
stencil_155.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,25,1,6,1,1,unroll_4,pipeline,pipeline_1,pipeline,2.25,0.8375852518132246,False
stencil_156.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,25,1,6,1,1,unroll_4,pipeline_1,pipeline_1,unroll,2.25,0.8375852518132246,False
stencil_157.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,25,1,3,1,1,unroll_2,pipeline,pipeline,unroll,1.5,1.0,True
stencil_158.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_8,pipeline_1,unroll,1.75,1.0,True
stencil_159.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1.75,1.0,True
stencil_160.c,xczu7ev-ffvc1156-2-e,10.0,0.12228,70,1,8,1,5,unroll_2,unroll,unroll,unroll,3.75,0.9477805580817924,False
stencil_161.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline,pipeline,unroll,unroll,1.75,1.0,True
stencil_162.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,46,1,3,1,2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1.75,1.0,True
stencil_163.c,xczu7ev-ffvc1156-2-e,10.0,0.11979,94,1,27,1,14,unroll_4,unroll,unroll,unroll,10.75,1.0,True
stencil_164.c,xczu7ev-ffvc1156-2-e,10.0,1.68148,27,1,2,1,1,unroll_2,unroll_2,unroll,pipeline,1.25,0.15599259236701707,False
stencil_165.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_8,pipeline_1,unroll,1.75,1.0,True
stencil_166.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_8,pipeline_1,pipeline_1,1.75,1.0,True
stencil_167.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll,pipeline_1,pipeline_1,1.75,1.0,True
stencil_168.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline_1,unroll,pipeline,pipeline_1,1.75,1.0,True
stencil_169.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,51,1,3,1,2,pipeline_1,unroll,unroll,pipeline_1,1.75,1.0,True
stencil_170.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline,pipeline,pipeline,unroll,1.75,1.0,True
stencil_171.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline_1,unroll_16,pipeline_1,pipeline_1,1.75,1.0,True
stencil_172.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,144,1,43,3,23,unroll_2,unroll,pipeline_1,unroll,17.5,0.29533276870534614,False
stencil_173.c,xczu7ev-ffvc1156-2-e,10.0,0.83491,26,1,2,1,1,unroll_4,unroll_2,pipeline_1,pipeline,1.25,0.6379334592032193,False
stencil_174.c,xczu7ev-ffvc1156-2-e,10.0,0.82216,26,1,1,1,1,unroll_2,unroll_2,pipeline,pipeline,1.0,1.0,True
stencil_175.c,xczu7ev-ffvc1156-2-e,10.0,0.83491,26,1,2,1,1,unroll_4,unroll_2,pipeline_1,pipeline_1,1.25,0.6379334592032193,False
stencil_176.c,xczu7ev-ffvc1156-2-e,10.0,1.68148,26,1,2,1,1,unroll_2,unroll_2,unroll,pipeline_1,1.25,0.15599259236701707,False
stencil_177.c,xczu7ev-ffvc1156-2-e,10.0,0.46792,26,1,3,1,1,unroll_4,unroll_2,unroll,unroll,1.5,0.8155978683872896,False
stencil_178.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,26,1,3,1,1,unroll_2,pipeline_1,unroll,pipeline,1.5,1.0,True
stencil_179.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,26,1,6,1,1,unroll_4,pipeline_1,pipeline_1,pipeline,2.25,0.8375852518132246,False
stencil_180.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline_1,pipeline_1,pipeline_1,1.75,1.0,True
stencil_181.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_4,pipeline_1,unroll,1.75,1.0,True
stencil_182.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,pipeline,pipeline,pipeline_1,1.75,1.0,True
stencil_183.c,xczu7ev-ffvc1156-2-e,10.0,0.43228,29,1,3,1,2,unroll_4,unroll_4,unroll,unroll,1.75,0.8282205272517986,False
stencil_184.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,42,1,3,1,2,pipeline,unroll_8,pipeline,pipeline_1,1.75,1.0,True
stencil_185.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,42,1,3,1,2,pipeline,pipeline,pipeline_1,unroll,1.75,1.0,True
stencil_186.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,42,1,3,1,2,pipeline_1,unroll_8,pipeline,pipeline_1,1.75,1.0,True
