Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,Area,Weight,is_pareto
ss_sort_40.c,xczu7ev-ffvc1156-2-e,10.0,2.14915,40,1,1,1,4,pipeline,unroll_32,pipeline,pipeline,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_2,unroll,1.75,0.9584978790115907,False
ss_sort_41.c,xczu7ev-ffvc1156-2-e,10.0,2.58529,59,1,1,2,12,unroll_4,unroll_64,pipeline_1,unroll_64,unroll_2,unroll_8,unroll,unroll,unroll_2,unroll,4.0,0.5385594858594029,False
ss_sort_42.c,xczu7ev-ffvc1156-2-e,10.0,2.69169,62,1,1,1,7,pipeline_1,pipeline,unroll_64,pipeline,unroll_16,unroll_4,unroll_4,unroll_4,unroll_2,unroll,2.5,0.5407921644528267,False
ss_sort_43.c,xczu7ev-ffvc1156-2-e,10.0,2.52353,74,1,1,3,15,unroll_64,pipeline_1,unroll_16,unroll_8,unroll_2,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll,5.0,0.5011333465127016,False
ss_sort_44.c,xczu7ev-ffvc1156-2-e,10.0,2.63441,74,1,1,2,10,unroll_64,unroll_4,unroll_4,pipeline,unroll_16,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll,3.5,0.5386928750309949,False
ss_sort_45.c,xczu7ev-ffvc1156-2-e,10.0,2.75961,102,1,1,5,20,unroll_32,unroll_16,unroll_32,unroll_8,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll_2,6.75,0.30671495942922544,False
ss_sort_46.c,xczu7ev-ffvc1156-2-e,10.0,2.56463,78,1,1,1,9,unroll_8,pipeline_1,pipeline,unroll_16,unroll_64,unroll_16,unroll_2,unroll_8,pipeline_1,unroll,3.0,0.6116154061155654,False
ss_sort_47.c,xczu7ev-ffvc1156-2-e,10.0,2.78079,84,1,1,2,13,unroll_32,unroll_16,unroll_32,unroll_4,unroll_32,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,4.25,0.40468249937817946,False
ss_sort_48.c,xczu7ev-ffvc1156-2-e,10.0,2.62409,64,1,1,2,8,unroll_64,pipeline_1,pipeline,unroll_2,unroll_2,unroll_2,pipeline,pipeline_1,unroll_2,pipeline_1,3.0,0.5727253020958889,False
ss_sort_49.c,xczu7ev-ffvc1156-2-e,10.0,2.82145,60,1,1,1,8,unroll_16,unroll_2,unroll_8,unroll_32,pipeline_1,unroll_8,unroll_2,pipeline,pipeline_1,unroll,2.75,0.42409961205827484,False
ss_sort_50.c,xczu7ev-ffvc1156-2-e,10.0,2.47233,336,1,1,18,44,unroll_64,pipeline,unroll_64,unroll_64,unroll_2,unroll_8,unroll,unroll,unroll_2,pipeline_1,16.0,0.10275275228132334,False
ss_sort_51.c,xczu7ev-ffvc1156-2-e,10.0,2.48175,50,1,1,1,8,unroll_64,pipeline,pipeline_1,pipeline,pipeline_1,unroll_16,unroll_2,unroll_4,unroll,unroll_2,2.75,0.6733847576892934,False
ss_sort_52.c,xczu7ev-ffvc1156-2-e,10.0,2.80447,113,1,1,5,22,unroll_64,unroll_32,unroll_16,unroll_32,unroll_32,unroll,unroll_4,unroll,unroll_2,unroll_2,7.25,0.26791035561357546,False
ss_sort_57.c,xczu7ev-ffvc1156-2-e,10.0,2.34869,43,1,1,1,5,unroll_2,pipeline,unroll_16,unroll_16,unroll_2,unroll_4,unroll,pipeline_1,pipeline_1,unroll,2.0,0.804242611306488,False
ss_sort_59.c,xczu7ev-ffvc1156-2-e,10.0,2.65679,51,1,1,1,8,unroll_16,unroll_32,unroll_32,pipeline,unroll_4,unroll,unroll_4,pipeline_1,unroll,unroll_2,2.75,0.5600187287613986,False
ss_sort_62.c,xczu7ev-ffvc1156-2-e,10.0,2.89103,71,1,1,2,14,pipeline,unroll_64,unroll_2,unroll_2,unroll_64,unroll,unroll,unroll_2,unroll_2,pipeline_1,4.5,0.3258189996329088,False
ss_sort_63.c,xczu7ev-ffvc1156-2-e,10.0,2.85631,79,1,1,1,10,unroll_2,unroll_4,unroll_32,unroll_16,unroll_64,unroll,unroll_2,unroll_2,unroll,unroll,3.25,0.3848579366495649,False
ss_sort_65.c,xczu7ev-ffvc1156-2-e,10.0,2.73793,61,1,1,1,10,unroll_2,unroll_64,unroll_32,unroll_32,unroll_2,unroll_8,pipeline,unroll_2,pipeline,unroll,3.25,0.47480645765296403,False
ss_sort_66.c,xczu7ev-ffvc1156-2-e,10.0,2.61583,50,1,1,1,7,pipeline_1,pipeline,unroll_16,unroll_8,unroll_16,unroll,unroll_8,unroll_8,unroll,pipeline_1,2.5,0.6046448869484792,False
ss_sort_67.c,xczu7ev-ffvc1156-2-e,10.0,2.29665,32,1,1,1,2,unroll_4,unroll_4,pipeline,pipeline,unroll_2,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll,1.25,0.8877448675097364,False
ss_sort_68.c,xczu7ev-ffvc1156-2-e,10.0,2.71097,73,1,1,2,11,unroll_64,pipeline_1,unroll_4,unroll_2,unroll_16,unroll_2,pipeline,pipeline_1,unroll_2,pipeline_1,3.75,0.4735836168883183,False
ss_sort_69.c,xczu7ev-ffvc1156-2-e,10.0,2.25825,36,1,1,1,3,pipeline,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll,1.5,0.8992742239610167,False
ss_sort_70.c,xczu7ev-ffvc1156-2-e,10.0,2.92513,55,1,1,1,10,unroll_16,unroll_16,pipeline_1,unroll_64,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,unroll,3.25,0.3359893862600613,False
ss_sort_71.c,xczu7ev-ffvc1156-2-e,10.0,2.82959,45,1,1,1,5,unroll_8,unroll_4,unroll_32,pipeline,unroll_4,unroll_16,unroll_2,pipeline,unroll,unroll_2,2.0,0.43174580508044336,False
ss_sort_72.c,xczu7ev-ffvc1156-2-e,10.0,2.80831,101,1,1,5,20,unroll_64,unroll_16,unroll_16,unroll_16,unroll_32,unroll,unroll_4,unroll,unroll_2,unroll_2,6.75,0.2864229782825959,False
ss_sort_80.c,xczu7ev-ffvc1156-2-e,10.0,2.58399,29,1,1,1,3,unroll_2,pipeline,pipeline,unroll_4,unroll_4,unroll_16,unroll_4,pipeline,unroll,pipeline,1.5,0.6772288265641886,False
ss_sort_81.c,xczu7ev-ffvc1156-2-e,10.0,2.54195,29,1,1,1,2,unroll_4,unroll_4,pipeline,pipeline,unroll_2,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_2,1.25,0.7245334028304394,False
ss_sort_82.c,xczu7ev-ffvc1156-2-e,10.0,2.60959,32,1,1,1,3,pipeline_1,pipeline,unroll_4,pipeline,unroll_4,unroll,unroll_4,unroll_8,unroll_2,pipeline_1,1.5,0.6514237416756363,False
ss_sort_83.c,xczu7ev-ffvc1156-2-e,10.0,2.64527,41,1,1,1,5,unroll_8,pipeline,pipeline,unroll_16,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,pipeline,2.0,0.6004900341332423,False
ss_sort_84.c,xczu7ev-ffvc1156-2-e,10.0,2.58383,48,1,1,1,5,unroll_8,unroll_4,unroll_32,pipeline,unroll_4,unroll_16,unroll_2,pipeline,unroll,unroll,2.0,0.6550501824965844,False
ss_sort_85.c,xczu7ev-ffvc1156-2-e,10.0,2.65105,51,1,1,1,7,unroll_16,pipeline,unroll_32,pipeline,unroll_16,unroll_8,unroll_4,pipeline,unroll,unroll_2,2.5,0.5757649769041654,False
ss_sort_86.c,xczu7ev-ffvc1156-2-e,10.0,2.63695,51,1,1,1,8,unroll_8,unroll_16,pipeline,unroll_4,unroll_32,unroll_16,unroll_2,unroll_4,pipeline_1,pipeline_1,2.75,0.5757851385425328,False
ss_sort_87.c,xczu7ev-ffvc1156-2-e,10.0,2.40451,33,1,1,1,2,pipeline,pipeline,pipeline,pipeline,unroll_16,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_2,1.25,0.8136484890847583,False
ss_sort_88.c,xczu7ev-ffvc1156-2-e,10.0,2.48175,30,1,1,1,2,unroll_4,pipeline,pipeline_1,pipeline,pipeline_1,unroll_16,unroll_2,unroll,unroll,unroll,1.25,0.7628354137772705,False
ss_sort_89.c,xczu7ev-ffvc1156-2-e,10.0,2.94783,63,1,1,1,9,unroll_16,pipeline,unroll_32,unroll_8,unroll_16,unroll,unroll_4,unroll_8,unroll,unroll_2,3.0,0.32523807331637505,False
ss_sort_90.c,xczu7ev-ffvc1156-2-e,10.0,2.46133,43,1,1,1,5,unroll_2,pipeline,unroll_16,unroll_16,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll,2.0,0.7332703576802416,False
ss_sort_91.c,xczu7ev-ffvc1156-2-e,10.0,2.92881,73,1,1,2,12,unroll_2,unroll_8,unroll_8,pipeline,unroll_64,unroll_8,unroll_2,unroll_4,unroll,pipeline,4.0,0.3163394516975405,False
ss_sort_92.c,xczu7ev-ffvc1156-2-e,10.0,2.63161,73,1,1,2,10,unroll_64,pipeline_1,unroll_8,unroll_2,unroll_16,unroll_2,pipeline,pipeline_1,unroll_2,unroll,3.5,0.5405424891401259,False
ss_sort_93.c,xczu7ev-ffvc1156-2-e,10.0,2.97553,31,1,1,1,2,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll,1.25,0.322480176442423,False
ss_sort_94.c,xczu7ev-ffvc1156-2-e,10.0,2.48111,30,1,1,1,2,unroll_8,unroll_4,pipeline_1,pipeline,pipeline_1,unroll_16,unroll_2,unroll_4,unroll,unroll,1.25,0.7632487344931348,False
ss_sort_95.c,xczu7ev-ffvc1156-2-e,10.0,2.73985,55,1,1,1,9,unroll_2,unroll_64,unroll_8,unroll_32,unroll_2,unroll_8,pipeline,unroll_2,pipeline,unroll,3.0,0.4825527547910453,False
ss_sort_96.c,xczu7ev-ffvc1156-2-e,10.0,2.71121,39,1,1,1,4,unroll_4,unroll_4,unroll_4,pipeline,unroll_16,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,1.75,0.5434078235012123,False
ss_sort_97.c,xczu7ev-ffvc1156-2-e,10.0,2.69775,60,1,1,1,8,pipeline_1,unroll_32,unroll_64,pipeline,unroll_4,unroll,unroll_4,unroll_4,unroll_2,unroll,2.75,0.5263206447258464,False
ss_sort_98.c,xczu7ev-ffvc1156-2-e,10.0,2.42553,92,1,1,3,15,unroll_16,pipeline,unroll_16,unroll_64,unroll_16,unroll_2,pipeline,pipeline,pipeline_1,unroll,5.0,0.55298837785597,False
ss_sort_99.c,xczu7ev-ffvc1156-2-e,10.0,2.30943,40,1,1,1,5,pipeline_1,unroll_32,unroll_16,pipeline,unroll_4,unroll,unroll_8,pipeline_1,unroll,pipeline_1,2.0,0.8292358665118478,False
ss_sort_100.c,xczu7ev-ffvc1156-2-e,10.0,2.94401,80,1,1,2,13,unroll_2,unroll_64,unroll_32,unroll_32,unroll_64,unroll_8,pipeline,unroll_2,pipeline,unroll_2,4.25,0.3007426115066223,False
ss_sort_101.c,xczu7ev-ffvc1156-2-e,10.0,2.33749,64,1,1,2,9,unroll_64,pipeline_1,pipeline,pipeline_1,unroll_2,unroll_4,pipeline,pipeline_1,unroll_2,pipeline_1,3.25,0.713121475343569,False
ss_sort_102.c,xczu7ev-ffvc1156-2-e,10.0,2.70177,68,1,1,1,8,pipeline,pipeline,unroll_64,unroll_8,unroll_16,unroll_4,unroll_8,unroll_4,unroll,unroll,2.75,0.5229663418839355,False
ss_sort_103.c,xczu7ev-ffvc1156-2-e,10.0,2.59361,94,1,1,3,13,unroll_16,unroll_2,unroll_64,unroll_32,pipeline_1,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_2,4.5,0.5034457231540088,False
ss_sort_104.c,xczu7ev-ffvc1156-2-e,10.0,2.55381,41,1,1,1,8,pipeline,unroll_32,unroll_32,pipeline,unroll_2,unroll_4,unroll,unroll_2,unroll,unroll,2.75,0.633034880984884,False
ss_sort_105.c,xczu7ev-ffvc1156-2-e,10.0,2.48121,123,1,1,6,29,unroll_64,unroll_32,unroll_2,unroll_32,unroll_4,unroll_2,unroll_8,pipeline,pipeline,pipeline,9.25,0.3007323883859312,False
ss_sort_106.c,xczu7ev-ffvc1156-2-e,10.0,2.24929,40,1,1,1,4,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,unroll,unroll,1.75,0.887115506680299,False
ss_sort_107.c,xczu7ev-ffvc1156-2-e,10.0,2.70847,123,1,1,3,16,unroll_32,pipeline_1,unroll_32,unroll_16,unroll_64,unroll_16,pipeline_1,unroll_8,pipeline_1,unroll,5.25,0.4020432163508727,False
ss_sort_108.c,xczu7ev-ffvc1156-2-e,10.0,2.81953,66,1,1,2,9,unroll_4,unroll_2,unroll_32,unroll_32,pipeline_1,unroll_8,unroll_2,pipeline,pipeline_1,unroll,3.25,0.4122328739437895,False
ss_sort_109.c,xczu7ev-ffvc1156-2-e,10.0,2.64517,49,1,1,1,8,pipeline,pipeline,unroll_32,unroll_32,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,unroll,2.75,0.5693145456280404,False
ss_sort_110.c,xczu7ev-ffvc1156-2-e,10.0,2.82145,77,1,1,2,12,unroll_4,unroll_2,unroll_8,unroll_64,pipeline_1,unroll_8,unroll_2,pipeline,pipeline_1,unroll,4.0,0.3868153234531436,False
ss_sort_111.c,xczu7ev-ffvc1156-2-e,10.0,2.58369,58,1,1,3,14,unroll_64,pipeline,pipeline,unroll_4,unroll_4,unroll_2,unroll_4,pipeline,unroll,pipeline,4.75,0.49258649483296757,False
ss_sort_112.c,xczu7ev-ffvc1156-2-e,10.0,2.61649,71,1,1,1,10,unroll_2,unroll_64,unroll_32,pipeline,unroll_64,unroll_8,pipeline,unroll_2,pipeline,unroll,3.25,0.5644044492636363,False
ss_sort_113.c,xczu7ev-ffvc1156-2-e,10.0,2.48191,50,1,1,1,8,unroll_2,unroll_32,unroll_2,unroll_32,unroll_4,unroll_16,unroll_8,pipeline,pipeline,pipeline,2.75,0.673294543856733,False
ss_sort_114.c,xczu7ev-ffvc1156-2-e,10.0,3.15929,33,1,1,1,4,unroll_2,pipeline,unroll_8,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,1.75,0.2101757074987321,False
ss_sort_115.c,xczu7ev-ffvc1156-2-e,10.0,2.59569,59,1,1,1,11,pipeline_1,unroll_64,pipeline_1,unroll_64,unroll_2,unroll_8,unroll_2,unroll,unroll_2,unroll,3.5,0.5631388733231106,False
ss_sort_116.c,xczu7ev-ffvc1156-2-e,10.0,2.22897,35,1,1,1,4,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll,1.75,0.9003020774564756,False
ss_sort_117.c,xczu7ev-ffvc1156-2-e,10.0,2.14991,93,1,1,3,16,unroll_16,pipeline,pipeline,unroll_16,unroll_64,unroll,unroll,unroll_2,unroll,unroll,5.25,0.7075235297002579,False
ss_sort_118.c,xczu7ev-ffvc1156-2-e,10.0,2.52177,162,1,1,9,28,unroll_64,unroll_4,unroll_4,pipeline,unroll_16,unroll_8,unroll,unroll_2,pipeline_1,unroll,9.75,0.26379482037915314,False
ss_sort_119.c,xczu7ev-ffvc1156-2-e,10.0,2.83105,192,1,1,10,36,unroll_64,unroll_64,pipeline_1,unroll_64,unroll_2,unroll_8,unroll,unroll_4,unroll_2,unroll_2,12.0,0.12223640172087163,False
ss_sort_120.c,xczu7ev-ffvc1156-2-e,10.0,2.50303,36,1,1,1,4,unroll_2,pipeline,unroll_16,unroll_4,unroll_4,unroll_16,unroll_4,pipeline_1,unroll,pipeline_1,1.75,0.7220735835227775,False
ss_sort_121.c,xczu7ev-ffvc1156-2-e,10.0,2.63441,36,1,1,1,3,unroll_4,unroll_4,unroll_4,pipeline,unroll_16,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll,1.5,0.6256524810891824,False
ss_sort_122.c,xczu7ev-ffvc1156-2-e,10.0,2.24929,36,1,1,1,4,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll,1.75,0.887115506680299,False
ss_sort_123.c,xczu7ev-ffvc1156-2-e,10.0,2.22897,36,1,1,1,4,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll,1.75,0.9003020774564756,False
ss_sort_124.c,xczu7ev-ffvc1156-2-e,10.0,2.25635,39,1,1,1,6,unroll_2,unroll_32,pipeline,unroll_16,unroll_2,unroll_8,unroll,pipeline_1,pipeline_1,unroll,2.25,0.8408654490011671,False
ss_sort_125.c,xczu7ev-ffvc1156-2-e,10.0,2.67681,39,1,1,1,4,unroll_2,pipeline,unroll_16,unroll_8,unroll_2,unroll_4,pipeline_1,unroll_8,unroll,unroll,1.75,0.5771023468587236,False
ss_sort_126.c,xczu7ev-ffvc1156-2-e,10.0,2.40079,42,1,1,1,5,pipeline,pipeline,unroll_16,unroll_8,unroll_4,unroll,unroll_8,pipeline_1,pipeline_1,pipeline_1,2.0,0.771160758097253,False
ss_sort_127.c,xczu7ev-ffvc1156-2-e,10.0,3.03785,51,1,1,1,8,unroll_2,pipeline,unroll_8,unroll_64,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,2.75,0.27076273096659903,False
ss_sort_128.c,xczu7ev-ffvc1156-2-e,10.0,2.33823,30,1,1,1,2,unroll_8,pipeline_1,pipeline,pipeline_1,unroll_2,unroll_16,pipeline,pipeline_1,unroll_2,pipeline_1,1.25,0.8587473428112983,False
ss_sort_129.c,xczu7ev-ffvc1156-2-e,10.0,2.27791,66,1,1,1,13,unroll_4,pipeline,pipeline_1,unroll_64,unroll_4,unroll_16,pipeline,pipeline,unroll,unroll,4.0,0.7273419012903081,False
ss_sort_130.c,xczu7ev-ffvc1156-2-e,10.0,2.39039,35,1,1,1,4,pipeline_1,unroll_32,pipeline,pipeline,unroll_8,unroll,unroll_8,pipeline,unroll,pipeline,1.75,0.793821384668445,False
ss_sort_131.c,xczu7ev-ffvc1156-2-e,10.0,2.25825,32,1,1,1,3,pipeline,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,unroll,unroll,1.5,0.8992742239610167,False
ss_sort_132.c,xczu7ev-ffvc1156-2-e,10.0,2.67119,41,1,1,1,5,unroll_16,pipeline_1,pipeline,unroll_16,pipeline_1,unroll,pipeline_1,unroll_2,unroll_2,unroll,2.0,0.5759855147479084,False
ss_sort_133.c,xczu7ev-ffvc1156-2-e,10.0,2.60959,34,1,1,1,3,pipeline_1,pipeline,unroll_4,pipeline,unroll_4,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,1.5,0.6514237416756363,False
ss_sort_134.c,xczu7ev-ffvc1156-2-e,10.0,2.48089,49,1,1,2,6,unroll_16,pipeline,unroll_16,pipeline,pipeline_1,unroll_2,unroll_2,unroll,unroll,unroll,2.5,0.690124006250342,False
ss_sort_135.c,xczu7ev-ffvc1156-2-e,10.0,2.34889,64,1,1,2,11,pipeline,unroll_32,unroll_32,unroll_32,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,3.75,0.6709053318379082,False
ss_sort_136.c,xczu7ev-ffvc1156-2-e,10.0,2.33761,29,1,1,1,2,unroll_4,unroll_4,pipeline,pipeline,unroll_2,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,1.25,0.8591757317307541,False
ss_sort_137.c,xczu7ev-ffvc1156-2-e,10.0,2.56383,67,1,1,3,15,unroll_64,unroll_32,unroll_2,unroll_4,unroll_4,unroll_16,unroll_4,pipeline,pipeline,pipeline,5.0,0.4852418107138229,False
ss_sort_138.c,xczu7ev-ffvc1156-2-e,10.0,2.52821,39,1,1,1,4,pipeline,pipeline,unroll_16,pipeline,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,unroll,1.75,0.7065178497622083,False
ss_sort_139.c,xczu7ev-ffvc1156-2-e,10.0,2.52961,37,1,1,1,3,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_8,unroll_2,unroll_8,unroll,unroll,1.5,0.7192500315109224,False
ss_sort_140.c,xczu7ev-ffvc1156-2-e,10.0,2.54239,29,1,1,1,2,unroll_4,unroll_4,pipeline,pipeline,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,unroll_2,1.25,0.7242576504783386,False
