Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,19.98296,115,23,1,8,21,cyclic_2_1,block_128_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_8_1,block_32_1,block_8_1,complete_1,unroll_4,unroll_2,unroll_32,unroll_8,13.25,0.851523062711485,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,14.90136,328,28,1,10,56,cyclic_64_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_64_1,block_16_1,block_2_1,cyclic_32_1,block_64_1,complete_1,unroll_64,unroll_8,unroll_64,pipeline_1,23.75,0.7511469788821877,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,43.40764,124,23,1,10,29,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_16_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_2,15.75,0.6123624934005295,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,45.5404,153,25,3,12,31,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_2_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_2,17.75,0.5805005527742289,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,8.62421,529,24,81,43,93,cyclic_128_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,block_128_1,block_16_1,complete_1,pipeline_1,unroll_32,unroll_2,unroll_8,60.25,0.39317606313205533,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,15.12484,672,32,1,11,57,block_32_1,block_32_1,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_64,unroll_32,pipeline_1,25.25,0.73090098706763,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,17.43933,678,23,1,5,31,cyclic_8_1,cyclic_4_1,block_4_1,block_8_1,cyclic_4_1,block_2_1,block_4_1,block_2_1,cyclic_16_1,complete_1,unroll_16,unroll_64,unroll_2,unroll_64,15.0,0.8492654769274256,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,18.01072,806,30,1,12,69,cyclic_16_1,block_128_1,block_32_1,block_128_1,block_32_1,block_64_1,block_8_1,cyclic_4_1,block_128_1,complete_1,unroll_32,unroll_2,unroll_8,unroll_32,28.0,0.6805123892608056,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,8.64852,475,27,81,41,83,cyclic_128_1,block_16_1,block_4_1,cyclic_4_1,block_2_1,block_64_1,cyclic_32_1,block_8_1,block_32_1,complete_1,pipeline,unroll_4,unroll_4,unroll_2,58.0,0.411888612411094,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,14.9066,496,20,1,12,33,cyclic_8_1,block_2_1,block_64_1,block_2_1,cyclic_128_1,cyclic_4_1,block_64_1,block_128_1,block_8_1,complete_1,unroll_8,unroll_16,unroll_8,pipeline_1,16.5,0.8465989122099259,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,35.24636,109,22,1,7,25,cyclic_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_32_1,cyclic_16_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,13.75,0.7023031340352418,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,14.91224,348,29,1,13,57,cyclic_64_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_64_1,block_16_1,block_8_1,cyclic_32_1,block_64_1,complete_1,unroll_64,unroll_8,unroll_16,pipeline_1,25.0,0.7352625542227752,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,19.06,93,22,1,3,14,cyclic_8_1,block_8_1,block_2_1,cyclic_64_1,block_4_1,cyclic_2_1,cyclic_32_1,cyclic_32_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_16,10.0,0.8983964831809715,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,17.16496,122,18,1,7,18,cyclic_2_1,block_128_1,cyclic_4_1,cyclic_32_1,cyclic_128_1,cyclic_128_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_4,unroll_2,unroll_32,unroll_8,11.0,0.9043251480404497,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,21.61112,161,23,1,9,38,cyclic_32_1,cyclic_64_1,block_128_1,cyclic_16_1,block_4_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_128_1,complete_1,unroll_4,unroll_2,unroll_64,unroll_32,17.75,0.7827218954479405,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,43.46861,368,18,1,11,42,block_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,block_32_1,cyclic_16_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,18.0,0.596527743923141,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,396,24,1,6,32,cyclic_8_1,block_64_1,block_16_1,block_2_1,cyclic_128_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_4,unroll_32,15.75,0.8356753115276272,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,15.06612,91,26,1,4,16,block_128_1,block_64_1,block_16_1,cyclic_32_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline,unroll_64,pipeline_1,11.75,0.9111082147452927,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,24.02592,498,27,29,32,74,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_64,unroll_8,40.5,0.5104153854107195,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,15.125,243,32,1,9,38,block_32_1,block_32_1,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_32,unroll_32,pipeline_1,20.0,0.7983768684805896,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,43.46661,175,19,1,14,32,block_2_1,cyclic_4_1,block_4_1,block_128_1,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,16.5,0.6069441294287339,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,8.65108,510,27,81,40,85,cyclic_128_1,block_16_1,block_4_1,cyclic_4_1,block_2_1,block_64_1,cyclic_128_1,block_8_1,block_32_1,complete_1,pipeline,unroll_2,unroll_4,unroll_2,58.25,0.40976154005741994,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,37.32664,119,22,1,8,24,cyclic_8_1,block_2_1,cyclic_8_1,cyclic_2_1,cyclic_128_1,cyclic_4_1,block_4_1,cyclic_64_1,block_8_1,complete_1,unroll_32,unroll_16,unroll_16,unroll_2,13.75,0.6821708652168579,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,43.45325,183,19,1,11,36,block_2_1,cyclic_4_1,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,block_2_1,block_32_1,cyclic_16_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,16.75,0.6053841210206888,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,26.01812,89,28,1,4,22,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_16_1,block_32_1,complete_1,unroll_32,pipeline,unroll_32,unroll_2,13.75,0.7911984189871423,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,45.56072,200,26,7,16,39,block_16_1,block_16_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,cyclic_64_1,cyclic_2_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_16,unroll_2,22.0,0.5494287522450791,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,14.87888,451,26,1,10,60,cyclic_64_1,cyclic_128_1,cyclic_16_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_16,unroll_16,pipeline_1,24.25,0.7449256101822468,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,17.42644,636,24,1,4,90,cyclic_128_1,cyclic_2_1,block_8_1,cyclic_32_1,block_16_1,block_64_1,block_4_1,cyclic_32_1,block_32_1,complete_1,unroll_2,pipeline,unroll_64,unroll_64,29.75,0.6630309297733026,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,14.9,87,22,1,3,12,cyclic_8_1,block_8_1,block_2_1,cyclic_64_1,block_4_1,cyclic_2_1,block_2_1,cyclic_32_1,block_32_1,complete_1,unroll_16,unroll_8,unroll_64,pipeline_1,9.5,0.9437314001966242,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,19.43972,338,25,1,19,53,cyclic_8_1,block_2_1,cyclic_32_1,block_2_1,cyclic_128_1,cyclic_4_1,block_64_1,block_128_1,block_8_1,complete_1,unroll_8,unroll_16,unroll_8,unroll_32,24.5,0.714268095170452,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,35.23612,113,23,1,7,24,cyclic_32_1,cyclic_4_1,cyclic_64_1,cyclic_4_1,block_16_1,block_32_1,cyclic_16_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,13.75,0.7024024440642098,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,17.44461,546,23,1,7,37,cyclic_8_1,cyclic_4_1,block_2_1,block_8_1,block_32_1,block_2_1,block_4_1,block_2_1,cyclic_16_1,complete_1,unroll_16,unroll_64,unroll_2,unroll_64,17.0,0.8227601854430046,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,45.50512,511,26,7,17,53,block_16_1,cyclic_64_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_64,unroll_4,unroll_2,25.75,0.5199368185176106,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,19.98096,126,19,1,8,22,cyclic_2_1,block_128_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,block_8_1,cyclic_8_1,block_32_1,block_4_1,complete_1,unroll_4,unroll_2,unroll_32,unroll_8,12.5,0.8606958347134428,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,19.21296,131,26,1,7,19,cyclic_8_1,block_128_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_8_1,block_32_1,cyclic_2_1,complete_1,unroll_4,unroll_2,unroll_32,unroll_8,13.25,0.8580641001088263,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,8.65984,292,69,81,40,76,cyclic_64_1,block_32_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_16_1,cyclic_32_1,cyclic_4_1,cyclic_8_1,complete_1,pipeline,unroll_4,unroll_64,unroll_64,66.5,0.3258618288726275,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,12.79544,144,17,1,11,24,cyclic_2_1,cyclic_128_1,block_64_1,block_2_1,cyclic_4_1,cyclic_128_1,block_128_1,block_128_1,cyclic_2_1,complete_1,unroll_8,pipeline_1,unroll_8,pipeline_1,13.25,0.9051922045160538,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,17.46832,626,48,1,5,90,cyclic_128_1,block_8_1,block_16_1,block_2_1,cyclic_4_1,cyclic_128_1,block_2_1,cyclic_32_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_64,36.0,0.591351441663539,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,24.00656,243,28,15,26,57,block_16_1,block_2_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,block_8_1,block_8_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_8,31.5,0.6052512489351284,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,19.078,99,26,1,4,15,cyclic_8_1,cyclic_4_1,cyclic_32_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_16,unroll_2,unroll_4,unroll_16,11.5,0.8809338127555734,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,26.65432,87,23,1,5,18,cyclic_32_1,cyclic_8_1,block_2_1,cyclic_16_1,block_64_1,block_16_1,cyclic_64_1,block_32_1,cyclic_32_1,complete_1,unroll_2,unroll_2,unroll_32,unroll_16,11.75,0.8036940823971674,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,45.5404,119,23,3,10,23,block_16_1,block_2_1,cyclic_4_1,cyclic_32_1,block_64_1,cyclic_128_1,block_2_1,cyclic_2_1,block_64_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_2,14.75,0.5989846772534752,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,362,24,1,5,29,cyclic_8_1,block_64_1,block_16_1,block_2_1,cyclic_32_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_4,unroll_32,14.75,0.8488293820250337,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,33.25917,54,19,1,4,10,cyclic_2_1,block_128_1,cyclic_4_1,cyclic_32_1,block_32_1,cyclic_4_1,cyclic_8_1,block_32_1,cyclic_16_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,8.5,0.7506672369290539,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,15.05588,96,24,1,5,17,block_128_1,block_128_1,block_2_1,cyclic_64_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline,unroll_64,pipeline_1,11.75,0.9111840298436289,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,17.47557,329,25,1,6,28,cyclic_8_1,block_16_1,block_4_1,block_8_1,block_2_1,block_64_1,cyclic_32_1,block_8_1,cyclic_16_1,complete_1,unroll_16,unroll_4,unroll_2,unroll_64,15.0,0.848997464939392,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,18.00048,391,28,1,7,35,cyclic_8_1,block_128_1,block_32_1,block_128_1,block_32_1,cyclic_4_1,block_8_1,cyclic_4_1,block_128_1,complete_1,unroll_32,unroll_2,unroll_8,unroll_32,17.75,0.8090520367043548,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,491,23,1,8,34,cyclic_8_1,block_64_1,block_16_1,block_4_1,cyclic_128_1,block_32_1,cyclic_2_1,block_128_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_64,unroll_32,16.5,0.8258274889801509,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,19.97072,124,18,1,8,22,cyclic_2_1,block_128_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,block_8_1,block_2_1,block_32_1,block_4_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_8,12.25,0.8637955194609863,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,14.90136,867,28,1,11,86,cyclic_128_1,cyclic_128_1,cyclic_32_1,cyclic_64_1,block_64_1,block_16_1,block_2_1,cyclic_32_1,block_64_1,complete_1,unroll_64,unroll_8,unroll_16,pipeline_1,31.5,0.6561550099396443,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,8.65984,559,25,81,42,87,cyclic_128_1,block_16_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_16_1,cyclic_128_1,cyclic_4_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_64,unroll_64,58.75,0.4055158739666521,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,19.13717,682,24,1,4,88,cyclic_128_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,block_32_1,complete_1,unroll_16,unroll_32,unroll_2,unroll_8,29.25,0.6591841540565823,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,19.03704,273,23,1,5,49,cyclic_32_1,cyclic_4_1,block_2_1,cyclic_16_1,block_16_1,block_4_1,cyclic_16_1,block_32_1,cyclic_8_1,complete_1,unroll_16,unroll_2,unroll_4,unroll_16,19.5,0.7793386115520359,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,17.46972,212,21,1,10,26,cyclic_8_1,block_2_1,block_2_1,block_2_1,cyclic_128_1,cyclic_4_1,block_64_1,block_128_1,block_32_1,complete_1,unroll_8,unroll_2,unroll_8,unroll_64,14.5,0.8556780144782091,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,14.91024,70,24,1,3,12,cyclic_8_1,block_8_1,block_16_1,cyclic_32_1,block_4_1,cyclic_2_1,block_2_1,cyclic_32_1,block_32_1,complete_1,unroll_16,unroll_8,unroll_64,pipeline_1,10.0,0.9367287658237264,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,26.00756,104,25,1,4,17,cyclic_128_1,cyclic_2_1,block_8_1,cyclic_32_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,block_32_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_2,11.75,0.8103065339166128,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,14.90664,568,22,1,15,38,cyclic_16_1,block_2_1,block_64_1,block_2_1,cyclic_128_1,block_64_1,block_64_1,block_128_1,block_8_1,complete_1,unroll_8,unroll_16,unroll_8,pipeline_1,19.0,0.812969329367621,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,43.4162,87,22,1,6,14,block_2_1,cyclic_4_1,block_16_1,block_2_1,cyclic_4_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_4,unroll_2,10.75,0.6376609625799186,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,26.68504,86,27,1,6,15,cyclic_8_1,cyclic_8_1,cyclic_32_1,cyclic_16_1,block_64_1,block_8_1,cyclic_64_1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_2,unroll_32,unroll_16,12.25,0.7990389764040559,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,8.65108,302,71,81,40,77,cyclic_64_1,block_32_1,block_4_1,cyclic_4_1,block_2_1,block_64_1,cyclic_128_1,block_8_1,block_32_1,complete_1,pipeline,unroll_2,unroll_4,unroll_2,67.25,0.3151567396385233,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,17.46832,232,28,1,5,49,cyclic_64_1,block_8_1,block_16_1,block_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_32_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_64,20.75,0.7737973060749305,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,14.88208,289,28,1,8,48,cyclic_64_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_8,unroll_16,pipeline_1,21.25,0.7834792712905327,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,19.36692,68,21,1,4,11,cyclic_2_1,block_64_1,block_16_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_2_1,block_32_1,cyclic_2_1,complete_1,unroll_4,pipeline,unroll_4,unroll_4,9.25,0.9027599693512426,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,8.62564,499,25,81,42,90,cyclic_128_1,cyclic_4_1,block_2_1,cyclic_4_1,block_32_1,block_2_1,block_4_1,block_2_1,block_32_1,complete_1,pipeline,unroll_64,unroll_4,unroll_2,59.5,0.39937349920652765,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,14.9116,337,28,1,11,56,cyclic_64_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_64_1,block_16_1,cyclic_8_1,cyclic_32_1,block_64_1,complete_1,unroll_64,unroll_8,unroll_64,pipeline_1,24.0,0.7479076893869836,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,21.98944,655,19,1,35,65,block_2_1,cyclic_4_1,block_2_1,block_128_1,cyclic_128_1,cyclic_128_1,block_4_1,block_32_1,block_64_1,complete_1,unroll_64,unroll_4,unroll_32,unroll_8,30.0,0.6338833935893219,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,15.09428,101,26,1,7,25,block_32_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_32,unroll_32,pipeline_1,14.75,0.8692872896103327,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,8.60356,601,23,81,44,90,cyclic_128_1,cyclic_128_1,block_4_1,block_4_1,block_64_1,block_64_1,cyclic_32_1,cyclic_128_1,cyclic_32_1,complete_1,pipeline,pipeline,unroll_32,unroll_16,59.5,0.39945340463600765,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,15.06612,102,26,1,4,17,block_128_1,cyclic_128_1,block_16_1,cyclic_32_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,12.0,0.9076193287228806,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,14.88088,380,26,1,10,56,cyclic_64_1,block_64_1,cyclic_16_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_32_1,block_8_1,complete_1,unroll_64,unroll_16,unroll_64,pipeline_1,23.25,0.7576496012676962,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,43.46149,149,18,1,11,23,block_2_1,block_128_1,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,block_2_1,block_32_1,cyclic_2_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,13.25,0.6263137488743693,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,15.33881,133,19,1,4,20,cyclic_2_1,cyclic_4_1,block_64_1,block_16_1,cyclic_4_1,cyclic_128_1,block_4_1,block_2_1,cyclic_2_1,complete_1,unroll_8,pipeline_1,unroll_2,unroll_64,11.0,0.9194646051105502,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,390,24,1,6,32,cyclic_8_1,block_64_1,block_16_1,block_2_1,cyclic_128_1,block_8_1,cyclic_2_1,block_64_1,cyclic_4_1,complete_1,unroll_32,pipeline,unroll_4,unroll_32,15.75,0.8356753115276272,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,33.25917,59,20,1,4,10,cyclic_4_1,block_128_1,cyclic_4_1,cyclic_32_1,block_32_1,cyclic_4_1,cyclic_8_1,block_32_1,cyclic_16_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,8.75,0.7499358238660057,False
