Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,195,40,1,13,37,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_4_1,block_4_1,block_16_1,block_16_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_16,22.75,0.7129625193273585,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,12.99009,537,47,7,22,68,cyclic_8_1,block_32_1,block_8_1,block_16_1,block_2_1,block_8_1,block_128_1,block_2_1,block_16_1,cyclic_16_1,cyclic_128_1,cyclic_64_1,cyclic_4_1,complete_1,unroll_2,unroll_32,unroll_16,unroll_64,36.0,0.39299776580149415,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,9.76469,159,44,1,9,22,block_8_1,block_64_1,block_2_1,block_8_1,block_2_1,cyclic_4_1,block_64_1,cyclic_128_1,cyclic_128_1,block_8_1,block_4_1,cyclic_16_1,block_128_1,complete_1,unroll_2,unroll_8,unroll_64,pipeline,19.0,0.6623585517715166,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,19.80769,147,39,2,11,23,block_8_1,cyclic_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,block_16_1,cyclic_2_1,block_16_1,block_128_1,complete_1,unroll_8,pipeline,unroll_32,unroll_4,18.75,0.4584991937652553,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,19.81983,85,44,1,4,12,block_8_1,cyclic_8_1,cyclic_16_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,block_16_1,cyclic_2_1,block_4_1,block_128_1,complete_1,unroll_2,pipeline,unroll_32,unroll_4,15.25,0.47290655226240796,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,116,50,1,6,19,cyclic_32_1,block_16_1,block_4_1,cyclic_32_1,cyclic_4_1,cyclic_16_1,cyclic_4_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_64_1,block_4_1,cyclic_64_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline,19.0,0.7949943888578258,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,18.79889,341,40,4,7,55,block_128_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_32_1,block_16_1,block_4_1,block_2_1,cyclic_2_1,cyclic_64_1,block_16_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,26.5,0.4212215505425009,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,21.87529,162,41,1,13,27,cyclic_64_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,block_2_1,block_16_1,block_32_1,block_64_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_2,20.5,0.4113098633824369,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,12.99347,536,45,8,14,65,cyclic_8_1,block_64_1,block_8_1,block_16_1,cyclic_64_1,block_8_1,block_128_1,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_16_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_16,unroll_64,33.0,0.4306480289233853,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,9.66737,154,45,1,7,21,cyclic_8_1,cyclic_128_1,block_2_1,block_16_1,block_2_1,block_8_1,cyclic_2_1,cyclic_128_1,block_16_1,block_64_1,block_4_1,cyclic_16_1,block_128_1,complete_1,unroll_2,unroll_8,unroll_32,pipeline,18.5,0.6701860161050422,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,12.64481,735,40,7,25,81,block_32_1,cyclic_4_1,block_128_1,block_8_1,block_16_1,block_16_1,block_64_1,block_128_1,cyclic_128_1,block_4_1,block_4_1,cyclic_128_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_64,38.25,0.36841164633813983,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,15.18621,122,41,1,5,25,block_2_1,cyclic_128_1,cyclic_4_1,block_64_1,block_4_1,cyclic_2_1,block_64_1,cyclic_4_1,block_8_1,cyclic_2_1,block_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,18.0,0.5562932574576291,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,33.91039,400,40,2,17,54,block_8_1,cyclic_8_1,block_128_1,block_4_1,block_2_1,block_4_1,cyclic_8_1,block_64_1,block_128_1,block_16_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_16,unroll_64,unroll_4,28.25,0.20917191564036225,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,9.65259,1445,47,2,27,82,cyclic_8_1,block_16_1,block_4_1,cyclic_32_1,cyclic_4_1,block_8_1,block_128_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,block_4_1,cyclic_64_1,complete_1,unroll_32,unroll_8,unroll_16,pipeline,39.5,0.375427442076782,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,17.24737,438,68,4,13,80,cyclic_128_1,block_32_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,block_8_1,block_8_1,block_4_1,block_128_1,cyclic_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_2,41.25,0.29570905811454473,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17095,318,47,5,12,60,cyclic_64_1,block_64_1,cyclic_128_1,cyclic_4_1,block_2_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,unroll_2,31.0,0.550620015206749,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,14.99443,379,44,4,11,62,cyclic_128_1,block_8_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,cyclic_16_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,30.25,0.43925244929873597,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,155,49,1,9,28,cyclic_64_1,block_32_1,block_32_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,block_16_1,block_64_1,block_2_1,block_4_1,cyclic_2_1,cyclic_64_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_4,21.75,0.7343341439125808,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,13.13049,473,50,60,34,89,cyclic_32_1,block_4_1,block_8_1,cyclic_32_1,block_2_1,cyclic_8_1,cyclic_8_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_8_1,cyclic_128_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,58.25,0.17099985135542248,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,7.61425,118,37,1,8,17,cyclic_4_1,cyclic_4_1,block_2_1,block_8_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,cyclic_16_1,block_128_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_64,pipeline,15.75,0.7467257189278972,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,25.99473,217,40,1,7,35,block_8_1,block_2_1,cyclic_128_1,block_8_1,block_2_1,cyclic_8_1,block_8_1,block_4_1,cyclic_128_1,cyclic_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_2,20.75,0.3411471291671758,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,33.85755,404,41,4,16,57,block_128_1,block_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,cyclic_64_1,block_32_1,block_16_1,block_16_1,complete_1,unroll_8,unroll_2,unroll_32,unroll_4,29.5,0.205273765987282,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18319,238,48,1,8,34,cyclic_64_1,cyclic_128_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,block_8_1,cyclic_2_1,block_64_1,block_2_1,block_4_1,cyclic_32_1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_4,22.75,0.7129620391843724,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,9.65155,355,44,1,12,40,cyclic_8_1,block_32_1,block_2_1,block_16_1,block_2_1,block_4_1,block_128_1,block_2_1,block_16_1,cyclic_16_1,cyclic_128_1,cyclic_64_1,cyclic_4_1,complete_1,unroll_2,unroll_32,unroll_16,pipeline,24.25,0.5944208805578165,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18119,128,46,1,5,20,cyclic_32_1,block_64_1,block_2_1,block_16_1,cyclic_64_1,cyclic_32_1,block_8_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_32_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline,18.0,0.8177386562535423,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17095,109,39,1,8,16,block_2_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,block_4_1,block_16_1,block_64_1,cyclic_128_1,cyclic_64_1,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_2_1,complete_1,unroll_2,pipeline,unroll_4,unroll_8,16.0,0.8643278711978519,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,20.87579,254,43,1,10,33,cyclic_2_1,block_64_1,block_32_1,block_64_1,cyclic_2_1,block_16_1,block_128_1,cyclic_4_1,cyclic_32_1,cyclic_8_1,cyclic_64_1,cyclic_16_1,cyclic_8_1,complete_1,unroll_4,unroll_8,unroll_64,unroll_2,21.75,0.4218327376834643,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,0.16271,306,40,3,16,38,block_8_1,cyclic_8_1,block_4_1,block_4_1,block_4_1,cyclic_32_1,cyclic_8_1,cyclic_128_1,block_128_1,block_16_1,cyclic_32_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_16,unroll_4,unroll_4,24.25,0.6815919041883648,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,6.59469,180,36,6,20,32,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,cyclic_2_1,cyclic_32_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_32,unroll_64,23.5,0.6504804111179905,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,18.80081,94,45,1,4,16,block_2_1,cyclic_16_1,cyclic_32_1,block_2_1,block_4_1,cyclic_32_1,block_16_1,cyclic_4_1,block_4_1,cyclic_64_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_4,unroll_4,unroll_64,unroll_4,16.5,0.4890310478447246,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18313,156,41,1,11,30,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,block_16_1,block_16_1,block_4_1,block_64_1,cyclic_16_1,cyclic_32_1,cyclic_2_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_2,unroll_16,20.75,0.7560713915710547,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,17.27861,164,46,1,8,25,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_4_1,block_2_1,cyclic_4_1,cyclic_8_1,block_64_1,cyclic_128_1,block_8_1,block_8_1,block_16_1,cyclic_4_1,complete_1,unroll_8,unroll_16,unroll_8,unroll_2,20.0,0.49995513402228486,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18113,278,42,1,14,43,cyclic_64_1,block_2_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,cyclic_4_1,block_8_1,cyclic_16_1,block_2_1,block_8_1,block_64_1,cyclic_128_1,block_4_1,complete_1,unroll_32,pipeline,unroll_2,unroll_2,25.0,0.666215039090497,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,9.72831,117,47,1,7,17,block_16_1,block_32_1,block_8_1,block_8_1,block_2_1,cyclic_4_1,cyclic_4_1,block_2_1,block_64_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,cyclic_4_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,18.0,0.6744688498455985,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,14.13897,197,40,1,14,37,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_16_1,block_16_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,block_8_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_16,23.0,0.53343762226262,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,36.20355,560,44,7,15,75,block_128_1,block_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_32_1,block_64_1,block_64_1,block_4_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,35.25,0.16460586803262495,False
