Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22882,105,15,7,6,8,cyclic_4_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,unroll_2,9.0,0.9279886348967864,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2297,566,40,12,29,43,block_4_1,block_128_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline,unroll_4,31.0,0.41255374072567685,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99428,339,4,1,5,34,cyclic_4_1,block_2_1,cyclic_128_1,cyclic_2_1,block_2_1,complete_1,unroll_16,unroll_2,11.0,0.13358113003678168,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33448,119,25,1,2,9,cyclic_64_1,block_32_1,block_16_1,complete_1,complete_1,block_2_1,unroll_4,pipeline,9.25,0.7826747621459055,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,0.92272,172,5,1,1,10,cyclic_4_1,block_2_1,cyclic_4_1,cyclic_2_1,block_2_1,complete_1,unroll_8,unroll_2,4.25,0.17506057323367463,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,0.9668,183,37,1,6,25,cyclic_128_1,cyclic_8_1,cyclic_128_1,complete_1,block_8_1,cyclic_8_1,unroll_4,unroll_4,17.25,0.13323972551941127,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22877,268,12,8,9,19,cyclic_4_1,block_128_1,cyclic_64_1,complete_1,block_4_1,block_8_1,pipeline_1,unroll_8,12.0,0.8777048763298783,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22894,200,22,8,16,23,cyclic_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline,unroll_8,17.25,0.7663079940967078,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,367,35,8,13,23,block_4_1,block_16_1,block_32_1,complete_1,block_2_1,cyclic_4_1,pipeline,unroll,19.75,0.6922541597205955,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,1.04096,266,6,1,5,19,cyclic_16_1,cyclic_128_1,block_64_1,block_4_1,block_2_1,cyclic_2_1,unroll_8,unroll_4,7.75,0.11979743671004879,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,0.76383,1989,4,1,5,18,block_2_1,cyclic_2_1,block_64_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll,unroll_2,7.0,0.2976666260386646,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,0.715,2710,4,62,17,90,block_4_1,block_128_1,block_128_1,cyclic_8_1,complete_1,block_8_1,unroll_16,unroll_4,43.25,0.11474965356912405,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2968,413,6,38,27,46,block_4_1,block_8_1,cyclic_4_1,block_8_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,29.25,0.43791591824670384,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33815,1323,30,1,15,43,cyclic_128_1,block_32_1,cyclic_16_1,block_4_1,block_8_1,complete_1,unroll,pipeline_1,22.25,0.5675521862830953,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33882,585,4,1,11,41,cyclic_8_1,block_2_1,block_64_1,cyclic_2_1,complete_1,cyclic_2_1,unroll_32,pipeline_1,14.25,0.7049671214406272,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,310,37,8,13,23,block_4_1,block_32_1,block_16_1,cyclic_8_1,block_8_1,cyclic_4_1,pipeline_1,unroll_4,20.25,0.6780048678596023,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29056,587,5,1,46,75,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,complete_1,block_4_1,unroll_16,pipeline,31.75,0.3885617055614121,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33512,166,8,1,3,11,cyclic_16_1,cyclic_2_1,cyclic_8_1,block_4_1,block_2_1,cyclic_2_1,unroll_8,pipeline_1,5.75,0.8341063001463814,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28664,130,4,1,5,11,cyclic_4_1,cyclic_128_1,cyclic_64_1,block_4_1,complete_1,block_4_1,unroll_4,pipeline_1,5.25,0.9182131768999588,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33528,101,7,1,4,9,cyclic_16_1,block_4_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,5.25,0.8420063809985734,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33971,1257,27,1,41,45,block_64_1,block_16_1,block_16_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll,pipeline_1,28.5,0.4361694295557397,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29656,1827,9,1,29,58,block_2_1,cyclic_32_1,cyclic_64_1,complete_1,cyclic_2_1,block_2_1,unroll,pipeline,24.25,0.5499834724677075,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28085,525,81,10,15,28,block_16_1,cyclic_64_1,cyclic_16_1,complete_1,cyclic_2_1,block_4_1,pipeline,unroll_2,33.5,0.3568761918833274,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,315,37,8,13,23,block_4_1,block_32_1,block_16_1,cyclic_8_1,block_2_1,complete_1,pipeline_1,unroll_8,20.25,0.6780048678596023,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,1.09148,901,8,1,7,50,cyclic_8_1,cyclic_8_1,block_16_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_32,unroll_4,16.5,0.10314268987832241,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,0.74108,245,8,1,3,17,cyclic_16_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,block_2_1,cyclic_8_1,unroll_16,unroll_2,7.25,0.31964302432958924,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22975,240,36,6,30,35,block_2_1,cyclic_4_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,pipeline,unroll_4,26.75,0.508011427480442,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33504,167,12,1,4,13,cyclic_32_1,cyclic_2_1,cyclic_8_1,block_4_1,cyclic_8_1,block_2_1,unroll_8,pipeline_1,7.5,0.8101695163535162,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28273,712,25,3,7,13,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_4_1,block_8_1,cyclic_4_1,pipeline_1,unroll_2,12.0,0.8117020230311714,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35704,1100,27,20,6,67,block_64_1,block_32_1,block_64_1,complete_1,block_8_1,block_2_1,unroll_4,pipeline,30.0,0.39878372598042844,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,1.04864,491,9,31,7,41,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_8_1,cyclic_4_1,unroll_8,unroll_4,22.0,0.10441606892659222,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,0.57227,3265,23,3,12,42,cyclic_128_1,block_4_1,block_64_1,block_2_1,block_8_1,complete_1,unroll,unroll_4,20.0,0.3729753902137959,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,0.57456,163,6,1,2,11,cyclic_4_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,block_2_1,complete_1,unroll_8,unroll_2,5.0,0.5284517032092683,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3084,238,4,20,18,28,block_4_1,block_2_1,cyclic_128_1,cyclic_8_1,complete_1,cyclic_2_1,unroll_4,pipeline_1,17.5,0.694429011186821,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22975,244,36,6,30,35,block_2_1,cyclic_4_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,pipeline,unroll_8,26.75,0.508011427480442,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.55224,107,9,1,2,9,cyclic_16_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,cyclic_4_1,unroll_2,unroll_4,5.25,0.5598185811585196,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30184,343,10,51,24,41,cyclic_16_1,block_4_1,cyclic_8_1,block_4_1,cyclic_4_1,block_2_1,unroll_4,unroll,31.5,0.39058920894415694,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30704,458,5,38,29,50,block_4_1,block_8_1,cyclic_64_1,block_8_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,30.5,0.40892670236111595,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,364,35,8,13,23,block_4_1,block_16_1,block_32_1,complete_1,block_2_1,cyclic_4_1,pipeline,pipeline_1,19.75,0.6922541597205955,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32356,261,6,1,6,19,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,cyclic_8_1,cyclic_8_1,unroll_16,pipeline_1,8.0,0.8213891399595614,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0512,785,8,1,5,23,cyclic_16_1,block_128_1,cyclic_8_1,cyclic_4_1,block_8_1,cyclic_8_1,unroll_16,unroll_2,9.25,0.11599143905073216,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28011,330,7,10,21,32,cyclic_32_1,block_128_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline,unroll_4,17.5,0.7237249197800381,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,0.21792,98,36,10,7,10,cyclic_2_1,cyclic_32_1,cyclic_4_1,cyclic_8_1,block_4_1,block_8_1,pipeline_1,unroll_2,15.75,0.8147631939845033,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23146,148,23,3,5,11,cyclic_2_1,block_32_1,block_16_1,cyclic_2_1,complete_1,block_8_1,pipeline,unroll_4,10.5,0.8998343214642849,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2764,120,5,1,4,9,cyclic_4_1,cyclic_128_1,cyclic_4_1,block_4_1,complete_1,block_4_1,unroll_4,pipeline_1,4.75,0.9381365627431795,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30444,1504,4,1,18,80,block_2_1,cyclic_64_1,block_64_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_32,pipeline,25.75,0.5116034657166851,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28216,1415,4,1,37,40,block_4_1,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,block_8_1,unroll,pipeline,20.5,0.6494698379725576,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,1.03016,268,4,1,5,21,cyclic_8_1,cyclic_128_1,block_64_1,block_4_1,complete_1,cyclic_2_1,unroll_8,unroll_4,7.75,0.12326033736433965,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33376,164,8,1,4,11,cyclic_16_1,cyclic_2_1,cyclic_8_1,block_4_1,complete_1,block_4_1,unroll_8,pipeline_1,6.0,0.8311887152997578,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22877,271,12,8,9,19,cyclic_4_1,block_128_1,cyclic_64_1,complete_1,block_4_1,block_8_1,pipeline_1,pipeline,12.0,0.8777048763298783,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22749,109,30,14,9,14,cyclic_4_1,cyclic_32_1,cyclic_64_1,complete_1,block_4_1,block_2_1,pipeline_1,unroll_4,16.75,0.7817869834236174,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,0.97896,185,24,1,4,24,cyclic_128_1,cyclic_8_1,cyclic_128_1,complete_1,block_2_1,cyclic_8_1,unroll_4,unroll_4,13.25,0.1364542712334162,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,0.74796,2052,22,2,8,68,cyclic_128_1,block_128_1,block_128_1,cyclic_2_1,complete_1,block_8_1,unroll_16,unroll_4,25.0,0.2027454092355918,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,1.09752,176,7,1,3,7,cyclic_16_1,block_4_1,cyclic_128_1,cyclic_8_1,block_4_1,block_8_1,unroll_2,unroll,4.5,0.10670407201128095,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,1.13471,2446,28,1,7,38,cyclic_128_1,block_8_1,cyclic_32_1,cyclic_4_1,block_2_1,complete_1,unroll,unroll_2,18.5,0.10000000000000003,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28273,712,25,3,7,13,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_4_1,block_8_1,cyclic_2_1,pipeline_1,unroll_2,12.0,0.8117020230311714,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33884,584,7,1,11,40,cyclic_16_1,block_2_1,block_64_1,cyclic_2_1,block_2_1,cyclic_2_1,unroll_32,pipeline_1,14.75,0.699076553240495,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30672,387,4,1,30,56,block_2_1,cyclic_2_1,cyclic_128_1,block_4_1,block_4_1,block_2_1,unroll_8,pipeline_1,22.75,0.579344946900325,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2868,122,7,1,4,10,cyclic_4_1,cyclic_16_1,cyclic_64_1,block_4_1,block_2_1,cyclic_2_1,unroll_4,pipeline_1,5.5,0.9173807080072289,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30704,418,6,38,27,46,block_4_1,cyclic_2_1,cyclic_8_1,block_4_1,cyclic_8_1,block_4_1,unroll_8,pipeline_1,29.25,0.4344967680080075,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22891,140,22,7,14,14,cyclic_2_1,cyclic_2_1,block_64_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,pipeline_1,unroll_8,14.25,0.8404284484112053,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33512,162,12,1,5,17,cyclic_64_1,block_128_1,block_64_1,complete_1,cyclic_4_1,block_2_1,unroll_4,pipeline,8.75,0.7909084831109172,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,0.41144,177,4,3,6,18,cyclic_4_1,block_128_1,cyclic_64_1,complete_1,block_4_1,block_8_1,unroll_2,unroll_8,7.75,0.727619475140227,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2906,607,5,1,41,77,block_2_1,cyclic_4_1,block_4_1,cyclic_8_1,block_4_1,block_4_1,unroll_16,pipeline,31.0,0.4035240838598789,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2857,1268,5,1,28,30,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,complete_1,block_2_1,unroll,pipeline,16.0,0.7483539628242413,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,0.73817,1730,5,1,3,21,cyclic_4_1,cyclic_2_1,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll,unroll_2,7.5,0.32194663019076464,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,0.3008,743,4,1,48,91,block_2_1,cyclic_4_1,block_128_1,cyclic_8_1,complete_1,block_4_1,unroll_16,pipeline,36.0,0.3086930246933003,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28282,159,7,3,13,13,cyclic_16_1,block_8_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,pipeline_1,unroll_8,9.0,0.8503171289238707,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22749,106,26,14,9,13,cyclic_4_1,cyclic_4_1,cyclic_64_1,cyclic_4_1,block_4_1,block_8_1,pipeline_1,unroll_8,15.5,0.8181844545118109,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,0.5796,114,6,1,1,8,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,unroll_4,unroll_2,4.0,0.5229974448014947,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2764,121,5,1,4,9,cyclic_4_1,cyclic_128_1,cyclic_4_1,block_4_1,complete_1,block_4_1,unroll_4,pipeline_1,4.75,0.9381365627431795,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22967,131,38,6,14,22,block_2_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,unroll_8,20.0,0.6854265801616342,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22967,145,36,6,16,25,block_2_1,cyclic_2_1,cyclic_128_1,block_4_1,complete_1,block_8_1,pipeline,pipeline_1,20.75,0.664187489707881,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30704,417,7,38,27,46,block_4_1,block_8_1,cyclic_8_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,29.5,0.4293133822693471,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,339,30,8,14,22,block_4_1,block_16_1,cyclic_64_1,block_2_1,block_2_1,cyclic_4_1,pipeline,pipeline,18.5,0.7285092410997789,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2852,534,4,1,10,41,cyclic_4_1,block_128_1,cyclic_64_1,complete_1,cyclic_8_1,cyclic_8_1,unroll_16,pipeline_1,14.0,0.7800015151349428,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28012,271,7,10,16,26,cyclic_32_1,block_128_1,block_64_1,cyclic_8_1,complete_1,cyclic_2_1,pipeline,unroll_4,14.75,0.7754605490687984,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45624,99,7,1,4,10,cyclic_16_1,cyclic_4_1,cyclic_128_1,cyclic_8_1,block_4_1,block_8_1,unroll_2,unroll_4,5.5,0.7035561064978569,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,0.5648,188,19,3,3,15,cyclic_2_1,block_32_1,block_16_1,cyclic_2_1,block_4_1,block_2_1,unroll_8,unroll_4,10.0,0.5090719845028109,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33512,165,8,1,3,11,cyclic_16_1,cyclic_2_1,cyclic_8_1,block_8_1,cyclic_2_1,block_2_1,unroll_8,pipeline_1,5.75,0.8341063001463814,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22826,206,18,10,22,23,cyclic_4_1,cyclic_4_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,pipeline,unroll_2,18.25,0.7366287611027996,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22891,145,22,7,14,14,cyclic_2_1,cyclic_2_1,block_64_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,pipeline_1,unroll_8,14.25,0.8404284484112053,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,0.358,101,6,3,2,6,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,block_8_1,unroll_2,unroll_8,4.25,0.8344154761320769,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30444,1521,4,1,18,80,block_2_1,cyclic_64_1,block_64_1,cyclic_4_1,block_2_1,complete_1,unroll_32,pipeline_1,25.75,0.5116034657166851,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32488,166,7,1,3,11,cyclic_16_1,cyclic_2_1,cyclic_4_1,block_8_1,block_2_1,cyclic_2_1,unroll_8,pipeline_1,5.5,0.8482522207782763,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,0.55224,125,9,1,3,13,cyclic_16_1,block_16_1,block_128_1,complete_1,block_2_1,cyclic_4_1,unroll_2,unroll_4,6.5,0.553974231120026,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23171,269,23,3,29,34,block_2_1,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,pipeline,unroll,22.25,0.6225998851322571,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33754,1249,24,1,16,36,cyclic_64_1,block_32_1,block_16_1,complete_1,block_8_1,block_2_1,unroll,pipeline,19.25,0.6292219761290504,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28282,160,5,3,13,12,cyclic_16_1,block_2_1,block_64_1,cyclic_2_1,complete_1,cyclic_2_1,pipeline_1,pipeline_1,8.25,0.8697292987909374,False
