kernel,representation,path,nodes,edges,nonpragma_relation_types,actions,action_ids,control_edges,data_edges,call_edges,loop_hierarchy_edges,array_scope_edges,region_edges,memory_view_edges,memory_access_edges,loop_carried_edges,memory_dependence_edges,memory_uncertainty_edges,pragma_edges,compiler_dependence_queries,compiler_proven_dependences,compiler_unresolved_queries,compiler_view_edges,graph_bytes
rodinia-backprop-0-baseline-back,HARP,GNN_branch/HARP_graphs/rodinia-backprop-0-baseline-back_processed_result.gexf,197,683,6,2,L1;L2,86,193,2,2,0,0,0,0,0,0,0,8,0,0,0,0,170440
rodinia-backprop-0-baseline-back,MLIR,GNN_branch/MLIR_graphs/rodinia-backprop-0-baseline-back.gexf,97,351,10,2,L1;L2,20,73,0,2,0,6,12,14,0,3,21,8,3,3,24,0,133218
rodinia-backprop-0-baseline-forward,HARP,GNN_branch/HARP_graphs/rodinia-backprop-0-baseline-forward_processed_result.gexf,300,1076,7,6,L1;L2;L3;L4;L5;L6,126,278,18,4,34,0,0,0,0,0,0,18,0,0,0,0,266990
rodinia-backprop-0-baseline-forward,MLIR,GNN_branch/MLIR_graphs/rodinia-backprop-0-baseline-forward.gexf,209,778,11,6,L1;L2;L3;L4;L5;L6,65,184,0,6,14,18,30,20,6,1,0,18,1,1,0,6,305739
rodinia-backprop-1-tiling-back,HARP,GNN_branch/HARP_graphs/rodinia-backprop-1-tiling-back_processed_result.gexf,506,1895,7,10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,221,524,24,4,84,0,0,0,0,0,0,28,0,0,0,0,470853
rodinia-backprop-1-tiling-back,MLIR,GNN_branch/MLIR_graphs/rodinia-backprop-1-tiling-back.gexf,409,1608,10,10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,138,386,0,12,34,32,92,62,0,8,0,28,8,8,0,20,617595
rodinia-hotspot-0-baseline,HARP,GNN_branch/HARP_graphs/rodinia-hotspot-0-baseline_processed_result.gexf,1896,6773,6,3,L1;L2;L3,838,2123,8,2,0,0,0,0,0,0,0,12,0,0,0,0,1706821
rodinia-hotspot-0-baseline,MLIR,GNN_branch/MLIR_graphs/rodinia-hotspot-0-baseline.gexf,641,2578,11,3,L1;L2;L3,247,751,16,2,0,74,16,170,6,0,6,12,0,0,86,0,1157556
rodinia-hotspot-1-tiling,HARP,GNN_branch/HARP_graphs/rodinia-hotspot-1-tiling_processed_result.gexf,887,3209,7,8,L1;L2;L3;L4;L5;L6;L7;L8,394,941,22,6,48,0,0,0,0,0,0,26,0,0,0,0,801110
rodinia-hotspot-1-tiling,MLIR,GNN_branch/MLIR_graphs/rodinia-hotspot-1-tiling.gexf,549,2212,12,8,L1;L2;L3;L4;L5;L6;L7;L8,177,523,18,18,34,50,189,66,0,5,12,26,5,5,30,33,827482
rodinia-hotspot-2-pipeline,HARP,GNN_branch/HARP_graphs/rodinia-hotspot-2-pipeline_processed_result.gexf,1344,4914,7,19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,592,1412,26,12,130,0,0,0,0,0,0,56,0,0,0,0,1233024
rodinia-hotspot-2-pipeline,MLIR,GNN_branch/MLIR_graphs/rodinia-hotspot-2-pipeline.gexf,672,2776,12,19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,192,610,30,24,130,68,221,74,0,15,18,56,15,15,38,45,1020640
rodinia-hotspot-3-unroll,HARP,GNN_branch/HARP_graphs/rodinia-hotspot-3-unroll_processed_result.gexf,1344,4914,7,19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,592,1412,26,12,130,0,0,0,0,0,0,56,0,0,0,0,1233024
rodinia-hotspot-3-unroll,MLIR,GNN_branch/MLIR_graphs/rodinia-hotspot-3-unroll.gexf,672,2776,12,19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,192,610,30,24,130,68,221,74,0,15,18,56,15,15,38,45,1020622
rodinia-kmeans-0-baseline,HARP,GNN_branch/HARP_graphs/rodinia-kmeans-0-baseline_processed_result.gexf,213,728,6,3,L1;L2;L3,95,191,2,4,0,0,0,0,0,0,0,12,0,0,0,0,181501
rodinia-kmeans-0-baseline,MLIR,GNN_branch/MLIR_graphs/rodinia-kmeans-0-baseline.gexf,79,286,10,3,L1;L2;L3,16,63,0,4,0,8,6,6,9,0,6,12,0,0,4,0,112303
rodinia-kmeans-1-tiling,HARP,GNN_branch/HARP_graphs/rodinia-kmeans-1-tiling_processed_result.gexf,601,2122,7,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,268,544,18,8,42,0,0,0,0,0,0,42,0,0,0,0,530634
rodinia-kmeans-1-tiling,MLIR,GNN_branch/MLIR_graphs/rodinia-kmeans-1-tiling.gexf,262,974,12,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,41,194,15,8,30,28,45,36,9,0,12,42,0,0,10,3,348237
rodinia-kmeans-2-pipeline,HARP,GNN_branch/HARP_graphs/rodinia-kmeans-2-pipeline_processed_result.gexf,601,2122,7,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,268,544,18,8,42,0,0,0,0,0,0,42,0,0,0,0,530634
rodinia-kmeans-2-pipeline,MLIR,GNN_branch/MLIR_graphs/rodinia-kmeans-2-pipeline.gexf,262,974,12,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,41,194,15,8,30,28,45,36,9,0,12,42,0,0,10,3,348237
rodinia-kmeans-3-unroll,HARP,GNN_branch/HARP_graphs/rodinia-kmeans-3-unroll_processed_result.gexf,601,2122,7,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,268,544,18,8,42,0,0,0,0,0,0,42,0,0,0,0,530634
rodinia-kmeans-3-unroll,MLIR,GNN_branch/MLIR_graphs/rodinia-kmeans-3-unroll.gexf,262,974,12,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,41,194,15,8,30,28,45,36,9,0,12,42,0,0,10,3,348237
rodinia-knn-0-baseline,HARP,GNN_branch/HARP_graphs/rodinia-knn-0-baseline_processed_result.gexf,143,490,6,2,L1;L2,62,132,2,2,0,0,0,0,0,0,0,8,0,0,0,0,122425
rodinia-knn-0-baseline,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-0-baseline.gexf,57,199,10,2,L1;L2,9,41,0,2,0,6,6,6,3,0,6,8,0,0,4,0,77324
rodinia-knn-1-tiling,HARP,GNN_branch/HARP_graphs/rodinia-knn-1-tiling_processed_result.gexf,450,1585,7,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,197,404,14,2,40,0,0,0,0,0,0,30,0,0,0,0,397692
rodinia-knn-1-tiling,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-1-tiling.gexf,210,787,12,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,33,156,12,2,28,20,49,32,3,0,10,30,0,0,8,5,277763
rodinia-knn-2-pipeline,HARP,GNN_branch/HARP_graphs/rodinia-knn-2-pipeline_processed_result.gexf,450,1585,7,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,197,404,14,2,40,0,0,0,0,0,0,30,0,0,0,0,397692
rodinia-knn-2-pipeline,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-2-pipeline.gexf,210,787,12,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,33,156,12,2,28,20,49,32,3,0,10,30,0,0,8,5,277763
rodinia-knn-3-unroll,HARP,GNN_branch/HARP_graphs/rodinia-knn-3-unroll_processed_result.gexf,487,1714,7,10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,214,436,14,4,40,0,0,0,0,0,0,34,0,0,0,0,429893
rodinia-knn-3-unroll,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-3-unroll.gexf,217,813,12,10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,34,159,12,4,28,22,49,32,3,0,10,34,0,0,8,5,287241
rodinia-knn-4-doublebuffer,HARP,GNN_branch/HARP_graphs/rodinia-knn-4-doublebuffer_processed_result.gexf,667,2383,7,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,299,618,20,4,72,0,0,0,0,0,0,38,0,0,0,0,596686
rodinia-knn-4-doublebuffer,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-4-doublebuffer.gexf,371,1440,12,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,73,298,30,4,50,40,102,54,3,0,14,38,0,0,8,14,506380
rodinia-knn-5-coalescing,HARP,GNN_branch/HARP_graphs/rodinia-knn-5-coalescing_processed_result.gexf,756,2700,7,13,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,341,709,20,6,72,0,0,0,0,0,0,42,0,0,0,0,674833
rodinia-knn-5-coalescing,MLIR,GNN_branch/MLIR_graphs/rodinia-knn-5-coalescing.gexf,408,1601,13,13,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,87,330,30,6,50,42,112,68,3,9,14,42,9,9,8,16,567502
rodinia_cfd_flux_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_flux_0_baseline_0_processed_result.gexf,2516,9343,7,3,L1;L2;L3,1101,3136,48,2,16,0,0,0,0,0,0,10,0,0,0,0,2361981
rodinia_cfd_flux_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_flux_0_baseline_0.gexf,1056,4318,12,2,L2;L3,322,1175,53,2,0,30,182,280,24,58,86,8,58,58,1164,12,1970995
rodinia_cfd_step_factor_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_0_baseline_0_processed_result.gexf,431,1548,5,1,L1,182,472,30,0,0,0,0,0,0,0,0,4,0,0,0,0,388128
rodinia_cfd_step_factor_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_0_baseline_0.gexf,306,1200,10,1,L1,79,294,25,0,0,14,68,90,0,14,12,4,14,14,48,6,437425
rodinia_cfd_step_factor_1_tiling_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_1_tiling_0_processed_result.gexf,566,2064,6,5,L1;L2;L3;L4;L5,239,603,42,0,36,0,0,0,0,0,0,14,0,0,0,0,517244
rodinia_cfd_step_factor_1_tiling_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_1_tiling_0.gexf,409,1617,11,4,L1;L2;L3;L4,107,381,29,0,26,22,104,108,0,14,12,10,14,14,48,12,591044
rodinia_cfd_step_factor_2_pipeline_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_2_pipeline_0_processed_result.gexf,677,2506,7,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,288,718,42,2,80,0,0,0,0,0,0,24,0,0,0,0,625978
rodinia_cfd_step_factor_2_pipeline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_2_pipeline_0.gexf,416,1675,11,7,L1;L2;L3;L4;L6;L7;L8,106,382,29,0,70,22,104,104,0,12,12,16,12,12,48,12,607456
rodinia_cfd_step_factor_3_unroll_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_3_unroll_0_processed_result.gexf,2432,9035,7,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,1053,2968,42,2,84,0,0,0,0,0,0,24,0,0,0,0,2283829
rodinia_cfd_step_factor_3_unroll_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_3_unroll_0.gexf,645,3342,12,8,L1;L2;L3;L4;L5;L6;L7;L8,256,758,29,2,370,24,104,404,0,87,12,20,87,87,198,12,1206779
rodinia_cfd_step_factor_4_doublebuffer_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_4_doublebuffer_0_processed_result.gexf,2936,10973,7,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,1276,3485,82,2,216,0,0,0,0,0,0,42,0,0,0,0,2772943
rodinia_cfd_step_factor_4_doublebuffer_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_4_doublebuffer_0.gexf,1074,6071,12,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,356,1139,109,2,922,66,254,938,0,87,30,42,87,87,198,24,2055587
rodinia_cfd_step_factor_5_coalescing_0,HARP,GNN_branch/HARP_graphs/rodinia_cfd_step_factor_5_coalescing_0_processed_result.gexf,2932,10961,7,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,1273,3482,84,2,216,0,0,0,0,0,0,42,0,0,0,0,2774950
rodinia_cfd_step_factor_5_coalescing_0,MLIR,GNN_branch/MLIR_graphs/rodinia_cfd_step_factor_5_coalescing_0.gexf,985,5826,12,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,326,1055,112,2,970,60,194,1004,0,87,30,42,87,87,198,12,1953641
rodinia_dilate_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_dilate_0_baseline_0_processed_result.gexf,307,1074,7,5,L1;L2;L3;L4;L5,140,280,6,6,12,0,0,0,0,0,0,18,0,0,0,0,266462
rodinia_dilate_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_dilate_0_baseline_0.gexf,122,595,12,5,L1;L2;L3;L4;L5,43,121,0,6,54,18,2,56,6,25,4,18,25,25,2,0,225830
rodinia_dilate_1_tiling_0,HARP,GNN_branch/HARP_graphs/rodinia_dilate_1_tiling_0_processed_result.gexf,645,2283,7,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,292,593,18,10,40,0,0,0,0,0,0,42,0,0,0,0,569062
rodinia_dilate_1_tiling_0,MLIR,GNN_branch/MLIR_graphs/rodinia_dilate_1_tiling_0.gexf,292,1218,13,12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,77,248,12,10,74,46,18,76,6,25,8,42,25,25,6,0,454142
rodinia_dilate_2_pipeline_0,HARP,GNN_branch/HARP_graphs/rodinia_dilate_2_pipeline_0_processed_result.gexf,1018,3628,7,20,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20,461,953,22,16,72,0,0,0,0,0,0,70,0,0,0,0,904724
rodinia_dilate_2_pipeline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_dilate_2_pipeline_0.gexf,416,1728,13,20,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20,107,333,15,16,102,72,20,100,6,53,12,70,53,53,8,0,640630
rodinia_dilate_3_pipeline_0,HARP,GNN_branch/HARP_graphs/rodinia_dilate_3_pipeline_0_processed_result.gexf,1575,5557,7,35,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35,713,1406,22,42,100,0,0,0,0,0,0,126,0,0,0,0,1395220
rodinia_dilate_3_pipeline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_dilate_3_pipeline_0.gexf,570,2418,13,35,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35,124,478,15,42,126,82,20,120,81,58,16,126,58,58,8,0,1073622
rodinia_lavaMD_0_baseline,HARP,GNN_branch/HARP_graphs/rodinia_lavaMD_0_baseline_processed_result.gexf,954,3453,7,6,L1;L2;L3;L4;L5;L6,419,1060,10,6,32,0,0,0,0,0,0,20,0,0,0,0,861737
rodinia_lavaMD_0_baseline,MLIR,GNN_branch/MLIR_graphs/rodinia_lavaMD_0_baseline.gexf,406,2058,12,5,L2;L3;L4;L5;L6,196,513,4,6,170,12,8,214,0,93,16,18,93,93,1392,0,776473
rodinia_lavaMD_1_tiling_0,HARP,GNN_branch/HARP_graphs/rodinia_lavaMD_1_tiling_0_processed_result.gexf,1459,5370,7,15,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,639,1645,10,16,96,0,0,0,0,0,0,48,0,0,0,0,1349302
rodinia_lavaMD_1_tiling_0,MLIR,GNN_branch/MLIR_graphs/rodinia_lavaMD_1_tiling_0.gexf,532,2714,12,14,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,235,629,4,16,246,22,8,268,0,156,24,46,156,156,1052,0,1019805
rodinia_lavaMD_1_tiling_1,HARP,GNN_branch/HARP_graphs/rodinia_lavaMD_1_tiling_1_processed_result.gexf,1527,5615,7,15,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,673,1720,10,16,96,0,0,0,0,0,0,48,0,0,0,0,1403582
rodinia_lavaMD_1_tiling_1,MLIR,GNN_branch/MLIR_graphs/rodinia_lavaMD_1_tiling_1.gexf,535,2724,12,14,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,237,629,4,16,246,24,8,268,0,156,24,46,156,156,1052,0,1032872
rodinia_lavaMD_2_pipeline_0,HARP,GNN_branch/HARP_graphs/rodinia_lavaMD_2_pipeline_0_processed_result.gexf,1459,5370,7,15,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,639,1645,10,16,96,0,0,0,0,0,0,48,0,0,0,0,1349017
rodinia_lavaMD_2_pipeline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_lavaMD_2_pipeline_0.gexf,532,2714,12,14,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,235,629,4,16,246,22,8,268,0,156,24,46,156,156,1052,0,1021274
rodinia_lc_gicov_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_lc_gicov_0_baseline_0_processed_result.gexf,525,1900,7,11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,224,498,24,10,62,0,0,0,0,0,0,34,0,0,0,0,472784
rodinia_lc_gicov_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_lc_gicov_0_baseline_0.gexf,363,1901,12,11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,161,394,3,10,216,18,0,212,9,102,20,34,102,102,392,0,704226
rodinia_lc_mgvf_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_lc_mgvf_0_baseline_0_processed_result.gexf,811,2873,6,3,L1;L2;L3,367,838,34,2,0,0,0,0,0,0,0,12,0,0,0,0,716723
rodinia_lc_mgvf_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_lc_mgvf_0_baseline_0.gexf,326,1267,11,3,L1;L2;L3,104,339,34,2,0,48,16,54,6,0,6,12,0,0,20,0,502956
rodinia_lud_1_tiling_0,HARP,GNN_branch/HARP_graphs/rodinia_lud_1_tiling_0_processed_result.gexf,2619,9341,7,46,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46,1164,2565,54,48,104,0,0,0,0,0,0,170,0,0,0,0,2347081
rodinia_lud_1_tiling_0,MLIR,GNN_branch/MLIR_graphs/rodinia_lud_1_tiling_0.gexf,1385,5471,13,46,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46,310,1137,110,48,104,170,380,226,25,54,31,170,54,54,48,48,2135786
rodinia_pathfinder_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_pathfinder_0_baseline_0_processed_result.gexf,500,1764,7,6,L1;L2;L3;L4;L5;L6,228,476,12,4,26,0,0,0,0,0,0,20,0,0,0,0,439154
rodinia_pathfinder_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_pathfinder_0_baseline_0.gexf,207,873,11,4,L3;L4;L5;L6,61,179,0,4,16,24,79,44,0,34,8,12,34,34,16,17,332817
rodinia_pathfinder_4_doublebuffer_0,HARP,GNN_branch/HARP_graphs/rodinia_pathfinder_4_doublebuffer_0_processed_result.gexf,575,2077,7,8,L1;L2;L3;L4;L5;L6;L7;L8,253,558,26,4,64,0,0,0,0,0,0,24,0,0,0,0,515679
rodinia_pathfinder_4_doublebuffer_0,MLIR,GNN_branch/MLIR_graphs/rodinia_pathfinder_4_doublebuffer_0.gexf,440,1846,12,8,L1;L2;L3;L4;L5;L6;L7;L8,116,385,23,4,50,42,184,76,0,52,16,24,52,52,52,32,676346
rodinia_streamcluster_0_baseline_0,HARP,GNN_branch/HARP_graphs/rodinia_streamcluster_0_baseline_0_processed_result.gexf,276,958,6,2,L1;L2,123,273,2,2,0,0,0,0,0,0,0,8,0,0,0,0,240311
rodinia_streamcluster_0_baseline_0,MLIR,GNN_branch/MLIR_graphs/rodinia_streamcluster_0_baseline_0.gexf,151,559,11,2,L1;L2,26,106,0,2,0,10,42,22,3,3,37,8,3,3,53,0,203983
rodinia_streamcluster_1_tiling_0,HARP,GNN_branch/HARP_graphs/rodinia_streamcluster_1_tiling_0_processed_result.gexf,794,2945,7,14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,344,805,36,2,136,0,0,0,0,0,0,36,0,0,0,0,739817
rodinia_streamcluster_1_tiling_0,MLIR,GNN_branch/MLIR_graphs/rodinia_streamcluster_1_tiling_0.gexf,712,2770,13,14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,145,573,32,2,78,40,263,102,3,4,76,36,4,4,91,29,987451
rodinia_streamcluster_2_pipeline_1,HARP,GNN_branch/HARP_graphs/rodinia_streamcluster_2_pipeline_1_processed_result.gexf,796,2950,7,14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,345,805,36,2,136,0,0,0,0,0,0,36,0,0,0,0,741119
rodinia_streamcluster_2_pipeline_1,MLIR,GNN_branch/MLIR_graphs/rodinia_streamcluster_2_pipeline_1.gexf,712,2770,13,14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,145,573,32,2,78,40,263,102,3,4,76,36,4,4,91,29,987759
rodinia_streamcluster_3_doublebuffer_0,HARP,GNN_branch/HARP_graphs/rodinia_streamcluster_3_doublebuffer_0_processed_result.gexf,997,3740,7,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,433,1025,40,2,204,0,0,0,0,0,0,44,0,0,0,0,937945
rodinia_streamcluster_3_doublebuffer_0,MLIR,GNN_branch/MLIR_graphs/rodinia_streamcluster_3_doublebuffer_0.gexf,941,3726,13,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,188,775,59,2,114,56,377,130,3,4,100,44,4,4,91,47,1310477
rodinia_streamcluster_4_coalescing_0,HARP,GNN_branch/HARP_graphs/rodinia_streamcluster_4_coalescing_0_processed_result.gexf,1145,4269,7,18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,492,1179,60,2,204,0,0,0,0,0,0,44,0,0,0,0,1075966
