Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5004.cpp,xcu200-fsgd2104-2-e,3.33,19.17934146,334,1,1,4,5,block_4_1,cyclic_4_1,cyclic_4_1,unroll_4,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,2.75,0.793160102188,False
workload_5042.cpp,xcu200-fsgd2104-2-e,3.33,19.96748586,359,3,1,4,5,block_4_1,cyclic_64_1,complete_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,3.25,0.773283823161,False
workload_4959.cpp,xcu200-fsgd2104-2-e,3.33,20.69105823,1212,3,1,16,18,block_4_1,cyclic_64_1,cyclic_4_1,unroll_32,unroll_4,unroll_2,unroll_17,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,9.5,0.532313680202,False
workload_4922.cpp,xcu200-fsgd2104-2-e,3.33,2.17303812,341,3,1,3,5,block_4_1,cyclic_64_1,cyclic_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,3,0.889584619769,False
workload_4987.cpp,xcu200-fsgd2104-2-e,3.33,2.17303812,341,3,1,3,5,block_4_1,cyclic_64_1,cyclic_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,3,0.889584619769,False
workload_5098.cpp,xcu200-fsgd2104-2-e,3.33,20.36365596,430,3,1,4,8,block_4_1,cyclic_64_1,cyclic_4_1,unroll_4,unroll_2,unroll_4,unroll_17,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll_5,1,4,0.747175740137,False
workload_4891.cpp,xcu200-fsgd2104-2-e,3.33,20.04906087,789,2,1,16,16,block_4_1,cyclic_8_1,cyclic_4_1,unroll_32,unroll_4,pipeline_1,unroll_17,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_5,1,8.75,0.563905665496,False
workload_4746.cpp,xcu200-fsgd2104-2-e,3.33,23.7984444,1313,2,1,23,26,block_64_1,block_16_1,block_8_1,unroll_32,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,13,0.398082718684,False
workload_4808.cpp,xcu200-fsgd2104-2-e,3.33,23.7984444,1346,2,1,23,26,block_64_1,block_16_1,block_8_1,unroll_32,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_5,pipeline_1,1,13,0.398082718684,False
workload_4897.cpp,xcu200-fsgd2104-2-e,3.33,23.8014414,1119,2,1,2,7,block_64_1,block_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline_1,unroll_5,1,3,0.746217990066,False
workload_5021.cpp,xcu200-fsgd2104-2-e,3.33,2.27435004,1200,2,1,6,11,block_64_1,block_2_1,block_4_1,unroll_4,unroll_2,unroll_8,unroll_17,pipeline_1,pipeline_1,unroll_8,unroll_5,pipeline_1,1,5,0.779779105083,False
workload_4950.cpp,xcu200-fsgd2104-2-e,3.33,63.78867081,801,2,1,4,10,block_64_1,block_2_1,block_8_1,unroll_4,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,4.25,0.415574163673,False
workload_4856.cpp,xcu200-fsgd2104-2-e,3.33,23.79700584,1613,1,1,23,27,block_64_1,block_4_1,block_4_1,unroll_32,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_5,pipeline_1,1,13,0.398085827585,False
workload_5009.cpp,xcu200-fsgd2104-2-e,3.33,3.17920428,1114,3,1,2,6,block_64_1,block_64_1,block_4_1,unroll_2,unroll_2,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,3,0.888888791398,False
workload_4974.cpp,xcu200-fsgd2104-2-e,3.33,2.29518252,1735,3,1,2,9,block_64_1,block_64_1,block_4_1,unroll_2,unroll_2,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,3.75,0.847431380575,False
workload_4937.cpp,xcu200-fsgd2104-2-e,3.33,2.27344428,3186,3,1,2,12,block_64_1,block_64_1,block_4_1,unroll_2,unroll_2,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,4.5,0.806457250128,False
workload_4998.cpp,xcu200-fsgd2104-2-e,3.33,2.17020762,1126,2,1,23,25,block_64_1,cyclic_2_1,block_4_1,unroll_32,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_5,1,12.75,0.431914301577,False
workload_4867.cpp,xcu200-fsgd2104-2-e,3.33,2.17233882,1356,2,1,23,26,block_64_1,cyclic_2_1,block_4_1,unroll_32,unroll_2,unroll_8,unroll_17,pipeline_1,pipeline_1,unroll_64,unroll_5,pipeline_1,1,13,0.422746637143,False
workload_4954.cpp,xcu200-fsgd2104-2-e,3.33,23.65944354,1296,2,1,23,26,block_64_1,cyclic_2_1,block_4_1,unroll_32,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,13,0.398382341966,False
workload_4923.cpp,xcu200-fsgd2104-2-e,3.33,3.2650983,1049,2,1,23,25,block_64_1,cyclic_2_1,block_8_1,unroll_32,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,12.75,0.431830479104,False
workload_4915.cpp,xcu200-fsgd2104-2-e,3.33,23.79700584,1476,2,1,24,26,block_64_1,cyclic_8_1,block_4_1,unroll_32,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_5,pipeline_1,1,13.25,0.389866403694,False
workload_5028.cpp,xcu200-fsgd2104-2-e,3.33,26.10397323,279,1,1,2,3,block_8_1,block_16_1,block_4_1,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_5,1,1.75,0.742605029931,False
workload_4843.cpp,xcu200-fsgd2104-2-e,3.33,25.85000745,1010,1,1,20,18,block_8_1,block_16_1,block_8_1,unroll_32,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,10,0.496685395569,False
workload_5012.cpp,xcu200-fsgd2104-2-e,3.33,25.85941803,268,1,1,2,3,block_8_1,block_16_1,complete_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_5,1,1.75,0.7449570162,False
workload_5061.cpp,xcu200-fsgd2104-2-e,3.33,4.22251992,190,1,1,2,3,block_8_1,block_2_1,complete_1,unroll_2,unroll_4,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_5,1,1.75,0.954815274197,False
workload_4995.cpp,xcu200-fsgd2104-2-e,3.33,25.30647486,364,1,1,7,8,block_8_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,4.25,0.701957343289,False
workload_5046.cpp,xcu200-fsgd2104-2-e,3.33,69.66673686,472,1,1,4,8,block_8_1,block_2_1,cyclic_8_1,unroll_8,unroll_2,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,1,3.5,0.383400621818,False
workload_4777.cpp,xcu200-fsgd2104-2-e,3.33,25.33716414,375,1,1,7,8,block_8_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,4.25,0.70172245145,False
workload_4969.cpp,xcu200-fsgd2104-2-e,3.33,25.30671462,355,1,1,7,8,block_8_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,4.25,0.701955508422,False
workload_5022.cpp,xcu200-fsgd2104-2-e,3.33,2.26237869,2183,1,1,1,9,cyclic_16_1,block_128_1,block_4_1,unroll_2,unroll_4,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,3,0.889567173476,False
workload_5537.cpp,xcu200-fsgd2104-2-e,3.33,2.10708747,2249,2,1,3,19,cyclic_16_1,block_16_1,block_4_1,unroll_32,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,6.25,0.715337428436,False
workload_4933.cpp,xcu200-fsgd2104-2-e,3.33,3.53808504,1243,2,1,3,15,cyclic_16_1,block_16_1,block_4_1,unroll_32,unroll_4,unroll_2,unroll_17,pipeline_1,unroll_2,unroll_32,pipeline_1,unroll_5,1,5.25,0.766137705505,False
workload_4967.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,1291,2,1,1,7,cyclic_16_1,block_16_1,block_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,2.75,0.903894127099,False
workload_5088.cpp,xcu200-fsgd2104-2-e,3.33,2.26195578,389,2,1,1,4,cyclic_16_1,block_16_1,block_4_1,unroll_4,unroll_2,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,2,0.947510493071,False
workload_5014.cpp,xcu200-fsgd2104-2-e,3.33,2.19628818,570,2,1,1,5,cyclic_16_1,block_16_1,block_4_1,unroll_4,unroll_2,unroll_8,unroll_17,pipeline_1,pipeline_1,unroll_32,unroll_5,pipeline_1,1,2.25,0.932863185506,False
workload_5261.cpp,xcu200-fsgd2104-2-e,3.33,3.145851,200,2,1,1,1,cyclic_16_1,block_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_17,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_5,1,1.25,0.983705255611,False
workload_5315.cpp,xcu200-fsgd2104-2-e,3.33,2.10903885,205,2,1,1,2,cyclic_16_1,block_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1.5,0.97730441725,False
workload_4880.cpp,xcu200-fsgd2104-2-e,3.33,4.80903282,1120,1,1,3,15,cyclic_16_1,block_4_1,block_4_1,unroll_32,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_32,pipeline_1,unroll_5,1,5,0.777936122048,False
workload_5019.cpp,xcu200-fsgd2104-2-e,3.33,3.5110521,1198,2,1,3,16,cyclic_16_1,cyclic_2_1,block_4_1,unroll_32,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,5.5,0.753169118313,False
workload_4797.cpp,xcu200-fsgd2104-2-e,3.33,2.11145976,1236,2,1,3,15,cyclic_16_1,cyclic_2_1,block_4_1,unroll_32,unroll_2,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,2,5.25,0.766643678728,False
workload_5075.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,322.5,2,1,1,3,cyclic_16_1,cyclic_2_1,block_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,2,1.75,0.96237829082,False
workload_5027.cpp,xcu200-fsgd2104-2-e,3.33,2.17010772,271,2,1,1,3,cyclic_16_1,cyclic_2_1,block_4_1,unroll_4,unroll_2,unroll_4,unroll_17,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll_5,1,1.75,0.96235429812,False
workload_5096.cpp,xcu200-fsgd2104-2-e,3.33,38.5718562,277,2,1,1,2,cyclic_16_1,cyclic_2_1,block_4_1,unroll_4,unroll_2,unroll_4,unroll_17,unroll_2,unroll_32,unroll_2,pipeline_1,unroll_5,1,1.5,0.629120560758,False
workload_5043.cpp,xcu200-fsgd2104-2-e,3.33,2.11151304,1212,2,1,3,15,cyclic_16_1,cyclic_2_1,complete_1,unroll_32,unroll_2,unroll_2,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,5.25,0.766643677017,False
workload_5325.cpp,xcu200-fsgd2104-2-e,3.33,2.1070908,478,2,1,1,5,cyclic_16_1,cyclic_2_1,complete_1,unroll_4,unroll_36,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,2.25,0.932882669049,False
workload_5343.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,287,2,1,1,2,cyclic_16_1,cyclic_32_1,block_4_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1.5,0.977304940744,False
workload_5446.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,287,2,1,1,2,cyclic_16_1,cyclic_32_1,block_4_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_5,1,1.5,0.977304940744,False
workload_5508.cpp,xcu200-fsgd2104-2-e,3.33,1.97705763,294,2,1,1,2,cyclic_16_1,cyclic_32_1,block_8_1,unroll_2,unroll_8,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.5,0.977323248981,False
workload_5577.cpp,xcu200-fsgd2104-2-e,3.33,2.10903885,221,2,1,1,2,cyclic_16_1,cyclic_32_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1.5,0.97730441725,False
workload_5122.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,407,3,1,1,4,cyclic_16_1,cyclic_64_1,block_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,2.25,0.932882523476,False
workload_5055.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,408,3,1,1,4,cyclic_16_1,cyclic_64_1,block_4_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,2.25,0.932882523476,False
workload_5070.cpp,xcu200-fsgd2104-2-e,3.33,3.16056294,366,3,1,1,4,cyclic_16_1,cyclic_64_1,block_4_1,unroll_4,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_5,1,2.25,0.931710930896,False
workload_4997.cpp,xcu200-fsgd2104-2-e,3.33,4.09502754,1337,2,1,2,15,cyclic_16_1,cyclic_8_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,5,0.778767725001,False
workload_4909.cpp,xcu200-fsgd2104-2-e,3.33,58.63882914,2087,1,1,7,19,cyclic_2_1,block_16_1,block_2_1,unroll_4,pipeline_1,unroll_16,unroll_4,unroll_32,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,7,0.411122003596,False
workload_4986.cpp,xcu200-fsgd2104-2-e,3.33,3.17770245,231,1,1,1,1,cyclic_2_1,block_16_1,block_4_1,unroll_2,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1,0.987758940077,False
workload_5612.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,1198,1,1,1,5,cyclic_2_1,block_16_1,block_8_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,2,0.947567767632,False
workload_5405.cpp,xcu200-fsgd2104-2-e,3.33,2.10903885,166,1,1,1,1,cyclic_2_1,block_16_1,block_8_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1,0.999989292587,False
workload_5266.cpp,xcu200-fsgd2104-2-e,3.33,2.10903885,163,1,1,1,1,cyclic_2_1,block_16_1,cyclic_4_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1,0.999989292587,False
workload_5646.cpp,xcu200-fsgd2104-2-e,3.33,2.45168253,167,1,1,1,1,cyclic_2_1,block_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_5,1,1,0.996058783865,False
workload_5435.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,285,1,1,1,2,cyclic_2_1,block_2_1,block_4_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,1.25,0.991665980466,False
workload_5448.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,292,1,1,1,2,cyclic_2_1,block_2_1,block_8_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.25,0.991665980466,False
workload_5602.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,286,1,1,1,2,cyclic_2_1,block_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,1.25,0.991665980466,False
workload_5453.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,300,1,1,1,2,cyclic_2_1,block_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,1,1.25,0.991665980466,False
workload_5252.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,326,1,1,1,3,cyclic_2_1,block_2_1,cyclic_8_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1.5,0.977304909118,False
workload_5172.cpp,xcu200-fsgd2104-2-e,3.33,2.10816306,329,1,1,1,3,cyclic_2_1,block_2_1,cyclic_8_1,unroll_4,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.5,0.977304909118,False
workload_5166.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,607,1,1,1,3,cyclic_2_1,block_8_1,block_8_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,2,1.5,0.977304940744,False
workload_5077.cpp,xcu200-fsgd2104-2-e,3.33,2.10765357,649,1,1,1,4,cyclic_2_1,block_8_1,block_8_1,unroll_4,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,2,1.75,0.962378432034,False
workload_5119.cpp,xcu200-fsgd2104-2-e,3.33,2.10861594,600,1,1,1,3,cyclic_2_1,block_8_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_5,1,1.5,0.977304655377,False
workload_5245.cpp,xcu200-fsgd2104-2-e,3.33,2.10954834,154,1,1,1,1,cyclic_2_1,block_8_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,1,0.999983441778,False
workload_5207.cpp,xcu200-fsgd2104-2-e,3.33,2.10954834,154,1,1,1,1,cyclic_2_1,block_8_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1,0.999983441778,False
workload_5278.cpp,xcu200-fsgd2104-2-e,3.33,2.21983794,158,1,1,1,1,cyclic_2_1,block_8_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1,0.998717361281,False
workload_5615.cpp,xcu200-fsgd2104-2-e,3.33,2.10903885,294,1,1,1,3,cyclic_2_1,cyclic_128_1,block_4_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,1.5,0.97730441725,False
workload_5491.cpp,xcu200-fsgd2104-2-e,3.33,2.10861594,222,1,1,1,1,cyclic_2_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1,0.999994149156,False
workload_5512.cpp,xcu200-fsgd2104-2-e,3.33,2.10861594,225,1,1,1,1,cyclic_2_1,cyclic_16_1,block_4_1,unroll_2,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,1,1,0.999994149156,False
workload_5585.cpp,xcu200-fsgd2104-2-e,3.33,2.24503938,157,1,1,1,1,cyclic_2_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_17,pipeline_1,unroll_16,unroll_8,unroll_5,pipeline_1,1,1,0.998428183913,False
workload_5562.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,228,1,1,1,1,cyclic_2_1,cyclic_2_1,block_4_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1,1,True
workload_5420.cpp,xcu200-fsgd2104-2-e,3.33,2.10810645,229,1,1,1,1,cyclic_2_1,cyclic_2_1,block_8_1,unroll_2,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,1,1,1,True
