Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_4_1,Replicate_Count,Area,Weight,is_pareto
bbgemm_3197.c,xcu200-fsgd2104-2-e,3.33,1.44950904,1349,0,0,16,20,unroll_16,unroll_4,unroll_8,pipeline_1,unroll_4,1,9,0.52517780466,False
bbgemm_3146.c,xcu200-fsgd2104-2-e,3.33,1.08123768,1446,0,0,20,18,unroll_16,unroll_4,unroll_8,pipeline_1,unroll_8,1,9.5,0.531874773396,False
bbgemm_3234.c,xcu200-fsgd2104-2-e,3.33,0.13320333,765,0,1,47,23,unroll_16,unroll_64,pipeline_1,pipeline_1,pipeline_1,3,17.75,1,True
bbgemm_3278.c,xcu200-fsgd2104-2-e,3.33,0.13320333,699.5,0,1,47,23,unroll_16,unroll_64,pipeline_1,pipeline_1,unroll_2,2,17.75,1,True
bbgemm_3085.c,xcu200-fsgd2104-2-e,3.33,0.13320333,719,0,1,47,23,unroll_16,unroll_64,pipeline_1,pipeline_1,unroll_8,3,17.75,1,True
bbgemm_3364.c,xcu200-fsgd2104-2-e,3.33,0.13320333,733,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_2,pipeline_1,2,17.75,1,True
bbgemm_3339.c,xcu200-fsgd2104-2-e,3.33,0.13320333,719.5,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_2,unroll_2,2,17.75,1,True
bbgemm_3064.c,xcu200-fsgd2104-2-e,3.33,0.13320333,743,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_2,unroll_8,2,17.75,1,True
bbgemm_3219.c,xcu200-fsgd2104-2-e,3.33,0.13320333,743.5,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_4,pipeline_1,2,17.75,1,True
bbgemm_3286.c,xcu200-fsgd2104-2-e,3.33,0.13320333,729,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_4,unroll_2,1,17.75,1,True
bbgemm_3131.c,xcu200-fsgd2104-2-e,3.33,0.13320333,769.5,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_4,unroll_8,2,17.75,1,True
bbgemm_3406.c,xcu200-fsgd2104-2-e,3.33,0.13320333,756,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_8,pipeline_1,2,17.75,1,True
bbgemm_3281.c,xcu200-fsgd2104-2-e,3.33,0.13320333,784.5,0,1,47,23,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_8,2,17.75,1,True
bbgemm_3413.c,xcu200-fsgd2104-2-e,3.33,1.69835328,640,0,0,4,7,unroll_16,unroll_64,unroll_2,unroll_2,unroll_8,1,2.75,0.774662813447,False
bbgemm_3722.c,xcu200-fsgd2104-2-e,3.33,5.55156288,1917,0,0,11,13,unroll_16,unroll_64,unroll_2,unroll_4,pipeline_1,1,6,0.34077282658,False
bbgemm_3273.c,xcu200-fsgd2104-2-e,3.33,0.13320333,728,0,1,47,23,unroll_16,unroll_8,pipeline_1,pipeline_1,pipeline_1,5,17.75,1,True
bbgemm_3205.c,xcu200-fsgd2104-2-e,3.33,0.13320333,717,0,1,47,23,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_2,1,17.75,1,True
bbgemm_3392.c,xcu200-fsgd2104-2-e,3.33,0.13320333,706,0,1,47,23,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_8,2,17.75,1,True
bbgemm_3519.c,xcu200-fsgd2104-2-e,3.33,0.13320333,736,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_2,pipeline_1,3,17.75,1,True
bbgemm_3111.c,xcu200-fsgd2104-2-e,3.33,0.13320333,739,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_2,unroll_2,1,17.75,1,True
bbgemm_3263.c,xcu200-fsgd2104-2-e,3.33,0.13320333,707.5,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_2,unroll_8,2,17.75,1,True
bbgemm_3483.c,xcu200-fsgd2104-2-e,3.33,0.13320333,765.5,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_8,2,17.75,1,True
bbgemm_3309.c,xcu200-fsgd2104-2-e,3.33,0.13320333,760,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_8,pipeline_1,3,17.75,1,True
bbgemm_3290.c,xcu200-fsgd2104-2-e,3.33,0.13320333,778,0,1,47,23,unroll_16,unroll_8,pipeline_1,unroll_8,unroll_8,1,17.75,1,True
bbgemm_3248.c,xcu200-fsgd2104-2-e,3.33,1.4460192,420,0,0,8,10,unroll_16,unroll_8,unroll_2,pipeline_1,unroll_2,1,4.5,0.712088089915,False
bbgemm_3450.c,xcu200-fsgd2104-2-e,3.33,1.07774784,1431,0,0,20,18,unroll_16,unroll_8,unroll_4,pipeline_1,unroll_8,1,9.5,0.532062708275,False
bbgemm_3702.c,xcu200-fsgd2104-2-e,3.33,0.98959941,1951,0,2,8,7,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_8,1,4.25,0.751670597573,False
bbgemm_3714.c,xcu200-fsgd2104-2-e,3.33,0.53077869,206,0,1,8,5,unroll_2,unroll_16,pipeline_1,unroll_8,unroll_8,1,3.5,0.835974034109,False
bbgemm_3081.c,xcu200-fsgd2104-2-e,3.33,7.67595969,1512,0,0,15,24,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_8,1,9.75,0.176229294538,False
bbgemm_3169.c,xcu200-fsgd2104-2-e,3.33,6.41599425,89,0,0,1,2,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline_1,2,0.75,0.388133757654,False
bbgemm_3178.c,xcu200-fsgd2104-2-e,3.33,7.76120769,551,0,0,5,8,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,1,3.25,0.264827330923,False
bbgemm_3251.c,xcu200-fsgd2104-2-e,3.33,7.67595969,164,0,0,3,5,unroll_2,unroll_16,unroll_4,pipeline_1,pipeline_1,1,2,0.285267634046,False
bbgemm_3532.c,xcu200-fsgd2104-2-e,3.33,0.54909369,53.5,0,1,2,1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,6,1,1,True
bbgemm_3405.c,xcu200-fsgd2104-2-e,3.33,0.54914697,55,0,1,2,1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_2,1,1,0.985272136179,False
bbgemm_3479.c,xcu200-fsgd2104-2-e,3.33,1.03628601,92.5,0,0,1.5,1.5,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,4,0.75,0.939974238715,False
bbgemm_3434.c,xcu200-fsgd2104-2-e,3.33,0.54914697,52,0,1,2,1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,1,1,0.985272136179,False
bbgemm_3360.c,xcu200-fsgd2104-2-e,3.33,0.74686905,63.5,0,0,2,1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_8,2,0.75,0.981829367546,False
bbgemm_3517.c,xcu200-fsgd2104-2-e,3.33,0.54909369,54.5,0,1,2,1,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,4,1,1,True
bbgemm_3453.c,xcu200-fsgd2104-2-e,3.33,0.62336601,57.5,0,0,2,1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_8,2,0.75,1,True
bbgemm_3449.c,xcu200-fsgd2104-2-e,3.33,0.54904041,55,0,1,2,2,unroll_2,unroll_2,pipeline_1,unroll_8,pipeline_1,3,1.25,0.967982510623,False
bbgemm_3331.c,xcu200-fsgd2104-2-e,3.33,0.49080537,63.5,0,1,2,2,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_8,2,1.25,1,True
bbgemm_3710.c,xcu200-fsgd2104-2-e,3.33,1.00969929,831,0,2,3,4,unroll_2,unroll_2,unroll_16,unroll_8,unroll_8,1,2.25,0.85243004547,False
bbgemm_3558.c,xcu200-fsgd2104-2-e,3.33,5.12206281,38,0,0,0,0,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,1,0,0.506480938152,False
bbgemm_3382.c,xcu200-fsgd2104-2-e,3.33,6.40078281,40.5,0,0,0,0,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_8,2,0,0.3896509233,False
bbgemm_3660.c,xcu200-fsgd2104-2-e,3.33,1.67122377,44,0,0,0,0,unroll_2,unroll_2,unroll_2,unroll_2,unroll_8,1,0,1,True
bbgemm_3502.c,xcu200-fsgd2104-2-e,3.33,7.00433865,45.5,0,0,0,1,unroll_2,unroll_2,unroll_2,unroll_4,pipeline_1,2,0.25,0.341719338589,False
bbgemm_3467.c,xcu200-fsgd2104-2-e,3.33,1.28249289,63,0,0,0,1,unroll_2,unroll_2,unroll_2,unroll_4,unroll_8,1,0.25,1,True
bbgemm_3730.c,xcu200-fsgd2104-2-e,3.33,7.76134089,78,0,0,1,2,unroll_2,unroll_2,unroll_2,unroll_8,pipeline_1,1,0.75,0.286802281571,False
bbgemm_3703.c,xcu200-fsgd2104-2-e,3.33,1.05743817,88,0,2,1,1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_8,1,1,0.931538710945,False
bbgemm_3704.c,xcu200-fsgd2104-2-e,3.33,1.00628937,3217,0,2,5,6,unroll_2,unroll_2,unroll_32,unroll_8,unroll_8,1,3.25,0.818814627839,False
bbgemm_3454.c,xcu200-fsgd2104-2-e,3.33,7.67950281,60,0,0,1,1,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_2,1,0.5,0.29275020529,False
bbgemm_3430.c,xcu200-fsgd2104-2-e,3.33,6.40078281,57.5,0,0,1,1,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_8,2,0.5,0.390039107389,False
bbgemm_3464.c,xcu200-fsgd2104-2-e,3.33,7.92842697,45,0,0,0,1,unroll_2,unroll_2,unroll_4,unroll_2,pipeline_1,1,0.25,0.276147777911,False
bbgemm_3658.c,xcu200-fsgd2104-2-e,3.33,13.31610057,123,0,0,0,1,unroll_2,unroll_2,unroll_4,unroll_8,unroll_2,1,0.25,0.1,False
bbgemm_3594.c,xcu200-fsgd2104-2-e,3.33,1.03015881,151,0,2,1,2,unroll_2,unroll_2,unroll_4,unroll_8,unroll_8,1,1.25,0.922875031829,False
bbgemm_3469.c,xcu200-fsgd2104-2-e,3.33,7.54603641,1412,0,0,14,21,unroll_2,unroll_2,unroll_64,pipeline_1,pipeline_1,1,8.75,0.191727349084,False
bbgemm_3683.c,xcu200-fsgd2104-2-e,3.33,1.70681481,2259,0,0,7,12,unroll_2,unroll_2,unroll_64,unroll_2,unroll_8,1,4.75,0.683270109749,False
bbgemm_3709.c,xcu200-fsgd2104-2-e,3.33,1.01651913,329,0,2,2,3,unroll_2,unroll_2,unroll_8,unroll_8,unroll_8,1,1.75,0.893620712954,False
bbgemm_3600.c,xcu200-fsgd2104-2-e,3.33,0.54870741,146,0,1,8,5,unroll_2,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,3.5,0.835097786658,False
bbgemm_3473.c,xcu200-fsgd2104-2-e,3.33,0.54881397,156,0,1,8,5,unroll_2,unroll_32,pipeline_1,unroll_8,unroll_2,1,3.5,0.835092462201,False
bbgemm_3542.c,xcu200-fsgd2104-2-e,3.33,0.54898713,88,0,1,4,3,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,3,2,0.893105586855,False
bbgemm_3400.c,xcu200-fsgd2104-2-e,3.33,1.03612617,179.5,0,0,3,2.5,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_8,4,1.375,0.915266094739,False
bbgemm_3389.c,xcu200-fsgd2104-2-e,3.33,0.54888057,86,0,1,4,3,unroll_2,unroll_4,pipeline_1,unroll_2,pipeline_1,1,2,0.893105763428,False
bbgemm_3534.c,xcu200-fsgd2104-2-e,3.33,0.74670921,110.5,0,0,3.5,2.5,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,2,1.5,0.935633755507,False
bbgemm_3380.c,xcu200-fsgd2104-2-e,3.33,0.54893385,87,0,1,4,3,unroll_2,unroll_4,pipeline_1,unroll_4,pipeline_1,4,2,0.893105675421,False
bbgemm_3487.c,xcu200-fsgd2104-2-e,3.33,0.54898713,89,0,1,4,3,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_2,1,2,0.893105586855,False
bbgemm_3300.c,xcu200-fsgd2104-2-e,3.33,0.63689913,95,0,0,4,3,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_8,1,1.75,0.917551401982,False
bbgemm_3260.c,xcu200-fsgd2104-2-e,3.33,0.54888057,88,0,1,4,3,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,2,2,0.893105763428,False
bbgemm_3078.c,xcu200-fsgd2104-2-e,3.33,7.67944953,51,0,0,1,1,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,1,0.5,0.292753847414,False
bbgemm_3215.c,xcu200-fsgd2104-2-e,3.33,7.67944953,197,0,0,3,6,unroll_2,unroll_4,unroll_8,pipeline_1,unroll_8,1,2.25,0.282573358916,False
bbgemm_3675.c,xcu200-fsgd2104-2-e,3.33,1.01646585,757,0,2,3,5,unroll_2,unroll_4,unroll_8,unroll_8,unroll_8,1,2.5,0.841035203326,False
bbgemm_3692.c,xcu200-fsgd2104-2-e,3.33,1.43801721,351,0,1,7,5,unroll_2,unroll_64,pipeline_1,pipeline_1,unroll_8,2,3.25,0.78206127296,False
bbgemm_3501.c,xcu200-fsgd2104-2-e,3.33,0.75848409,204.5,0,0,7.5,4,unroll_2,unroll_64,pipeline_1,unroll_2,unroll_8,2,2.875,0.850852377305,False
bbgemm_3539.c,xcu200-fsgd2104-2-e,3.33,0.54881397,158,0,1,8,5,unroll_2,unroll_64,pipeline_1,unroll_4,pipeline_1,3,3.5,0.835092462201,False
bbgemm_3228.c,xcu200-fsgd2104-2-e,3.33,0.62132805,180.5,0,0,7.5,4.5,unroll_2,unroll_64,pipeline_1,unroll_4,unroll_8,2,3,0.856156867684,False
bbgemm_3065.c,xcu200-fsgd2104-2-e,3.33,5.15602881,1439,0,0,14,20,unroll_2,unroll_64,unroll_16,pipeline_1,pipeline_1,1,8.5,0.315424776915,False
bbgemm_3472.c,xcu200-fsgd2104-2-e,3.33,7.67595969,96,0,0,2,3,unroll_2,unroll_64,unroll_2,pipeline_1,unroll_8,1,1.25,0.290698585149,False
bbgemm_3641.c,xcu200-fsgd2104-2-e,3.33,1.65915585,118,0,0,0,2,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,1,0.5,0.897801545787,False
bbgemm_3516.c,xcu200-fsgd2104-2-e,3.33,1.27639233,221,0,0,0,3,unroll_2,unroll_64,unroll_2,unroll_4,unroll_8,1,0.75,0.925849077723,False
bbgemm_3649.c,xcu200-fsgd2104-2-e,3.33,1.27255617,1406,0,0,2,9,unroll_2,unroll_64,unroll_8,unroll_4,unroll_8,1,2.75,0.814793942496,False
bbgemm_3521.c,xcu200-fsgd2104-2-e,3.33,0.54881397,161,0,1,8,5,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline_1,1,3.5,0.835092462201,False
bbgemm_3415.c,xcu200-fsgd2104-2-e,3.33,1.63370133,271,0,1,6,4,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_8,2,2.75,0.781046367661,False
bbgemm_3633.c,xcu200-fsgd2104-2-e,3.33,0.54870741,154,0,1,8,5,unroll_2,unroll_8,pipeline_1,unroll_4,pipeline_1,1,3.5,0.835097786658,False
bbgemm_3279.c,xcu200-fsgd2104-2-e,3.33,0.64438497,172,0,0,7,4,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_8,1,2.75,0.85938169454,False
bbgemm_3665.c,xcu200-fsgd2104-2-e,3.33,0.54870741,158,0,1,8,5,unroll_2,unroll_8,pipeline_1,unroll_8,pipeline_1,1,3.5,0.835097786658,False
bbgemm_3377.c,xcu200-fsgd2104-2-e,3.33,0.53077869,195,0,1,8,5,unroll_2,unroll_8,pipeline_1,unroll_8,unroll_8,1,3.5,0.835974034109,False
bbgemm_3238.c,xcu200-fsgd2104-2-e,3.33,7.90101441,88,0,0,1,2,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,0.75,0.277529521442,False
bbgemm_3121.c,xcu200-fsgd2104-2-e,3.33,6.41599425,164.5,0,0,3,5,unroll_2,unroll_8,unroll_4,pipeline_1,pipeline_1,2,2,0.377013910253,False
bbgemm_3317.c,xcu200-fsgd2104-2-e,3.33,0.13320333,706,0,1,47,23,unroll_32,unroll_16,pipeline_1,pipeline_1,pipeline_1,2,17.75,1,True
bbgemm_3254.c,xcu200-fsgd2104-2-e,3.33,0.13320333,705,0,1,47,23,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_8,2,17.75,1,True
bbgemm_3509.c,xcu200-fsgd2104-2-e,3.33,0.13320333,696,0,1,47,23,unroll_32,unroll_16,pipeline_1,unroll_2,pipeline_1,2,17.75,1,True
bbgemm_3561.c,xcu200-fsgd2104-2-e,3.33,0.13320333,743,0,1,47,23,unroll_32,unroll_16,pipeline_1,unroll_4,pipeline_1,3,17.75,1,True
bbgemm_3256.c,xcu200-fsgd2104-2-e,3.33,0.13320333,752,0,1,47,23,unroll_32,unroll_16,pipeline_1,unroll_8,pipeline_1,2,17.75,1,True
bbgemm_3333.c,xcu200-fsgd2104-2-e,3.33,0.13320333,765,0,1,47,23,unroll_32,unroll_16,pipeline_1,unroll_8,unroll_8,1,17.75,1,True
bbgemm_3308.c,xcu200-fsgd2104-2-e,3.33,1.80065088,419,0,0,9,9,unroll_32,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4.5,0.684145309222,False
bbgemm_3342.c,xcu200-fsgd2104-2-e,3.33,0.9686304,426,0,0,10,9.5,unroll_32,unroll_16,unroll_2,pipeline_1,unroll_8,2,4.875,0.733294094182,False
bbgemm_3397.c,xcu200-fsgd2104-2-e,3.33,4.73318208,457,0,0,6,7,unroll_32,unroll_16,unroll_2,unroll_2,pipeline_1,1,3.25,0.485644386144,False
bbgemm_3240.c,xcu200-fsgd2104-2-e,3.33,0.13354632,157,0,1,12,7,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,7,5,1,True
bbgemm_3287.c,xcu200-fsgd2104-2-e,3.33,0.13354632,155,0,1,12,7,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_4,1,5,1,True
bbgemm_3222.c,xcu200-fsgd2104-2-e,3.33,0.13354632,154.5,0,1,12,7,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_8,4,5,1,True
bbgemm_3313.c,xcu200-fsgd2104-2-e,3.33,0.13354632,158.5,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_2,pipeline_1,4,5,1,True
bbgemm_3180.c,xcu200-fsgd2104-2-e,3.33,0.13354632,165.5,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_2,unroll_8,2,5,1,True
bbgemm_3235.c,xcu200-fsgd2104-2-e,3.33,0.13354632,160.5,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_4,pipeline_1,4,5,1,True
bbgemm_3671.c,xcu200-fsgd2104-2-e,3.33,0.13354632,165,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_2,1,5,1,True
bbgemm_3147.c,xcu200-fsgd2104-2-e,3.33,0.13354632,160,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_8,2,5,1,True
bbgemm_3358.c,xcu200-fsgd2104-2-e,3.33,0.13354632,156,0,1,12,7,unroll_32,unroll_2,pipeline_1,unroll_8,pipeline_1,4,5,1,True
