Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
InitiationInterval_12.cpp,xczu7ev-ffvc1156-2-e,5,5.12007,34,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_9.cpp,xczu7ev-ffvc1156-2-e,5,0.320005,33,1,1,1,1,unroll_16,1,1,0.916327583401,False
InitiationInterval_11.cpp,xczu7ev-ffvc1156-2-e,5,2.560065,35,1,1,1,1,unroll_2,1,1,0.332194464334,False
InitiationInterval_14.cpp,xczu7ev-ffvc1156-2-e,5,0.160005,32,1,1,1,1,unroll_32,1,1,0.971655691425,False
InitiationInterval_15.cpp,xczu7ev-ffvc1156-2-e,5,1.280065,33,1,1,1,1,unroll_4,1,1,0.622436864496,False
InitiationInterval_10.cpp,xczu7ev-ffvc1156-2-e,5,0.080005,34,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_8.cpp,xczu7ev-ffvc1156-2-e,5,0.640005,30,1,1,1,1,unroll_8,1,1,0.811113403852,False
InitiationInterval_3.cpp,xczu7ev-ffvc1156-2-e,10,10.24008,43.5,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_0.cpp,xczu7ev-ffvc1156-2-e,10,0.64001,48,1,1,1,1,unroll_16,1,1,0.916327097502,False
InitiationInterval_4.cpp,xczu7ev-ffvc1156-2-e,10,5.12007,53,1,1,1,1,unroll_2,1,1,0.332197228543,False
InitiationInterval_5.cpp,xczu7ev-ffvc1156-2-e,10,0.32001,32,1,1,1,1,unroll_32,1,1,0.97165552406,False
InitiationInterval_6.cpp,xczu7ev-ffvc1156-2-e,10,2.56007,34,1,1,1,1,unroll_4,1,1,0.622443083958,False
InitiationInterval_1.cpp,xczu7ev-ffvc1156-2-e,10,0.16001,48,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_2.cpp,xczu7ev-ffvc1156-2-e,10,1.28001,48,1,1,1,1,unroll_8,1,1,0.811112345671,False
