Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5068.cpp,xcu200-fsgd2104-2-e,3.33,38.38331826,1049,1,1,7,10,block_2_2,block_2_1,cyclic_2_1,block_2_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_64,unroll_4,pipeline_1,1,4.75,0.854939967116,False
workload_5107.cpp,xcu200-fsgd2104-2-e,3.33,38.38331826,1061,1,1,7,10,block_2_2,block_2_1,cyclic_2_1,block_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_64,unroll_4,pipeline_1,1,4.75,0.854939967116,False
workload_4945.cpp,xcu200-fsgd2104-2-e,3.33,38.43550602,713,1,1,7,9,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,4.5,0.863594179218,False
workload_5103.cpp,xcu200-fsgd2104-2-e,3.33,38.52874602,836,1,1,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_2,unroll_4,pipeline_1,1,5,0.852623406221,False
workload_5076.cpp,xcu200-fsgd2104-2-e,3.33,38.51063082,890,1,1,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_8,unroll_2,unroll_4,pipeline_1,1,5,0.852641895648,False
workload_5000.cpp,xcu200-fsgd2104-2-e,3.33,38.62635498,1029,1,1,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_64,unroll_4,pipeline_1,1,5,0.852523742838,False
workload_5138.cpp,xcu200-fsgd2104-2-e,3.33,60.49699578,497,1,1,4,6,block_2_2,block_2_1,cyclic_8_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,1,3,0.890679112237,False
workload_5184.cpp,xcu200-fsgd2104-2-e,3.33,422.04665754,474,1,1,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,unroll_8,1,1.25,0.349741880598,False
workload_5155.cpp,xcu200-fsgd2104-2-e,3.33,59.68117242,226,1,1,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,1.25,0.949676954131,False
workload_5312.cpp,xcu200-fsgd2104-2-e,3.33,37.46309274,265,1,1,2,3,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_4,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,1,1.75,0.971812769131,False
workload_5073.cpp,xcu200-fsgd2104-2-e,3.33,645.64875162,351,1,1,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll_64,unroll_4,unroll_2,1,1.25,0.15702783956,False
workload_5020.cpp,xcu200-fsgd2104-2-e,3.33,645.61145562,340,1,1,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,unroll_2,1,1.25,0.157048629207,False
workload_5118.cpp,xcu200-fsgd2104-2-e,3.33,59.68412946,471,1,1,2,4,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,2,0.929889784033,False
workload_5639.cpp,xcu200-fsgd2104-2-e,3.33,35.97181218,325,1,1,3,4,block_2_2,block_32_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.25,0.953317633191,False
workload_5246.cpp,xcu200-fsgd2104-2-e,3.33,37.45568682,444,1,1,2,4,block_2_2,block_32_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,2,0.953421883063,False
workload_5676.cpp,xcu200-fsgd2104-2-e,3.33,35.89551522,723,1,1,7,9,block_2_2,block_32_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_16,pipeline_1,1,4.5,0.863969455496,False
workload_5627.cpp,xcu200-fsgd2104-2-e,3.33,35.8958349,697,1,1,7,8,block_2_2,block_32_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_16,pipeline_1,1,4.25,0.88145009183,False
workload_5692.cpp,xcu200-fsgd2104-2-e,3.33,208.63961154,347,1,1,1,2,block_2_2,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_16,unroll_4,unroll_2,unroll_2,unroll_8,1,1.25,0.660599585023,False
workload_5668.cpp,xcu200-fsgd2104-2-e,3.33,208.5306273,450,1,1,1,2,block_2_2,block_32_1,cyclic_8_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,unroll_8,1,1.25,0.660789947426,False
workload_5418.cpp,xcu200-fsgd2104-2-e,3.33,35.89975098,369.5,1,1,4,5,block_2_2,block_32_1,cyclic_8_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,2,2.75,0.926049190924,False
workload_5409.cpp,xcu200-fsgd2104-2-e,3.33,37.52958618,263,1,1,1,3,block_2_2,cyclic_16_1,block_32_1,complete_2,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.5,0.971903639837,False
workload_5226.cpp,xcu200-fsgd2104-2-e,3.33,37.49178402,373,1,1,2,3,block_2_2,cyclic_2_1,block_32_1,block_8_1,unroll_2,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_64,unroll_2,pipeline_1,1,1.75,0.971781431134,False
workload_5212.cpp,xcu200-fsgd2104-2-e,3.33,37.48999914,217,1,1,2,3,block_2_2,cyclic_2_1,block_32_1,block_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1.75,0.971783381673,False
workload_5230.cpp,xcu200-fsgd2104-2-e,3.33,37.45270314,335,1,1,3,4,block_2_2,cyclic_2_1,block_32_1,block_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,1,2.25,0.951748242239,False
workload_5190.cpp,xcu200-fsgd2104-2-e,3.33,37.52519058,333,1,1,3,4,block_2_2,cyclic_2_1,block_32_1,block_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,2.25,0.951670037837,False
workload_5202.cpp,xcu200-fsgd2104-2-e,3.33,37.41825762,210,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990582874077,False
workload_5352.cpp,xcu200-fsgd2104-2-e,3.33,59.71748274,159,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1.25,0.949601411901,False
workload_5386.cpp,xcu200-fsgd2104-2-e,3.33,37.41982938,359,1,1,2,3,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.75,0.971859958204,False
workload_5367.cpp,xcu200-fsgd2104-2-e,3.33,35.90465274,802,1,1,7,9,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_16,pipeline_1,unroll_64,unroll_8,pipeline_1,1,4.5,0.863969557583,False
workload_5331.cpp,xcu200-fsgd2104-2-e,3.33,35.90681058,673,1,1,7,9,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_64,unroll_8,pipeline_1,1,4.5,0.863969580129,False
workload_5414.cpp,xcu200-fsgd2104-2-e,3.33,35.90513226,730,1,1,7,9,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_8,pipeline_1,unroll_64,unroll_8,pipeline_1,1,4.5,0.863969562645,False
workload_5438.cpp,xcu200-fsgd2104-2-e,3.33,37.41679242,160,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1.25,0.990584487843,False
workload_5650.cpp,xcu200-fsgd2104-2-e,3.33,35.89991082,318,1,1,3,4,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_8,pipeline_1,1,2.25,0.953392457634,False
workload_5405.cpp,xcu200-fsgd2104-2-e,3.33,37.41727194,149.5,1,1,1,1,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,2,1,1,True
workload_5556.cpp,xcu200-fsgd2104-2-e,3.33,37.4167125,180,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990584575858,False
workload_5401.cpp,xcu200-fsgd2104-2-e,3.33,35.97261138,598,1,1,7,8,block_2_2,cyclic_2_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,4.25,0.881371945037,False
workload_5292.cpp,xcu200-fsgd2104-2-e,3.33,59.75331354,159,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_16,unroll_4,unroll_2,unroll_2,pipeline_1,1,1.25,0.949526863161,False
workload_5507.cpp,xcu200-fsgd2104-2-e,3.33,37.4167125,185,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990584575858,False
workload_5250.cpp,xcu200-fsgd2104-2-e,3.33,37.48965282,232,1,1,2,3,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline_1,2,1.75,0.97178376012,False
workload_5189.cpp,xcu200-fsgd2104-2-e,3.33,37.4520105,367,1,1,3,5,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,1,2.5,0.94258985077,False
workload_5272.cpp,xcu200-fsgd2104-2-e,3.33,37.49058522,166,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1.25,0.990502869857,False
workload_5151.cpp,xcu200-fsgd2104-2-e,3.33,59.71950738,250,1,1,1,3,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_16,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1.5,0.943400138492,False
workload_5326.cpp,xcu200-fsgd2104-2-e,3.33,37.42486434,182,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.25,0.990575594037,False
workload_5247.cpp,xcu200-fsgd2104-2-e,3.33,37.49039874,164,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,2,1.25,0.990503076994,False
workload_5324.cpp,xcu200-fsgd2104-2-e,3.33,59.65197498,166,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.25,0.949737695204,False
workload_5313.cpp,xcu200-fsgd2104-2-e,3.33,57.2972121,579,1,1,6,8,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_16,pipeline_1,1,4,0.864608061386,False
workload_5362.cpp,xcu200-fsgd2104-2-e,3.33,35.90681058,682,1,1,7,9,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_64,unroll_8,pipeline_1,1,4.5,0.863969580129,False
workload_5285.cpp,xcu200-fsgd2104-2-e,3.33,35.97165234,405,1,1,3,5,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_2,unroll_64,unroll_8,pipeline_1,1,2.5,0.944154582586,False
workload_5580.cpp,xcu200-fsgd2104-2-e,3.33,35.9728245,319,1,1,3,4,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.25,0.953316578808,False
workload_5682.cpp,xcu200-fsgd2104-2-e,3.33,37.41727194,158,1,1,1,2,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1.25,0.990583959732,False
workload_5569.cpp,xcu200-fsgd2104-2-e,3.33,35.95771962,593,1,1,7,8,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_16,pipeline_1,1,4.25,0.881387106569,False
workload_5543.cpp,xcu200-fsgd2104-2-e,3.33,37.48885362,153,1,1,1,1,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1,0.999841500758,False
workload_5481.cpp,xcu200-fsgd2104-2-e,3.33,35.97114618,335,1,1,3,4,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,3,2.25,0.95331832685,False
workload_5221.cpp,xcu200-fsgd2104-2-e,3.33,35.89900506,369,1,1,3,5,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_8,pipeline_1,2,2.5,0.944230226002,False
workload_5299.cpp,xcu200-fsgd2104-2-e,3.33,36.04627098,369,1,1,4,5,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,unroll_2,unroll_2,unroll_8,pipeline_1,1,2.75,0.926051587392,False
workload_5165.cpp,xcu200-fsgd2104-2-e,3.33,35.97412986,422,1,1,4,6,block_2_2,cyclic_2_1,block_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,unroll_2,unroll_64,unroll_8,pipeline_1,1,3,0.908065874725,False
workload_5548.cpp,xcu200-fsgd2104-2-e,3.33,36.66112218,374,1,1,4,5,block_2_2,cyclic_2_1,block_8_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.75,0.926028437021,False
workload_5023.cpp,xcu200-fsgd2104-2-e,3.33,37.98290574,207.5,1,1,1,2.5,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,2,1.375,0.981165585674,False
workload_5140.cpp,xcu200-fsgd2104-2-e,3.33,38.05122402,239,1,1,1,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.5,0.971866271052,False
workload_4866.cpp,xcu200-fsgd2104-2-e,3.33,422.42990058,580,1,1,1,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_2,unroll_32,pipeline_1,unroll_16,unroll_2,unroll_8,1,1.5,0.349075238754,False
workload_5070.cpp,xcu200-fsgd2104-2-e,3.33,37.98411786,236,1,1,1,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.5,0.971873993063,False
workload_5112.cpp,xcu200-fsgd2104-2-e,3.33,48.54109698,232.5,1,1,2,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,2,1.75,0.957280388936,False
workload_5210.cpp,xcu200-fsgd2104-2-e,3.33,37.42521066,260,1,1,2,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.75,0.9718540929,False
workload_5085.cpp,xcu200-fsgd2104-2-e,3.33,421.87237866,1069,1,1,1,3,block_2_2,cyclic_2_1,cyclic_16_1,complete_2,unroll_2,unroll_4,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_2,unroll_8,2,1.5,0.349724720437,False
workload_5231.cpp,xcu200-fsgd2104-2-e,3.33,37.53629946,216,1,1,1,2,block_2_2,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_16,unroll_2,unroll_2,pipeline_1,1,1.25,0.990451957019,False
workload_5185.cpp,xcu200-fsgd2104-2-e,3.33,37.46117466,183,1,1,1,2,block_2_2,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,1,1.25,0.99053548305,False
workload_5293.cpp,xcu200-fsgd2104-2-e,3.33,37.56400506,170,1,1,1,2,block_2_2,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_4,unroll_2,unroll_2,pipeline_1,1,1.25,0.990420970121,False
workload_5181.cpp,xcu200-fsgd2104-2-e,3.33,38.02173354,368,1,1,2,5,block_2_2,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_4,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,1,2.25,0.951130861853,False
workload_5025.cpp,xcu200-fsgd2104-2-e,3.33,645.69790242,899,1,1,1,3,block_2_2,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_4,unroll_16,pipeline_1,unroll_16,unroll_4,unroll_2,1,1.5,0.156933890196,False
workload_5277.cpp,xcu200-fsgd2104-2-e,3.33,209.12691042,538,1,1,1,3,block_2_2,cyclic_2_1,cyclic_2_1,block_8_1,unroll_2,unroll_4,unroll_2,unroll_16,unroll_4,unroll_64,unroll_2,unroll_8,1,1.5,0.659011650295,False
workload_5632.cpp,xcu200-fsgd2104-2-e,3.33,35.89924482,345,1,1,3,4,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,1,2.25,1,True
workload_5618.cpp,xcu200-fsgd2104-2-e,3.33,37.41623298,207,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990585103935,False
workload_5655.cpp,xcu200-fsgd2104-2-e,3.33,37.41727194,149,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1.25,0.990583959732,False
workload_5560.cpp,xcu200-fsgd2104-2-e,3.33,35.8995645,326,1,1,3,4,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,1,2.25,0.953392817725,False
workload_5649.cpp,xcu200-fsgd2104-2-e,3.33,35.8855785,639,1,1,7,8,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_16,pipeline_1,1,4.25,0.88146052743,False
workload_5040.cpp,xcu200-fsgd2104-2-e,3.33,209.20457268,763,1,1,1,3,block_2_2,cyclic_2_1,cyclic_2_1,complete_2,unroll_4,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.5,0.658876540764,False
workload_5602.cpp,xcu200-fsgd2104-2-e,3.33,35.97034698,350,1,1,3,5,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.5,0.944155942726,False
workload_5541.cpp,xcu200-fsgd2104-2-e,3.33,37.4159133,233,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,1,True
workload_5508.cpp,xcu200-fsgd2104-2-e,3.33,59.6524545,145,1,1,1,1,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1,0.951437123898,False
workload_5473.cpp,xcu200-fsgd2104-2-e,3.33,37.41740514,182,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990583813029,False
workload_5408.cpp,xcu200-fsgd2104-2-e,3.33,208.53145314,381,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,unroll_8,2,1.25,0.660788504813,False
workload_5667.cpp,xcu200-fsgd2104-2-e,3.33,37.41623298,218,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990585103935,False
workload_5268.cpp,xcu200-fsgd2104-2-e,3.33,38.05316874,573,1,1,2,5,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_4,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,2.25,0.951096523821,False
workload_5201.cpp,xcu200-fsgd2104-2-e,3.33,37.83424122,266,1,1,2,3,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.75,0.971404719669,False
workload_5270.cpp,xcu200-fsgd2104-2-e,3.33,37.42252002,204,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,1,1.25,0.990578177919,False
workload_5147.cpp,xcu200-fsgd2104-2-e,3.33,37.48805442,180.5,1,1,1,2,block_2_2,cyclic_2_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,2,1.25,0.990505680616,False
