Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,Replicate_Count,Area,Weight,is_pareto
ss_sort_4893.c,xcu200-fsgd2104-2-e,3.33,0.77207715,27.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,2,1,0.901006883072,False
ss_sort_4919.c,xcu200-fsgd2104-2-e,3.33,0.71751843,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,1,1,0.988375603548,False
ss_sort_5043.c,xcu200-fsgd2104-2-e,3.33,0.71751843,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,1,1,0.988375603548,False
ss_sort_5052.c,xcu200-fsgd2104-2-e,3.33,0.71751843,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.988375603548,False
ss_sort_4966.c,xcu200-fsgd2104-2-e,3.33,0.82663587,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_4,1,1,0.818159580441,False
ss_sort_5073.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,2,1,0.988539727514,False
ss_sort_5241.c,xcu200-fsgd2104-2-e,3.33,0.71741853,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,1,1,0.988539727514,False
ss_sort_5091.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,pipeline_1,1,1,0.988539727514,False
ss_sort_5050.c,xcu200-fsgd2104-2-e,3.33,0.71741853,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1,0.988539727514,False
ss_sort_4847.c,xcu200-fsgd2104-2-e,3.33,0.71741853,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,6,1,0.988539727514,False
ss_sort_5293.c,xcu200-fsgd2104-2-e,3.33,0.82653597,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1,0.818307146481,False
ss_sort_4927.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,3,1,0.988539727514,False
ss_sort_5249.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,1,0.988539727514,False
ss_sort_5141.c,xcu200-fsgd2104-2-e,3.33,0.71741853,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_4,unroll_2,1,1,0.988539727514,False
ss_sort_5196.c,xcu200-fsgd2104-2-e,3.33,0.71741853,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,2,1,0.988539727514,False
ss_sort_5245.c,xcu200-fsgd2104-2-e,3.33,0.71741853,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,pipeline_1,pipeline_1,1,1,0.988539727514,False
ss_sort_5204.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,pipeline_1,unroll_4,2,1,0.988539727514,False
ss_sort_5069.c,xcu200-fsgd2104-2-e,3.33,0.71741853,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,2,1,0.988539727514,False
ss_sort_5048.c,xcu200-fsgd2104-2-e,3.33,0.71728533,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_4,pipeline_1,1,1,0.988758583051,False
ss_sort_5109.c,xcu200-fsgd2104-2-e,3.33,0.71741853,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll_4,1,1,0.988539727514,False
ss_sort_5331.c,xcu200-fsgd2104-2-e,3.33,0.71728533,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,pipeline_1,1,1,0.988758583051,False
ss_sort_4875.c,xcu200-fsgd2104-2-e,3.33,0.82663587,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.818159580441,False
ss_sort_4943.c,xcu200-fsgd2104-2-e,3.33,0.82663587,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1,0.818159580441,False
ss_sort_4861.c,xcu200-fsgd2104-2-e,3.33,0.77207715,27.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,unroll_2,pipeline_1,2,1,0.901006883072,False
ss_sort_5258.c,xcu200-fsgd2104-2-e,3.33,0.71751843,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.988375603548,False
ss_sort_5215.c,xcu200-fsgd2104-2-e,3.33,0.71741853,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,unroll_4,1,1,0.988539727514,False
ss_sort_5243.c,xcu200-fsgd2104-2-e,3.33,0.71741853,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_4,unroll_4,pipeline_1,1,1,0.988539727514,False
ss_sort_5232.c,xcu200-fsgd2104-2-e,3.33,0.71741853,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_4,unroll_4,unroll_2,1,1,0.988539727514,False
ss_sort_5072.c,xcu200-fsgd2104-2-e,3.33,0.71741853,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_4,pipeline_1,unroll_4,1,1,0.988539727514,False
ss_sort_5190.c,xcu200-fsgd2104-2-e,3.33,0.71741853,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_4,unroll_4,pipeline_1,1,1,0.988539727514,False
ss_sort_4931.c,xcu200-fsgd2104-2-e,3.33,0.82664253,31,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,1,1,0.818149743244,False
ss_sort_4950.c,xcu200-fsgd2104-2-e,3.33,0.82648935,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.818376015821,False
ss_sort_4872.c,xcu200-fsgd2104-2-e,3.33,0.82664253,32,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1,0.818149743244,False
ss_sort_4862.c,xcu200-fsgd2104-2-e,3.33,0.82664253,31,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_4,unroll_4,unroll_4,1,1,0.818149743244,False
ss_sort_5026.c,xcu200-fsgd2104-2-e,3.33,0.71752509,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,1,1,0.988364662489,False
ss_sort_4940.c,xcu200-fsgd2104-2-e,3.33,0.77208381,28.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_2,2,1,0.900996493944,False
ss_sort_5037.c,xcu200-fsgd2104-2-e,3.33,0.82664253,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_4,1,1,0.818149743244,False
ss_sort_5068.c,xcu200-fsgd2104-2-e,3.33,0.71752509,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_4,pipeline_1,1,1,0.988364662489,False
ss_sort_5041.c,xcu200-fsgd2104-2-e,3.33,0.71752509,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_4,unroll_2,1,1,0.988364662489,False
ss_sort_4900.c,xcu200-fsgd2104-2-e,3.33,0.85380867,39,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_32,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.778584449685,False
ss_sort_4899.c,xcu200-fsgd2104-2-e,3.33,0.85373874,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,2,1,0.778684858003,False
ss_sort_4908.c,xcu200-fsgd2104-2-e,3.33,0.85366215,32,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,1,1,0.778794837541,False
ss_sort_4935.c,xcu200-fsgd2104-2-e,3.33,0.85366215,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.778794837541,False
ss_sort_4777.c,xcu200-fsgd2104-2-e,3.33,1.12836717,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_2,unroll_2,1,1,0.44162824751,False
ss_sort_4928.c,xcu200-fsgd2104-2-e,3.33,1.07375517,32,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,1,1,0.49952901748,False
ss_sort_4887.c,xcu200-fsgd2104-2-e,3.33,0.85380867,27,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1,0.778584449685,False
ss_sort_4929.c,xcu200-fsgd2104-2-e,3.33,0.96293277,26,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_4,unroll_4,1,1,0.630949395569,False
ss_sort_4981.c,xcu200-fsgd2104-2-e,3.33,0.85380867,48,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,1,0.778584449685,False
ss_sort_4895.c,xcu200-fsgd2104-2-e,3.33,0.74469123,46,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1,0.944296716735,False
ss_sort_5034.c,xcu200-fsgd2104-2-e,3.33,0.74469123,48,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.944296716735,False
ss_sort_4965.c,xcu200-fsgd2104-2-e,3.33,0.74469123,47,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,1,0.944296716735,False
ss_sort_5047.c,xcu200-fsgd2104-2-e,3.33,0.74459133,42,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline_1,1,1,0.94445671739,False
ss_sort_4916.c,xcu200-fsgd2104-2-e,3.33,0.90842067,44,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll_4,unroll_2,pipeline_1,1,1,0.702438361786,False
ss_sort_4979.c,xcu200-fsgd2104-2-e,3.33,0.77197059,37,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1,0.901173118281,False
ss_sort_4980.c,xcu200-fsgd2104-2-e,3.33,0.96463107,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1,0.62879469049,False
ss_sort_5024.c,xcu200-fsgd2104-2-e,3.33,0.77197059,34,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_2,unroll_16,pipeline_1,pipeline_1,1,1,0.901173118281,False
ss_sort_4920.c,xcu200-fsgd2104-2-e,3.33,0.77197059,35,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.901173118281,False
ss_sort_4877.c,xcu200-fsgd2104-2-e,3.33,0.77197059,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_4,1,1,0.901173118281,False
ss_sort_4832.c,xcu200-fsgd2104-2-e,3.33,0.82993923,40,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_2,unroll_4,unroll_4,unroll_4,1,1,0.813288601613,False
ss_sort_4930.c,xcu200-fsgd2104-2-e,3.33,0.88098813,31,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.740121572323,False
ss_sort_4990.c,xcu200-fsgd2104-2-e,3.33,0.77187069,33,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_4,1,1,0.901328979454,False
ss_sort_4993.c,xcu200-fsgd2104-2-e,3.33,0.77197725,39,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.901162728075,False
ss_sort_4906.c,xcu200-fsgd2104-2-e,3.33,0.90826083,31,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_4,1,1,0.70265461815,False
ss_sort_4719.c,xcu200-fsgd2104-2-e,3.33,0.90826083,36,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_32,unroll_2,unroll_2,pipeline_1,unroll_4,1,1,0.70265461815,False
ss_sort_4834.c,xcu200-fsgd2104-2-e,3.33,0.96622947,38,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_32,unroll_2,unroll_2,unroll_4,unroll_4,1,1,0.626770734808,False
ss_sort_4876.c,xcu200-fsgd2104-2-e,3.33,0.79914339,59,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_32,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.859341711297,False
ss_sort_4656.c,xcu200-fsgd2104-2-e,3.33,0.93980259,95,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_64,unroll_32,unroll_2,unroll_2,unroll_4,unroll_4,1,1,0.660731793366,False
ss_sort_5017.c,xcu200-fsgd2104-2-e,3.33,0.77197059,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.901173118281,False
ss_sort_4934.c,xcu200-fsgd2104-2-e,3.33,0.77197059,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_2,1,1,0.901173118281,False
ss_sort_5031.c,xcu200-fsgd2104-2-e,3.33,0.77197059,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_16,unroll_16,pipeline_1,unroll_2,1,1,0.901173118281,False
ss_sort_5004.c,xcu200-fsgd2104-2-e,3.33,0.77197725,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_2,1,1,0.901162728075,False
ss_sort_4860.c,xcu200-fsgd2104-2-e,3.33,0.79914339,44.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,2,1,0.859341711297,False
ss_sort_4923.c,xcu200-fsgd2104-2-e,3.33,0.79914339,46,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.859341711297,False
ss_sort_4852.c,xcu200-fsgd2104-2-e,3.33,0.88184061,72,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_4,1,1,0.738933338539,False
ss_sort_4801.c,xcu200-fsgd2104-2-e,3.33,0.96367869,75,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_8,unroll_2,unroll_2,unroll_4,unroll_4,1,1,0.630002475765,False
ss_sort_5028.c,xcu200-fsgd2104-2-e,3.33,0.77197059,42,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,1,0.901173118281,False
ss_sort_4933.c,xcu200-fsgd2104-2-e,3.33,0.79914339,57,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,1,0.859341711297,False
ss_sort_4881.c,xcu200-fsgd2104-2-e,3.33,0.84016899,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll_4,unroll_2,1,1,0.798309422913,False
ss_sort_4918.c,xcu200-fsgd2104-2-e,3.33,0.84016899,33,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,unroll_4,unroll_4,unroll_4,1,1,0.798309422913,False
ss_sort_4830.c,xcu200-fsgd2104-2-e,3.33,0.77187069,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.901328979454,False
ss_sort_4973.c,xcu200-fsgd2104-2-e,3.33,0.79914339,39,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_16,pipeline_1,unroll_16,pipeline_1,pipeline_1,1,1,0.859341711297,False
ss_sort_4796.c,xcu200-fsgd2104-2-e,3.33,0.96367869,74,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,unroll_8,unroll_16,unroll_2,unroll_4,unroll_4,1,1.25,0.600446187058,False
ss_sort_4776.c,xcu200-fsgd2104-2-e,3.33,0.93725181,120,1,1,1,3,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_8,unroll_2,unroll_2,unroll_4,unroll_4,1,1.5,0.55024303159,False
ss_sort_4802.c,xcu200-fsgd2104-2-e,3.33,0.94236669,35,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_4,unroll_4,2,1,0.657390210617,False
ss_sort_4842.c,xcu200-fsgd2104-2-e,3.33,0.94321251,80,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_64,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_4,1,1,0.656290112758,False
ss_sort_4789.c,xcu200-fsgd2104-2-e,3.33,0.94321251,77,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_64,unroll_32,unroll_2,unroll_2,unroll_4,unroll_4,1,1,0.656290112758,False
ss_sort_5027.c,xcu200-fsgd2104-2-e,3.33,0.94976595,34,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_2,1,1,0.647803347536,False
ss_sort_5095.c,xcu200-fsgd2104-2-e,3.33,0.71746515,52,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_16,pipeline_1,pipeline_1,1,1,0.988463134443,False
ss_sort_5029.c,xcu200-fsgd2104-2-e,3.33,0.94966605,33,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.647932229314,False
ss_sort_4960.c,xcu200-fsgd2104-2-e,3.33,0.74517741,32,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,1,1,0.943518263289,False
ss_sort_5035.c,xcu200-fsgd2104-2-e,3.33,0.71747181,51,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,1,1,0.988452192846,False
ss_sort_5051.c,xcu200-fsgd2104-2-e,3.33,0.71747181,45,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_4,1,1,0.988452192846,False
ss_sort_5045.c,xcu200-fsgd2104-2-e,3.33,0.94977261,38,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_4,pipeline_1,pipeline_1,1,1,0.647794755956,False
ss_sort_4762.c,xcu200-fsgd2104-2-e,3.33,0.85759155,42,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,1,1,0.77316390703,False
ss_sort_4974.c,xcu200-fsgd2104-2-e,3.33,0.88146099,34,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,1,1,0.739462337564,False
ss_sort_5012.c,xcu200-fsgd2104-2-e,3.33,0.97693875,47,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_32,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,1,0.613310336041,False
ss_sort_4846.c,xcu200-fsgd2104-2-e,3.33,0.77234355,53,1,1,1,1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_32,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.900591370509,False
