Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
viterbi_94.c,xczu7ev-ffvc1156-2-e,10,7.31416,1668,7,9,28,91,block_4_1,unroll_32,unroll_16,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,33.75,0.152501543432,False
viterbi_162.c,xczu7ev-ffvc1156-2-e,10,7.07247,220,7,2,7,25,block_4_1,unroll_32,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,10.25,0.766825769806,False
viterbi_142.c,xczu7ev-ffvc1156-2-e,10,7.09137,239,7,3,7,26,block_4_1,unroll_32,unroll_4,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,10.75,0.755976093342,False
viterbi_157.c,xczu7ev-ffvc1156-2-e,10,7.31442,1550,7,9,28,90,block_4_1,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,33.5,0.155543472417,False
viterbi_21.c,xczu7ev-ffvc1156-2-e,10,7.31442,1664,7,9,28,90,block_4_1,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,1,33.5,0.155543472417,False
viterbi_130.c,xczu7ev-ffvc1156-2-e,10,74.56958,323,7,11,14,31,block_4_1,unroll_4,unroll_16,unroll_4,unroll_32,unroll_2,unroll_2,unroll_2,1,15.75,0.184640921155,False
viterbi_584.c,xczu7ev-ffvc1156-2-e,10,3.09228,95,7,0,4,12,block_4_2,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,5.75,0.896870825325,False
viterbi_687.c,xczu7ev-ffvc1156-2-e,10,3.04089,137,10,0,5,18,block_64_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,8.25,0.834850028873,False
viterbi_475.c,xczu7ev-ffvc1156-2-e,10,3.04089,134,10,0,5,18,block_64_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,8.25,0.834850028873,False
viterbi_482.c,xczu7ev-ffvc1156-2-e,10,7.82885,84,5,0,2,8,block_64_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_63,pipeline_1,1,3.75,0.956968044622,False
viterbi_644.c,xczu7ev-ffvc1156-2-e,10,3.05448,91.5,10,0,4,12,block_64_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2,6.5,0.879512571694,False
viterbi_372.c,xczu7ev-ffvc1156-2-e,10,7.83967,53,5,0,1,3,block_64_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,2,2.25,1,True
viterbi_535.c,xczu7ev-ffvc1156-2-e,10,3.24767,269,5,1,8,40,block_64_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_63,1,13.5,0.675502070866,False
viterbi_410.c,xczu7ev-ffvc1156-2-e,10,22.17567,70,5,0,1,8,block_64_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_8,1,3.5,0.673018043872,False
viterbi_544.c,xczu7ev-ffvc1156-2-e,10,8.40247,54,5,0,1,3,block_64_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_2,pipeline_1,1,2.25,0.985903467999,False
viterbi_454.c,xczu7ev-ffvc1156-2-e,10,7.82577,89,5,0,3,10,block_64_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,4.5,0.944738259816,False
viterbi_384.c,xczu7ev-ffvc1156-2-e,10,38.6625,63,5,0,1,5,block_64_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_4,1,2.75,0.391606090194,False
viterbi_646.c,xczu7ev-ffvc1156-2-e,10,7.8289,59,5,0,1,4,block_64_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,2.5,0.993781823403,False
viterbi_679.c,xczu7ev-ffvc1156-2-e,10,7.82848,65,5,0,1,5,block_64_1,unroll_64,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,2.75,0.987597202549,False
viterbi_603.c,xczu7ev-ffvc1156-2-e,10,3.05446,105,10,0,4,13,block_64_1,unroll_64,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,6.75,0.877109200273,False
viterbi_577.c,xczu7ev-ffvc1156-2-e,10,71.63453,62,5,0,1,5,block_64_1,unroll_64,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,1,2.75,0.366311645778,False
viterbi_621.c,xczu7ev-ffvc1156-2-e,10,3.05483,97,10,0,4,12,block_64_1,unroll_8,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,6.5,0.879514276349,False
viterbi_335.c,xczu7ev-ffvc1156-2-e,10,3.05483,97,10,0,4,12,block_64_1,unroll_8,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_63,1,6.5,0.879514276349,False
viterbi_279.c,xczu7ev-ffvc1156-2-e,10,7.8397,52,5,0,1,3,block_64_1,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.25,0.99999924562,False
viterbi_448.c,xczu7ev-ffvc1156-2-e,10,7.8285,60,5,0,1,4,block_64_1,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,2,2.5,1,True
viterbi_526.c,xczu7ev-ffvc1156-2-e,10,71.6237,66,5,0,1,6,block_64_1,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,1,3,0.362945718449,False
viterbi_188.c,xczu7ev-ffvc1156-2-e,10,71.62409,100,5,0,2,11,block_64_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_63,unroll_2,1,4.5,0.342248977599,False
viterbi_714.c,xczu7ev-ffvc1156-2-e,10,7.82819,72,5,0,2,7,block_64_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,3.5,0.956969517154,False
viterbi_662.c,xczu7ev-ffvc1156-2-e,10,3.18368,689,71,1,18,80,block_8_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_63,1,42.5,0.1,False
viterbi_303.c,xczu7ev-ffvc1156-2-e,10,3.03989,163,8,0,6,22,block_8_2,unroll_64,unroll_4,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_63,1,9,0.830168816509,False
viterbi_272.c,xczu7ev-ffvc1156-2-e,10,3.05623,274,20,0,8,20,cyclic_16_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,12,0.735582857792,False
viterbi_172.c,xczu7ev-ffvc1156-2-e,10,3.05901,941,20,0,17,49,cyclic_16_1,pipeline_1,unroll_4,unroll_63,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,21.5,0.402370040833,False
viterbi_366.c,xczu7ev-ffvc1156-2-e,10,8.6038,75,8,0,1,9,cyclic_16_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,pipeline_1,1,4.5,0.934500039272,False
viterbi_93.c,xczu7ev-ffvc1156-2-e,10,3.06014,386,20,0,9,26,cyclic_16_1,unroll_4,unroll_2,unroll_63,unroll_8,pipeline_1,pipeline_1,unroll_63,1,13.75,0.665356853748,False
viterbi_536.c,xczu7ev-ffvc1156-2-e,10,3.02825,170,10,0,5,16,cyclic_16_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,1,7.75,0.856521577546,False
viterbi_649.c,xczu7ev-ffvc1156-2-e,10,3.02547,131,10,0,5,17,cyclic_16_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,8,0.845642705823,False
viterbi_648.c,xczu7ev-ffvc1156-2-e,10,3.03943,92,10,0,4,11,cyclic_16_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_63,1,6.25,0.887332931774,False
viterbi_537.c,xczu7ev-ffvc1156-2-e,10,3.03908,93,10,0,4,12,cyclic_16_2,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_2,2,6.5,0.879431753725,False
viterbi_373.c,xczu7ev-ffvc1156-2-e,10,3.09304,127,10,0,5,18,cyclic_16_2,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,unroll_16,unroll_4,1,8.25,0.835045933324,False
viterbi_103.c,xczu7ev-ffvc1156-2-e,10,75.3005,439,10,0,13,49,cyclic_16_2,unroll_16,unroll_4,pipeline_1,unroll_32,unroll_8,unroll_2,unroll_8,1,18,0.159987905906,False
viterbi_653.c,xczu7ev-ffvc1156-2-e,10,3.04255,95,10,0,4,12,cyclic_16_2,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,6.5,0.87945095854,False
viterbi_41.c,xczu7ev-ffvc1156-2-e,10,8.0487,345.5,10,0,9,31,cyclic_16_2,unroll_32,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,2,12.5,0.695720479838,False
viterbi_139.c,xczu7ev-ffvc1156-2-e,10,8.0519,413,10,0,10,35,cyclic_16_2,unroll_32,unroll_16,unroll_4,unroll_16,unroll_8,pipeline_1,pipeline_1,1,13.75,0.653110506065,False
viterbi_355.c,xczu7ev-ffvc1156-2-e,10,3.09236,109,10,0,4,15,cyclic_16_2,unroll_32,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_63,1,7.25,0.866525157376,False
viterbi_408.c,xczu7ev-ffvc1156-2-e,10,3.03881,100,10,0,4,13,cyclic_16_2,unroll_32,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_63,1,6.75,0.87720541174,False
viterbi_293.c,xczu7ev-ffvc1156-2-e,10,3.04005,101,10,0,4,13,cyclic_16_2,unroll_32,unroll_2,unroll_4,unroll_4,pipeline_1,pipeline_1,unroll_4,1,6.75,0.877197796377,False
viterbi_338.c,xczu7ev-ffvc1156-2-e,10,3.64717,110,10,0,5,15,cyclic_16_2,unroll_32,unroll_2,unroll_4,unroll_4,pipeline_1,unroll_4,unroll_4,1,7.5,0.857421343059,False
viterbi_131.c,xczu7ev-ffvc1156-2-e,10,74.60016,121,10,0,4,14,cyclic_16_2,unroll_32,unroll_2,unroll_63,pipeline_1,unroll_2,unroll_2,unroll_4,1,7,0.287883177178,False
viterbi_351.c,xczu7ev-ffvc1156-2-e,10,3.02769,247,10,0,7,26,cyclic_16_2,unroll_32,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_63,1,10.75,0.787954574024,False
viterbi_206.c,xczu7ev-ffvc1156-2-e,10,7.82823,122,10,0,4,15,cyclic_16_2,unroll_32,unroll_4,unroll_63,pipeline_1,unroll_4,unroll_63,pipeline_1,1,7.25,0.824687064118,False
viterbi_437.c,xczu7ev-ffvc1156-2-e,10,3.03874,101,10,0,4,13,cyclic_16_2,unroll_64,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,3,6.75,0.877205841599,False
viterbi_519.c,xczu7ev-ffvc1156-2-e,10,3.73454,106,10,0,4,14,cyclic_16_2,unroll_64,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,pipeline_1,1,7,0.86746011446,False
viterbi_641.c,xczu7ev-ffvc1156-2-e,10,3.0251,183,10,0,6,22,cyclic_16_2,unroll_64,unroll_2,unroll_63,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,9.5,0.808643389512,False
viterbi_125.c,xczu7ev-ffvc1156-2-e,10,80.81898,108,10,0,3,16,cyclic_16_2,unroll_64,unroll_2,unroll_63,unroll_8,unroll_4,unroll_2,unroll_2,1,7.25,0.235975846405,False
viterbi_27.c,xczu7ev-ffvc1156-2-e,10,3.1114,469,10,0,12,46,cyclic_16_2,unroll_8,unroll_8,unroll_16,pipeline_1,pipeline_1,unroll_2,unroll_4,1,17,0.545425118431,False
viterbi_528.c,xczu7ev-ffvc1156-2-e,10,6.910475,170,5,0,4,17,cyclic_2_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,2,6.5,0.856266213731,False
viterbi_578.c,xczu7ev-ffvc1156-2-e,10,6.90909,153,5,0,4,17,cyclic_2_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,6.5,0.856264399106,False
