Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_135.cpp,xczu7ev-ffvc1156-2-e,10,99.0181,972,62,1,3,48,cyclic_128_1,block_4_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_4,unroll_5,pipeline_1,unroll_16,unroll_4,unroll_8,unroll_5,pipeline_1,1,28.5,0.523766608349,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10,48.9027,2380,47,6,19,74,cyclic_128_1,block_64_1,block_16_1,block_2_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll_5,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,36.5,0.352160722931,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10,25.4229,2850,47,1,17,66,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll_5,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,32.75,0.427074242227,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10,16.70558,2199,47,1,17,64,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_5,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,32.25,0.437795066629,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10,22.77698,2385,47,1,17,62,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_4_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_5,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,31.75,0.448694748959,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10,8.15509,1358,47,1,10,33,cyclic_128_1,block_8_1,block_64_1,block_8_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_17,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,22.75,0.674391001408,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10,8.15509,1413,47,1,10,33,cyclic_128_1,block_8_1,block_64_1,block_8_1,cyclic_8_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_17,unroll_5,unroll_8,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,22.75,0.674391001408,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10,12.15111,1878,37,1,16,31,cyclic_128_1,block_8_1,cyclic_32_1,block_8_1,cyclic_8_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_17,unroll_5,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,21.25,0.717452055075,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10,15.97747,2444,37,1,20,52,cyclic_128_1,cyclic_16_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,27.5,0.548298133614,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10,278.19182,2088,67,1,10,78,cyclic_128_1,cyclic_2_1,cyclic_2_1,block_4_1,cyclic_8_1,pipeline_1,unroll_4,unroll_36,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_8,pipeline_1,pipeline_1,1,39,0.307614500112,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,50.08926,2758,27,1,21,57,cyclic_128_1,cyclic_2_1,cyclic_4_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_36,pipeline_1,unroll_2,unroll_5,unroll_16,unroll_32,unroll_16,unroll_16,pipeline_1,pipeline_1,1,26.5,0.573568012848,False
workload_237.cpp,xczu7ev-ffvc1156-2-e,10,189.60824,2401,28,1,19,37,cyclic_128_1,cyclic_4_1,block_128_1,block_2_1,block_4_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_17,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,21.25,0.717397675435,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,196.34365,1255,44,1,4,62,cyclic_128_1,cyclic_4_1,block_128_1,block_2_1,block_4_1,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,27.75,0.542112883982,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10,196.48585,1836,44,1,3,59,cyclic_128_1,cyclic_4_1,block_128_1,block_2_1,block_4_1,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_17,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,26.75,0.567189461417,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10,188.6827,1898,44,1,20,72,cyclic_128_1,cyclic_4_1,block_128_1,block_8_1,block_4_1,unroll_5,unroll_16,unroll_36,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_16,pipeline_1,pipeline_1,1,34.25,0.395956724834,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10,201.60532,1044,40,1,3,58,cyclic_128_1,cyclic_4_1,block_128_1,cyclic_2_1,block_4_1,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,25.5,0.599502108808,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10,201.62164,364,40,1,2,23,cyclic_128_1,cyclic_4_1,block_128_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_17,pipeline_1,pipeline_1,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,16.5,0.834516618922,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10,160.8026,1565,17,6,18,32,cyclic_16_1,block_16_1,block_4_1,block_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_32,unroll_4,unroll_32,pipeline_1,unroll_5,unroll_5,1,18.25,0.807397907895,False
workload_195.cpp,xczu7ev-ffvc1156-2-e,10,94.07042,3152,23,1,22,68,cyclic_16_1,block_32_1,cyclic_2_1,cyclic_4_1,complete_1,unroll_5,pipeline_1,unroll_36,unroll_32,unroll_4,unroll_5,pipeline_1,unroll_2,unroll_64,unroll_8,pipeline_1,pipeline_1,1,28.5,0.523765812323,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10,211.2485,849,39,1,3,38,cyclic_16_1,block_8_1,block_128_1,block_2_1,block_4_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,20.25,0.746835896616,False
workload_257.cpp,xczu7ev-ffvc1156-2-e,10,204.404,2453,17,1,20,34,cyclic_16_1,block_8_1,block_128_1,block_8_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,18,0.813655337689,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,33.00407,1457,26,6,14,44,cyclic_16_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_17,unroll_5,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,22.5,0.681479496836,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10,40.70696,1455,26,6,15,44,cyclic_16_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,22.75,0.674415613285,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10,33.0668,1398,26,6,14,41,cyclic_16_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_17,unroll_5,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,21.75,0.702944369651,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10,11.90734,2112,26,1,15,61,cyclic_16_1,block_8_1,block_32_1,block_8_1,complete_1,unroll_5,pipeline_1,unroll_36,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_64,unroll_16,pipeline_1,pipeline_1,1,25.75,0.592939468486,False
workload_409.cpp,xczu7ev-ffvc1156-2-e,10,30.92478,541,62,1,2,29,cyclic_16_1,block_8_1,cyclic_16_1,block_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,23.5,0.653462195309,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10,32.54462,272,57,1,2,17,cyclic_16_1,block_8_1,cyclic_16_1,block_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,19.25,0.777291087638,False
workload_367.cpp,xczu7ev-ffvc1156-2-e,10,123.41438,370,22,1,9,27,cyclic_16_1,block_8_1,cyclic_16_1,block_2_1,complete_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,14.75,0.867170007949,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10,27.5931,313,57,1,2,23,cyclic_16_1,block_8_1,cyclic_32_1,block_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,20.75,0.732163410685,False
workload_357.cpp,xczu7ev-ffvc1156-2-e,10,9.58326,2459,26,1,15,35,cyclic_16_1,block_8_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_17,pipeline_1,unroll_16,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,19.25,0.777271596056,False
workload_435.cpp,xczu7ev-ffvc1156-2-e,10,12.92054,2197,26,1,15,23,cyclic_16_1,block_8_1,cyclic_32_1,block_2_1,complete_1,unroll_5,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_5,unroll_4,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,16.25,0.843820079043,False
workload_320.cpp,xczu7ev-ffvc1156-2-e,10,225.41134,362,17,1,1,22,cyclic_16_1,block_8_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,10.25,0.942993155673,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10,237.50942,635,23,1,7,37,cyclic_16_1,block_8_1,cyclic_4_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,1,17,0.829923709276,False
workload_299.cpp,xczu7ev-ffvc1156-2-e,10,38.96442,705,21,6,16,33,cyclic_16_1,cyclic_16_1,block_16_1,block_2_1,complete_1,unroll_5,pipeline_1,unroll_36,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,1,19,0.784962711909,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10,13.04978,2050,26,1,15,61,cyclic_16_1,cyclic_16_1,block_32_1,block_2_1,complete_1,unroll_5,pipeline_1,unroll_36,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_64,pipeline_1,pipeline_1,pipeline_1,1,25.75,0.592940261888,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10,254.92532,2068,17,1,5,36,cyclic_16_1,cyclic_16_1,cyclic_2_1,block_2_1,block_4_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll_5,unroll_4,unroll_16,pipeline_1,unroll_32,unroll_5,unroll_5,1,14.75,0.864592762036,False
workload_464.cpp,xczu7ev-ffvc1156-2-e,10,103.04366,416,37,1,3,25,cyclic_16_1,cyclic_16_1,cyclic_2_1,block_2_1,block_4_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,16.5,0.83556247781,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10,117.76478,548,33,1,2,13,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,12.25,0.911830797742,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,102.22254,259,33,1,1,12,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_32,unroll_5,pipeline_1,1,11.75,0.913423608879,False
workload_349.cpp,xczu7ev-ffvc1156-2-e,10,470.2295,343,17,1,4,19,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_4,unroll_5,unroll_2,unroll_16,pipeline_1,unroll_32,unroll_5,pipeline_1,1,10.25,0.936081705776,False
workload_271.cpp,xczu7ev-ffvc1156-2-e,10,93.97182,1486,17,1,17,27,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_8,pipeline_1,unroll_5,1,15.5,0.855407795923,False
workload_308.cpp,xczu7ev-ffvc1156-2-e,10,93.70126,2179,17,1,19,38,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_16,unroll_16,unroll_32,unroll_5,pipeline_1,1,18.75,0.792594631202,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10,101.6243,409,33,1,2,21,cyclic_16_1,cyclic_16_1,cyclic_2_1,cyclic_2_1,complete_1,unroll_5,unroll_4,unroll_36,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_32,unroll_5,pipeline_1,1,14.25,0.867928616533,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10,30.53642,335,57,1,2,26,cyclic_16_1,cyclic_16_1,cyclic_32_1,block_8_1,block_4_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,21.5,0.710183728877,False
workload_246.cpp,xczu7ev-ffvc1156-2-e,10,29.96638,477,57,1,2,30,cyclic_16_1,cyclic_16_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_36,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_16,unroll_5,pipeline_1,1,22.5,0.681477401371,False
workload_917.cpp,xczu7ev-ffvc1156-2-e,10,38.61008,1979,21,55,25,47,cyclic_16_1,cyclic_2_1,block_16_1,block_2_1,block_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_17,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,37,0.342903877705,False
workload_234.cpp,xczu7ev-ffvc1156-2-e,10,105.45022,3103,17,1,17,24,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,block_4_1,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_5,unroll_16,unroll_32,unroll_64,unroll_16,pipeline_1,pipeline_1,1,14.75,0.867424641498,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10,49.88366,2985,17,1,18,51,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,complete_1,unroll_5,pipeline_1,unroll_36,pipeline_1,unroll_2,unroll_5,unroll_16,unroll_32,unroll_64,unroll_16,pipeline_1,pipeline_1,1,21.75,0.702954110718,False
workload_359.cpp,xczu7ev-ffvc1156-2-e,10,255.42914,3466,21,1,3,70,cyclic_16_1,cyclic_8_1,cyclic_16_1,cyclic_4_1,block_8_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_32,unroll_2,unroll_32,pipeline_1,unroll_5,pipeline_1,1,23.75,0.646489705599,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10,306.33289,1643,33,1,34,86,cyclic_16_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_2,unroll_5,unroll_4,unroll_16,unroll_8,unroll_32,pipeline_1,unroll_5,1,38.5,0.316168798754,False
workload_268.cpp,xczu7ev-ffvc1156-2-e,10,265.84817,340.5,17,1,4,15,cyclic_16_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_32,pipeline_1,pipeline_1,pipeline_1,2,9.25,0.959643818192,False
workload_458.cpp,xczu7ev-ffvc1156-2-e,10,265.7777,340,17,1,4,15,cyclic_16_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_5,unroll_4,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,9.25,0.959644798311,False
workload_286.cpp,xczu7ev-ffvc1156-2-e,10,265.62488,354,17,1,4,16,cyclic_16_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,block_2_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,9.5,0.953801284672,False
workload_503.cpp,xczu7ev-ffvc1156-2-e,10,13.9453,3383,32,1,12,46,cyclic_2_1,block_16_1,cyclic_64_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,22.75,0.674396195851,False
workload_620.cpp,xczu7ev-ffvc1156-2-e,10,126.14718,475,19,1,3,45,cyclic_2_1,block_32_1,cyclic_16_1,block_8_1,complete_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,17,0.8328039015,False
workload_440.cpp,xczu7ev-ffvc1156-2-e,10,32.86158,366,53,1,1,24,cyclic_2_1,block_32_1,cyclic_16_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_5,1,19.75,0.762078543273,False
workload_522.cpp,xczu7ev-ffvc1156-2-e,10,214.23166,335,19,1,1,22,cyclic_2_1,block_32_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,10.75,0.932989846745,False
workload_570.cpp,xczu7ev-ffvc1156-2-e,10,217.40606,310,25,1,1,22,cyclic_2_1,block_32_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,12.25,0.909219589719,False
workload_480.cpp,xczu7ev-ffvc1156-2-e,10,59.07598,335,27,1,1,20,cyclic_2_1,block_32_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,unroll_5,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,12.25,0.913327132453,False
workload_727.cpp,xczu7ev-ffvc1156-2-e,10,200.64371,369,54,1,2,24,cyclic_2_1,block_32_1,cyclic_64_1,block_8_1,complete_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_17,pipeline_1,pipeline_1,unroll_4,unroll_32,unroll_2,pipeline_1,pipeline_1,1,20.25,0.746865579952,False
workload_740.cpp,xczu7ev-ffvc1156-2-e,10,394.8062,919,27,1,1,29,cyclic_2_1,block_32_1,cyclic_64_1,cyclic_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,14.5,0.863238548834,False
workload_889.cpp,xczu7ev-ffvc1156-2-e,10,10.1057,1245,22,1,9,35,cyclic_2_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,16.75,0.83583430469,False
workload_791.cpp,xczu7ev-ffvc1156-2-e,10,41.47344,1172,22,6,12,27,cyclic_2_1,block_8_1,block_32_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_16,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,16.75,0.835779205803,False
workload_806.cpp,xczu7ev-ffvc1156-2-e,10,11.74106,846,22,1,10,33,cyclic_2_1,block_8_1,block_32_1,block_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,16.5,0.835828630005,False
workload_706.cpp,xczu7ev-ffvc1156-2-e,10,47.1599,615,22,6,11,24,cyclic_2_1,block_8_1,block_32_1,block_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,15.75,0.851764462787,False
workload_846.cpp,xczu7ev-ffvc1156-2-e,10,45.8225,728,22,6,12,30,cyclic_2_1,block_8_1,block_32_1,block_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_36,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,17.5,0.823855717785,False
