Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_492.cpp,xczu7ev-ffvc1156-2-e,10,0.415,111,4,6,13,15,block_2_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_8,1,9.5,0.680611721413,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10,0.34584,107,5,10,7,13,block_2_1,cyclic_2_1,block_2_1,complete_1,complete_1,complete_1,unroll_16,2,8.75,0.775231543704,False
workload_747.cpp,xczu7ev-ffvc1156-2-e,10,0.2956,166,5,29,18,31,block_2_1,cyclic_2_1,block_2_1,complete_1,complete_1,complete_1,unroll_32,1,20.75,0.60611093582,False
workload_339.cpp,xczu7ev-ffvc1156-2-e,10,0.34584,108,5,10,7,13,block_2_1,cyclic_2_1,block_4_1,complete_1,complete_1,complete_1,unroll_16,1,8.75,0.775231543704,False
workload_247.cpp,xczu7ev-ffvc1156-2-e,10,0.35616,130,4,13,16,20,block_2_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,3,13.25,0.701206485311,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,76,4,1,2,4,block_2_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,1,2.75,0.500602934789,False
workload_718.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,72,11,1,3,5,block_2_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,pipeline_1,1,5,0.963827137765,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,0.35608,122,4,10,9,17,block_2_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,7,10,0.747506160705,False
workload_701.cpp,xczu7ev-ffvc1156-2-e,10,1.25976,78,4,1,3,4,block_2_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.160529961259,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10,0.28104,333.5,4,64,39,65,block_2_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_64,4,43,0.274613733494,False
workload_412.cpp,xczu7ev-ffvc1156-2-e,10,1.25976,97,4,1,4,7,block_2_1,cyclic_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,2,4,0.160401203998,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,68,7,1,1,3,block_2_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.500365110972,False
workload_239.cpp,xczu7ev-ffvc1156-2-e,10,0.34584,107,5,10,7,13,block_2_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_16,2,8.75,0.775231543704,False
workload_371.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,67,4,1,1,2,block_2_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,1,2,0.512502747522,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10,0.29304,165,5,27,17,30,block_2_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_32,1,19.75,0.62563708887,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10,0.40472,83,4,5,4,7,block_2_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_8,2,5,0.719628239137,False
workload_419.cpp,xczu7ev-ffvc1156-2-e,10,0.27976,323,14,71,39,67,block_2_1,cyclic_2_1,cyclic_32_1,complete_1,complete_1,complete_1,unroll_64,1,47.75,0.225491828741,False
workload_296.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,68,11,1,1,3,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,1,4,0.99361826634,False
workload_450.cpp,xczu7ev-ffvc1156-2-e,10,0.34584,109,5,11,8,14,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,1,9.5,0.766006694109,False
workload_549.cpp,xczu7ev-ffvc1156-2-e,10,0.26952,311.5,5,60,36,62,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_64,2,40.75,0.301548222508,False
workload_311.cpp,xczu7ev-ffvc1156-2-e,10,0.40472,83,5,6,4,7,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_8,1,5.5,0.718306884299,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10,0.27464,621,9,74,99,95,block_2_1,cyclic_32_1,block_128_1,complete_1,complete_1,complete_1,unroll_64,1,69.25,0.104305913725,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10,0.26568,328.5,9,73,40,69,block_2_1,cyclic_32_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,2,47.75,0.22612477125,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10,0.27432,344,9,74,42,71,block_2_1,cyclic_32_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_64,1,49,0.214133477958,False
workload_224.cpp,xczu7ev-ffvc1156-2-e,10,0.30472,276,4,32,49,49,block_2_1,cyclic_4_1,block_128_1,complete_1,complete_1,complete_1,unroll_32,3,33.5,0.393664147364,False
workload_272.cpp,xczu7ev-ffvc1156-2-e,10,0.29688,165,5,30,18,31,block_2_1,cyclic_4_1,block_2_1,complete_1,complete_1,complete_1,unroll_32,1,21,0.601071052728,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10,0.27032,326,5,67,39,66,block_2_1,cyclic_4_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,1,44.25,0.26151650722,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,69,11,1,2,4,block_2_1,cyclic_4_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,4.5,0.974061095611,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10,0.30728,211,4,32,34,41,block_2_1,cyclic_4_1,block_64_1,complete_1,complete_1,complete_1,unroll_32,1,27.75,0.481165295954,False
workload_394.cpp,xczu7ev-ffvc1156-2-e,10,0.3644,122,4,11,10,17,block_2_1,cyclic_4_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,3,10.5,0.731487147597,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10,0.29432,164,5,28,17,30,block_2_1,cyclic_4_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_32,1,20,0.620498848133,False
workload_270.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,67,12,1,1,3,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,1,4.25,0.987267941061,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10,0.36056,107,5,11,8,14,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,2,9.5,0.748229114726,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10,0.29432,162,5,26,17,29,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_32,3,19.25,0.634601122455,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10,0.3644,109,7,13,8,15,block_2_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,10.75,0.728296248849,False
workload_191.cpp,xczu7ev-ffvc1156-2-e,10,0.26408,340,4,73,41,69,block_2_1,cyclic_64_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,1,46.75,0.2359158398,False
workload_243.cpp,xczu7ev-ffvc1156-2-e,10,0.3568,138,4,15,18,23,block_2_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,1,15,0.67299971758,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10,0.41624,98,4,6,6,12,block_2_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,unroll_8,1,7,0.696235754948,False
workload_266.cpp,xczu7ev-ffvc1156-2-e,10,0.27432,345,4,74,43,72,block_2_1,cyclic_64_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_64,3,48.25,0.221041234842,False
workload_421.cpp,xczu7ev-ffvc1156-2-e,10,0.406,88,4,6,5,9,block_2_1,cyclic_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_8,1,6,0.714780711089,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,70,12,1,2,4,block_2_1,cyclic_64_1,cyclic_8_1,complete_1,complete_1,complete_1,pipeline_1,1,4.75,0.969151785688,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10,0.3568,158,5,15,25,28,block_2_1,cyclic_8_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,1,18.25,0.619557884922,False
workload_441.cpp,xczu7ev-ffvc1156-2-e,10,0.29368,169,6,32,19,32,block_2_1,cyclic_8_1,block_4_1,complete_1,complete_1,complete_1,unroll_32,1,22.25,0.579261780699,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,72,5,1,2,4,block_2_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.500365110972,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10,0.3062,713.5,22,82,95,97,block_32_1,block_16_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_64,2,74,0.1,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,80,48,2,2,5,block_32_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,14.25,0.734906835546,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10,0.42528,208,22,19,18,34,block_32_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,1,23.25,0.497927235564,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,77,50,2,1,4,block_32_1,block_32_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,1,14.25,0.734906835546,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,81,43,2,3,6,block_32_1,block_4_1,cyclic_128_1,complete_1,complete_1,complete_1,pipeline_1,1,13.5,0.749901337476,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,80,45,2,3,6,block_32_1,cyclic_128_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,1,14,0.739902876595,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,75,48,2,2,5,block_32_1,cyclic_32_1,cyclic_64_1,complete_1,complete_1,complete_1,pipeline_1,1,14.25,0.734906835546,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,87,12,2,5,7,block_4_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,pipeline_1,2,6.5,0.928988528561,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10,1.16124,367,4,5,15,23,block_4_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,1,11.75,0.202751027289,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10,1.25016,440,4,5,8,15,block_4_1,block_128_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,1,8,0.162715322414,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10,1.1612,304,5,5,6,13,block_4_1,block_128_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,7.25,0.209564161558,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,0.31368,215,19,43,28,39,block_4_1,block_16_1,block_32_1,complete_1,complete_1,complete_1,unroll_32,2,32.25,0.410174534177,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10,0.31352,183,12,39,20,33,block_4_1,block_16_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_32,1,26,0.508260092542,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,71,19,2,1,3,block_4_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,pipeline_1,2,6.25,0.9349244629,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10,0.42392,91,17,9,5,10,block_4_1,block_32_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_8,1,10.25,0.66309626111,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,0.37408,165,5,19,25,28,block_4_1,block_4_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,1,19.25,0.591629683827,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,85,4,1,4,7,block_4_1,block_64_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,2,4,0.498510229854,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,70.5,4,1,2,4,block_4_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2,2.75,0.5123112365,False
workload_238.cpp,xczu7ev-ffvc1156-2-e,10,1.18648,1690,4,19,16,26,block_4_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_64,2,16.25,0.17986317745,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,75,7,1,2,4,block_4_1,block_8_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,1,3.5,0.499614702114,False
workload_233.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,66,13,2,1,3,block_4_1,block_8_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline_1,1,4.75,0.974630905083,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,78,4,1,3,5,block_4_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,1,3.25,0.500035159247,False
workload_306.cpp,xczu7ev-ffvc1156-2-e,10,0.4214,114,4,9,14,16,block_4_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_8,1,10.75,0.661505291724,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,67,9,1,1,3,block_4_1,cyclic_2_1,block_16_1,complete_1,complete_1,complete_1,unroll_2,1,3.5,0.499614702114,False
workload_237.cpp,xczu7ev-ffvc1156-2-e,10,0.27416,345,5,83,40,64,block_4_1,cyclic_2_1,block_2_1,complete_1,complete_1,complete_1,unroll_64,1,48,0.223396097454,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,71,12,2,2,4,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,5,0.963827137765,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10,0.35296,132,4,19,17,21,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,1,15.25,0.672089995636,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,74,4,1,2,4,block_4_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,2,2.75,0.500602934789,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10,0.35288,113,7,16,8,14,block_4_1,cyclic_2_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_16,1,11.25,0.73425860241,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,67,5,1,1,2,block_4_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,1,2.25,0.512544849347,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10,0.34264,108,6,17,9,14,block_4_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,1,11.5,0.74130932603,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,69,5,1,1,2,block_4_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,1,2.25,0.512544849347,False
workload_789.cpp,xczu7ev-ffvc1156-2-e,10,0.41112,83,5,9,5,8,block_4_1,cyclic_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_8,1,6.75,0.704427897712,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10,0.35288,112,7,19,9,15,block_4_1,cyclic_2_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,12.5,0.715841900834,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,68,17,2,1,3,block_4_1,cyclic_32_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline_1,1,5.75,0.949626620562,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10,0.30984,200,15,41,27,36,block_4_1,cyclic_4_1,block_32_1,complete_1,complete_1,complete_1,unroll_32,1,29.75,0.448795642739,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,70,15,2,1,3,block_4_1,cyclic_4_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,1,5.25,0.958255628709,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10,0.35992,108,5,17,9,15,block_4_1,cyclic_4_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_16,1,11.5,0.723182226462,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10,0.37016,110,7,19,9,15,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,12.5,0.698431506371,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,69,12,2,2,4,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline_1,3,5,0.968345946158,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,68,14,2,1,3,block_4_1,cyclic_8_1,block_4_1,complete_1,complete_1,complete_1,pipeline_1,1,5,0.968345946158,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,69,13,2,2,4,block_4_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,5.25,0.958255628709,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10,0.37024,136,5,19,17,21,block_4_1,cyclic_8_1,block_64_1,complete_1,complete_1,complete_1,unroll_16,1,15.5,0.653774284258,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,65.5,6,1,1,2,block_4_1,cyclic_8_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,2,2.5,0.512480753423,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10,0.37016,110,7,17,9,15,block_4_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,12,0.705348194192,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10,1.25464,70,7,1,1,3,block_4_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.162818546864,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,93,84,2,3,7,block_64_1,block_2_1,block_128_1,complete_1,complete_1,complete_1,pipeline_1,1,24,0.549470805973,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10,1.302,158,22,3,4,18,block_64_1,block_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,1,11.75,0.138757729262,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10,0.27763,80,84,2,1,5,block_64_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,2,23,0.56974799989,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10,1.14045,292,23,5,34,25,block_64_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,1,21.75,0.185845739558,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,84,91,2,1,6,block_64_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,pipeline_1,1,25,0.531935610113,False
