Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_505.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,57,2,1,2,4,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,2.25,0.956127357526,False
workload_420.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,55,2,1,2,3,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,2,0.964814187975,False
workload_504.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,59,2,1,2,4,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,1,2.25,0.956127357782,False
workload_381.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,60,2,1,2,4,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,2.25,0.956127357782,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,58,2,1,2,5,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,2.5,0.947484375384,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,429,2,1,10,66,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_64,unroll_16,unroll_8,pipeline_1,unroll_2,1,19.75,0.45701389901,False
workload_546.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,99,1,1,8,12,block_2_1,cyclic_128_1,cyclic_128_1,block_64_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,5.5,0.847188816883,False
workload_367.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,99,1,1,7,13,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_2,1,5.5,0.847188816883,False
workload_398.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,94,1,1,5,9,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,4,0.896547315194,False
workload_553.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,86,3,1,4,7,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_16_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,3.75,0.904927202955,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,87,1,1,4,6,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,2,3,0.930329960028,False
workload_552.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,71,1,1,4,7,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,1,3.25,0.921818525372,False
workload_417.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,89,1,1,4,7,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,3.25,0.921818525372,False
workload_425.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,82,1,1,4,9,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_8,unroll_2,unroll_2,1,3.75,0.904927202955,False
workload_633.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,81,1,1,4,7,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,1,3.25,0.921818525233,False
workload_486.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,83,1,1,3,6,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,1,2.75,0.938885243467,False
workload_263.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,91,1,1,5,11,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_8,pipeline_1,unroll_2,1,4.5,0.879919086565,False
workload_253.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,88,1,1,4,8,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_64_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,2,3.5,0.913350939681,False
workload_352.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,180,1,1,7,30,block_2_1,cyclic_128_1,cyclic_128_1,cyclic_64_1,complete_1,unroll_32,unroll_8,unroll_16,unroll_8,unroll_2,pipeline_1,1,9.75,0.715912210931,False
workload_470.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,62,3,1,2,4,block_2_1,cyclic_128_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,unroll_2,1,2.5,0.947484376233,False
workload_476.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,62,3,1,2,5,block_2_1,cyclic_128_1,cyclic_16_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,2.75,0.938885243648,False
workload_583.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,64,3,1,2,5,block_2_1,cyclic_128_1,cyclic_16_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_32,unroll_8,unroll_2,unroll_2,1,2.75,0.938885243648,False
workload_436.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,61,1,1,4,7,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,1,3.25,0.921818525372,False
workload_407.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,64,1,1,3,10,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_8,unroll_2,pipeline_1,1,3.75,0.904927202955,False
workload_577.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,62,1,1,3,9,block_2_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,pipeline_1,1,3.5,0.913350939681,False
workload_534.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,58,1,1,2,4,block_2_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,2,0.964814188296,False
workload_414.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,69,1,1,4,6,block_2_1,cyclic_128_1,cyclic_64_1,cyclic_64_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,3,0.930329960028,False
workload_378.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,53,4,1,1,3,block_2_1,cyclic_16_1,block_4_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_2,1,2.25,0.956127357782,False
workload_715.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,53,1,1,1,1,block_2_1,cyclic_2_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1,0.999995171004,False
workload_732.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,50,1,1,1,1,block_2_1,cyclic_2_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,1,1,0.999995171004,False
workload_773.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,56,1,1,1,1,block_2_1,cyclic_2_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,1,1,0.999995171004,False
workload_701.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,55,1,1,1,1,block_2_1,cyclic_2_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,1,1,0.999995171004,False
workload_728.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,52,1,1,1,4,block_2_1,cyclic_2_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,pipeline_1,1,1.75,0.973544867775,False
workload_691.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,52,2,1,1,2,block_2_1,cyclic_2_1,block_8_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.5,0.982319396219,False
workload_500.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,51,1,1,1,2,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.25,0.991137773627,False
workload_709.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,49,1,1,1,2,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,unroll_2,1,1.25,0.991137773627,False
workload_522.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,54,1,1,1,2,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.25,0.991137773627,False
workload_698.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,52,4,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_16_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,1.75,0.973544867344,False
workload_558.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,50,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,3,1,0.999995171004,False
workload_671.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,54,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,3,1,0.999995171004,False
workload_629.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,51,1,1,1,2,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1.25,0.991137773627,False
workload_489.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,53,1,1,1,2,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1.25,0.991137773627,False
workload_555.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,54,1,1,1,2,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,2,1.25,0.991137773627,False
workload_726.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,52,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,1,1,0.999995171004,False
workload_752.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,50,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,1,0.999995171004,False
workload_572.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,51.5,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,2,1,0.999995171004,False
workload_666.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,50,2,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,1.25,0.991137772321,False
workload_745.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,55,1,1,1,4,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,pipeline_1,1,1.75,0.973544867775,False
workload_648.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,54,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,1,1,0.999995171004,False
workload_599.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,52,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,1,1,0.999995171004,False
workload_763.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,51,1,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_4,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,1,1,0.999995171004,False
workload_622.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,56,1,1,1,5,block_2_1,cyclic_4_1,block_2_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,pipeline_1,1,2,0.964814188296,False
workload_772.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,57,1,1,1,2,block_2_1,cyclic_4_1,block_2_1,cyclic_32_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,1,1.25,0.991137773627,False
workload_783.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,56,1,1,1,3,block_2_1,cyclic_4_1,block_2_1,cyclic_32_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_4,pipeline_1,unroll_2,1,1.5,0.982319396219,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,78.5,2,1,2,5.5,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_32,pipeline_1,unroll_2,2,2.625,0.94317932882,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,78,2,1,2,5,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_8,pipeline_1,unroll_2,1,2.5,0.947484376233,False
workload_719.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,55,2,1,1,1,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,1,1.25,0.991137772321,False
workload_620.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,59,1,1,1,4,block_2_1,cyclic_4_1,block_2_1,cyclic_64_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,1,1.75,0.973544867775,False
workload_642.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,58,1,1,1,3,block_2_1,cyclic_4_1,block_2_1,cyclic_64_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,1.5,0.982319396219,False
workload_591.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,70,1,1,3,9,block_2_1,cyclic_4_1,block_32_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,3.5,0.913350939681,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,72,2,1,6,14,block_2_1,cyclic_4_1,block_4_1,block_128_1,complete_1,unroll_2,unroll_2,unroll_8,unroll_8,unroll_2,pipeline_1,1,5.75,0.839115871874,False
workload_449.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,53,2,1,1,1,block_2_1,cyclic_4_1,block_4_1,block_4_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,1,1.25,0.991137772321,False
workload_585.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,52,4,1,1,2,block_2_1,cyclic_4_1,block_4_1,block_4_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,2,0.964814187975,False
workload_312.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,74,2,1,2,5,block_2_1,cyclic_4_1,block_4_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_4,pipeline_1,unroll_2,1,2.5,0.947484376233,False
workload_547.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,53,4,1,1,4,block_2_1,cyclic_4_1,block_4_1,cyclic_16_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,1,2.5,0.947484375384,False
