Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_3207.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,121,0,0,0,1,block_2_1,block_128_1,cyclic_64_1,pipeline_1,1,0.25,0.968537689718,False
workload_3326.cpp,xcu200-fsgd2104-2-e,3.33,0.07548444,69.5,0,0,0,0,block_2_1,block_16_1,cyclic_2_1,pipeline_1,2,0,0.999784190261,False
workload_3414.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,87,0,0,0,0,block_2_1,block_16_1,cyclic_64_1,pipeline_1,1,0,0.986832551983,False
workload_3311.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,99,0,0,0,1,block_2_1,block_64_1,cyclic_64_1,pipeline_1,1,0.25,0.968537689718,False
workload_3208.cpp,xcu200-fsgd2104-2-e,3.33,0.51114168,154,0,0,0,1,block_2_1,block_8_1,cyclic_128_1,unroll_8,1,0.25,0.105337096786,False
workload_3217.cpp,xcu200-fsgd2104-2-e,3.33,0.10035288,215,0,7,4,6,block_2_1,block_8_1,cyclic_32_1,unroll_32,1,4.25,0.569632760524,False
workload_3253.cpp,xcu200-fsgd2104-2-e,3.33,0.10035288,230,0,7,4,6,block_2_1,block_8_1,cyclic_64_1,unroll_32,1,4.25,0.569632760524,False
workload_3411.cpp,xcu200-fsgd2104-2-e,3.33,0.07548444,68,0,0,0,0,block_2_1,cyclic_16_1,cyclic_2_1,pipeline_1,1,0,0.999784190261,False
workload_3363.cpp,xcu200-fsgd2104-2-e,3.33,0.09331992,201,0,8,4,5,block_2_1,cyclic_16_1,cyclic_2_1,unroll_32,1,4.25,0.572815473742,False
workload_3314.cpp,xcu200-fsgd2104-2-e,3.33,0.09811512,213,0,8,4,6,block_2_1,cyclic_16_1,cyclic_32_1,unroll_32,1,4.5,0.550406467092,False
workload_3387.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,86,0,0,0,0,block_2_1,cyclic_16_1,cyclic_64_1,pipeline_1,1,0,0.986832551983,False
workload_3433.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,70,0,0,0,0,block_2_1,cyclic_2_1,block_16_1,pipeline_1,1,0,0.986832551983,False
workload_3345.cpp,xcu200-fsgd2104-2-e,3.33,0.09992664,201,0,7,4,5,block_2_1,cyclic_2_1,cyclic_8_1,unroll_32,1,4,0.590539202423,False
workload_3365.cpp,xcu200-fsgd2104-2-e,3.33,0.07548444,66.5,0,0,0,0,block_2_1,cyclic_4_1,block_2_1,pipeline_1,2,0,0.999784190261,False
workload_3472.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,67,0,0,0,0,block_2_1,cyclic_4_1,cyclic_8_1,pipeline_1,1,0,0.986832551983,False
workload_3282.cpp,xcu200-fsgd2104-2-e,3.33,0.4735593,718,0,2,7,5,block_32_1,block_2_1,block_16_1,unroll_32,1,3.5,0.114603668301,False
workload_3275.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,101,0,0,0,1,block_32_1,block_4_1,block_64_1,pipeline_1,1,0.25,0.918570944369,False
workload_3209.cpp,xcu200-fsgd2104-2-e,3.33,0.14670648,194,0,0,0,2,block_32_1,block_4_1,block_64_1,unroll_8,1,0.5,0.743629677084,False
workload_3298.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,121,0,0,0,1,block_32_1,cyclic_4_1,block_128_1,pipeline_1,1,0.25,0.918570944369,False
workload_3226.cpp,xcu200-fsgd2104-2-e,3.33,0.10688634,486,1,9,9,8,block_32_1,cyclic_4_1,block_2_1,unroll_32,1,6.75,0.384260580633,False
workload_3247.cpp,xcu200-fsgd2104-2-e,3.33,0.19444536,137,0,0,0,1,block_32_1,cyclic_4_1,block_64_1,unroll_4,1,0.25,0.602757282887,False
workload_3219.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,81,1,0,0,0,block_32_1,cyclic_4_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3231.cpp,xcu200-fsgd2104-2-e,3.33,0.47014938,699,0,2,7,5,block_32_1,cyclic_64_1,block_4_1,unroll_32,1,3.5,0.116247289999,False
workload_3283.cpp,xcu200-fsgd2104-2-e,3.33,0.4735593,707,0,2,7,5,block_32_1,cyclic_64_1,block_8_1,unroll_32,1,3.5,0.114603668301,False
workload_3223.cpp,xcu200-fsgd2104-2-e,3.33,0.17739576,93,0,0,0,1,block_4_1,block_16_1,block_32_1,unroll_4,1,0.25,0.65239318669,False
workload_3256.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,69,0,0,0,0,block_4_1,block_16_1,cyclic_2_1,pipeline_1,1,0,0.999796884235,False
workload_3403.cpp,xcu200-fsgd2104-2-e,3.33,0.09928728,512,0,21,8,12,block_4_1,block_16_1,cyclic_2_1,unroll_64,1,10.25,0.204463740365,False
workload_3215.cpp,xcu200-fsgd2104-2-e,3.33,0.1042956,262,0,10,4,6,block_4_1,block_32_1,cyclic_8_1,unroll_32,1,5,0.508308971744,False
workload_3473.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,85,0,0,0,0,block_4_1,block_64_1,cyclic_2_1,pipeline_1,1,0,0.999796884235,False
workload_3274.cpp,xcu200-fsgd2104-2-e,3.33,0.48194424,553,0,2,1,3,block_4_1,block_64_1,cyclic_8_1,unroll_32,1,1.5,0.116071252656,False
workload_3222.cpp,xcu200-fsgd2104-2-e,3.33,0.10474848,199,0,1,2,2,block_4_1,cyclic_16_1,block_64_1,unroll_16,1,1.25,0.826722411819,False
workload_3307.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,71,0,0,0,0,block_4_1,cyclic_16_1,cyclic_2_1,pipeline_1,2,0,0.999796884235,False
workload_3448.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,74,0,0,0,0,block_4_1,cyclic_16_1,cyclic_4_1,pipeline_1,1,0,0.999796884235,False
workload_3354.cpp,xcu200-fsgd2104-2-e,3.33,0.07889103,70,0,0,0,0,block_4_1,cyclic_2_1,block_16_1,pipeline_1,1,0,0.986845154267,False
workload_3268.cpp,xcu200-fsgd2104-2-e,3.33,0.46404216,184,0,1,0,1,block_4_1,cyclic_32_1,cyclic_2_1,unroll_16,1,0.5,0.127967204624,False
workload_3422.cpp,xcu200-fsgd2104-2-e,3.33,0.07889103,77,0,0,0,0,block_4_1,cyclic_4_1,block_32_1,pipeline_1,1,0,0.986845154267,False
workload_3428.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,68,0,0,0,0,block_4_1,cyclic_4_1,cyclic_2_1,pipeline_1,2,0,0.999796884235,False
workload_3388.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,68,0,0,0,0,block_4_1,cyclic_4_1,cyclic_4_1,pipeline_1,4,0,0.999796884235,False
workload_3417.cpp,xcu200-fsgd2104-2-e,3.33,0.07889103,72,0,0,0,0,block_4_1,cyclic_8_1,block_16_1,pipeline_1,1,0,0.986845154267,False
workload_3325.cpp,xcu200-fsgd2104-2-e,3.33,0.07548111,68,0,0,0,0,block_4_1,cyclic_8_1,cyclic_2_1,pipeline_1,1,0,0.999796884235,False
workload_3423.cpp,xcu200-fsgd2104-2-e,3.33,0.07889103,76,0,0,0,0,block_4_1,cyclic_8_1,cyclic_32_1,pipeline_1,1,0,0.986845154267,False
workload_3431.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,118,0,0,0,1,block_64_1,block_32_1,block_32_1,pipeline_1,1,0.25,0.918570944369,False
workload_3303.cpp,xcu200-fsgd2104-2-e,3.33,0.28821816,110,0,0,0,1,block_64_1,block_4_1,cyclic_2_1,unroll_2,1,0.25,0.371279984252,False
workload_3279.cpp,xcu200-fsgd2104-2-e,3.33,0.28821816,112,0,0,0,1,block_64_1,block_8_1,block_2_1,unroll_2,1,0.25,0.371279984252,False
workload_3368.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,104,0,0,0,1,block_64_1,block_8_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3221.cpp,xcu200-fsgd2104-2-e,3.33,0.19188792,146,0,0,0,2,block_64_1,cyclic_2_1,block_2_1,unroll_4,1,0.5,0.60795081234,False
workload_3269.cpp,xcu200-fsgd2104-2-e,3.33,0.14244408,228,0,0,0,3,block_64_1,cyclic_8_1,block_4_1,unroll_8,1,0.75,0.750447911446,False
workload_3238.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,138,0,0,0,2,block_64_1,cyclic_8_1,cyclic_128_1,pipeline_1,1,0.5,0.905426140376,False
workload_3241.cpp,xcu200-fsgd2104-2-e,3.33,0.11985336,1192,0,22,20,19,block_8_1,block_16_1,block_128_1,unroll_64,1,15.25,0.100273979783,False
workload_3258.cpp,xcu200-fsgd2104-2-e,3.33,0.11559096,273,0,10,4,6,block_8_1,block_16_1,block_2_1,unroll_32,1,5,0.50189133588,False
workload_3364.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,69,0,0,0,0,block_8_1,block_2_1,cyclic_4_1,pipeline_1,2,0,0.935977143865,False
workload_3233.cpp,xcu200-fsgd2104-2-e,3.33,0.11559096,300,0,10,4,7,block_8_1,block_32_1,block_2_1,unroll_32,1,5.25,0.483438155721,False
workload_3348.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,74,0,0,0,0,block_8_1,block_4_1,block_16_1,pipeline_1,1,0,0.923494868632,False
workload_3232.cpp,xcu200-fsgd2104-2-e,3.33,0.11633688,563,0,22,9,13,block_8_1,block_4_1,block_2_1,unroll_64,1,11,0.175288596899,False
workload_3343.cpp,xcu200-fsgd2104-2-e,3.33,0.09594063,106,0,0,0,1,block_8_1,block_4_1,cyclic_128_1,pipeline_1,1,0.25,0.918570944369,False
workload_3393.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,70,0,0,0,0,block_8_1,block_4_1,cyclic_2_1,pipeline_1,1,0,0.935977143865,False
workload_3286.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,71,0,0,0,0,block_8_1,block_4_1,cyclic_4_1,pipeline_1,1,0,0.935977143865,False
workload_3281.cpp,xcu200-fsgd2104-2-e,3.33,0.11676312,251,0,10,4,6,block_8_1,block_4_1,cyclic_4_1,unroll_32,1,5,0.501115589376,False
workload_3273.cpp,xcu200-fsgd2104-2-e,3.33,0.5371956,824,0,4,3,6,block_8_1,cyclic_128_1,cyclic_2_1,unroll_64,1,3.25,0.1,False
workload_3250.cpp,xcu200-fsgd2104-2-e,3.33,0.11750904,262,0,10,4,6,block_8_1,cyclic_32_1,cyclic_32_1,unroll_32,1,5,0.500611525139,False
workload_3229.cpp,xcu200-fsgd2104-2-e,3.33,0.11750904,280,0,10,4,6,block_8_1,cyclic_32_1,cyclic_64_1,unroll_32,1,5,0.500611525139,False
workload_3308.cpp,xcu200-fsgd2104-2-e,3.33,0.0924741,137.5,0,0,0,1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,2,0.25,0.930296543907,False
workload_3356.cpp,xcu200-fsgd2104-2-e,3.33,0.0924741,140,0,0,0,1,cyclic_128_1,block_8_1,block_2_1,pipeline_1,1,0.25,0.930296543907,False
workload_3262.cpp,xcu200-fsgd2104-2-e,3.33,0.09588402,149,0,0,0,1,cyclic_128_1,block_8_1,cyclic_32_1,pipeline_1,1,0.25,0.918764022262,False
workload_3225.cpp,xcu200-fsgd2104-2-e,3.33,0.47917368,158,0,0,0,1,cyclic_128_1,block_8_1,cyclic_32_1,unroll_2,1,0.25,0.118845646274,False
workload_3347.cpp,xcu200-fsgd2104-2-e,3.33,0.47576376,147,0,0,0,1,cyclic_128_1,block_8_1,cyclic_4_1,unroll_2,1,0.25,0.120773430488,False
workload_3224.cpp,xcu200-fsgd2104-2-e,3.33,0.10253736,569,0,12,5,11,cyclic_128_1,cyclic_16_1,cyclic_64_1,unroll_64,1,7,0.369690177952,False
workload_3272.cpp,xcu200-fsgd2104-2-e,3.33,0.4783212,169,0,0,0,2,cyclic_128_1,cyclic_2_1,cyclic_32_1,unroll_4,1,0.5,0.119199861393,False
workload_3373.cpp,xcu200-fsgd2104-2-e,3.33,0.0924741,141,0,0,0,1,cyclic_128_1,cyclic_8_1,cyclic_4_1,pipeline_1,1,0.25,0.930296543907,False
workload_3380.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,76,0,0,0,0,cyclic_16_1,block_16_1,cyclic_2_1,pipeline_1,1,0,0.9361729244,False
workload_3320.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,118,0,0,0,1,cyclic_16_1,block_32_1,block_128_1,pipeline_1,1,0.25,0.918752665885,False
workload_3300.cpp,xcu200-fsgd2104-2-e,3.33,0.13647672,98,0,0,0,0,cyclic_16_1,block_4_1,block_16_1,unroll_8,1,0,0.782301664902,False
workload_3220.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,91,0,0,0,0,cyclic_16_1,block_64_1,block_16_1,pipeline_1,1,0,0.923689182121,False
workload_3265.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,98,0,0,0,1,cyclic_16_1,block_64_1,block_32_1,pipeline_1,1,0.25,0.918752665885,False
workload_3321.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,89,0,0,0,0,cyclic_16_1,block_64_1,block_4_1,pipeline_1,1,0,0.9361729244,False
workload_3342.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,105,0,0,0,1,cyclic_16_1,cyclic_128_1,block_8_1,pipeline_1,1,0.25,0.918752665885,False
workload_3205.cpp,xcu200-fsgd2104-2-e,3.33,0.26775864,106,0,0,0,1,cyclic_16_1,cyclic_128_1,cyclic_4_1,unroll_2,1,0.25,0.415761684649,False
workload_3257.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,78,0,0,0,0,cyclic_16_1,cyclic_16_1,block_16_1,pipeline_1,2,0,0.923689182121,False
workload_3294.cpp,xcu200-fsgd2104-2-e,3.33,0.11367288,128,0,1,0,1,cyclic_16_1,cyclic_16_1,block_16_1,unroll_16,1,0.5,0.850014557469,False
workload_3367.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,75,0,0,0,0,cyclic_16_1,cyclic_16_1,block_4_1,pipeline_1,1,0,0.9361729244,False
workload_3331.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,79,0,0,0,0,cyclic_16_1,cyclic_16_1,block_8_1,pipeline_1,1,0,0.923689182121,False
workload_3545.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,77,0,0,0,0,cyclic_16_1,cyclic_16_1,cyclic_8_1,pipeline_1,1,0,0.923689182121,False
workload_3249.cpp,xcu200-fsgd2104-2-e,3.33,0.43825464,94,0,0,0,0,cyclic_16_1,cyclic_2_1,block_64_1,unroll_2,1,0,0.148242673193,False
workload_3299.cpp,xcu200-fsgd2104-2-e,3.33,0.13562424,96,0,0,0,1,cyclic_16_1,cyclic_32_1,cyclic_8_1,unroll_8,1,0.25,0.783558233495,False
workload_3254.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,109,0,0,0,1,cyclic_16_1,cyclic_4_1,block_128_1,pipeline_1,1,0.25,0.918752665885,False
workload_3305.cpp,xcu200-fsgd2104-2-e,3.33,0.10461528,352,0,15,6,8,cyclic_16_1,cyclic_4_1,cyclic_128_1,unroll_64,1,7.25,0.353707783038,False
workload_3339.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,72,0,0,0,0,cyclic_16_1,cyclic_4_1,cyclic_2_1,pipeline_1,2,0,0.9361729244,False
workload_3333.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,72,0,0,0,0,cyclic_16_1,cyclic_4_1,cyclic_4_1,pipeline_1,3,0,0.9361729244,False
workload_3290.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,88,0,0,0,0,cyclic_16_1,cyclic_64_1,cyclic_4_1,pipeline_1,1,0,0.9361729244,False
workload_3242.cpp,xcu200-fsgd2104-2-e,3.33,0.09588735,76,0,0,0,0,cyclic_16_1,cyclic_8_1,block_16_1,pipeline_1,1,0,0.923689182121,False
workload_3218.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,73,0,0,0,0,cyclic_16_1,cyclic_8_1,cyclic_2_1,pipeline_1,1,0,0.9361729244,False
workload_3386.cpp,xcu200-fsgd2104-2-e,3.33,0.09247743,74,0,0,0,0,cyclic_16_1,cyclic_8_1,cyclic_4_1,pipeline_1,1,0,0.9361729244,False
workload_3267.cpp,xcu200-fsgd2104-2-e,3.33,0.13562424,89,0,0,0,0,cyclic_16_1,cyclic_8_1,cyclic_8_1,unroll_8,1,0,0.785134394691,False
workload_3478.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,101,0,0,0,1,cyclic_2_1,block_128_1,block_2_1,pipeline_1,1,0.25,0.971371270917,False
workload_3441.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,110,0,0,0,1,cyclic_2_1,block_16_1,block_128_1,pipeline_1,1,0.25,0.968625368283,False
workload_3420.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,68,0,0,0,0,cyclic_2_1,block_16_1,block_2_1,pipeline_1,3,0,1,True
workload_3508.cpp,xcu200-fsgd2104-2-e,3.33,0.24218424,70,0,0,0,0,cyclic_2_1,block_16_1,block_2_1,unroll_2,1,0,0.476521598531,False
workload_3523.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,70,0,0,0,0,cyclic_2_1,block_16_1,block_4_1,pipeline_1,2,0,1,True
workload_3560.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,73,0,0,0,0,cyclic_2_1,block_16_1,block_8_1,pipeline_1,1,0,0.987046802986,False
workload_3381.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,68,0,0,0,0,cyclic_2_1,block_16_1,cyclic_2_1,pipeline_1,4,0,1,True
workload_3285.cpp,xcu200-fsgd2104-2-e,3.33,0.24218424,69,0,0,0,0,cyclic_2_1,block_16_1,cyclic_2_1,unroll_2,1,0,0.476521598531,False
workload_3515.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,68,0,0,0,0,cyclic_2_1,block_16_1,cyclic_4_1,pipeline_1,1,0,1,True
workload_3573.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,70,0,0,0,0,cyclic_2_1,block_16_1,cyclic_8_1,pipeline_1,1,0,0.987046802986,False
workload_3235.cpp,xcu200-fsgd2104-2-e,3.33,0.41204088,153,0,0,0,0,cyclic_2_1,block_2_1,block_16_1,unroll_16,1,0,0.174155139322,False
workload_3480.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,65,0,0,0,0,cyclic_2_1,block_2_1,block_2_1,pipeline_1,1,0,1,True
workload_3353.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,64,0,0,0,0,cyclic_2_1,block_2_1,block_4_1,pipeline_1,3,0,1,True
workload_3574.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,66,0,0,0,0,cyclic_2_1,block_2_1,block_8_1,pipeline_1,1,0,0.987046802986,False
workload_3492.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,67,0,0,0,0,cyclic_2_1,block_2_1,cyclic_2_1,pipeline_1,1,0,1,True
workload_3336.cpp,xcu200-fsgd2104-2-e,3.33,0.43239384,182,0,0,0,0,cyclic_2_1,block_2_1,cyclic_4_1,unroll_32,1,0,0.153554507031,False
workload_3211.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,113,0,0,0,1,cyclic_2_1,block_32_1,block_128_1,pipeline_1,1,0.25,0.968625368283,False
workload_3450.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,74,0,0,0,0,cyclic_2_1,block_32_1,block_2_1,pipeline_1,2,0,1,True
workload_3582.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,73.5,0,0,0,0,cyclic_2_1,block_32_1,block_4_1,pipeline_1,2,0,1,True
workload_3434.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,73,0,0,0,0,cyclic_2_1,block_32_1,cyclic_2_1,pipeline_1,3,0,1,True
workload_3212.cpp,xcu200-fsgd2104-2-e,3.33,0.09641016,126,0,0,0,1,cyclic_2_1,block_32_1,cyclic_2_1,unroll_16,2,0.25,0.916967994332,False
workload_3287.cpp,xcu200-fsgd2104-2-e,3.33,0.24218424,74,0,0,0,0,cyclic_2_1,block_32_1,cyclic_2_1,unroll_2,2,0,0.476521598531,False
workload_3584.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,73,0,0,0,0,cyclic_2_1,block_32_1,cyclic_4_1,pipeline_1,1,0,1,True
workload_3553.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,105,0,0,0,1,cyclic_2_1,block_4_1,block_128_1,pipeline_1,1,0.25,0.968625368283,False
workload_3246.cpp,xcu200-fsgd2104-2-e,3.33,0.09982008,121,0,0,0,1,cyclic_2_1,block_4_1,block_16_1,unroll_16,1,0.25,0.905264044049,False
workload_3289.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,66,0,0,0,0,cyclic_2_1,block_4_1,block_2_1,pipeline_1,2,0,1,True
workload_3474.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,66,0,0,0,0,cyclic_2_1,block_4_1,block_4_1,pipeline_1,2,0,1,True
workload_3415.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,65,0,0,0,0,cyclic_2_1,block_4_1,cyclic_2_1,pipeline_1,3,0,1,True
workload_3521.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,66.5,0,0,0,0,cyclic_2_1,block_4_1,cyclic_4_1,pipeline_1,2,0,1,True
workload_3430.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,82.5,0,0,0,0,cyclic_2_1,block_64_1,block_2_1,pipeline_1,2,0,1,True
workload_3612.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,82,0,0,0,0,cyclic_2_1,block_64_1,block_4_1,pipeline_1,1,0,1,True
workload_3318.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,81.5,0,0,0,0,cyclic_2_1,block_64_1,cyclic_2_1,pipeline_1,2,0,1,True
workload_3395.cpp,xcu200-fsgd2104-2-e,3.33,0.4266396,428,0,0,0,1,cyclic_2_1,block_64_1,cyclic_32_1,unroll_32,1,0.25,0.158959982493,False
workload_3376.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,66,0,0,0,0,cyclic_2_1,block_8_1,block_2_1,pipeline_1,5,0,1,True
workload_3337.cpp,xcu200-fsgd2104-2-e,3.33,0.09641016,110,0,0,0,0,cyclic_2_1,block_8_1,block_2_1,unroll_16,1,0,0.921783472101,False
workload_3568.cpp,xcu200-fsgd2104-2-e,3.33,0.15778872,73,0,0,0,0,cyclic_2_1,block_8_1,block_2_1,unroll_4,1,0,0.713390580036,False
workload_3270.cpp,xcu200-fsgd2104-2-e,3.33,0.0941724,334,0,15,6,8,cyclic_2_1,block_8_1,block_2_1,unroll_64,1,7.25,0.356006373157,False
workload_3291.cpp,xcu200-fsgd2104-2-e,3.33,0.09984672,177,0,0,1,2,cyclic_2_1,block_8_1,block_64_1,unroll_16,1,0.75,0.877356073111,False
workload_3466.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,67.5,0,0,0,0,cyclic_2_1,block_8_1,cyclic_2_1,pipeline_1,4,0,1,True
workload_3536.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,67,0,0,0,0,cyclic_2_1,block_8_1,cyclic_4_1,pipeline_1,2,0,1,True
workload_3214.cpp,xcu200-fsgd2104-2-e,3.33,0.092574,160,0,7,3,4,cyclic_2_1,block_8_1,cyclic_4_1,unroll_32,1,3.5,0.637238951185,False
workload_3360.cpp,xcu200-fsgd2104-2-e,3.33,0.09598392,161,0,7,3,4,cyclic_2_1,block_8_1,cyclic_8_1,unroll_32,1,3.5,0.635481619318,False
workload_3259.cpp,xcu200-fsgd2104-2-e,3.33,0.24218424,99,0,0,0,1,cyclic_2_1,cyclic_128_1,block_2_1,unroll_2,1,0.25,0.476098241334,False
workload_3559.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,67.5,0,0,0,0,cyclic_2_1,cyclic_16_1,block_2_1,pipeline_1,2,0,1,True
workload_3443.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,75,0,0,0,0,cyclic_2_1,cyclic_16_1,block_32_1,pipeline_1,1,0,0.987046802986,False
workload_3616.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,67,0,0,0,0,cyclic_2_1,cyclic_16_1,block_4_1,pipeline_1,1,0,1,True
workload_3278.cpp,xcu200-fsgd2104-2-e,3.33,0.098568,172,0,0,1,2,cyclic_2_1,cyclic_16_1,block_64_1,unroll_16,1,0.75,0.880635783712,False
workload_3540.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,68,0,0,0,0,cyclic_2_1,cyclic_16_1,cyclic_2_1,pipeline_1,2,0,1,True
workload_3255.cpp,xcu200-fsgd2104-2-e,3.33,0.24218424,67,0,0,0,0,cyclic_2_1,cyclic_16_1,cyclic_2_1,unroll_2,1,0,0.476521598531,False
workload_3567.cpp,xcu200-fsgd2104-2-e,3.33,0.07542783,68,0,0,0,0,cyclic_2_1,cyclic_16_1,cyclic_4_1,pipeline_1,1,0,1,True
workload_3327.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,85,0,0,0,0,cyclic_2_1,cyclic_16_1,cyclic_64_1,pipeline_1,1,0,0.987046802986,False
workload_3531.cpp,xcu200-fsgd2104-2-e,3.33,0.07883775,69,0,0,0,0,cyclic_2_1,cyclic_16_1,cyclic_8_1,pipeline_1,1,0,0.987046802986,False
