Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Replicate_Count,Area,Weight,is_pareto
workload_314.cpp,xczu7ev-ffvc1156-2-e,10,1873.63593,413,63,1,26,35,block_2_1,block_32_1,block_8_1,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_2,1,31.25,0.55239993903,False
workload_269.cpp,xczu7ev-ffvc1156-2-e,10,1880.43593,423,73,1,8,29,block_2_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,27.75,0.633198164978,False
workload_302.cpp,xczu7ev-ffvc1156-2-e,10,1873.63593,510,63,1,26,41,block_2_1,block_32_1,cyclic_16_1,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_2,1,32.75,0.519786115596,False
workload_457.cpp,xczu7ev-ffvc1156-2-e,10,1873.63601,429,62,1,25,35,block_2_1,block_4_1,cyclic_16_1,unroll_64,unroll_2,pipeline_1,unroll_4,unroll_2,1,30.75,0.563541329174,False
workload_374.cpp,xczu7ev-ffvc1156-2-e,10,1873.63657,465,62,1,25,36,block_2_1,block_4_1,cyclic_16_1,unroll_64,unroll_4,pipeline_1,unroll_2,unroll_2,1,31,0.55795376165,False
workload_454.cpp,xczu7ev-ffvc1156-2-e,10,1714.71009,217,62,1,6,23,block_2_1,block_64_1,block_2_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_2,1,23,0.753669555099,False
workload_383.cpp,xczu7ev-ffvc1156-2-e,10,1882.48337,134,63,1,4,15,block_2_1,block_64_1,block_32_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,1,20.75,0.813982263394,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10,1879.88233,254,63,1,28,34,block_2_1,block_8_1,block_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,1,31.5,0.546867519905,False
workload_502.cpp,xczu7ev-ffvc1156-2-e,10,13668.66081,242,30,0,9,20,block_2_1,block_8_1,block_2_1,unroll_16,unroll_2,unroll_2,unroll_8,unroll_2,1,14.75,0.155373168343,False
workload_319.cpp,xczu7ev-ffvc1156-2-e,10,1712.11081,193,62,1,27,29,block_2_1,block_8_1,block_2_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,1,29.75,0.586295603153,False
workload_455.cpp,xczu7ev-ffvc1156-2-e,10,1714.71009,154,62,1,6,12,block_2_1,block_8_1,block_2_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_2,1,20.25,0.828901111259,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10,1879.88233,328,63,1,28,37,block_2_1,block_8_1,block_32_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,1,32.25,0.530510803698,False
workload_300.cpp,xczu7ev-ffvc1156-2-e,10,1879.88129,566,63,1,28,40,block_2_1,block_8_1,block_32_1,unroll_16,unroll_4,pipeline_1,unroll_8,unroll_2,1,33,0.514458078632,False
workload_247.cpp,xczu7ev-ffvc1156-2-e,10,1873.63593,408,63,1,26,32,block_2_1,block_8_1,block_8_1,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_2,1,30.5,0.569162627081,False
workload_309.cpp,xczu7ev-ffvc1156-2-e,10,1879.88297,214,63,1,27,31,block_2_1,block_8_1,cyclic_16_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,1,30.5,0.569148922212,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10,1879.88233,241,63,1,28,34,block_2_1,block_8_1,cyclic_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,1,31.5,0.546867519905,False
workload_283.cpp,xczu7ev-ffvc1156-2-e,10,1879.78913,364,63,1,53,54,block_2_1,block_8_1,cyclic_16_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_2,1,42.75,0.333491556765,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10,1879.78913,505,63,1,54,58,block_2_1,block_8_1,cyclic_16_1,unroll_32,unroll_4,pipeline_1,unroll_8,unroll_2,1,44,0.314017663427,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10,1873.63593,499,63,1,26,39,block_2_1,block_8_1,cyclic_16_1,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_2,1,32.25,0.530522263476,False
workload_238.cpp,xczu7ev-ffvc1156-2-e,10,1873.63489,606,63,1,26,41,block_2_1,block_8_1,cyclic_16_1,unroll_64,unroll_4,pipeline_1,unroll_8,unroll_2,1,32.75,0.519786117356,False
workload_412.cpp,xczu7ev-ffvc1156-2-e,10,1712.11025,182,61,1,27,27,block_2_1,cyclic_2_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,29,0.603674826721,False
workload_439.cpp,xczu7ev-ffvc1156-2-e,10,1712.10913,197,61,1,27,28,block_2_1,cyclic_2_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,29.25,0.59784790104,False
workload_331.cpp,xczu7ev-ffvc1156-2-e,10,1705.86385,372,61,1,26,29,block_2_1,cyclic_2_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_4,unroll_2,1,29.25,0.597837809892,False
workload_299.cpp,xczu7ev-ffvc1156-2-e,10,1712.11025,183,61,1,27,27,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,29,0.603674826721,False
workload_321.cpp,xczu7ev-ffvc1156-2-e,10,1712.10961,193,61,1,27,28,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,1,29.25,0.597847901779,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10,1712.10913,200,61,1,27,28,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,29.25,0.59784790104,False
workload_386.cpp,xczu7ev-ffvc1156-2-e,10,9112.59753,427,30,0,19,37,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_4,unroll_4,unroll_4,unroll_8,1,21.5,0.334727696763,False
workload_433.cpp,xczu7ev-ffvc1156-2-e,10,1714.70945,111,61,1,5,10,block_2_1,cyclic_4_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_4,1,19.25,0.857257891281,False
workload_532.cpp,xczu7ev-ffvc1156-2-e,10,12871.88641,117,30,0,3,10,block_2_1,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_8,unroll_2,1,10.75,0.184324522969,False
workload_403.cpp,xczu7ev-ffvc1156-2-e,10,1714.71009,155,61,1,6,12,block_2_1,cyclic_4_1,block_2_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_2,1,20,0.835940859136,False
workload_544.cpp,xczu7ev-ffvc1156-2-e,10,1712.66225,116,61,1,8,11,block_2_1,cyclic_4_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_8,1,20.25,0.828895022161,False
workload_473.cpp,xczu7ev-ffvc1156-2-e,10,13333.17793,117,30,0,3,10,block_2_1,cyclic_4_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_8,unroll_2,1,10.75,0.168287803158,False
workload_506.cpp,xczu7ev-ffvc1156-2-e,10,1712.66377,109,61,1,8,12,block_2_1,cyclic_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,20.5,0.821888543498,False
workload_385.cpp,xczu7ev-ffvc1156-2-e,10,1712.66209,172,61,1,9,14,block_2_1,cyclic_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_8,unroll_2,1,21.25,0.801069363139,False
workload_472.cpp,xczu7ev-ffvc1156-2-e,10,1882.48337,115,62,1,4,10,block_2_1,cyclic_4_1,block_32_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,1,19.25,0.854665946255,False
workload_514.cpp,xczu7ev-ffvc1156-2-e,10,13039.65969,127,31,0,3,11,block_2_1,cyclic_4_1,block_32_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll_2,1,11.25,0.178133587928,False
workload_423.cpp,xczu7ev-ffvc1156-2-e,10,9112.59809,354,30,0,17,33,block_2_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,unroll_4,unroll_8,unroll_2,1,20,0.34423045557,False
workload_292.cpp,xczu7ev-ffvc1156-2-e,10,10879.50849,1432,61,0,6,42,block_2_1,cyclic_4_1,cyclic_128_1,unroll_4,unroll_2,unroll_4,unroll_8,unroll_8,1,27.25,0.217404667936,False
workload_466.cpp,xczu7ev-ffvc1156-2-e,10,1712.66321,117,62,1,7,17,block_2_1,cyclic_64_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_2,1,21.75,0.787357259775,False
workload_278.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,218,66,7,31,36,block_4_1,block_16_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,35,0.473175719678,False
workload_301.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,228,66,7,31,39,block_4_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,35.75,0.458235493519,False
workload_315.cpp,xczu7ev-ffvc1156-2-e,10,10650.06249,1327,31,76,46,73,block_4_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll_8,1,56.5,0.103430660598,False
workload_251.cpp,xczu7ev-ffvc1156-2-e,10,1708.79137,427,66,1,65,61,block_4_1,block_32_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_2,1,48.25,0.254152799844,False
workload_366.cpp,xczu7ev-ffvc1156-2-e,10,14171.99945,169,31,8,7,17,block_4_1,block_32_1,block_2_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,1,15.75,0.140697803281,False
workload_396.cpp,xczu7ev-ffvc1156-2-e,10,14171.99881,192,31,8,8,20,block_4_1,block_32_1,block_2_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_4,1,16.75,0.139725301683,False
workload_346.cpp,xczu7ev-ffvc1156-2-e,10,11629.20201,284,31,19,14,28,block_4_1,block_32_1,block_2_1,unroll_8,unroll_4,unroll_4,unroll_2,unroll_4,1,23,0.207926607915,False
workload_291.cpp,xczu7ev-ffvc1156-2-e,10,1882.48393,404,77,2,6,25,block_4_1,block_32_1,cyclic_128_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_2,1,27.5,0.639215521407,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10,1881.00937,452,77,3,9,31,block_4_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,30,0.580489193165,False
workload_330.cpp,xczu7ev-ffvc1156-2-e,10,11094.39665,1654,41,76,45,73,block_4_1,block_64_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll_8,1,58.75,0.100148405775,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,206,66,7,31,34,block_4_1,block_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,34.5,0.483305327662,False
workload_308.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,272,66,7,32,38,block_4_1,block_8_1,block_2_1,unroll_16,unroll_4,pipeline_1,unroll_8,unroll_2,1,35.75,0.458235493519,False
workload_525.cpp,xczu7ev-ffvc1156-2-e,10,1714.71185,82,66,2,5,8,block_4_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,1,20.25,0.828901116268,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10,1708.79137,420,66,1,65,59,block_4_1,block_8_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_2,1,47.75,0.260688255372,False
workload_289.cpp,xczu7ev-ffvc1156-2-e,10,1880.02633,208,67,7,31,35,block_4_1,block_8_1,block_8_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,1,35,0.473138127116,False
workload_350.cpp,xczu7ev-ffvc1156-2-e,10,1880.02633,670,77,7,31,58,block_4_1,block_8_1,cyclic_128_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,1,43.25,0.325600120383,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10,1880.02465,237,67,7,31,37,block_4_1,block_8_1,cyclic_16_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,35.5,0.463146501106,False
workload_326.cpp,xczu7ev-ffvc1156-2-e,10,11504.65361,1153,32,76,44,63,block_4_1,block_8_1,cyclic_8_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll_2,1,53.75,0.103252620773,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,209,65,7,31,34,block_4_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,34.25,0.488420965576,False
workload_239.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,207,66,7,31,34,block_4_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,34.5,0.483305327662,False
workload_276.cpp,xczu7ev-ffvc1156-2-e,10,1712.25249,210,66,7,31,35,block_4_1,cyclic_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,34.75,0.478223578654,False
workload_284.cpp,xczu7ev-ffvc1156-2-e,10,1708.79137,462,66,1,67,63,block_4_1,cyclic_8_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_2,1,49.25,0.241488878468,False
workload_598.cpp,xczu7ev-ffvc1156-2-e,10,15288.85361,399,39,5,5,28,block_64_1,cyclic_2_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll_8,1,19.25,0.115070479949,False
workload_377.cpp,xczu7ev-ffvc1156-2-e,10,10823.07753,1616,34,76,46,86,block_8_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll_8,1,60.5,0.1,False
workload_659.cpp,xczu7ev-ffvc1156-2-e,10,7309.10885,1488,48,0,5,74,cyclic_16_1,block_128_1,block_2_1,unroll_4,unroll_8,unroll_4,unroll_2,unroll_8,1,31.75,0.346774616772,False
workload_324.cpp,xczu7ev-ffvc1156-2-e,10,1878.38801,85,91,1,2,8,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,1,25.5,0.688621719225,False
workload_358.cpp,xczu7ev-ffvc1156-2-e,10,4048.11953,126,38,0,2,11,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,unroll_8,1,12.75,0.792784625574,False
workload_375.cpp,xczu7ev-ffvc1156-2-e,10,4048.11889,145,38,0,3,13,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll_8,1,13.5,0.782778414639,False
workload_425.cpp,xczu7ev-ffvc1156-2-e,10,1878.69281,395,91,1,9,39,cyclic_16_1,block_16_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_4,1,35,0.473140076572,False
workload_440.cpp,xczu7ev-ffvc1156-2-e,10,1878.55025,131,91,1,3,13,cyclic_16_1,block_16_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_8,1,27,0.651376977521,False
workload_313.cpp,xczu7ev-ffvc1156-2-e,10,1878.67473,174,91,1,5,19,cyclic_16_1,block_2_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,1,29,0.603585014389,False
workload_501.cpp,xczu7ev-ffvc1156-2-e,10,3985.20649,119,38,0,2,13,cyclic_16_1,block_32_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_2,unroll_2,1,13.25,0.791696845818,False
workload_262.cpp,xczu7ev-ffvc1156-2-e,10,4127.91985,1032,38,0,8,59,cyclic_16_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll_8,1,26.25,0.592701913024,False
workload_504.cpp,xczu7ev-ffvc1156-2-e,10,4127.91809,962,38,0,9,62,cyclic_16_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_8,unroll_8,1,27.25,0.574862315242,False
workload_372.cpp,xczu7ev-ffvc1156-2-e,10,4127.91977,1053,38,0,10,65,cyclic_16_1,block_32_1,block_2_1,unroll_32,unroll_4,unroll_4,unroll_2,unroll_8,1,28.25,0.556779278706,False
workload_407.cpp,xczu7ev-ffvc1156-2-e,10,1878.55185,105,91,1,2,11,cyclic_16_1,block_32_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_2,1,26.25,0.669849860049,False
workload_338.cpp,xczu7ev-ffvc1156-2-e,10,3974.63881,143,38,0,3,16,cyclic_16_1,block_32_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,1,14.25,0.777302563026,False
workload_424.cpp,xczu7ev-ffvc1156-2-e,10,3974.63817,175,38,0,4,20,cyclic_16_1,block_32_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_4,1,15.5,0.755622423634,False
workload_384.cpp,xczu7ev-ffvc1156-2-e,10,2046.32393,174,92,1,3,18,cyclic_16_1,block_32_1,cyclic_32_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,28.5,0.614489434487,False
workload_388.cpp,xczu7ev-ffvc1156-2-e,10,4656.29361,149,48,0,2,17,cyclic_16_1,block_64_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,unroll_8,1,16.75,0.685227737256,False
workload_279.cpp,xczu7ev-ffvc1156-2-e,10,1878.69345,651,91,1,15,55,cyclic_16_1,block_8_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_2,1,40.5,0.370681048676,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10,2046.44617,317,92,1,7,30,cyclic_16_1,cyclic_16_1,block_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,1,32.5,0.524565834562,False
workload_867.cpp,xczu7ev-ffvc1156-2-e,10,1867.08241,242,37,3,5,16,cyclic_16_1,cyclic_2_1,block_2_1,unroll_2,unroll_2,unroll_64,unroll_4,unroll_2,1,15.25,0.903540470533,False
workload_459.cpp,xczu7ev-ffvc1156-2-e,10,3314.11785,108,37,0,2,10,cyclic_16_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_2,unroll_2,1,12.25,0.862176452714,False
workload_535.cpp,xczu7ev-ffvc1156-2-e,10,3314.11625,224,37,0,3,13,cyclic_16_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_2,unroll_8,1,13.25,0.843869763983,False
workload_280.cpp,xczu7ev-ffvc1156-2-e,10,3254.98033,651,37,0,8,55,cyclic_16_1,cyclic_2_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll_8,1,25,0.661970942941,False
workload_471.cpp,xczu7ev-ffvc1156-2-e,10,1878.55017,231,91,1,4,15,cyclic_16_1,cyclic_2_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_8,1,27.75,0.633204024697,False
workload_414.cpp,xczu7ev-ffvc1156-2-e,10,3282.57705,235,37,0,3,16,cyclic_16_1,cyclic_2_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_8,1,14,0.830665753517,False
workload_538.cpp,xczu7ev-ffvc1156-2-e,10,3282.57697,239,37,0,3,16,cyclic_16_1,cyclic_2_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_2,1,14,0.830665758256,False
workload_469.cpp,xczu7ev-ffvc1156-2-e,10,3389.31377,842,37,1,10,60,cyclic_16_1,cyclic_2_1,block_2_1,unroll_64,unroll_2,unroll_4,unroll_2,unroll_8,1,27,0.614389101647,False
workload_765.cpp,xczu7ev-ffvc1156-2-e,10,1950.84289,508,37,3,6,24,cyclic_16_1,cyclic_2_1,block_2_1,unroll_8,unroll_2,unroll_32,unroll_8,unroll_8,1,17.5,0.883773349455,False
workload_400.cpp,xczu7ev-ffvc1156-2-e,10,2046.32393,146,92,1,3,13,cyclic_16_1,cyclic_4_1,block_16_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,27.25,0.64430757765,False
workload_580.cpp,xczu7ev-ffvc1156-2-e,10,3314.11721,132,37,0,3,12,cyclic_16_1,cyclic_4_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_4,unroll_2,1,13,0.848663640786,False
workload_395.cpp,xczu7ev-ffvc1156-2-e,10,7162.23665,371,37,0,5,33,cyclic_16_1,cyclic_4_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_2,unroll_8,1,18.75,0.477870946477,False
workload_339.cpp,xczu7ev-ffvc1156-2-e,10,1878.67297,232,91,1,6,22,cyclic_16_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,30,0.58049476961,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10,1878.55177,144,92,1,3,19,cyclic_16_1,cyclic_64_1,block_4_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,1,28.75,0.609441969852,False
workload_890.cpp,xczu7ev-ffvc1156-2-e,10,1705.53617,143,72,1,2,20,cyclic_2_1,block_128_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_2,1,23.75,0.733834366746,False
workload_696.cpp,xczu7ev-ffvc1156-2-e,10,6999.77841,336,41,0,2,26,cyclic_2_1,block_128_1,block_2_1,unroll_4,unroll_2,unroll_4,unroll_4,unroll_8,1,17.25,0.50235910736,False
workload_829.cpp,xczu7ev-ffvc1156-2-e,10,6999.77889,325,41,0,2,23,cyclic_2_1,block_128_1,block_2_1,unroll_4,unroll_2,unroll_4,unroll_8,unroll_2,1,16.5,0.508272867971,False
workload_558.cpp,xczu7ev-ffvc1156-2-e,10,5720.59809,95,30,0,2,7,cyclic_2_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_2,1,9.75,0.649154319434,False
workload_484.cpp,xczu7ev-ffvc1156-2-e,10,3749.27537,101,30,0,2,8,cyclic_2_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,unroll_8,1,10,0.845292971123,False
workload_531.cpp,xczu7ev-ffvc1156-2-e,10,3749.27473,116,30,0,2,9,cyclic_2_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_4,unroll_8,1,10.25,0.844375127887,False
workload_611.cpp,xczu7ev-ffvc1156-2-e,10,1705.36961,278,62,1,4,14,cyclic_2_1,block_16_1,block_2_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_8,1,20.25,0.828869095725,False
workload_702.cpp,xczu7ev-ffvc1156-2-e,10,3749.27529,152,30,0,3,11,cyclic_2_1,block_16_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_2,unroll_8,1,11,0.839581479411,False
workload_426.cpp,xczu7ev-ffvc1156-2-e,10,1705.67681,321,62,1,10,27,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_8,1,25,0.701490909972,False
workload_453.cpp,xczu7ev-ffvc1156-2-e,10,5846.27361,250,30,0,3,15,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_8,unroll_2,1,12,0.631566658484,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10,5846.27297,261,30,0,4,16,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_8,unroll_4,1,12.5,0.629136227037,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10,5846.27201,281,30,0,4,16,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_8,unroll_8,1,12.5,0.629136312781,False
workload_451.cpp,xczu7ev-ffvc1156-2-e,10,4093.84097,360,30,0,5,18,cyclic_2_1,block_16_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_8,unroll_2,1,13.25,0.782291767007,False
workload_629.cpp,xczu7ev-ffvc1156-2-e,10,5720.59809,98,31,0,2,7,cyclic_2_1,block_16_1,block_4_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_2,1,10,0.648937531813,False
