Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_228.cpp,xczu7ev-ffvc1156-2-e,10,1165.48243,122,42,10,26,38,block_4_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,unroll_4,unroll_32,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,1,29,0.745002794666,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10,1128.52631,156,52,14,30,53,block_4_1,cyclic_4_1,block_2_1,unroll_5,unroll_64,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,37.25,0.63167575584,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10,1126.47831,167,52,14,30,53,block_4_1,cyclic_4_1,block_2_1,unroll_5,unroll_64,unroll_2,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,37.25,0.631701968428,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10,606.97223,140,47,12,17,33,block_4_1,cyclic_4_1,block_32_1,unroll_5,pipeline_1,unroll_2,pipeline_1,unroll_64,pipeline_1,unroll_2,pipeline_1,unroll_2,1,27.25,0.780859025853,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,956.46031,92,47,12,16,25,block_4_1,cyclic_4_1,block_32_1,unroll_5,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,25,0.798853767672,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10,950.37901,83,47,12,16,26,block_4_1,cyclic_4_1,block_32_1,unroll_5,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,1,25.25,0.793987520171,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10,3683.73764,91,47,12,12,21,block_4_1,cyclic_4_1,block_32_1,unroll_5,unroll_16,unroll_2,unroll_64,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_2,1,23,0.742410424642,False
workload_222.cpp,xczu7ev-ffvc1156-2-e,10,3683.73784,90,47,12,12,21,block_4_1,cyclic_4_1,block_32_1,unroll_5,unroll_16,unroll_2,unroll_64,unroll_8,unroll_8,unroll_2,pipeline_1,unroll_2,1,23,0.742410417613,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,1083.53451,107,47,12,18,31,block_4_1,cyclic_4_1,block_32_1,unroll_5,unroll_32,unroll_2,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,1,27,0.773395552052,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10,1058.89831,170,42,21,30,52,block_4_1,cyclic_4_1,cyclic_8_1,unroll_5,unroll_64,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,36.25,0.652842933139,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10,1057.10081,162,42,21,30,52,block_4_1,cyclic_4_1,cyclic_8_1,unroll_5,unroll_64,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,36.25,0.652871290974,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10,944.89604,206,42,25,37,62,block_4_1,cyclic_4_1,cyclic_8_1,unroll_5,unroll_64,unroll_4,unroll_16,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,41.5,0.545289943773,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10,1190.05843,93,51,6,17,27,block_4_1,cyclic_64_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_34,1,25.25,0.788717147361,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10,948.39481,90,61,12,19,33,block_4_1,cyclic_64_1,block_2_1,unroll_5,pipeline_1,unroll_2,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_34,1,31.25,0.708267052956,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10,13039.62704,1209,51,48,37,80,block_4_1,cyclic_64_1,cyclic_8_1,pipeline_1,unroll_8,unroll_8,unroll_2,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_34,1,54,0.249647386786,False
workload_913.cpp,xczu7ev-ffvc1156-2-e,10,8584.01626,1599,73,3,8,31,block_64_1,block_4_1,block_32_1,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_64,unroll_16,unroll_16,unroll_5,unroll_2,1,28.75,0.522044216688,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10,283.12539,2494,72,7,22,71,block_64_1,cyclic_128_1,block_16_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_8,1,43,0.524268832084,False
workload_286.cpp,xczu7ev-ffvc1156-2-e,10,4192.26734,79,44,5,8,12,block_8_1,block_2_1,block_64_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_4,1,17.25,0.796850431565,False
workload_269.cpp,xczu7ev-ffvc1156-2-e,10,1276.17434,77,44,4,9,13,block_8_1,cyclic_2_1,block_64_1,pipeline_1,unroll_2,unroll_2,unroll_32,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,1,17.5,0.893110298086,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10,1237.16243,104,44,6,19,28,block_8_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,24.25,0.804412387086,False
workload_210.cpp,xczu7ev-ffvc1156-2-e,10,13418.66793,376,43,20,32,62,block_8_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_2,unroll_16,unroll_34,unroll_5,unroll_2,1,39.25,0.317262659474,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10,13545.74243,66,43,1,4,9,block_8_1,cyclic_4_1,block_2_1,pipeline_1,unroll_2,unroll_2,unroll_32,unroll_2,unroll_16,pipeline_1,unroll_5,unroll_2,1,14.25,0.509653103226,False
workload_253.cpp,xczu7ev-ffvc1156-2-e,10,17336.09173,522,44,22,47,97,block_8_1,cyclic_4_1,block_4_1,pipeline_1,unroll_2,unroll_32,unroll_32,unroll_32,unroll_16,pipeline_1,unroll_5,unroll_2,1,52.5,0.187814074623,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10,147.72084,195,83,68,27,66,cyclic_128_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_5,unroll_4,1,61,0.369479689124,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10,999.52458,254,84,0,11,67,cyclic_128_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,1,40.5,0.565380103718,False
workload_243.cpp,xczu7ev-ffvc1156-2-e,10,151.77093,195,83,68,29,68,cyclic_128_1,block_2_1,block_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,62,0.353792972032,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10,147.72131,199,83,68,28,66,cyclic_128_1,block_2_1,block_32_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_5,unroll_4,1,61.25,0.365513828395,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10,999.52458,270,84,0,11,67,cyclic_128_1,block_2_1,block_64_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_32,pipeline_1,unroll_2,pipeline_1,unroll_4,1,40.5,0.565380103718,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10,1342.85776,292,84,0,12,69,cyclic_128_1,block_2_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,pipeline_1,unroll_2,pipeline_1,unroll_4,1,41.25,0.547897807056,False
workload_257.cpp,xczu7ev-ffvc1156-2-e,10,1335.6488,328,93,0,12,85,cyclic_128_1,block_32_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,unroll_8,unroll_2,pipeline_1,unroll_4,1,47.5,0.516755924839,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10,1091.60893,188,84,0,14,67,cyclic_128_1,block_4_1,block_2_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_2,1,41.25,0.54956381325,False
workload_314.cpp,xczu7ev-ffvc1156-2-e,10,1089.56093,188,84,0,14,67,cyclic_128_1,block_4_1,block_2_1,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,41.25,0.549575800069,False
workload_220.cpp,xczu7ev-ffvc1156-2-e,10,1199.69214,185,84,0,9,70,cyclic_128_1,block_4_1,block_2_1,pipeline_1,unroll_2,unroll_2,unroll_16,unroll_8,unroll_16,pipeline_1,pipeline_1,unroll_8,1,40.75,0.558982644528,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,147.72084,191,83,68,27,66,cyclic_128_1,block_4_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_5,unroll_4,1,61,0.369479689124,False
workload_346.cpp,xczu7ev-ffvc1156-2-e,10,1043.48084,189,84,0,10,63,cyclic_128_1,block_4_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,39.25,0.590954436499,False
workload_259.cpp,xczu7ev-ffvc1156-2-e,10,1331.71538,260,84,0,11,70,cyclic_128_1,block_4_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_8,1,41.25,0.547979770285,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10,145.23856,551,83,68,30,89,cyclic_128_1,cyclic_128_1,block_32_1,unroll_5,unroll_64,pipeline_1,unroll_64,unroll_4,unroll_16,unroll_34,unroll_5,unroll_34,1,67.5,0.275918529236,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10,139.75798,281,82,68,29,73,cyclic_128_1,cyclic_128_1,cyclic_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_8,1,63,0.338574431611,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10,147.72084,188,83,68,27,66,cyclic_128_1,cyclic_16_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_5,unroll_4,1,61,0.369479689124,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10,1333.68272,258,84,0,11,66,cyclic_128_1,cyclic_2_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,unroll_8,unroll_2,pipeline_1,unroll_4,1,40.25,0.568067822326,False
workload_258.cpp,xczu7ev-ffvc1156-2-e,10,947.30179,228,84,1,12,66,cyclic_128_1,cyclic_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_4,1,40.75,0.560545294482,False
workload_225.cpp,xczu7ev-ffvc1156-2-e,10,811.76394,292,83,4,17,82,cyclic_128_1,cyclic_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,1,46.5,0.522330473083,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10,147.72084,197,83,68,27,67,cyclic_128_1,cyclic_32_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_5,unroll_4,1,61.25,0.365513828347,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10,147.72131,208,83,68,28,67,cyclic_128_1,cyclic_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_5,unroll_4,1,61.5,0.361577348525,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10,145.92381,197,83,68,28,66,cyclic_128_1,cyclic_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_5,unroll_4,1,61.25,0.365513636145,False
workload_274.cpp,xczu7ev-ffvc1156-2-e,10,1045.52884,171,84,0,6,56,cyclic_128_1,cyclic_4_1,block_128_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,36.5,0.648061263579,False
workload_276.cpp,xczu7ev-ffvc1156-2-e,10,8441.71737,445,83,0,4,74,cyclic_128_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,unroll_16,unroll_2,unroll_5,unroll_2,1,40.25,0.427703220679,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10,847.89731,173,94,6,18,76,cyclic_128_1,cyclic_4_1,block_2_1,unroll_5,pipeline_1,unroll_4,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,48.5,0.520467020544,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10,6646.81871,134,83,0,4,39,cyclic_128_1,cyclic_4_1,block_2_1,unroll_5,unroll_2,unroll_4,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_5,unroll_2,1,31.5,0.558929534151,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10,6850.08591,1430,83,0,2,45,cyclic_128_1,cyclic_4_1,block_2_1,unroll_5,unroll_8,unroll_4,unroll_2,unroll_2,unroll_4,unroll_8,unroll_5,unroll_2,1,32.5,0.545346368359,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10,199.30962,378,83,68,28,78,cyclic_128_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,unroll_16,pipeline_1,unroll_34,1,64.25,0.320218396287,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10,1509.07218,532,93,0,13,54,cyclic_128_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,40,0.571480441679,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10,885.73851,180,93,1,4,59,cyclic_128_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_4,1,39.25,0.592073165399,False
workload_331.cpp,xczu7ev-ffvc1156-2-e,10,870.00987,193,93,1,7,62,cyclic_128_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_8,1,40.75,0.5609378798,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10,867.55227,245,93,1,12,71,cyclic_128_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_4,1,44.25,0.522778140693,False
workload_752.cpp,xczu7ev-ffvc1156-2-e,10,578.29018,298,52,1,36,67,cyclic_16_1,block_16_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_32,unroll_64,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_2,1,39,0.598989716487,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10,1049.11284,99,48,0,8,17,cyclic_16_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,18.25,0.88905135719,False
workload_290.cpp,xczu7ev-ffvc1156-2-e,10,1049.11284,101,48,0,8,17,cyclic_16_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_4,pipeline_1,pipeline_1,1,18.25,0.88905135719,False
workload_390.cpp,xczu7ev-ffvc1156-2-e,10,1049.11284,91,48,0,8,17,cyclic_16_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_4,pipeline_1,unroll_8,1,18.25,0.88905135719,False
workload_415.cpp,xczu7ev-ffvc1156-2-e,10,1049.11284,114,48,0,8,17,cyclic_16_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_4,unroll_4,pipeline_1,unroll_4,1,18.25,0.88905135719,False
workload_391.cpp,xczu7ev-ffvc1156-2-e,10,918.04084,93,48,1,9,19,cyclic_16_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_8,1,19.25,0.877212471125,False
workload_373.cpp,xczu7ev-ffvc1156-2-e,10,162.07475,88,48,34,18,36,cyclic_16_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,34,0.707672845261,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10,1033.35784,140,48,4,11,31,cyclic_16_1,block_2_1,cyclic_8_1,pipeline_1,unroll_32,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,23.5,0.818893445979,False
workload_393.cpp,xczu7ev-ffvc1156-2-e,10,994.24245,254,48,0,29,53,cyclic_16_1,block_4_1,block_128_1,pipeline_1,pipeline_1,unroll_32,unroll_16,unroll_8,unroll_8,unroll_4,pipeline_1,unroll_34,1,32.5,0.703493638448,False
workload_949.cpp,xczu7ev-ffvc1156-2-e,10,94.6217,88,47,34,19,35,cyclic_16_1,block_4_1,block_32_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_16,pipeline_1,unroll_2,1,33.75,0.713970589904,False
workload_589.cpp,xczu7ev-ffvc1156-2-e,10,94.6217,104,47,34,19,35,cyclic_16_1,block_4_1,block_32_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_4,pipeline_1,unroll_2,1,33.75,0.713970589904,False
workload_693.cpp,xczu7ev-ffvc1156-2-e,10,2506.77684,68,47,0,1,6,cyclic_16_1,block_4_1,block_32_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_5,pipeline_1,1,13.5,0.921684456156,False
workload_721.cpp,xczu7ev-ffvc1156-2-e,10,3208.66768,137,47,0,2,12,cyclic_16_1,block_4_1,block_32_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_64,unroll_4,unroll_4,unroll_5,pipeline_1,1,15.25,0.866980994092,False
