Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
stencil3d_203.c,xczu7ev-ffvc1156-2-e,10,0.50131,34,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_4,11,0.75,1,True
stencil3d_612.c,xczu7ev-ffvc1156-2-e,10,0.51451,122,0,1,1,11,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_31,unroll_4,1,3.25,0.289494957214,False
stencil3d_341.c,xczu7ev-ffvc1156-2-e,10,0.31996,58,0,16,1,12,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_15,1,7.25,0.635355909923,False
stencil3d_485.c,xczu7ev-ffvc1156-2-e,10,0.53581,37,0,1,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_4,1,1,0.280835391334,False
stencil3d_405.c,xczu7ev-ffvc1156-2-e,10,0.34486,35.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_475.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_407.c,xczu7ev-ffvc1156-2-e,10,0.34486,33,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,pipeline_1,unroll_4,1,1.75,0.599393770069,False
stencil3d_476.c,xczu7ev-ffvc1156-2-e,10,0.28981,46,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,unroll_2,unroll_15,2,4,1,True
stencil3d_373.c,xczu7ev-ffvc1156-2-e,10,0.50131,34.5,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,unroll_2,unroll_4,2,0.75,1,True
stencil3d_555.c,xczu7ev-ffvc1156-2-e,10,0.53251,78,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,unroll_31,unroll_2,1,2.25,0.272637473289,False
stencil3d_670.c,xczu7ev-ffvc1156-2-e,10,0.51451,124,0,1,1,11,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_31,unroll_31,unroll_4,1,3.25,0.289494957214,False
stencil3d_493.c,xczu7ev-ffvc1156-2-e,10,0.34486,36.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_282.c,xczu7ev-ffvc1156-2-e,10,0.50131,31,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_4,5,0.75,1,True
stencil3d_361.c,xczu7ev-ffvc1156-2-e,10,0.28981,47,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_15,1,4,1,True
stencil3d_487.c,xczu7ev-ffvc1156-2-e,10,0.53731,31,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_2,1,0.5,0.283848976708,False
stencil3d_410.c,xczu7ev-ffvc1156-2-e,10,0.28981,42,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_31,unroll_2,unroll_15,2,4,1,True
stencil3d_340.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_31,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_382.c,xczu7ev-ffvc1156-2-e,10,0.34486,40,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_696.c,xczu7ev-ffvc1156-2-e,10,0.34486,37,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_640.c,xczu7ev-ffvc1156-2-e,10,0.34486,36,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_15,3,1.25,1,True
stencil3d_474.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_31,pipeline_1,unroll_15,3,1.25,1,True
stencil3d_561.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_31,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_604.c,xczu7ev-ffvc1156-2-e,10,0.34486,39.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_588.c,xczu7ev-ffvc1156-2-e,10,0.28981,49,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,unroll_2,unroll_15,1,4,1,True
stencil3d_550.c,xczu7ev-ffvc1156-2-e,10,0.34486,42,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_31,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_653.c,xczu7ev-ffvc1156-2-e,10,0.53731,36,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_31,unroll_2,unroll_2,1,0.5,0.283848976708,False
stencil3d_718.c,xczu7ev-ffvc1156-2-e,10,0.28981,46,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,unroll_15,1,4,1,True
stencil3d_664.c,xczu7ev-ffvc1156-2-e,10,0.50131,34,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,unroll_4,1,0.75,1,True
stencil3d_584.c,xczu7ev-ffvc1156-2-e,10,0.50131,34.5,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_31,unroll_2,unroll_4,2,0.75,1,True
stencil3d_560.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_527.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_31,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_654.c,xczu7ev-ffvc1156-2-e,10,0.34486,36.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,pipeline_1,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_513.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_15,3,1.25,1,True
stencil3d_516.c,xczu7ev-ffvc1156-2-e,10,0.28981,45,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_2,unroll_2,unroll_15,1,4,1,True
stencil3d_453.c,xczu7ev-ffvc1156-2-e,10,0.28981,50,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_31,unroll_2,unroll_15,1,4,1,True
stencil3d_484.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_4,unroll_2,unroll_15,1,4,1,True
stencil3d_596.c,xczu7ev-ffvc1156-2-e,10,0.34486,36,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_287.c,xczu7ev-ffvc1156-2-e,10,0.34486,35,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_243.c,xczu7ev-ffvc1156-2-e,10,0.50131,34,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,unroll_2,unroll_4,1,0.75,1,True
stencil3d_511.c,xczu7ev-ffvc1156-2-e,10,0.28965,452,0,18,3,32,pipeline_1,pipeline_1,pipeline_1,unroll_31,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_15,1,13.25,0.638367338018,False
stencil3d_652.c,xczu7ev-ffvc1156-2-e,10,0.28965,395,0,18,3,32,pipeline_1,pipeline_1,pipeline_1,unroll_31,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_15,1,13.25,0.638367338018,False
stencil3d_409.c,xczu7ev-ffvc1156-2-e,10,0.53715,112,0,1,2,11,pipeline_1,pipeline_1,pipeline_1,unroll_31,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_4,1,3.5,0.256049994661,False
stencil3d_30.c,xczu7ev-ffvc1156-2-e,10,0.45495,436,0,83,10,67,pipeline_1,pipeline_1,pipeline_1,unroll_31,unroll_2,unroll_2,unroll_4,unroll_8,pipeline_1,1,40,0.1,False
stencil3d_623.c,xczu7ev-ffvc1156-2-e,10,0.32319,44,0,5,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_15,1,2.75,1,True
stencil3d_602.c,xczu7ev-ffvc1156-2-e,10,0.32319,41.5,0,5,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_15,2,2.75,1,True
stencil3d_418.c,xczu7ev-ffvc1156-2-e,10,0.32319,38,0,6,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,1,3,0.661388146905,False
stencil3d_553.c,xczu7ev-ffvc1156-2-e,10,0.57178,33,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,1,0.5,0.208465047738,False
stencil3d_467.c,xczu7ev-ffvc1156-2-e,10,0.32319,41.5,0,6,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,2,3,0.661388146905,False
stencil3d_703.c,xczu7ev-ffvc1156-2-e,10,0.32319,47,0,5,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_31,pipeline_1,unroll_15,1,2.75,1,True
stencil3d_697.c,xczu7ev-ffvc1156-2-e,10,0.27987,55,0,11,1,10,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_15,1,5.5,1,True
